위캔,	위캔/NNG+,/SP
방문한다	방문하/VV+ㄴ다/EF

캠프	캠프/NNG
마지막	마지막/NNG
날인	날/NNG+이/VCP+ㄴ/ETM
15일	15/SN+일/NNB
레슨을	레슨/NNG+을/JKO
통해	통하/VV+여/EC
예술적	예술적/NNG
기량이	기량/NNG+이/JKS
향상된	향상되/VV+ㄴ/ETM
장애아동과	장애아동/NNG+과/JC
비장애청소년이	비장애청소년/NNG+이/JKS
함께	함께/MAG
하는	하/VV+는/ETM
‘쉐어	‘/SL+쉐/SN+어/XSN
러브	러브/NNG
음악회’와	음악회/NNG+’/SL+와/JC
평가회를	평가/NNG+회/XSN+를/JKO
개최하여	개최하/VV+여/EC
캠프를	캠프/NNG+를/JKO
마무리한다	마무리하/VV+ㄴ다/EF

나경원	나경원/NNP
(사)사랑나눔	(/SS+사/NNG+)/SS+사랑/NNG+나누/VV+ㅁ/ETN
위캔	위캔/NNG
이사장은	이사장/NNG+은/JX
“소외계층의	“/SL+소외계층/NNG+의/JKG
복지가	복지/NNG+가/JKS
이제는	이제/NNG+는/JX
질적으로	질적/NNG+으로/JKB
향상되어야	향상되/VV+어야/EC
하고	하/VX+고/EC
특별히	특별히/MAG
장애아동과	장애아동/NNG+과/JC
비장애청소년이	비장애청소년/NNG+이/JKS
함께하는	함께하/VV+는/ETM
메이트	메이트/NNG
캠프가	캠프/NNG+가/JKS
이번	이번/NNG
프로그램의	프로그램/NNG+의/JKG
특징”이라면서	특징”/NNG+이/VCP+라면서/EC
“이번에	“/SL+이번/NNG+에/JKB
맺어진	맺어지/VV+ㄴ/ETM
장애아동과	장애아동/NNG+과/JC
메이트들이	메이트/NNG+들/XSN+이/JKS
행사가	행사/NNG+가/JKS
끝난	끝나/VV+ㄴ/ETM
후에도	후/NNG+에/JKB+도/JX
계속	계속/MAG
서로	서로/MAG
친교를	친교/NNG+를/JKO
나누고	나누/VV+고/EC
함께	함께/MAG
성장해	성장하/VV+여/EC
우리	우리/NP
사회가	사회/NNG+가/JKS
아름다운	아름답/VA+ㄴ/ETM
공동체를	공동체/NNG+를/JKO
형성해	형성하/VV+여/EC
나가도록	나가/VX+도록/EC
위캔이	위캔/NNG+이/JKS
관심을	관심/NNG+을/JKO
기울이겠다”고	기울이/VV+겠/EP+다/EC+”/SN+고/JKQ
말했다	말하/VV+였/EP+다/EC
