"도가니	"/SS+도가/VV+니/EC
서면으로	서면/NNG+으로/JKB
보고	보/VV+고/EC
해달라”고	해달라”/VV+고/EC
요구했다	요구하/VV+었/EP+다/EC

이에	이/NP+에/JKB
보건복지부	보건복지부/NNG
임채민	임채민/NNP
장관은	장관/NNG+은/JX
"치료받는	"/SS+치료/NNG+받/VV+는/ETM
학생들에	학생/NNG+들/XSN+에/JKB
대한	대하/VV+ㄴ/ETM
수화통역사	수화통역사/NNG
지원	지원/NNG
등의	등/NNB+의/JKG
상황은	상황/NNG+은/JX
미처	미처/MAG
파악하지	파악하/VV+지/EC
못했다	못하/VX+였/EP+다/EC

상황을	상황/NNG+을/JKO
알아보고	알아보/VV+고/EC
정부에서	정부/NNG+에서/JKB
도울	돕/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
방법이	방법/NNG+이/JKS
있으면	있/VA+으면/EC
돕겠다"고	돕/VV+겠/EP+다/EF+"/SS+고/JKQ
밝혔다	밝히/VV+었/EP+다/EC
