서울시,	서울시/NNP+,/SP
자율에	자율/NNG+에/JKB
맡기던	맡기/VV+던/ETM
토요일	토요일/NNG
운영도	운영/NNG+도/JX
오전	오전/NNG
9시부터	9/SN+시/NNB+부터/JX
오후	오후/NNG
6시까지	6/SN+시/NNB+까지/JX
매주	매주/MAG
운영된다	운영되/VV+ㄴ다/EF

한우리	한우리/NNP
주간보호센터는	주간보호센터/NNG+는/JX
만18세	만/MM+18/SN+세/NNB
이상의	이상/NNG+의/JKG
성인	성인/NNG
지적·자폐성	지적/NNG+·/SP+자폐성/NNG
장애인을	장애인/NNG+을/JKO
대상으로,	대상/NNG+으로/JKB+,/SP
햇볕교실은	햇볕교실/NNG+은/JX
만	만/MM
9세~45세	9/SN+세/NNB+~/SO+45/SN+세/NNB
이하의	이하/NNG+의/JKG
아동과	아동/NNG+과/JC
성인	성인/NNG
지적·자폐성·뇌병변	지적/NNG+·/SP+자폐성/NNG+·/SP+뇌병변/NNG
장애인을	장애인/NNG+을/JKO
대상으로	대상/NNG+으로/JKB
서비스를	서비스/NNG+를/JKO
제공한다	제공하/VV+ㄴ다/EF

타	타/MM
시설을	시설/NNG+을/JKO
이용하거나	이용하/VV+거나/EC
시설을	시설/NNG+을/JKO
이용하지	이용하/VV+지/EC
않는	않/VX+는/ETM
장애인도	장애인/NNG+도/JX
이용할	이용하/VV+ㄹ/ETM
수	수/NNB
있지만,	있/VA+지만/EC+,/SP
조간과	조간/NNG+과/JC
주간(오전	주간/NNG+(/SS+오전/NNG
8시∼오후	8/SN+시/NNB+∼/SO+오후/NNG
6시)은	6/SN+시/NNB+)/SS+은/JX
시설	시설/NNG
이용자에	이용자/NNG+에/JKB
한정된다	한정되/VV+ㄴ다/EF

이용료는	이용료/NNG+는/JX
2곳	2/SN+곳/NNG
모두	모두/MAG
식비를	식비/NNG+를/JKO
포함해	포함하/VV+여/EC
평일	평일/NNG
5000원,	5000/SN+원/NNB+,/SP
토요일	토요일/NNG
1만원이다	1/SN+만/NR+원/NNB+이/VCP+다/EC

한우리주간보호센터는	한우리주/NNP+간보호센터/NNG+는/JX
월	월/NNG
1만	1/SN+만/NR
5천원을	5/SN+천/NR+원/NNB+을/JKO
추가	추가/NNG
지불하면	지불하/VV+면/EC
귀가(송영)	귀가/NNG+(/SS+송영/NNP+)/SS
서비스까지	서비스/NNG+까지/JX
제공한다	제공하/VV+ㄴ다/EF

서비스	서비스/NNG
신청은	신청/NNG+은/JX
예약제를	예약/NNG+제/XSN+를/JKO
원칙으로	원칙/NNG+으로/JKB
하며,	하/VV+며/EC+,/SP
장애인의	장애인/NNG+의/JKG
보호자는	보호자/NNG+는/JX
이용을	이용/NNG+을/JKO
원하는	원하/VV+는/ETM
시설에	시설/NNG+에/JKB
직접	직접/MAG
전화해서	전화하/VV+여서/EC
이용일	이용/NNG+일/NNB
7일	7/SN+일/NNB
전에	전/NNG+에/JKB
사전	사전/NNG
예약해야	예약하/VV+여야/EC
한다	하/VX+ㄴ다/EF

해당시설을	해당시설/NNG+을/JKO
처음	처음/NNG
이용하는	이용하/VV+는/ETM
장애인은	장애인/NNG+은/JX
보호자	보호자/NNG
상담,	상담/NNG+,/SP
소정의	소정/NNG+의/JKG
사전	사전/NNG
관찰	관찰/NNG
기간을	기간/NNG+을/JKO
거쳐	거치/VV+어/EC
이용이	이용/NNG+이/JKS
최종	최종/NNG
결정된다	결정되/VV+ㄴ다/EF

또한	또한/MAG
한번	한/MM+번/NNB
연장이용	연장이용/NNG
등록이	등록/NNG+이/JKC
되면	되/VV+면/EC
1주일	1/SN+주일/NNB
전에	전/NNG+에/JKB
사전	사전/NNG
예약하고,	예약하/VV+고/EC+,/SP
상시	상시/NNG
이용	이용/NNG
가능하다	가능하/VA+다/EC

단,	단/NNG+,/SP
사전에	사전/NNG+에/JKB
연장이용이	연장이용/NNG+이/JKS
등록된	등록되/VV+ㄴ/ETM
장애인에	장애인/NNG+에/JKB
한해	한하/VV+여/EC
애사,	애사/NNG+,/SP
조사	조사/NNG
등	등/NNB
가족이	가족/NNG+이/JKS
보호할	보호하/VV+ㄹ/ETM
수	수/NNB
없는	없/VA+는/ETM
긴급	긴급/NNG
상황	상황/NNG
발생	발생/NNG
시는	시/NNG+는/JX
사전	사전/NNG
예약	예약/NNG
없이도	없이/MAG+도/JX
이용	이용/NNG
가능하다	가능하/VA+다/EC

사전	사전/NNG
예약은	예약/NNG+은/JX
강남구한우리주간보호센터(2184-8761),	강남구한우리주/NNP+간보호센터/NNG+(/SS+2184/SN+-/SO+8761/SN+)/SS+,/SP
햇볕교실(2663-0670)로	햇볕교실/NNG+(/SS+2663/SN+-/SO+0670/SN+)/SS+로/JKB
하면	하/VV+면/EC
된다	되/VV+ㄴ다/EF

시는	시/NNG+는/JX
"장애인보호자가	"/SS+장애인보호자/NNG+가/JKS
귀가해	귀가하/VV+여/EC
바로	바로/MAG
취침할	취침하/VV+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
야간	야간/NNG
동안은	동안/NNG+은/JX
일상생활훈련과	일상생활훈련/NNG+과/JC
개인위생관리	개인위생관리/NNG
중심으로	중심/NNG+으로/JKB
프로그램을	프로그램/NNG+을/JKO
운영할	운영하/VV+ㄹ/ETM
방침"이라며	방침/NNG+"/SS+이/VCP+라며/EC
"시범운영	"/SS+시범운영/NNG
기간	기간/NNG
종료	종료/NNG
후	후/NNG
문제점과	문제점/NNG+과/JC
개선사항	개선사항/NNG
등을	등/NNB+을/JKO
반영해	반영하/VV+여/EC
연장운영	연장운영/NNG
장애인주간보호시설을	장애인주간보호시설/NNG+을/JKO
지속적으로	지속적/NNG+으로/JKB
확충해	확충하/VV+여/EC
나갈	나가/VX+ㄹ/ETM
계획"이라고	계획/NNG+"/SS+이라고/JKQ
밝혔다	밝히/VV+었/EP+다/EC
