엄동설한에	엄동설한/NNG+에/JKB
제출했다	제출하/VV+였/EP+다/EF

이런	이런/MM
상황에서	상황/NNG+에서/JKB
C	C/SL
씨는	씨/NNB+는/JX
상해	상해/NNP
혐의로	혐의/NNG+로/JKB
서울	서울/NNP
남부지검에	남/NNP+부지검/NNG+에/JKB
기소돼	기소되/VV+어/EC
21일	21/SN+일/NNB
첫	첫/MM
공판을	공판/NNG+을/JKO
앞두고	앞두/VV+고/EC
있다	있/VX+다/EC

첫	첫/MM
재판에서	재판/NNG+에서/JKB
'이	'/SS+이/MM
녹취록이	녹취/NNG+록/XSN+이/JKS
어떤	어떤/MM
역할을	역할/NNG+을/JKO
할지'	하/VV+ㄹ지/EF+'/SS
관심이	관심/NNG+이/JKS
쏠리고	쏠리/VV+고/EC
있다	있/VX+다/EC

dearhero@cbs	dearhero/SL+@/SW+cbs/SL

co	co/SL

kr/에이블뉴스	kr/SL+//SP+에이블뉴스/NNP
제휴사*위	제휴사/NNG+*/SW+위/NNG
기사에	기사/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
모든	모든/MM
법적	법적/NNG
책임	책임/NNG
및	및/MAG
권한은	권한/NNG+은/JX
저작권자인	저작권자/NNG+이/VCP+ㄴ/ETM
노컷뉴스(www	노컷뉴스/NNP+(/SS+www/SL

kdawu	kdawu/SL

org)에	org/SL+)/SS+에/JKB
있습니다	있/VA+습니다/EF
