장애아동도	장애아동/NNG+도/JX
이용하게	이용하/VV+게/EC
하기	하/VX+기/ETN
위해서	위하/VV+여서/EC
노력을	노력/NNG+을/JKO
기울여야	기울이/VV+어야/EC
한다고	하/VX+ㄴ다고/EC
역설했다	역설하/VV+였/EP+다/EF

이	이/MM
카트의	카트/NNG+의/JKG
특징은	특징/NNG+은/JX
장애	장애/NNG
아동들을	아동/NNG+들/XSN+을/JKO
쉽게	쉽/VA+게/EC
앉히기	앉히/VV+기/ETN
위해서	위하/VV+여서/EC
손잡이가	손잡이/NNG+가/JKS
양쪽으로	양쪽/NNG+으로/JKB
열린다는	열리/VV+ㄴ다는/ETM
점이다	점/NNG+이/VCP+다/EC

그	그/MM
외에	외/NNB+에/JKB
안전	안전/NNG
벨트도	벨트/NNG+도/JX
일반	일반/NNG
벨트와	벨트/NNG+와/JC
다르게	다르/VA+게/EC
다섯개의	다섯/NR+개/NNB+의/JKG
훅이	훅/NNG+이/JKS
들어와서	들어오/VV+아서/EC
물리게	물리/VV+게/EC
되어있다	되/VV+어/EC+있/VX+다/EC

이제	이제/MAG
장애	장애/NNG
아동들이	아동/NNG+들/XSN+이/JKS
몸을	몸/NNG+을/JKO
움직여도	움직이/VV+어도/EC
쉽게	쉽/VA+게/EC
빠져나가지를	빠져나가/VV+지/EC+를/JX
않는다	않/VX+는다/EC

그	그/MM
외에도	외/NNB+에/JKB+도/JX
장애	장애/NNG
아동들의	아동/NNG+들/XSN+의/JKG
기물을	기물/NNG+을/JKO
걸	걸/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
가방	가방/NNG
걸이도	걸이/NNG+도/JX
달려	달리/VV+어/EC
있고	있/VX+고/EC
필요할	필요하/VA+ㄹ/ETM
경우	경우/NNG
앞에서도	앞/NNG+에서/JKB+도/JX
끌	끌/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
손잡이가	손잡이/NNG+가/JKS
달려	달리/VV+어/EC
있다	있/VX+다/EF

또한	또한/MAG
쉽게	쉽/VA+게/EC
방향	방향/NNG
전환을	전환/NNG+을/JKO
할	하/VV+ㄹ/ETM
수가	수/NNB+가/JKS
있고	있/VA+고/EC
장애	장애/NNG
아동들의	아동/NNG+들/XSN+의/JKG
혈액	혈액/NNG
순환을	순환/NNG+을/JKO
돕기	돕/VV+기/ETN
위해	위하/VV+여/EC
좌석이	좌석/NNG+이/JKS
5단으로	5/SN+단/NNG+으로/JKB
젖혀	젖히/VV+어/EC
진다	지/VX+ㄴ다/EF

앞	앞/NNG
손잡이(출처:	손잡이/NNG+(/SS+출처/NNG+:/SP
캐롤라인	캐롤라인/NNP
카드	카드/NNG
홈페이지	홈페이지/NNG
동영상	동영상/NNG
캡처)	캡처/NNG+)/SS

ⓒ샘	ⓒ/SN+샘/NNG
필요시	필요시/NNG
카트	카트/NNG
손잡이가	손잡이/NNG+가/JKS
열려	열리/VV+어/EC
장애	장애/NNG
아동들을	아동/NNG+들/XSN+을/JKO
쉽게	쉽/VA+게/EC
앉힐	앉히/VV+ㄹ/ETM
수가	수/NNB+가/JKS
있다(출처:	있/VA+다/EF+(/SS+출처/NNG+:/SP
캐롤라인	캐롤라인/NNP
카드	카드/NNG
홈페이지	홈페이지/NNG
동영상	동영상/NNG
캡처)	캡처/NNG+)/SS

ⓒ샘	ⓒ/SL+샘/NNG
5중	5/SN+중/NNG
벨트(출처:	벨트/NNG+(/SS+출처/NNG+:/SP
캐롤라인	캐롤라인/NNP
카드	카드/NNG
홈페이지	홈페이지/NNG
동영상	동영상/NNG
캡처)	캡처/NNG+)/SS

ⓒ샘	ⓒ/SN+샘/NNG
열린	열리/VV+ㄴ/ETM
상태의	상태/NNG+의/JKG
카트(출처:	카트/NNG+(/SS+출처/NNG+:/SP
캐롤라인	캐롤라인/NNP
카드	카드/NNG
홈페이지	홈페이지/NNG
동영상	동영상/NNG
캡처)	캡처/NNG+)/SS

ⓒ샘	ⓒ샘/SN
*	*/SW
샘	샘/NNG
기자는	기자/NNG+는/JX
에이블뉴스	에이블뉴스/NNP
객원기자로	객원기자/NNG+로/JKB
캘리포니아	캘리포니아/NNP
버클리대학	버클리대학/NNP
사회학과를	사회학과/NNG+를/JKO
졸업하고,	졸업하/VV+고/EC+,/SP
전	전/MM
미상원	미/NNP+상원/NNG
장애인국	장애인국/NNG
인턴을	인턴/NNG+을/JKO
지냈다	지내/VV+었/EP+다/EC

현재	현재/MAG
TEC	TEC/SL
대표를	대표/NNG+를/JKO
맡고	맡/VV+고/EC
있다	있/VX+다/EC
