‘장애+여성’	‘/SL+장애/NNG++/SW+여성/NNG+’/SL
동안의	동안/NNG+의/JKG
일정을	일정/NNG+을/JKO
마무리했다	마무리하/VV+였/EP+다/EC

3일	3/SN+일/NNB
오전	오전/NNG
여의도	여의도/NNP
길거리로	길거리/NNG+로/JKB
나선	나서/VV+ㄴ/ETM
여성장애인들이	여성장애인/NNG+들/XSN+이/JKS
참정권	참정권/NNG
확보의	확보/NNG+의/JKG
목소리를	목소리/NNG+를/JKO
내고	내/VV+고/EC
있다	있/VX+다/EC

한국여성장애인연합	한국/NNP+여성장애인연합/NNG
권순기	권순기/NNP
상임대표가	상임대표/NNG+가/JKS
여성장애인	여성장애인/NNG
유권자	유권자/NNG
권리	권리/NNG
위한	위하/VV+ㄴ/ETM
7가지	7/SN+가지/NNB
요구안을	요구안/NNG+을/JKO
설명하고	설명하/VV+고/EC
있다	있/VX+다/EC

거리	거리/NNG
퍼레이드에	퍼레이드/NNG+에/JKB
참석한	참석하/VV+ㄴ/ETM
여성장애인이	여성장애인/NNG+이/JKS
투표소	투표소/NNG
접근권	접근권/NNG
보장의	보장/NNG+의/JKG
목소리	목소리/NNG
높이고	높이/VV+고/EC
있다	있/VX+다/EC

거리에	거리/NNG+에/JKB
나선	나서/VV+ㄴ/ETM
여성장애인들이	여성장애인/NNG+들/XSN+이/JKS
장애	장애/NNG
특성과	특성/NNG+과/JC
몸의	몸/NNG+의/JKG
조건에	조건/NNG+에/JKB
맞는	맞/VV+는/ETM
참정권을	참정권/NNG+을/JKO
보장하라고	보장하/VV+라고/EC
주장하고	주장하/VV+고/EC
있다	있/VX+다/EC

거리	거리/NNG
퍼레이드에	퍼레이드/NNG+에/JKB
나선	나서/VV+ㄴ/ETM
여성장애인들	여성장애인/NNG+들/XSN

간혹	간혹/MAG
'제11회	'/SS+제/XPN+11/SN+회/NNB
한국여성장애인대회'에	한국/NNP+여성장애인대회/NNG+'/SS+에/JKB
참석한	참석하/VV+ㄴ/ETM
남성도	남성/NNG+도/JX
보인다	보일/VV+ㄴ다/EF
