그늘	그늘/NNG
셈	셈/NNB

이에	이/NP+에/JKB
오	오/NNP
교수는	교수/NNG+는/JX
정책적	정책적/NNG
제언으로	제언/NNG+으로/JKB
건강,	건강/NNG+,/SP
정신보건(핫라인	정신보건/NNG+(/SS+핫라인/NNG
구축,	구축/NNG+,/SP
여성장애인	여성장애인/NNG
지원센터	지원센터/NNG
운영,	운영/NNG+,/SP
농어촌지역	농어촌지역/NNG
방문치료사업	방문치료사업/NNG
확대,	확대/NNG+,/SP
인센티브제도	인센티브제도/NNG
도입)	도입/NNG+)/SS
경제,	경제/NNG+,/SP
주거(고독사	주거/NNG+(/SS+고독사/NNG
예방,	예방/NNG+,/SP
자산형성	자산형성/NNG
지원,	지원/NNG+,/SP
보조도구	보조도구/NNG
개발,	개발/NNG+,/SP
공적	공적/NNG
신탁	신탁/NNG
시스템	시스템/NNG
마련,	마련/NNG+,/SP
세금감면	세금감면/NNG
혜택	혜택/NNG
확대,	확대/NNG+,/SP
여성장애인	여성장애인/NNG
수당의	수당/NNG+의/JKG
다양화)	다양/NNG+화/XSN+)/SS
등을	등/NNB+을/JKO
들었다	듣/VV+었/EP+다/EF

또한	또한/MAG
심리,	심리/NNG+,/SP
정서(여성장애인	정서/NNG+(/SS+여성장애인/NNG
전용	전용/NNG
복지관	복지/NNG+관/XSN
설립,	설립/NNG+,/SP
여성장애인	여성장애인/NNG
어울림센터	어울림센터/NNP
사업확대	사업확대/NNG
및	및/MAG
거점기관	거점기관/NNG
기능	기능/NNG
강화)	강화/NNG+)/SS
인적자원	인적자원/NNG
연계(농어촌지역의	연계/NNG+(/SS+농어촌지역/NNG+의/JKG
응급상황	응급상황/NNG
연락체계	연락체계/NNG
구축,	구축/NNG+,/SP
마을지킴이	마을지킴이/NNG
제도	제도/NNG
도입,	도입/NNG+,/SP
지역사회단체	지역사회단체/NNG
연계,	연계/NNG+,/SP
1:1	1/SN+:/SP+1/SN
매칭	매칭/NNG
케어)	케어/NNG+)/SS
등도	등/NNB+도/JX
함께	함께/MAG
제언했다	제언하/VV+였/EP+다/EC

오	오/NNP
교수는	교수/NNG+는/JX
“저도	“/SL+저/NP+도/JX
마찬가지로	마찬가지/NNG+로/JKB
고위험	고/XPN+위험/NNG
여성장애인에	여성장애인/NNG+에/JKB
속하기	속하/VV+기/ETN
때문에	때문/NNB+에/JKB
움직임이	움직임/NNG+이/JKS
힘들고,	힘들/VA+고/EC+,/SP
생활에	생활/NNG+에/JKB
불편함이	불편하/VA+ㅁ/ETN+이/JKS
많아진다	많아지/VV+ㄴ다/EC

고위험	고/XPN+위험/NNG
여성장애인의	여성장애인/NNG+의/JKG
경우,	경우/NNG+,/SP
정신건강이	정신건강/NNG+이/JKS
심각하지만	심각하/VA+지만/EC
이에	이/NP+에/JKB
대한	대하/VV+ㄴ/ETM
연구가	연구/NNG+가/JKS
없다	없/VA+다/EC

독거일	독거/NNG+이/VCP+ㄹ/ETM
경우	경우/NNG
우울증에	우울증/NNG+에/JKB
충동적	충동적/NNG
자살	자살/NNG
생각,	생각/NNG+,/SP
고독사에	고독사/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
두려움	두려움/NNG
등	등/NNB
정신건강을	정신건강/NNG+을/JKO
살필	살피/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
정책이	정책/NNG+이/JKS
필요하다“며	필요하/VA+다/EC+“/VV+며/EC
”이들	”/SL+이/JC+들/XSN
중	중/NNB
지원이	지원/NNG+이/JKS
가장	가장/MAG
절실한	절실하/VA+ㄴ/ETM
1만2천여명을	1/SN+만/NR+2/SN+천/NR+여/XSN+명/NNB+을/JKO
우선순위로	우선순위/NNG+로/JKB
두고,	두/VV+고/EC+,/SP
이후	이후/NNG
전체	전체/NNG
고위험	고/XPN+위험/NNG
여성장애인들에게	여성장애인/NNG+들/XSN+에게/JKB
지원이	지원/NNG+이/JKS
확대될	확대되/VV+ㄹ/ETM
필요성이	필요성/NNG+이/JKS
있다”고	있/VA+다”고/EC
강조했다	강조하/VV+였/EP+다/EC

한편,	한편/NNG+,/SP
2012	2012/SN
장애인	장애인/NNG
정책기획단	정책기획/NNG+단/XSN
최종발표회에는	최종발표회/NNG+에/JKB+는/JX
여성장애인	여성장애인/NNG
분과	분과/NNG
이외에도	이외/NNG+에/JKB+도/JX
발달장애인·정신장애인·성년후견인·직업재활·가족지원	발달장애인/NNG+·/SP+정신장애인/NNG+·/SP+성년후견인/NNG+·/SP+직업재활/NNG+·/SP+가족지원/NNG
정책	정책/NNG
분과	분과/NNG
등	등/NNB
총	총/MM
6개	6/SN+개/NNB
분과의	분/XSN+과/JKB+의/JKG
연구	연구/NNG
결과물을	결과물/NNG+을/JKO
발표가	발표/NNG+가/JKS
병행됐다	병행되/VV+었/EP+다/EF

발표된	발표되/VV+ㄴ/ETM
연구	연구/NNG
결과물들은	결과물/NNG+들/XSN+은/JX
오는	오/VV+는/ETM
30일	30/SN+일/NNB
이룸센터에서	이룸센터/NNG+에서/JKB
열릴	열리/VV+ㄹ/ETM
‘제4차	‘/SN+제/XPN+4/SN+차/NNB
장애인정책종합계획(안)	장애인정책종합계획/NNG+(/SS+안/NNG+)/SS
수립	수립/NNG
관련	관련/NNG
정책토론회’에서	정책토론회/NNG+’/SL+에서/JKB
함께	함께/MAG
논의될	논의되/VV+ㄹ/ETM
예정이며,	예정/NNG+이/VCP+며/EC+,/SP
자세한	자세하/VA+ㄴ/ETM
연구내용이	연구내용/NNG+이/JKS
담긴	담기/VV+ㄴ/ETM
최종보고서는	최종보고서/NNG+는/JX
12월	12/SN+월/NNB
중	중/NNB
발표될	발표되/VV+ㄹ/ETM
계획이다	계획/NNG+이/VCP+다/EC

'2012	'/SS+2012/SN
장애인	장애인/NNG
정책기획단	정책기획/NNG+단/XSN
최종발표회'에	최종발표회/NNG+'/SS+에/JKB
참석한	참석하/VV+ㄴ/ETM
분과위원들	분과위원/NNG+들/XSN
모습	모습/NNG
