성폭행범	성폭행/NNG+범/XSN
될	되/VV+ㄹ/ETM
수도	수/NNB+도/JX
있단	있/VA+단/ETM
생각에	생각/NNG+에/JKB
마음이	마음/NNG+이/JKS
아팠다”며	아프/VA+았/EP+다/EC+”/VX+며/EC
“법을	“/SN+법/NNB+을/JKO
떠나서	떠나/VV+아서/EC
교육적으로	교육적/NNG+으로/JKB
학생이	학생/NNG+이/JKS
잘못을	잘못/NNG+을/JKO
저질렀으면	저지르/VV+었/EP+으면/EC
그	그/MM
후	후/NNG
재발	재발/NNG
방지를	방지/NNG+를/JKO
위한	위하/VV+ㄴ/ETM
교육을	교육/NNG+을/JKO
했어야	하/VV+였/EP+어야/EC
했는데	하/VX+였/EP+는데/EC
미흡했었던	미흡하/VA+었었/EP+던/ETM
부분이	부분/NNG+이/JKS
제일	제일/MAG
크다고	크/VA+다고/EC
생각하고,	생각하/VV+고/EC+,/SP
현재	현재/MAG
장애인	장애인/NNG
성폭력에	성폭력/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
이해와	이해/NNG+와/JC
장애특성에	장애특성/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
보호방안이	보호방안/NNG+이/JKS
시급하다고	시급하/VA+다고/EC
보여진다”고	보이/VV+어/EC+지/VX+ㄴ다/EC+”/SW+고/EC
강조했다	강조하/VV+였/EP+다/EC

이선경	이선경/NNP
변호사가	변호사/NNG+가/JKS
성폭력	성폭력/NNG
가해	가하/VV+여/EC
학생과	학생/NNG+과/JC
해당	해당/NNG
학교	학교/NNG
관계자들을	관계자/NNG+들/XSN+을/JKO
고발하게	고발하/VV+게/EC
된	되/VV+ㄴ/ETM
경위에	경위/NNG+에/JKB
대해	대하/VV+여/EC
설명하고	설명하/VV+고/EC
있다	있/VX+다/EC

이선경	이선경/NNP
변호사(전국성폭력상담소협의회	변호사/NNG+(/SS+전국성폭력상담소협의회/NNP
자문)는	자문/NNG+)/SS+는/JX
부정입학과	부정입학/NNG+과/JKB
관련된	관련되/VV+ㄴ/ETM
가해	가해/NNG
학생과	학생/NNG+과/JC
학교	학교/NNG
관련자들에	관련자/NNG+들/XSN+에/JKB
대한	대하/VV+ㄴ/ETM
고발장의	고발장/NNG+의/JKG
내용과	내용/NNG+과/JC
취지에	취지/NNG+에/JKB
대해	대하/VV+여/EC
설명했다	설명하/VV+었/EP+다/EC

이	이/MM
변호사는	변호사/NNG+는/JX
“가해자는	“/SN+가해자/NNG+는/JX
이미	이미/MAG
입학이	입학/NNG+이/JKS
취소됐고,	취소되/VV+었/EP+고/EC+,/SP
관련	관련/NNG
교사들에	교사/NNG+들/XSN+에/JKB
대한	대하/VV+ㄴ/ETM
징계	징계/NNG
논의도	논의/NNG+도/JX
이뤄지고	이루어지/VV+고/EC
있는	있/VX+는/ETM
상황이지만,	상황/NNG+이/VCP+지만/EC+,/SP
입학	입학/NNG
취소는	취소/NNG+는/JX
성균관대학교가	성균관대학교/NNP+가/JKS
자체적으로	자체/NNG+적/XSN+으로/JKB
취했고	취하/VV+였/EP+고/EC
학생이	학생/NNG+이/JKS
허위추천서를	허위추천/NNG+서/XSN+를/JKO
가지고	가지/VV+고/EC
대학에	대학/NNG+에/JKB
입학한	입학하/VV+ㄴ/ETM
것은	것/NNB+은/JX
명백히	명백히/MAG
범죄	범죄/NNG
행위”라고	행위”/NNG+이/VCP+라고/EC
꼬집었다	꼬집/VV+었/EP+다/EF

이	이/NNP
변호사는	변호사/NNG+는/JX
또한	또한/MAG
“간접적으로는	“/SL+간접적/NNG+으로/JKB+는/JX
해당	해당/NNG
학교에	학교/NNG+에/JKB
입학하고	입학하/VV+고/EC
싶어	싶/VX+어/EC
했던	하/VV+였/EP+던/ETM
또	또/MAG
다른	다른/MM
수험생이	수험생/NNG+이/JKS
이	이/MM
학생	학생/NNG
때문에	때문/NNB+에/JKB
들어가지	들어가/VV+지/EC
못했을	못하/VX+였/EP+을/ETM
수도	수/NNB+도/JX
있고,	있/VA+고/EC+,/SP
훌륭한	훌륭하/VA+ㄴ/ETM
인재를	인재/NNG+를/JKO
뽑고	뽑/VV+고/EC
싶어했던	싶/VX+어/EC+하/VV+였/EP+던/ETM
성균관대	성균관대/NNP
입학사정업무도	입학사정업무/NNG+도/JX
부정입학	부정입학/NNG
사실	사실/NNG
때문에	때문/NNB+에/JKB
제대로	제대로/MAG
이뤄지지	이루어지/VV+지/EC
않았다”면서	않/VX+았/EP+다”면서/EC
“이	“/SL+이/JKS
학생	학생/NNG
혼자서	혼자/NNG+서/JKS
부정입학을	부정입학/NNG+을/JKO
저지른	저지르/VV+ㄴ/ETM
것이	것/NNB+이/JKC
아니라	아니/VCN+라/EC
성폭력	성폭력/NNG
범죄를	범죄/NNG+를/JKO
저지른	저지르/VV+ㄴ/ETM
학생에	학생/NNG+에/JKB
대해서	대하/VV+여서/EC
계속적으로	계속적/NNG+으로/JKB
학급	학급/NNG
임원을	임원/NNG+을/JKO
유지하게	유지하/VV+게/EC
하고	하/VX+고/EC
3회에	3/SN+회/NNB+에/JKB
걸쳐	걸치/VV+어/EC
봉사상	봉사상/NNG
수여하는	수여하/VV+는/ETM
등의	등/NNB+의/JKG
입학전형	입학전형/NNG
자료를	자료/NNG+를/JKO
만들어준	만들/VV+어/EC+주/VX+ㄴ/ETM
해당	해당/NNG
고등학교	고등학교/NNG
교사들에게도	교사/NNG+들/XSN+에게/JKB+도/JX
도덕적	도덕적/NNG
책임을	책임/NNG+을/JKO
떠나	떠나/VV+아/EC
법적인	법적/NNG+이/VCP+ㄴ/ETM
책임이	책임/NNG+이/JKS
있다고	있/VA+다고/EC
보여진다”고	보이/VV+어/EC+지/VX+ㄴ다/EC+”/VV+고/EC
밝혔다	밝히/VV+었/EP+다/EC

이	이/NNP
변호사는	변호사/NNG+는/JX
“자세한	“/SN+자세/NNG+하/XSV+ㄴ/ETM
사항은	사항/NNG+은/JX
수사과정이나	수사과정/NNG+이나/JC
재판과정에서	재판과정/NNG+에서/JKB
사실이	사실/NNG+이/JKS
드러날	드러나/VV+ㄹ/ETM
것”이라며	것/NNB+”/SL+이/VCP+라며/EC
“앞으로도	“/SL+앞/NNG+으로/JKB+도/JX
성폭력	성폭력/NNG
피해	피해/NNG
학생들에게	학생/NNG+들/XSN+에게/JKB
제	제/XPN
2,3의	2,3/SN+의/JKG
또다른	또/MAG+다른/MM
피해가	피해/NNG+가/JKS
있을	있/VA+을/ETM
수도	수/NNB+도/JX
있기	있/VA+기/ETN
때문에	때문/NNB+에/JKB
우려	우려/NNG
하는	하/VV+는/ETM
마음으로	마음/NNG+으로/JKB
고발하게	고발하/VV+게/EC
됐다”고	되/VV+었/EP+다/EC+”/VV+고/EC
덧붙였다	덧붙이/VV+었/EP+다/EF

이	이/MM
밖에도	밖/NNG+에/JKB+도/JX
진상조사위원회는	진상조사위원회/NNG+는/JX
부정입학	부정입학/NNG
관련자들에	관련자/NNG+들/XSN+에/JKB
대한	대하/VV+ㄴ/ETM
철저한	철저하/VA+ㄴ/ETM
조사	조사/NNG
진행을	진행/NNG+을/JKO
비롯해	비롯하/VV+여/EC
교육청의	교육청/NNG+의/JKG
성폭력	성폭력/NNG
가해학생에	가해학생/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
처벌	처벌/NNG
기준과	기준/NNG+과/JC
재교육	재교육/NNG
프로그램	프로그램/NNG
마련	마련/NNG
정부의	정부/NNG+의/JKG
장애인	장애인/NNG
성폭력에	성폭력/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
이해와	이해/NNG+와/JC
보호방안	보호방안/NNG
마련을	마련/NNG+을/JKO
요구했다	요구하/VV+었/EP+다/EC
