‘기적	‘/SL+기적/NNG
의무화가	의무화/NNG+가/JKC
되어	되/VV+어/EC
있어요	있/VX+어요/EF

저도	저/NP+도/JX
의사소통	의사소통/NNG
보조기기를	보조기기/NNG+를/JKO
통해	통하/VV+여/EC
학업을	학업/NNG+을/JKO
이어	잇/VV+어/EC
갈	가/VX+ㄹ/ETM
수	수/NNB
있었죠	있/VA+었/EP+죠/EF

”정	”/SL+정/NNP
씨는	씨/NNB+는/JX
우리나라도	우리나라/NNG+도/JX
미국처럼	미국/NNP+처럼/JKB
보조기기를	보조기기/NNG+를/JKO
개발할	개발하/VV+ㄹ/ETM
수	수/NNB
있지만	있/VA+지만/EC
수익이	수익/NNG+이/JKS
적어	적/VA+어/EC
만들지	만들/VV+지/EC
않고	않/VX+고/EC
있다고	있/VX+다고/EC
안타까움을	안타깝/VA+ㅁ/ETN+을/JKO
전했다	전하/VV+었/EP+다/EC

“사실	“/SN+사실/NNG
저도	저/NP+도/JX
보조공학을	보조공학/NNG+을/JKO
전공하기	전공하/VV+기/ETN
전까지는	전/NNG+까지는/JX
이	이/MM
기계에	기계/NNG+에/JKB
대해	대하/VV+여/EC
알지	알/VV+지/EC
못했어요	못하/VX+였/EP+어요/EC

특히	특히/MAG
우리나라의	우리나라/NNG+의/JKG
경우	경우/NNG
이	이/MM
보조기기에	보조기기/NNG+에/JKB
대해	대하/VV+여/EC
알고	알/VV+고/EC
있는	있/VX+는/ETM
사람이	사람/NNG+이/JKS
별로	별로/MAG
없어요	없/VA+어요/EC

제가	제/NP+가/JKS
책을	책/NNG+을/JKO
쓴	쓰/VV+ㄴ/ETM
목적도	목적/NNG+도/JX
한국에	한국/NNP+에/JKB
이런	이런/MM
보조공학을	보조공학/NNG+을/JKO
많이	많이/MAG
소개하고	소개하/VV+고/EC
싶은	싶/VX+은/ETM
욕심	욕심/NNG
때문이에요	때문/NNB+이/VCP+에요/EF

우리나라	우리나라/NNG
장애인들도	장애인/NNG+들/XSN+도/JX
저처럼	저/NP+처럼/JKB
보조기기의	보조기기/NNG+의/JKG
도움을	도움/NNG+을/JKO
받을	받/VV+을/ETM
수	수/NNB
있으면	있/VA+으면/EC
좋겠어요	좋/VA+겠/EP+어요/EC

”	”/SL
그녀의	그녀/NP+의/JKG
뒤에는	뒤/NNG+에/JKB+는/JX
든든한	든든하/VA+ㄴ/ETM
어머니	어머니/NNG
김씨가	김/NNP+씨/NNB+가/JKS
있었다	있/VA+었/EP+다/EF

밖에	밖/NNG+에/JKB
나가	나가/VV+아/EC
뛰어	뛰/VV+어/EC
놀지	놀/VV+지/EC
못하는	못하/VX+는/ETM
딸을	딸/NNG+을/JKO
위해	위하/VV+여/EC
매일	매일/MAG
집에서	집/NNG+에서/JKB
동화책을	동화책/NNG+을/JKO
읽어주었고,	읽/VV+어/EC+주/VX+었/EP+고/EC+,/SP
딸에게	딸/NNG+에게/JKB
끈임	끈임/NNG
없이	없이/MAG
‘넌	‘/SN+넌/NNP
뭐든지	뭐/NP+든지/JX
할	하/VV+ㄹ/ETM
수	수/NNB
있다’며	있/VA+다/EC+’/VX+며/EC
용기의	용기/NNG+의/JKG
말을	말/NNG+을/JKO
건넸다	건네/VV+었/EP+다/EF

부모로서	부모/NNG+로서/JKB
평탄치	평탄하/VA+지/EC
않을	않/VX+을/ETM
딸의	딸/NNG+의/JKG
미래를	미래/NNG+를/JKO
바꿔주고	바꾸/VV+어/EC+주/VX+고/EC
싶었기	싶/VX+었/EP+기/ETN
때문이다	때문/NNB+이/VCP+다/EC

김씨는	김/NNP+씨/NNB+는/JX
“가족의	“/SN+가족/NNG+의/JKG
관심과	관심/NNG+과/JC
사랑이	사랑/NNG+이/JKS
가장	가장/MAG
중요하다	중요하/VA+다/EC

끊임없이	끊임없이/MAG
용기와	용기/NNG+와/JC
격려를	격려/NNG+를/JKO
주면	주/VV+면/EC
아이는	아이/NNG+는/JX
무엇이든	무엇/NP+이든/JX
할	하/VV+ㄹ/ETM
수	수/NNB
있다”고	있/VA+다”고/EC
조언했다	조언하/VV+였/EP+다/EC

지난	지나/VV+ㄴ/ETM
4월	4/SN+월/NNB
정씨는	정/NNP+씨/NNB+는/JX
‘Teaching	‘/SN+Teaching/SL
with	with/SL
Technoloqy’	Technoloqy’/SL
분야로	분야/NNG+로/JKB
조지메이슨	조지메이슨/NNP
대학	대학/NNG
최고	최고/NNG
교수상을	교수상/NNG+을/JKO
받으며	받/VV+으며/EC
많은	많/VA+은/ETM
학생들로부터	학생/NNG+들/XSN+로부터/JKB
인정받기도	인정받/VV+기/ETN+도/JX
했다	하/VX+였/EP+다/EF

이	이/MM
분야는	분야/NNG+는/JX
강의시간에	강의시간/NNG+에/JKB
과학기술을	과학기술/NNG+을/JKO
효과적으로	효과적/NNG+으로/JKB
이용해	이용하/VV+여/EC
강의	강의/NNG
질을	질/NNG+을/JKO
높인	높이/VV+ㄴ/ETM
교수에게	교수/NNG+에게/JKB
주어진다	주어지/VV+ㄴ다/EC

한편	한편/MAG
정	정/NNP
씨는	씨/NNB+는/JX
지난	지나/VV+ㄴ/ETM
2008년	2008/SN+년/NNB
보조기기	보조기기/NNG
사용으로	사용/NNG+으로/JKB
변화	변화/NNG
된	되/VV+ㄴ/ETM
장애인의	장애인/NNG+의/JKG
삶에	삶/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
내용을	내용/NNG+을/JKO
담은	담/VV+은/ETM
‘기적은	‘/SL+기적/NNG+은/JX
기적처럼	기적/NNG+처럼/JKB
오지	오/VV+지/EC
않는다’	않/VX+는다’/EC
저서를	저서/NNG+를/JKO
발간한	발간하/VV+ㄴ/ETM
바	바/NNB
있다	있/VA+다/EC
