복지부,	복지부/NNG+,/SP
있던	있/VX+던/ETM
영유아	영유아/NNG
부모들은	부모/NNG+들/XSN+은/JX
신분증과	신분증/NNG+과/JC
농업경영체등록확인서	농업경영체등록확인서/NNG
및	및/MAG
농업인확인서,	농업인확/NNG+이/VCP+ㄴ서/EC+,/SP
본인계좌통장사본	본인계좌통장사본/NNG
등	등/NNB
서류를	서류/NNG+를/JKO
갖춰	갖추/VV+어/EC
주소지	주소/NNG+지/XSN
읍·면·동	읍/NNG+·/SP+면/NNG+·/SP+동/NNG
주민센터에서	주민센터/NNG+에서/JKB
재신청을	재신청/NNG+을/JKO
할	하/VV+ㄹ/ETM
수	수/NNB
있다	있/VA+다/EC

단	단/MM
기존에	기존/NNG+에/JKB
지원을	지원/NNG+을/JKO
받고	받/VV+고/EC
있더라도,	있/VX+더라도/EC+,/SP
재신청	재신청/NNG
기간	기간/NNG
동안	동안/NNG
신청을	신청/NNG+을/JKO
하지	하/VV+지/EC
않은	않/VX+은/ETM
경우	경우/NNG
지원자격이	지원자격/NNG+이/JKS
상실돼	상실되/VV+어/EC
10월부터	10/SN+월/NNB+부터/JX
양육수당을	양육수당/NNG+을/JKO
지급받지	지급/NNG+받/VV+지/EC
못하게	못하/VX+게/EC
된다	되/VV+ㄴ다/EF

복지부는	복지부/NNG+는/JX
기존	기존/NNG
수기로	수기/NNG+로/JKB
선정·관리되고	선정/NNG+·/SP+관리되/VV+고/EC
있던	있/VX+던/ETM
농어촌	농어촌/NNG
양육수당	양육수당/NNG
지원사업이	지원사업/NNG+이/JKS
앞으로	앞/NNG+으로/JKB
‘사회복지통합관리망’으로	‘/SN+사회복지통합관리망/NNG+’/SL+으로/JKB
선정·관리됨에	선정/NNG+·/SP+관리되/VV+ㅁ/ETN+에/JKB
따라	따르/VV+아/EC
중복·누락방지	중복/NNG+·/SP+누락방지/NNG
등	등/NNB
급여지급의	급여지급/NNG+의/JKG
정확성을	정확성/NNG+을/JKO
제고하고,	제고하/VV+고/EC+,/SP
지자체	지자체/NNG
담당자들의	담당자/NNG+들/XSN+의/JKG
업무	업무/NNG
효율성을	효율/NNG+성/XSN+을/JKO
높일	높이/VV+ㄹ/ETM
수	수/NNB
있을	있/VA+을/ETM
것이라고	것/NNB+이/VCP+라고/EC
기대하고	기대하/VV+고/EC
있다	있/VX+다/EC

더불어	더불/VV+어/EC
향후	향후/NNG
양육수당	양육수당/NNG
신규	신규/NNG
신청하는	신청하/VV+는/ETM
경우	경우/NNG
방문신청	방문신청/NNG
외에도	외/NNB+에/JKB+도/JX
온라인	온라인/NNG
상에서	상/NNG+에서/JKB
양육수당을	양육수당/NNG+을/JKO
신청하고,	신청하/VV+고/EC+,/SP
처리현황을	처리현황/NNG+을/JKO
실시간	실시간/NNG
확인할	확인하/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
온라인	온라인/NNG
신청	신청/NNG
서비스를	서비스/NNG+를/JKO
제공해	제공하/VV+여/EC
편의를	편의/NNG+를/JKO
높여나갈	높이/VV+어/EC+나가/VX+ㄹ/ETM
계획이다	계획/NNG+이/VCP+다/EC
