`0~2세	`/SW+0/SN+~/SO+2/SN+세/NNB
7개월여만에	7/SN+개월/NNB+여/XSN+만/NNB+에/JKB
사실상	사실상/NNG
철회됐다	철회되/VV+었/EP+다/EF

소득	소득/NNG
상위	상위/NNG
30%	30/SN+%/SW
가구는	가구/NNG+는/JX
보육비	보육/NNG+비/XSN
전액	전액/NNG
지원	지원/NNG
대상에서	대상/NNG+에서/JKB
제외되고,	제외되/VV+고/EC+,/SP
전업주부	전업주부/NNG
가구도	가구/NNG+도/JX
보육비	보육/NNG+비/XSN
지원을	지원/NNG+을/JKO
현재의	현재/NNG+의/JKG
절반	절반/NNG
수준만	수준/NNG+만/JX
받게	받/VV+게/EC
되기	되/VV+기/ETN
때문이다	때문/NNB+이/VCP+다/EC

대신	대신/NNG
0∼2세	0/SN+∼/SO+2/SN+세/NNB
영유아를	영유아/NNG+를/JKO
둔	두/VV+ㄴ/ETM
소득	소득/NNG
하위	하위/NNG
70%	70/SN+%/SW
가구(올해의	가구/NNG+(/SS+올해/NNG+의/JKG
경우	경우/NNG
4인가족	4/SN+인가족/NNG
기준	기준/NNG
약	약/MM
524만원이하)에는	524/SN+만/NR+원/NNB+이하/NNG+)/SS+에/JKB+는/JX
보육시설	보육시설/NNG
이용	이용/NNG
여부에	여부/NNG+에/JKB
관계없이	관계없이/MAG
모두	모두/MAG
월	월/NNG
10만∼20만원의	10/SN+만/NR+∼/SO+20/SN+만/NR+원/NNB+의/JKG
양육보조금이	양육보조금/NNG+이/JKS
현금으로	현금/NNG+으로/JKB
지원된다	지원되/VV+ㄴ다/EF

연령별로는	연령/NNG+별/XSN+로/JKB+는/JX
0세	0/SN+세/NNB
20만원,	20/SN+만/NR+원/NNB+,/SP
1세	1/SN+세/NNB
15만원,	15/SN+만/NR+원/NNB+,/SP
2세	2/SN+세/NNB
10만원의	10/SN+만/NR+원/NNB+의/JKG
양육보조금을	양육보조금/NNG+을/JKO
매달	매달/MAG
받게	받/VV+게/EC
된다	되/VV+ㄴ다/EF

지금까지는	지금/NNG+까지는/JX
차상위계층(소득하위	차상위계층/NNG+(/SS+소득하위/NNG
약	약/MM
15%)	15/SN+%/SW+)/SS
가운데	가운데/NNG
보육시설에	보육시설/NNG+에/JKB
아이를	아이/NNG+를/JKO
보내지	보내/VV+지/EC
않는	않/VX+는/ETM
가구만	가구/NNG+만/JX
양육수당을	양육수당/NNG+을/JKO
받아왔다	받/VV+아/EC+오/VX+았/EP+다/EF

또	또/MAG
내년부터는	내년/NNG+부터는/JX
전면	전면/NNG
무상보육	무상보육/NNG
대신	대신/NNG
보육	보육/NNG
바우처(아이사랑	바우처/NNP+(/SS+아이사랑/NNG
카드)를	카드/NNG+)/SS+를/JKO
통한	통하/VV+ㄴ/ETM
보육비	보육/NNG+비/XSN
차등	차등/NNG
지원이	지원/NNG+이/JKS
이뤄진다	이루어지/VV+ㄴ다/EC

전업주부	전업주부/NNG
가구에는	가구/NNG+에/JKB+는/JX
하루	하루/NNG
6시간	6/SN+시간/NNB
안팎의	안팎/NNG+의/JKG
반일반	반일반/NNG
바우처가,	바우처/NNP+가/JKS+,/SP
맞벌이	맞벌이/NNG
부부·장애인	부부/NNG+·/SP+장애인/NNG
등	등/NNB
취약계층	취약계층/NNG
가구에는	가구/NNG+에/JKB+는/JX
하루	하루/NNG
12시간	12/SN+시간/NNB
내외의	내외/NNG+의/JKG
종일반	종일반/NNG
바우처가	바우처/NNP+가/JKS
제공된다	제공되/VV+ㄴ다/EF

다만	다만/MAG
바우처는	바우처/NNP+는/JX
양육보조금에	양육보조금/NNG+에/JKB
해당하는	해당하/VV+는/ETM
10만∼20만원을	10/SN+만/NR+∼/SO+20/SN+만/NR+원/NNB+을/JKO
빼고	빼/VV+고/EC
지급되는데,	지급되/VV+는데/EC+,/SP
이는	이/NP+는/JX
양육보조금을	양육보조금/NNG+을/JKO
받지	받/VV+지/EC
못하는	못하/VX+는/ETM
소득	소득/NNG
상위	상위/NNG
30%	30/SN+%/SW
가정도	가정/NNG+도/JX
마찬가지다	마찬가지/NNG+이/VCP+다/EC

결국	결국/NNG
소득	소득/NNG
상위계층은	상위계층/NNG+은/JX
보육료	보육/NNG+료/XSN
일부를	일부/NNG+를/JKO
자비로	자비/NNG+로/JKB
내야한다는	내/VV+어야/EC+하/VX+ㄴ다는/ETM
얘기다	얘기/NNG+이/VCP+다/EC

표준	표준/NNG
교육·보육	교육/NNG+·/SP+보육/NNG
프로그램인	프로그램/NNG+이/VCP+ㄴ/ETM
'누리과정'이	'/SS+누리/NP+과정/NNG+'/SS+이/JKS
적용되는	적용되/VV+는/ETM
3∼5세	3/SN+∼/SO+5/SN+세/NNB
유아를	유아/NNG+를/JKO
둔	두/VV+ㄴ/ETM
가구는	가구/NNG+는/JX
소득	소득/NNG
수준	수준/NNG
등에	등/NNB+에/JKB
관계없이	관계없이/MAG
보육시설을	보육시설/NNG+을/JKO
이용하면	이용하/VV+면/EC
무조건	무조건/MAG
무상	무상/NNG
보육서비스를	보육서비스/NNG+를/JKO
받을	받/VV+을/ETM
수	수/NNB
있다	있/VA+다/EC

도서나	도서/NNG+나/JC
산간	산간/NNG
벽지	벽지/NNG
등	등/NNB
보육시설에	보육시설/NNG+에/JKB
아이를	아이/NNG+를/JKO
보내기	보내/VV+기/ETN
어려운	어렵/VA+ㄴ/ETM
소득	소득/NNG
하위	하위/NNG
70%	70/SN+%/SW
가구에는	가구/NNG+에/JKB+는/JX
양육보조금	양육보조금/NNG
10만원이	10/SN+만/NR+원/NNB+이/JKS
역시	역시/MAG
현금으로	현금/NNG+으로/JKB
지원된다	지원되/VV+ㄴ다/EF

아울러	아울러/MAG
보육시설을	보육시설/NNG+을/JKO
이용하지	이용하/VV+지/EC
않는	않/VX+는/ETM
부모가	부모/NNG+가/JKS
긴급한	긴급하/VA+ㄴ/ETM
외출이	외출/NNG+이/JKS
필요할	필요하/VA+ㄹ/ETM
때	때/NNG
아이를	아이/NNG+를/JKO
맡길	맡기/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
'일시	'/SS+일시/NNG
보육서비스'도	보육서비스/NNG+'/SS+도/JX
내년부터	내년/NNG+부터/JX
시범사업으로	시범사업/NNG+으로/JKB
운영된다	운영되/VV+ㄴ다/EF

또	또/MAG
종일반,	종일반/NNG+,/SP
반일반	반일반/NNG
등	등/NNB
시설보육	시설보육/NNG
지원	지원/NNG
대상	대상/NNG
가정	가정/NNG
역시	역시/MAG
이용	이용/NNG
시간을	시간/NNG+을/JKO
늘리고	늘리/VV+고/EC
싶다면	싶/VX+다면/EC
연장	연장/NNG
서비스를	서비스/NNG+를/JKO
받을	받/VV+을/ETM
수	수/NNB
있다	있/VA+다/EC

다만	다만/MAG
시간	시간/NNG
연장에	연장/NNG+에/JKB
따른	따르/VV+ㄴ/ETM
추가	추가/NNG
비용의	비용/NNG+의/JKG
일부분은	일부분/NNG+은/JX
해당	해당/NNG
가정이	가정/NNG+이/JKS
부담해야	부담하/VV+여야/EC
한다	하/VX+ㄴ다/EF

정부는	정부/NNG+는/JX
'0∼2세	'/SS+0/SN+∼/SO+2/SN+세/NNB
전면	전면/NNG
무상보육'을	무상보육/NNG+'/SS+을/JKO
폐기키로	폐기하/VV+기/ETN+로/JKB
한	하/VV+ㄴ/ETM
이유로	이유/NNG+로/JKB
재정적	재정적/NNG
어려움과	어려움/NNG+과/JC
보육	보육/NNG
실수요,	실수/NNG+이/VCP+요/EC+,/SP
혜택의	혜택/NNG+의/JKG
소득별	소득/NNG+별/XSN
공정성	공정성/NNG
등을	등/NNB+을/JKO
들고	들/VV+고/EC
있다	있/VX+다/EC

그러나	그러나/MAJ
이	이/MM
정책이	정책/NNG+이/JKS
지난해말	지난해/NNG+말/NNB
국회	국회/NNG
주도로	주도/NNG+로/JKB
추진된	추진되/VV+ㄴ/ETM
점을	점/NNG+을/JKO
고려하면	고려하/VV+면/EC
대선을	대선/NNG+을/JKO
2개월여	2/SN+개월/NNB+여/XSN
앞두고	앞두/VV+고/EC
국회가	국회/NNG+가/JKS
정부의	정부/NNG+의/JKG
새	새/MM
보육정책에	보육정책/NNG+에/JKB
동의할지	동의하/VV+ㄹ지/EC
여부는	여부/NNG+는/JX
미지수다	미지수/NNG+이/VCP+다/EF

실제	실제/NNG
새누리당	새누리당/NNP
진	진/MM
영	영/NNP
정책위의장은	정책위의장/NNG+은/JX
"0∼2세	"/SS+0/SN+∼/SO+2/SN+세/NNB
보육료와	보육/NNG+료/XSN+와/JC
양육수당을	양육수당/NNG+을/JKO
모든	모든/MM
계층에	계층/NNG+에/JKB
대해	대하/VV+여/EC
지급하자는	지급하/VV+자는/ETM
게	것/NNB+이/JKS
당론이라는	당론/NNG+이/VCP+라는/ETM
입장에	입장/NNG+에/JKB
변함이	변하/VV+ㅁ/ETN+이/JKS
없다"며	없/VA+다/EF+"/SS+며/EC
"(정부	"(/SS+정부/NNG
개편안을)	개편안/NNG+을/JKO+)/SS
받아들일	받아들이/VV+ㄹ/ETM
수	수/NNB
없다"고	없/VA+다/EF+"/SS+고/JKQ
반발했다	반발하/VV+였/EP+다/EF

진	진/NNP
의장은	의장/NNG+은/JX
"무상보육은	"/SS+무상보육/NNG+은/JX
여야가	여야/NNG+가/JKS
사실상	사실상/NNG
합의한	합의하/VV+ㄴ/ETM
사안이므로	사안/NNG+이/VCP+므로/EC
연말	연말/NNG
예산심의	예산심의/NNG
때	때/NNG
반영하면	반영하/VV+면/EC
된다"고	되/VV+ㄴ다/EF+"/SS+고/JKQ
전면	전면/NNG
무상보육	무상보육/NNG
강행	강행/NNG
의지를	의지/NNG+를/JKO
내비쳤다	내비치/VV+었/EP+다/EF

여기에다	여기/NP+에다/JKB
보육	보육/NNG
지원이	지원/NNG+이/JKS
줄어드는	줄어들/VV+는/ETM
소득	소득/NNG
상위	상위/NNG
30%	30/SN+%/SW
계층의	계층/NNG+의/JKG
반발과	반발/NNG+과/JC
함께	함께/MAG
전업	전업/NNG
주부	주부/NNG
가구에	가구/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
차별	차별/NNG
논란도	논란/NNG+도/JX
적지	적/VA+지/EC
않을	않/VX+을/ETM
전망이다	전망/NNG+이/VCP+다/EC

이	이/NP
같은	같/VA+은/ETM
정책	정책/NNG
혼선을	혼선/NNG+을/JKO
철저한	철저하/VA+ㄴ/ETM
사전	사전/NNG
검증을	검증/NNG+을/JKO
통한	통하/VV+ㄴ/ETM
합리적	합리적/NNG
복지정책	복지정책/NNG
수립의	수립/NNG+의/JKG
계기로	계기/NNG+로/JKB
삼아야	삼/VV+아야/EC
한다는	하/VX+ㄴ다는/ETM
게	것/NNB+이/JKS
전문가들의	전문가/NNG+들/XSN+의/JKG
지적이다	지적/NNG+이/VCP+다/EC

임채민	임채민/NNP
복지부	복지부/NNG
장관은	장관/NNG+은/JX
기자간담회에서	기자간담회/NNG+에서/JKB
"보육체계	"/SS+보육체계/NNG
개편으로	개편/NNG+으로/JKB
혼란을	혼란/NNG+을/JKO
드려	드리/VV+어/EC
죄송하다"고	죄송하/VA+다/EF+"/SS+고/JKQ
사과하며	사과하/VV+며/EC
"장기적으로	"/SS+장기적/NNG+으로/JKB
보육·양육지원의	보육/NNG+·/SP+양육지원/NNG+의/JKG
틀을	틀/NNG+을/JKO
잡기	잡/VV+기/ETN
위해	위하/VV+여/EC
진통을	진통/NNG+을/JKO
겪은	겪/VV+은/ETM
것으로	것/NNB+으로/JKB
이해해	이해하/VV+여/EC
달라"고	달/VX+라/EF+"/SS+고/JKQ
양해를	양해/NNG+를/JKO
구했다	구하/VV+였/EP+다/EF

그는	그/NP+는/JX
국회	국회/NNG
통과	통과/NNG
전망에	전망/NNG+에/JKB
대해	대하/VV+여/EC
"국회도	"/SS+국회/NNG+도/JX
취지에	취지/NNG+에/JKB
공감해	공감하/VV+여/EC
줄	주/VX+ㄹ/ETM
것으로	것/NNB+으로/JKB
믿는다"고	믿/VV+는다/EF+"/SS+고/JKQ
말했다	말하/VV+였/EP+다/EC

shk999@yna	shk/SL+999/SN+@/SW+yna/SL

co	co/SL

krheeva@yna	krheeva/SL+@/SW+yna/SL

co	co/SL

kr<저	kr/SL+</SS+저/MM
작	작/NNG
권	권/NNP
자(c)연	자/NP+(/SS+c/SL+)/SS+연/NNG
합	합/NNG
뉴	뉴/NNG
스	스/NNG

무	무/NNG
단	단/MM
전	전/NNG
재-재	재/NNG+-/SO+재/NNG
배	배/NNG
포	포/NNG
금	금/VV
지	짓/VV

>	>/SS
