대법원,	대법원/NNG+,/SP
없애기	없애/VV+기/ETN
위해	위하/VV+여/EC
노력하고	노력하/VV+고/EC
있다”고	있/VX+다/EC+”/VV+고/EC
말했다	말하/VV+였/EP+다/EC

특히	특히/MAG
“최근에는	“/SL+최근/NNG+에/JKB+는/JX
공판	공판/NNG
이전에	이전/NNG+에/JKB
검사가	검사/NNG+가/JKS
신빙성	신빙성/NNG
평가,	평가/NNG+,/SP
증거의	증거/NNG+의/JKG
복잡성	복잡성/NNG
확인	확인/NNG
및	및/MAG
증인과의	증인/NNG+과/JKB+의/JKG
신뢰	신뢰/NNG
구축을	구축/NNG+을/JKO
위해	위하/VV+여/EC
사전	사전/NNG
인터뷰를	인터뷰/NNG+를/JKO
하기도	하/VV+기/ETN+도/JX
한다”면서	하/VX+ㄴ다/EC+”/VV+면서/EC
“성폭력	“/SL+성폭력/NNG
범죄	범죄/NNG
기소에	기소/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
가이드라인과	가이드라인/NNG+과/JC
피해자	피해자/NNG
무고	무고/NNG
문제에	문제/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
가이드라인도	가이드라인/NNG+도/JX
마련되어	마련되/VV+어/EC
있다”고	있/VX+다/EC+”/VV+고/EC
밝혔다	밝히/VV+었/EP+다/EC

또한	또한/MAG
이	이/MM
변호사는	변호사/NNG+는/JX
연간	연간/NNG
150만명의	150/SN+만/NR+명/NNB+의/JKG
성폭력	성폭력/NNG
피해자를	피해자/NNG+를/JKO
지원하고	지원하/VV+고/EC
6,500명의	6,500/SN+명/NNB+의/JKG
자원봉사자를	자원봉사자/NNG+를/JKO
두고	두/VV+고/EC
있는	있/VX+는/ETM
영국의	영국/NNP+의/JKG
시민단체	시민단체/NNG
‘빅팀	‘/SL+빅팀/NNG
서포트(Victim	서포트/NNG+(/SS+Victim/SL
Support)’를	Support/SL+)/SS+’/SN+를/JKO
소개했다	소개하/VV+였/EP+다/EC

빅팀	빅팀/NNG
서포트는	서포트/NNP+는/JX
런던	런던/NNP
내	내/NNB
6개	6/SN+개/NNB
지부와	지부/NNG+와/JC
모든	모든/MM
법원의	법원/NNG+의/JKG
내·외부에	내/NNG+·/SP+외부/NNG+에/JKB
400개	400/SN+개/NNB
이상의	이상/NNG+의/JKG
사무소가	사무소/NNG+가/JKS
설치되어	설치되/VV+어/EC
있고	있/VX+고/EC
법무부	법무부/NNG
지원이	지원/NNG+이/JKS
예산의	예산/NNG+의/JKG
90%이상을	90/SN+%/SW+이상/NNG+을/JKO
차지한다	차지하/VV+ㄴ다/EC

이에	이/NP+에/JKB
대해	대하/VV+여/EC
이	이/MM
변호사는	변호사/NNG+는/JX
“10세	“/SL+10/SN+세/NNB
이상의	이상/NNG+의/JKG
성폭력	성폭력/NNG
피해자가	피해자/NNG+가/JKS
빅텀	빅텀/NNG
서포트를	서포트/NNG+를/JKO
방문하게	방문하/VV+게/EC
되면	되/VV+면/EC
사례평가,	사례평가/NNG+,/SP
피해자의	피해자/NNG+의/JKG
접촉,	접촉/NNG+,/SP
필요성	필요성/NNG
평가,	평가/NNG+,/SP
서비스	서비스/NNG
배분,	배분/NNG+,/SP
서비스	서비스/NNG
제공	제공/NNG
및	및/MAG
평가,	평가/NNG+,/SP
최종평가	최종평가/NNG
및	및/MAG
종료,	종료/NNG+,/SP
사후	사후/NNG
연락의	연락/NNG+의/JKG
서비스	서비스/NNG
과정을	과정/NNG+을/JKO
거친다”면서	거치/VV+ㄴ다/EC+”/VV+면서/EC
“10세	“/SL+10/SN+세/NNB
미만은	미만/NNG+은/JX
별도로	별도/NNG+로/JKB
사회복지	사회복지/NNG
서비스에서	서비스/NNG+에서/JKB
지원한다”고	지원하/VV+ㄴ다”고/EC
말했다	말하/VV+였/EP+다/EC

이후	이후/NNG
스웨덴을	스웨덴/NNP+을/JKO
다녀온	다녀오/VV+ㄴ/ETM
고려대학교	고려대학교/NNP
김정혜	김정혜/NNP
법학연구원이	법학연구원/NNG+이/JKS
‘스웨덴	‘/SN+스웨덴/NNP
법원,	법원/NNG+,/SP
검찰청,	검찰청/NNG+,/SP
법무부	법무부/NNG
범죄피해자	범죄피해자/NNG
보상지원국의	보상지원국/NNG+의/JKG
피해자	피해자/NNG
보호	보호/NNG
제도’에	제도’/NNG+에/JKB
대해	대하/VV+여/EC
소개했다	소개하/VV+였/EP+다/EC

김	김/NNP
연구원은	연구원/NNG+은/JX
“법원에는	“/SN+법원/NNG+에/JKB+는/JX
취약한	취약하/VA+ㄴ/ETM
증인을	증인/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
대기실이	대기실/NNG+이/JKS
따로	따로/MAG
마련되어	마련되/VV+어/EC
있고	있/VX+고/EC
내부에는	내부/NNG+에/JKB+는/JX
모니터가	모니터/NNG+가/JKS
설치되어	설치되/VV+어/EC
있다”며	있/VX+다/EC+”/VV+며/EC
“법정에서	“/SL+법정/NNG+에서/JKB
본인이	본인/NNG+이/JKS
증언할	증언하/VV+ㄹ/ETM
필요가	필요/NNG+가/JKS
없는	없/VA+는/ETM
경우	경우/NNG
대기실에서	대기실/NNG+에서/JKB
법정의	법정/NNG+의/JKG
상황을	상황/NNG+을/JKO
모두	모두/MAG
볼	보/VV+ㄹ/ETM
수	수/NNB
있고,	있/VA+고/EC+,/SP
법원에서는	법원/NNG+에서/JKB+는/JX
증인이	증인/NNG+이/JKS
출석한	출석하/VV+ㄴ/ETM
걸로	걸로/NNG
간주	간주/NNG
한다”고	하/VV+ㄴ다”고/EC
밝했다	밝하/VV+였/EP+다/EC

이어	이어/MAG
김	김/NNP
연구원은	연구원/NNG+은/JX
“스웨덴에서는	“/SL+스웨덴/NNP+에서/JKB+는/JX
처벌과	처벌/NNG+과/JC
배상이	배상/NNG+이/JKS
형사재판에서	형사재판/NNG+에서/JKB
한	한/MM
번에	번/NNB+에/JKB
이뤄지고	이루어지/VV+고/EC
배상을	배상/NNG+을/JKO
당연한	당연하/VA+ㄴ/ETM
권리로	권리/NNG+로/JKB
생각하고	생각하/VV+고/EC
받는다”면서	받/VV+는다/EC+”/VV+면서/EC
“배상은	“/SN+배상/NNG+은/JX
검사나	검사/NNG+나/JC
피해자의	피해자/NNG+의/JKG
변호인이	변호인/NNG+이/JKS
신청하고,	신청하/VV+고/EC+,/SP
강간죄를	강간죄/NNG+를/JKO
저지른	저지르/VV+ㄴ/ETM
범죄자는	범죄자/NNG+는/JX
피해자에게	피해자/NNG+에게/JKB
인간존엄성	인간존엄성/NNG
침해	침해/NNG
7,500유로(약	7,500/SN+유로/NNG+(/SS+약/MM
1,700만원),	1,700/SN+만/NR+원/NNB+)/SS+,/SP
정신적인	정신적/NNG+이/VCP+ㄴ/ETM
피해	피해/NNG
1,000유로(약	1,000/SN+유로/NNG+(/SS+약/MM
300만원)	300/SN+만/NR+원/NNB+)/SS
정도를	정도/NNG+를/JKO
배상	배상/NNG
한	한/MM
사례도	사례/NNG+도/JX
들었다”고	듣/VV+었/EP+다/EC+”/VV+고/EC
설명했다	설명하/VV+었/EP+다/EC

한편	한편/MAG
이번	이번/NNG
연구팀은	연구팀/NNG+은/JX
오는	오/VV+는/ETM
7월	7/SN+월/NNB
중순쯤	중순/NNG+쯤/XSN
연구	연구/NNG
결과를	결과/NNG+를/JKO
토대로	토대/NNG+로/JKB
의견	의견/NNG
수렴	수렴/NNG
공청회를	공청회/NNG+를/JKO
갖고,	갖/VV+고/EC+,/SP
7월	7/SN+월/NNB
말	말/NNB
공식적으로	공식적/NNG+으로/JKB
연구	연구/NNG
결과	결과/NNG
및	및/MAG
개발	개발/NNG
프로그램	프로그램/NNG
등을	등/NNB+을/JKO
발표할	발표하/VV+ㄹ/ETM
계획이다	계획/NNG+이/VCP+다/EC
