“여성장애인	“/SN+여/XSN+성장애/NNG+이/VCP+ㄴ/ETM
여성장애인	여성장애인/NNG
공약이행의	공약이행/NNG+의/JKG
책임성을	책임/NNG+성/XSN+을/JKO
강력히	강력히/MAG
요구할	요구하/VV+ㄹ/ETM
것”이라며	것/NNB+”/SL+이/VCP+라며/EC
“여성장애인의	“/SL+여성장애인/NNG+의/JKG
몸의	몸/NNG+의/JKG
조건과	조건/NNG+과/JC
속도를	속도/NNG+를/JKO
고려한	고려하/VV+ㄴ/ETM
여성장애인	여성장애인/NNG
참정권	참정권/NNG
확보를	확보/NNG+를/JKO
위한	위하/VV+ㄴ/ETM
운동을	운동/NNG+을/JKO
전개하고,	전개하/VV+고/EC+,/SP
여성장애인	여성장애인/NNG
정책을	정책/NNG+을/JKO
펴는	펴/VV+는/ETM
정당과	정당/NNG+과/JC
후보를	후보/NNG+를/JKO
선택함으로써	선택하/VV+ㅁ/ETN+으로써/JKB
여성장애인	여성장애인/NNG
유권자의	유권자/NNG+의/JKG
힘을	힘/NNG+을/JKO
보여줄	보이/VV+어/EC+주/VX+ㄹ/ETM
것”이라고	것/NNB+”/SL+이/VCP+라고/EC
목소리	목소리/NNG
높였다	높/VA+었/EP+다/EF

홍보대사로	홍보대사/NNG+로/JKB
활동	활동/NNG
중인	중/NNB+이/VCP+ㄴ/ETM
모델	모델/NNG
장윤주가	장윤주/NNG+가/JKS
축사를	축사/NNG+를/JKO
하고	하/VV+고/EC
있다	있/VX+다/EC

그녀는	그녀/NP+는/JX
여성장애인의	여성장애인/NNG+의/JKG
참정권이	참정권/NNG+이/JKS
보장되는	보장되/VV+는/ETM
날까지	날/NNG+까지/JX
함께하겠다고	함께하/VV+겠/EP+다고/EC
강조했다	강조하/VV+였/EP+다/EC

한국여성장애인대회	한국/NNP+여성장애인대회/NNG
홍보대사로	홍보대사/NNG+로/JKB
활동하고	활동하/VV+고/EC
있는	있/VX+는/ETM
모델	모델/NNG
장윤주는	장윤주/NNP+는/JX
“여성장애인의	“/SN+여/XSN+성장애인/NNG+의/JKG
권리가	권리/NNG+가/JKS
정책,	정책/NNG+,/SP
각	각/MM
정책의	정책/NNG+의/JKG
공약으로	공약/NNG+으로/JKB
정당·정부에	정당/NNG+·/SP+정부/NNG+에/JKB
잘	잘/MAG
전달되길	전달되/VV+기/ETN+ㄹ/JKO
바라며,	바라/VV+며/EC+,/SP
홍보대사로서	홍보대사/NNG+로서/JKB
여성장애인의	여성장애인/NNG+의/JKG
참정권이	참정권/NNG+이/JKS
보장되는	보장되/VV+는/ETM
그	그/MM
날까지	날/NNG+까지/JX
노력하겠다”고	노력하/VV+겠/EP+다/EC+”/VX+고/EC
밝혔다	밝히/VV+었/EP+다/EC

축사	축사/NNG
이후	이후/NNG
대회에	대회/NNG+에/JKB
참석한	참석하/VV+ㄴ/ETM
여성장애인들은	여성장애인/NNG+들/XSN+은/JX
여성장애인	여성장애인/NNG
유권자	유권자/NNG
1만명	1/SN+만/NR+명/NNB
권리선언문을	권리선언문/NNG+을/JKO
낭독하기도	낭독하/VV+기/ETN+도/JX
했다	하/VX+였/EP+다/EF

이들은	이/NP+들/XSN+은/JX
권리선언문을	권리선언문/NNG+을/JKO
통해	통하/VV+여/EC
법과	법/NNG+과/JC
정책결정과정에	정책결정과정/NNG+에/JKB
여성장애인	여성장애인/NNG
의견	의견/NNG
반영	반영/NNG
여성장애인	여성장애인/NNG
정책	정책/NNG
개발	개발/NNG
및	및/MAG
예산	예산/NNG
배정	배정/NNG
여성장애인	여성장애인/NNG
정책기구	정책기구/NNG
및	및/MAG
전담부서	전담부서/NNG
설치	설치/NNG
여성장애인기본법	여성장애인기본법/NNG
제정	제정/NNG
여성장애인의	여성장애인/NNG+의/JKG
장애특성과	장애특성/NNG+과/JC
몸의	몸/NNG+의/JKG
조건에	조건/NNG+에/JKB
맞는	맞/VV+는/ETM
참정권	참정권/NNG
보장	보장/NNG
투표소	투표소/NNG
접근권	접근권/NNG
보장	보장/NNG
및	및/MAG
성별·장애유형에	성별/NNG+·/SP+장애유형/NNG+에/JKB
맞는	맞/VV+는/ETM
활동보조인	활동보조/NNG+이/VCP+ㄴ/ETM
배치	배치/NNG
선거방송	선거방송/NNG
수화통역	수화통역/NNG
의무화,	의무화/NNG+,/SP
선거용	선거/NNG+용/XSN
자료	자료/NNG
점자화	점자화/NNG
등	등/NNB
총	총/MM
7가지	7/SN+가지/NNB
권리를	권리/NNG+를/JKO
내세웠다	내세우/VV+었/EP+다/EC

여장연은	여장연/NNG+은/JX
오는	오/VV+는/ETM
3일	3/SN+일/NNB
오전	오전/NNG
10시	10/SN+시/NNB
여의도	여의도/NNP
산업은행	산업은행/NNP
앞부터	앞/NNG+부터/JX
중소기업협동조합중앙회을	중소기업협동조합중앙/NNG+회/XSN+을/JKO
거쳐	거치/VV+어/EC
다시	다시/MAG
산업은행까지	산업은행/NNP+까지/JX
여성장애인의	여성장애인/NNG+의/JKG
참정권	참정권/NNG
확보를	확보/NNG+를/JKO
촉구하는	촉구하/VV+는/ETM
거리퍼레이드를	거리퍼레이드/NNG+를/JKO
벌일	벌이/VV+ㄹ/ETM
예정이다	예정/NNG+이/VCP+다/EC

대표로	대표/NNG+로/JKB
선발된	선발되/VV+ㄴ/ETM
여성장애인들이	여성장애인/NNG+들/XSN+이/JKS
'여성장애인	'/SS+여성장애인/NNG
유권자	유권자/NNG
1만명	1/SN+만/NR+명/NNB
권리선언문'을	권리선언문/NNG+'/SS+을/JKO
낭독하고	낭독하/VV+고/EC
있다	있/VX+다/EC

대회에	대회/NNG+에/JKB
참석한	참석하/VV+ㄴ/ETM
여성장애인들이	여성장애인/NNG+들/XSN+이/JKS
참정권	참정권/NNG
확보를	확보/NNG+를/JKO
위해	위하/VV+여/EC
희망을	희망/NNG+을/JKO
담은	담/VV+은/ETM
비행기를	비행기/NNG+를/JKO
날리고	날리/VV+고/EC
있다	있/VX+다/EC
