여성장애인들,	여성장애인/NNG+들/XSN+,/SP
일본정부의	일본/NNP+정부/NNG+의/JKG
진심어린	진심/NNG+어리/VV+ㄴ/ETM
사과와	사과/NNG+와/JC
배상	배상/NNG
등을	등/NNB+을/JKO
요구하며	요구하/VV+며/EC
20여년을	20/SN+여/XSN+년/NNB+을/JKO
싸워오고	싸우/VV+어/EC+오/VX+고/EC
있는	있/VX+는/ETM
일본군	일본/NNP+군/NNG
위안부	위안부/NNG
할머니들의	할머니/NNG+들/XSN+의/JKG
‘수요시위’에	‘/SN+수요시위’/NNG+에/JKB
참가해	참가하/VV+여/EC
그들의	그/NP+들/XSN+의/JKG
참된	참되/VA+ㄴ/ETM
요구와	요구/NNG+와/JC
일본군	일본/NNP+군/NNG
위안부가	위안부/NNG+가/JKS
주는	주/VV+는/ETM
의미	의미/NNG
등에	등/NNB+에/JKB
대해	대하/VV+여/EC
깨닫는	깨닫/VV+는/ETM
시간을	시간/NNG+을/JKO
만드는	만들/VV+는/ETM
것	것/NNB

일본군	일본/NNP+군/NNG
위안부는	위안부/NNG+는/JX
1930년대인	1930/SN+년대/NNB+이/VCP+ㄴ/ETM
일본	일본/NNP
제국주의	제국주의/NNG
점령기에	점령/NNG+기/XSN+에/JKB
일본에	일본/NNP+에/JKB
의해	의하/VV+여/EC
군위안소로	군위안소/NNG+로/JKB
끌려가	끌려가/VV+아/EC
성노예	성노예/NNG
생활을	생활/NNG+을/JKO
강요당한	강요/NNG+당하/XSV+ㄴ/ETM
여성들을	여성/NNG+들/XSN+을/JKO
뜻한다	뜻하/VV+ㄴ다/EF

강제로	강제/NNG+로/JKB
끌려가	끌려가/VV+아/EC
일본	일본/NNP
군인들의	군인/NNG+들/XSN+의/JKG
성	성/NNG
노예로	노예/NNG+로/JKB
인권을	인권/NNG+을/JKO
유린당했고,	유린/NNG+당하/XSV+였/EP+고/EC+,/SP
현재에도	현재/NNG+에/JKB+도/JX
육체적·정신적	육체/NNG+적/XSN+·/SP+정신적/NNG
고통으로	고통/NNG+으로/JKB
힘겨운	힘겹/VA+ㄴ/ETM
생활을	생활/NNG+을/JKO
하고	하/VV+고/EC
있다	있/VX+다/EC

한국,	한국/NNP+,/SP
일본,	일본/NNP+,/SP
중국,	중국/NNP+,/SP
필리핀,	필리핀/NNP+,/SP
인도네시아	인도네시아/NNP
등	등/NNB
여러	여러/MM
나라	나라/NNG
여성들이	여성/NNG+들/XSN+이/JKS
강제로	강제/NNG+로/JKB
동원되었으며,	동원되/VV+었/EP+으며/EC+,/SP
이중	이/MM+중/NNB
한국	한국/NNP
여성들이	여성/NNG+들/XSN+이/JKS
가장	가장/MAG
많았다	많/VA+았/EP+다/EC

한국정신대문제대책협의회에	한국정신대문제대책협의회/NNP+에/JKB
따르면	따르/VV+면/EC
현재	현재/MAG
위안부	위안부/NNG
피해를	피해/NNG+를/JKO
받았다고	받/VV+았/EP+다고/EC
밝힌	밝히/VV+ㄴ/ETM
할머니	할머니/NNG
234명	234/SN+명/NNB
중	중/NNB
61명이	61/SN+명/NNB+이/JKS
생존하고	생존하/VV+고/EC
있다	있/VX+다/EC

수요시위에	수요시위/NNG+에/JKB
참석한	참석하/VV+ㄴ/ETM
정은주	정은주/NNP
씨가	씨/NNB+가/JKS
피켓을	피켓/NNG+을/JKO
들고	들/VV+고/EC
있다	있/VX+다/EC

이날에	이날/NNG+에/JKB
수요시위에	수요시위/NNG+에/JKB
참석한	참석하/VV+ㄴ/ETM
정은주	정은주/NNP
씨는	씨/NNB+는/JX
“인간에게	“/SL+인간/NNG+에게/JKB
인간답게	인간/NNG+답/XSA+게/EC
살	살/VV+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
하는	하/VX+는/ETM
것이	것/NNB+이/JKS
인권임에도	인권/NNG+이/VCP+ㅁ에도/EC
불구하고	불구하/VV+고/EC
일본정부는	일본/NNP+정부/NNG+는/JX
많은	많/VA+은/ETM
여성들	여성/NNG+들/XSN
중	중/NNB
우리나라의	우리나라/NNG+의/JKG
여성들을	여성/NNG+들/XSN+을/JKO
위안부로	위안부/NNG+로/JKB
이용했다”며	이용하/VV+였/EP+다/EC+”/VX+며/EC
“일본정부는	“/SN+일본/NNP+정부/NNG+는/JX
과거를	과거/NNG+를/JKO
반성하고	반성하/VV+고/EC
위안부	위안부/NNG
할머니들께	할머니/NNG+들/XSN+께/JKB
사과와	사과/NNG+와/JC
피해보상을	피해보상/NNG+을/JKO
해주길	하/VV+여/EC+주/VX+기/ETN+ㄹ/JKO
바라는	바라/VV+는/ETM
마음에	마음/NNG+에/JKB
참석하게	참석하/VV+게/EC
됐다”고	되/VV+었/EP+다/EC+”/VV+고/EC
밝혔다	밝히/VV+었/EP+다/EC

정	정/NNP
씨는	씨/NNB+는/JX
“일본은	“/SN+일본/NNP+은/JX
인간으로서	인간/NNG+으로서/JKB
도저히	도저히/MAG
용납하기	용납하/VV+기/ETN
어려운	어렵/VA+ㄴ/ETM
만행을	만행/NNG+을/JKO
자행했다	자행하/VV+였/EP+다/EF

독일은	독일/NNP+은/JX
일본과	일본/NNP+과/JKB
같은	같/VA+은/ETM
만행을	만행/NNG+을/JKO
저질렀지만	저지르/VV+었/EP+지만/EC
뼈	뼈/NNG
아픈	아프/VA+ㄴ/ETM
반성과	반성/NNG+과/JC
자기	자기/NP
성찰로	성찰/NNG+로/JKB
오늘의	오늘/NNG+의/JKG
독일을	독일/NNP+을/JKO
일구어냈지만	일구어내/VV+었/EP+지만/EC
지금도	지금/NNG+도/JX
일본은	일본/NNP+은/JX
반성	반성/NNG
조차	조차/JX
하지	하/VV+지/EC
않고	않/VX+고/EC
있고	있/VX+고/EC
역사까지	역사/NNG+까지/JX
왜곡하고	왜곡하/VV+고/EC
있다”면서	있/VX+다/EC+”/VV+면서/EC
“일본정부가	“/SN+일본/NNP+정부/NNG+가/JKS
독일처럼	독일/NNP+처럼/JKB
과거를	과거/NNG+를/JKO
깊이	깊이/MAG
반성해	반성하/VV+여/EC
위안부	위안부/NNG
할머니들의	할머니/NNG+들/XSN+의/JKG
한을	한/NNG+을/JKO
풀어주길	풀/VV+어/EC+주/VX+기/ETN+ㄹ/JKO
바란다”고	바라/VV+ㄴ다/EF+”/SL+고/EC
촉구했다	촉구하/VV+였/EP+다/EC

한편	한편/MAG
이날	이날/NNG
수요집회에는	수요집회/NNG+에/JKB+는/JX
위안부를	위안부/NNG+를/JKO
경험	경험/NNG
한	하/VV+ㄴ/ETM
강일출·박옥선	강일/NNP+출/NNG+·/SP+박옥선/NNP
할머니를	할머니/NNG+를/JKO
비롯해	비롯하/VV+여/EC
한국노동조합총연맹	한국노동조합/NNG+총/XPN+연맹/NNG
및	및/MAG
한국정신대문제대책협의회	한국정신대문제대책협의회/NNP
등의	등/NNB+의/JKG
관계자가	관계자/NNG+가/JKS
참석했다	참석하/VV+였/EP+다/EC

수요시위에	수요시위/NNG+에/JKB
참석한	참석하/VV+ㄴ/ETM
여성장애인이	여성장애인/NNG+이/JKS
'일본은	'/SS+일본/NNP+은/JX
사죄하라'는	사죄하/VV+라/EF+'/SS+는/JX
구호가	구호/NNG+가/JKS
적힌	적히/VV+ㄴ/ETM
피켓을	피켓/NNG+을/JKO
높이	높이/MAG
들고	들/VV+고/EC
있다	있/VX+다/EC

수요시위에	수요시위/NNG+에/JKB
참석한	참석하/VV+ㄴ/ETM
여성장애인이	여성장애인/NNG+이/JKS
피켓을	피켓/NNG+을/JKO
들고	들/VV+고/EC
일본의	일본/NNP+의/JKG
공식	공식/NNG
사과를	사과/NNG+를/JKO
요청하고	요청하/VV+고/EC
있다	있/VX+다/EC
