2년간	2/SN+년/NNB+간/XSN
발달장애인의	발달장애인/NNG+의/JKG
경우	경우/NNG
특수교사와	특수교사/NNG+와/JC
특수교육기관	특수교육기관/NNG
부족으로	부족/NNG+으로/JKB
인해	인하/VV+여/EC
적절한	적절하/VA+ㄴ/ETM
교육을	교육/NNG+을/JKO
받기	받/VV+기/ETN
어려운	어렵/VA+ㄴ/ETM
상황이다	상황/NNG+이/VCP+다/EC

또한	또한/MAG
발달장애인이	발달장애인/NNG+이/JKS
취업하기란	취업하/VV+기/ETN+란/JX
‘하늘의	‘/SN+하늘/NNG+의/JKG
별따기’	별/NNG+따/VV+기/ETN+’/SN
인지라	인지/NNG+이/VCP+라/EC
오로지	오로지/MAG
부모에게	부모/NNG+에게/JKB
의지해	의지하/VV+여/EC
살아갈	살아가/VV+ㄹ/ETM
수	수/NNB
밖에	밖에/JX
없는	없/VA+는/ETM
현실이다	현실/NNG+이/VCP+다/EC

이후	이후/NNG
지난	지나/VV+ㄴ/ETM
5월	5/SN+월/NNB
‘균도와	‘/SN+균도/NNG+와/JKB
함께	함께/MAG
세상걷기’	세상걷기/NNG+’/SN
3탄을	3/SN+탄/NNG+을/JKO
마무리	마무리/NNG
한	하/VV+ㄴ/ETM
뒤	뒤/NNG
5개월	5/SN+개월/NNB
뒤인	뒤/NNG+이/VCP+ㄴ/ETM
10월	10/SN+월/NNB
다시	다시/MAG
이들	이/NP+들/XSN
부자는	부자/NNG+는/JX
4탄을	4/SN+탄/NNG+을/JKO
시작했다	시작하/VV+였/EP+다/EF

이들은	이/NP+들/XSN+은/JX
2달여간	2/SN+달/NNB+여간/XSN
포항,	포항/NNP+,/SP
강릉,	강릉/NNP+,/SP
춘천,	춘천/NNP+,/SP
가평	가평/NNP
등을	등/NNB+을/JKO
거쳐	거치/VV+어/EC
지난	지나/VV+ㄴ/ETM
20일	20/SN+일/NNB
서울에	서울/NNP+에/JKB
입성했다	입성하/VV+였/EP+다/EF

이들	이/NP+들/XSN
부자는	부자/NNG+는/JX
전국의	전국/NNG+의/JKG
많은	많/VA+은/ETM
장애부모들을	장애부모/NNG+들/XSN+을/JKO
만나	만나/VV+아/EC
법	법/NNG
제·개정의	제/XSN+·/SP+개정/NNG+의/JKG
필요성을	필요성/NNG+을/JKO
알리고,	알리/VV+고/EC+,/SP
언론의	언론/NNG+의/JKG
관심을	관심/NNG+을/JKO
호소하기	호소하/VV+기/ETN
위해	위하/VV+여/EC
‘균도와	‘/SL+균도/NNG+와/JKB
함께	함께/MAG
세상걷기’을	세상걷기’/NNG+을/JKO
진행해오고	진행하/VV+여/EC+오/VX+고/EC
있다	있/VX+다/EC

균도	균도/NNG
부자는	부자/NNG+는/JX
22일	22/SN+일/NNB
오전	오전/NNG
여의도	여의도/NNP
국민은행	국민은행/NNP
앞에서	앞/NNG+에서/JKB
열린	열리/VV+ㄴ/ETM
‘부산에서	‘/SN+부산/NNP+에서/JKB
출발해	출발하/VV+여/EC
강원도를	강원도/NNP+를/JKO
거쳐	거치/VV+어/EC
서울까지	서울/NNP+까지/JX
도착	도착/NNG
환영	환영/NNG
기자회견’에	기자회견/NNG+’/SL+에/JKB
참석해,	참석하/VV+여/EC+,/SP
발달장애인법	발달장애인법/NNG
원안	원안/NNG
제정과	제정/NNG+과/JC
부양의무제	부양의무제/NNG
폐지를	폐지/NNG+를/JKO
재차	재차/MAG
강조했다	강조하/VV+였/EP+다/EC

이진섭	이진섭/NNP
씨는	씨/NNB+는/JX
“우리나라에는	“/SN+우리나라/NNG+에/JKB+는/JX
발달장애인들을	발달장애인/NNG+들/XSN+을/JKO
위한	위하/VV+ㄴ/ETM
서비스와	서비스/NNG+와/JC
지원체계가	지원체계/NNG+가/JKS
사실상	사실상/NNG
전무하다”며	전무하/VV+다/EC+”/VV+며/EC
“단순히	“단순히/MAG
서비스를	서비스/NNG+를/JKO
제공하는	제공하/VV+는/ETM
것	것/NNB
이외에	이외/NNG+에/JKB
어떤	어떤/MM
서비스를	서비스/NNG+를/JKO
원하는지,	원하/VV+는지/EC+,/SP
잘	잘/MAG
제공되고	제공되/VV+고/EC
있는지,	있/VX+는지/EC+,/SP
또	또/MAG
다른	다른/MM
서비스가	서비스/NNG+가/JKS
필요한지를	필요하/VA+ㄴ지/EC+를/JKO
종합적으로	종합적/NNG+으로/JKB
파악하는	파악하/VV+는/ETM
체계가	체계/NNG+가/JKS
마련되어야	마련되/VV+어야/EC
하나,	하/VX+나/EC+,/SP
우리나라는	우리나라/NNG+는/JX
그나마	그나마/MAG
일부	일부/NNG
존재하는	존재하/VV+는/ETM
서비스	서비스/NNG
조차도	조차/NNG+도/JX
각종	각종/NNG
심사를	심사/NNG+를/JKO
거쳐	거치/VV+어/EC
선별적으로	선별적/NNG+으로/JKB
제공하고	제공하/VV+고/EC
있다”고	있/VX+다/EC+”/VV+고/EC
지적했다	지적하/VV+였/EP+다/EF

또한	또한/MAG
이씨는	이/NNP+씨/NNB+는/JX
“부모가	“/SN+부모/NNG+가/JKS
있는	있/VA+는/ETM
발달장애인들은	발달장애인/NNG+들/XSN+은/JX
아무런	아무런/MM
소득이	소득/NNG+이/JKS
없더라도	없/VA+더라도/EC
국민기초생활보장법의	국민기초생활보장법/NNG+의/JKG
수급자가	수급자/NNG+가/JKC
될	되/VV+ㄹ/ETM
수	수/NNB
없다”면서	없/VA+다”면서/EC
“정부가	“/SL+정부/NNG+가/JKS
부모를	부모/NNG+를/JKO
부양의무자로	부양의무자/NNG+로/JKB
간주하고	간주하/VV+고/EC
부모에게	부모/NNG+에게/JKB
부양에	부양/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
책임을	책임/NNG+을/JKO
떠	뜨/VV+어/EC
넘겼다	넘기/VV+었/EP+다/EC

이러한	이러하/VA+ㄴ/ETM
부양의무자	부양의무자/NNG
기준은	기준/NNG+은/JX
발달장애인뿐만	발달장애/NNG+이/VCP+ㄴ/ETM+뿐/NNB+만/JX
아니라	아니/VCN+라/EC
전체	전체/NNG
국민들	국민/NNG+들/XSN
중	중/NNB
저소득층	저소득층/NNG
모두를	모두/NNG+를/JKO
향해	향하/VV+여/EC
‘복지를	‘/SN+복지/NNG+를/JKO
받으려면	받/VV+으려면/EC
가족관계를	가족관계/NNG+를/JKO
파괴하라’고	파괴하/VV+라/EC+’/SL+고/EC
요구하는	요구하/VV+는/ETM
것”이라고	것/NNB+”/SL+이/VCP+라고/EC
비판했다	비판하/VV+였/EP+다/EF

이씨는	이/NNP+씨/NNB+는/JX
“발달장애인법	“/SN+발달장애인법/NNG
원안	원안/NNG
제정과	제정/NNG+과/JC
부양의무제	부양의무제/NNG
폐지를	폐지/NNG+를/JKO
통해	통하/VV+여/EC
장애인도	장애인/NNG+도/JX
인간답게	인간/NNG+답/XSA+게/EC
살아갈	살아가/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
세상을	세상/NNG+을/JKO
만들고,	만들/VV+고/EC+,/SP
발달장애인	발달장애인/NNG
균도가	균도/NNG+가/JKS
행복하게	행복하/VA+게/EC
살아갈	살아가/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
세상을	세상/NNG+을/JKO
위해	위하/VV+여/EC
우리는	우리/NP+는/JX
계속	계속/MAG
걷겠다”고	걷/VV+겠/EP+다”고/EC
다짐했다	다짐하/VV+었/EP+다/EC

'균도부자	'/SS+균도부자/NNG
서울	서울/NNP
도착	도착/NNG
환영	환영/NNG
기자회견'에	기자회견/NNG+'/SS+에/JKB
참석한	참석하/VV+ㄴ/ETM
장애단체	장애단체/NNG
관계자들	관계자/NNG+들/XSN
