"장애	"/SS+장애/NNG
정도가	정도/NNG+가/JKS
각기	각기/MAG
다르다는	다르/VA+다는/ETM
것을	것/NNB+을/JKO
파악할	파악하/VV+ㄹ/ETM
수	수/NNB
있었다”면서	있/VA+었/EP+다/EC+”/VV+면서/EC
“각	“/SL+각/NNG
장애	장애/NNG
특성을	특성/NNG+을/JKO
고려하지	고려하/VV+지/EC
않은	않/VX+은/ETM
채	채/NNB
가족지원을	가족지원/NNG+을/JKO
같은	같/VA+은/ETM
수준으로	수준/NNG+으로/JKB
지원한다고	지원하/VV+ㄴ다고/EC
할	하/VV+ㄹ/ETM
때	때/NNG
효율성은	효율/NNG+성/XSN+은/JX
떨어질	떨어지/VV+ㄹ/ETM
수	수/NNB
밖에	밖에/JX
없을	없/VA+을/ETM
것이다	것/NNB+이/VCP+다/EC

결국	결국/NNG
이용자들의	이용자/NNG+들/XSN+의/JKG
만족도는	만족도/NNG+는/JX
떨어지고	떨어지/VV+고/EC
성과도	성과/NNG+도/JX
낮아진다”고	낮/VA+아/EC+지/VX+ㄴ다”고/EC
지적했다	지적하/VV+였/EP+다/EF

이어	이어/MAG
“장애인	“/SN+장애인/NNG
가족의	가족/NNG+의/JKG
장애	장애/NNG
특성을	특성/NNG+을/JKO
고려한	고려하/VV+ㄴ/ETM
영유아	영유아/NNG
자녀양육	자녀양육/NNG
지원방안의	지원방안/NNG+의/JKG
마련이	마련/NNG+이/JKS
절실하다”며	절실하/VA+다/EC+”/VX+며/EC
“복합적인	“/SN+복합적/NNG+이/VCP+ㄴ/ETM
욕구를	욕구/NNG+를/JKO
가진	가지/VV+ㄴ/ETM
장애인가족에	장애인가족/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
양육지원을	양육지원/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
포괄적이며	포괄적/NNG+이/VCP+며/EC
통합된	통합되/VV+ㄴ/ETM
방안의	방안/NNG+의/JKG
모색이	모색/NNG+이/JKS
시급하다”고	시급하/VA+다/EC+”/SN+고/EC
주장했다	주장하/VV+였/EP+다/EC

한편	한편/MAG
김	김/NNP
부장은	부장/NNG+은/JX
“연구결과	“/SN+연구결과/NNG
사회통합	사회통합/NNG
프로그램이나	프로그램/NNG+이나/JC
가족상담,	가족상담/NNG+,/SP
주간보호프로그램,	주간보호프로그램/NNG+,/SP
가정	가정/NNG
내·외	내/NNB+·/SP+외/NNB
휴식지원	휴식지원/NNG
등의	등/NNB+의/JKG
서비스	서비스/NNG
이용률이	이용률/NNG+이/JKS
타	타/MM
서비스에	서비스/NNG+에/JKB
비해	비하/VV+여/EC
높지	높/VA+지/EC
않았는데	않/VX+았/EP+는데/EC
정보부족과	정보부족/NNG+과/JC
신청방법을	신청방법/NNG+을/JKO
몰라서	모르/VV+아서/EC
였다”면서	이/VCP+었/EP+다”면서/EC
“대상자에게	“/SL+대상자/NNG+에게/JKB
지원되는	지원/NNG+되/XSV+는/ETM
서비스	서비스/NNG
홍보	홍보/NNG
및	및/MAG
정보제공이	정보제공/NNG+이/JKS
시급하다”고	시급하/VA+다/EC+”/SN+고/EC
주문했다	주문하/VV+였/EP+다/EF
