성인대상	성인대상/NNG
양형위는	양/MM+형위/NNG+는/JX
이에	이/NP+에/JKB
앞서	앞서/VV+어/EC
지난	지나/VV+ㄴ/ETM
1월	1/SN+월/NNB
제39차	제/XPN+39/SN+차/NNB
전체회의에서	전체회의/NNG+에서/JKB
13세	13/SN+세/NNB
미만	미만/NNG
아동	아동/NNG
대상	대상/NNG
성범죄에	성범죄/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
양형기준을	양형기준/NNG+을/JKO
대폭	대폭/MAG
강화하고	강화하/VV+고/EC
장애인	장애인/NNG
대상	대상/NNG
성범죄에	성범죄/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
양형기준을	양형기준/NNG+을/JKO
새로	새로/MAG
만들었다	만들/VV+었/EP+다/EC

양형위는	양형위/NNG+는/JX
성인	성인/NNG
대상	대상/NNG
성범죄	성범죄/NNG
양형기준을	양형기준/NNG+을/JKO
2009년	2009/SN+년/NNB
7월	7/SN+월/NNB
이후	이후/NNG
그대로	그대로/MAG
유지해왔다	유지하/VV+여/EC+오/VX+았/EP+다/EF

이기수	이기수/NNP
양형위원장은	양형위원장/NNG+은/JX
"국민	"/SS+국민/NNG
눈높이에	눈높이/NNG+에/JKB
맞는	맞/VV+는/ETM
양형기준을	양형기준/NNG+을/JKO
만들기	만들/VV+기/ETN
위해	위하/VV+여/EC
최근	최근/NNG
국민적	국민적/NNG
관심사가	관심사/NNG+가/JKC
되고	되/VV+고/EC
있는	있/VX+는/ETM
성범죄	성범죄/NNG
양형기준의	양형기준/NNG+의/JKG
추가	추가/NNG
개정을	개정/NNG+을/JKO
검토하겠다"고	검토하/VV+겠/EP+다/EF+"/SS+고/JKQ
밝혔다	밝히/VV+었/EP+다/EC

pdhis959@yna	pdhis/SL+959/SN+@/SW+yna/SL

co	co/SL

kr<저	kr/SL+</SS+저/MM
작	작/NNG
권	권/NNP
자(c)연	자/NP+(/SS+c/SL+)/SS+연/NNG
합	합/NNG
뉴	뉴/NNG
스	스/NNG

무	무/NNG
단	단/MM
전	전/NNG
재-재	재/NNG+-/SO+재/NNG
배	배/NNG
포	포/NNG
금	금/VV
지	짓/VV

>	>/SS
