장애여성	장애여성/NNG
장애의	장애/NNG+의/JKG
종류가	종류/NNG+가/JKS
다르고,	다르/VA+고/EC+,/SP
장애유형이나	장애유형/NNG+이나/JC
정도에	정도/NNG+에/JKB
따라	따르/VV+아/EC
치료	치료/NNG
및	및/MAG
교육	교육/NNG
프로그램이	프로그램/NNG+이/JKS
알맞게	알맞/VA+게/EC
제공되어야	제공되/VV+어야/EC
하고	하/VX+고/EC
상담	상담/NNG
인력의	인력/NNG+의/JKG
지식과	지식/NNG+과/JC
전문성도	전문/NNG+성/XSN+도/JX
매우	매우/MAG
중요하다”면서	중요하/VA+다/EC+”/VV+면서/EC
“여성장애인은	“/SN+여/XSN+성장애인/NNG+은/JX
‘여성’과	‘/SN+여성/NNG+’/SL+과/JC
‘장애’라는	‘/SL+장애/NNG+’/SL+이/VCP+라는/ETM
어려움이	어려움/NNG+이/JKS
있는	있/VA+는/ETM
약자인	약자/NNG+이/VCP+ㄴ/ETM
만큼	만큼/NNB
장애	장애/NNG
유형별,	유형/NNG+별/XSN+,/SP
종류별	종류별/NNG
상담과	상담/NNG+과/JC
치료	치료/NNG
인력을	인력/NNG+을/JKO
확보하고	확보하/VV+고/EC
보호시설과	보호시설/NNG+과/JC
성폭력	성폭력/NNG
상담소를	상담소/NNG+를/JKO
확대해야	확대하/VV+여야/EC
할	하/VX+ㄹ/ETM
것”이라고	것/NNB+”/SL+이/VCP+라고/EC
주문했다	주문하/VV+였/EP+다/EF
