'상해보험'	'/SS+상해보험/NNG+'/SS
보험사가	보험/NNG+사/XSN+가/JKS
보험가입을	보험가입/NNG+을/JKO
매우	매우/MAG
꺼려하기	꺼리/VV+어/EC+하/VX+기/ETN
때문에	때문/NNB+에/JKB
지인을	지인/NNG+을/JKO
통해서만	통하/VV+여서/EC+만/JX
가입이	가입/NNG+이/JKS
이뤄지고	이루어지/VV+고/EC
있으며,	있/VX+으며/EC+,/SP
이에	이/NP+에/JKB
따른	따르/VV+ㄴ/ETM
가입혜택도	가입혜택/NNG+도/JX
상해시	상해시/NNP
최대	최대/NNG
200만원,	200/SN+만/NR+원/NNB+,/SP
사망	사망/NNG
시	시/NNG
최대	최대/NNG
2000만원	2000/SN+만/NR+원/NNB
정도로	정도/NNG+로/JKB
제약을	제약/NNG+을/JKO
받고	받/VV+고/EC
있는	있/VX+는/ETM
현실이라고	현실/NNG+이/VCP+라고/EC
덧붙였다	덧붙이/VV+었/EP+다/EF

이	이/MM
의원은	의원/NNG+은/JX
“장애와	“/SL+장애/NNG+와/JC
보험사고	보험사고/NNG
발생	발생/NNG
가능성	가능성/NNG
간의	간/NNB+의/JKG
상관관계에	상관관계/NNG+에/JKB
대해	대하/VV+여/EC
합리적인	합리적/NNG+이/VCP+ㄴ/ETM
근거가	근거/NNG+가/JKS
없음에도	없/VA+음/ETN+에/JKB+도/JX
불구하고	불구하/VV+고/EC
단지	단지/MAG
장애가	장애/NNG+가/JKS
있다는	있/VA+다는/ETM
이유만으로	이유/NNG+만/JX+으로/JKB
비장애인에	비장애인/NNG+에/JKB
비해	비하/VV+여/EC
보험	보험/NNG
상품에	상품/NNG+에/JKB
차별을	차별/NNG+을/JKO
두는	두/VV+는/ETM
건	것/NNB+ㄴ/JX
명백한	명백하/VA+ㄴ/ETM
위법”이라면서	위법/NNG+”/SL+이/VCP+라면서/EC
“장애인선수	“/SL+장애인선수/NNG
상해	상하/VV+여/EC
시	시/NNB
원활한	원활하/VA+ㄴ/ETM
치료가	치료/NNG+가/JKS
이뤄질	이루어지/VV+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
보장금액	보장금액/NNG
확대가	확대/NNG+가/JKS
필요하다”고	필요하/VA+다”고/EC
지적했다	지적하/VV+였/EP+다/EF

이어	이어/MAG
"장애인	"/SS+장애인/NNG
선수의	선수/NNG+의/JKG
특성을	특성/NNG+을/JKO
고려한	고려하/VV+ㄴ/ETM
보험가입	보험가입/NNG
심사	심사/NNG
및	및/MAG
기준을	기준/NNG+을/JKO
만들어	만들/VV+어/EC
적용될	적용되/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
보험제도	보험제도/NNG
개선도	개선/NNG+도/JX
함께	함께/MAG
이뤄져야한다"고	이루어지/VV+어야/EC+하/VX+ㄴ다/EF+"/SS+고/JKQ
강조했다	강조하/VV+였/EP+다/EC
