씁쓸한	씁쓸하/VA+ㄴ/ETM
‘없다’다	‘없/VA+다/EC+’/VV+다/EF

지난해	지난해/NNG
장애예술인을	장애예술인/NNG+을/JKO
대상으로	대상/NNG+으로/JKB
실태조사	실태조사/NNG
중	중/NNB
비예술활동	비예술활동/NNG
수입을	수입/NNG+을/JKO
포함한	포함하/VV+ㄴ/ETM
월수입이	월수입/NNG+이/JKS
90	90/SN

6만원으로	6/SN+만/NR+원/NNB+으로/JKB
낮은	낮/VA+은/ETM
수준이며,	수준/NNG+이/VCP+며/EC+,/SP
100만원	100/SN+만/NR+원/NNB
미만이	미만/NNG+이/JKS
64	64/SN

2%로	2/SN+%/SW+로/JKB
가장	가장/MAG
높아	높/VA+아/EC
열악한	열악하/VA+ㄴ/ETM
수입구조와	수입구조/NNG+와/JKB
특히	특히/MAG
정책에서	정책/NNG+에서/JKB
등한시	등한시/NNG
되고	되/VV+고/EC
있는	있/VX+는/ETM
사각지대로	사각지대/NNG+로/JKB
꼽히고	꼽히/VV+고/EC
있다	있/VX+다/EC

이에	이/NP+에/JKB
최근	최근/NNG
발간된	발간되/VV+ㄴ/ETM
‘한국장애인예술백서’에서는	‘/SL+한국장애인예술백서/NNP+’/SL+에서/JKB+는/JX
열악한	열악하/VA+ㄴ/ETM
한국장애예술인들의	한국장애예술인/NNP+들/XSN+의/JKG
현주소를	현주소/NNG+를/JKO
소개하고,	소개하/VV+고/EC+,/SP
발전해나가야	발전하/VV+여/EC+나가/VX+아야/EC
하는	하/VX+는/ETM
방향성을	방향성/NNG+을/JKO
제시하고	제시하/VV+고/EC
있다	있/VX+다/EC

‘한국장애인예술백서’	‘/SL+한국장애인예술백서/NNP+’/SN
속	속/NNG
장애예술인들의	장애예술인/NNG+들/XSN+의/JKG
삶의	삶/NNG+의/JKG
질을	질/NNG+을/JKO
향상시키기	향상/NNG+시키/XSV+기/ETN
위해,	위하/VV+여/EC+,/SP
장애인예술정책을	장애인예술정책/NNG+을/JKO
세우기	세우/VV+기/ETN
위해서는	위하/VV+여서/EC+는/JX
어떻게	어떻/VA+게/EC
접근해야	접근하/VV+여야/EC
하는지	하/VX+는지/EC
정리해본다	정리하/VV+여/EC+보/VX+ㄴ다/EF

■법도,	■/SW+법도/NNG+,/SP
실태조사도	실태조사/NNG+도/JX
‘빈약’=현재	‘/SL+빈약/NNG+’/SL+=/SW+현재/MAG
장애예술인을	장애예술인/NNG+을/JKO
지원할	지원하/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
독립된	독립되/VV+ㄴ/ETM
법률이	법률/NNG+이/JKS
존재하지	존재하/VV+지/EC
않는다	않/VX+는다/EF

문화예술진흥법	문화예술진흥법/NNG
제18조에	제/XPN+18/SN+조/NNB+에/JKB
장애인	장애인/NNG
등	등/NNB
소외	소외/NNG
계층의	계층/NNG+의/JKG
문화예술	문화예술/NNG
창작과	창작/NNG+과/JC
보급에	보급/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
문화예술진흥기금	문화예술진흥기금/NNG
지원을	지원/NNG+을/JKO
규정하고	규정하/VV+고/EC
있지만,	있/VX+지만/EC+,/SP
그것이	그것/NP+이/JKS
장애인	장애인/NNG
예술을	예술/NNG+을/JKO
활성화시킬	활성화/NNG+시키/XSV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
힘을	힘/NNG+을/JKO
발휘하지	발휘하/VV+지/EC
못하고	못하/VX+고/EC
있는	있/VX+는/ETM
것이	것/NNB+이/JKS
현실	현실/NNG

실태	실태/NNG
또한	또한/MAG
빈약하기	빈약하/VA+기/ETN
그지없다	그지없/VA+다/EC

장애인예술인	장애인예술인/NNG
실태조사는	실태조사/NNG+는/JX
지난	지나/VV+ㄴ/ETM
2005년부터	2005/SN+년/NNB+부터/JX
네차례에	네차례/NNG+에/JKB
걸쳐	걸치/VV+어/EC
시행됐지만	시행되/VV+었/EP+지만/EC
장애예술인이란	장애예술인/NNG+이/VCP+란/ETM
집단의	집단/NNG+의/JKG
정의가	정의/NNG+가/JKS
명확하지	명확하/VA+지/EC
않은	않/VX+은/ETM
상태에서	상태/NNG+에서/JKB
작은	작/VA+은/ETM
규모로	규모/NNG+로/JKB
실시됐기	실시되/VV+었/EP+기/ETN
때문에	때문/NNB+에/JKB
장애예술인의	장애예술인/NNG+의/JKG
실태를	실태/NNG+를/JKO
파악하는데	파악하/VV+는데/EC
한계가	한계/NNG+가/JKS
있고	있/VA+고/EC
실질적인	실질적/NNG+이/VCP+ㄴ/ETM
욕구를	욕구/NNG+를/JKO
담아내지	담아내/VV+지/EC
못했다	못하/VX+였/EP+다/EC

그저	그저/MAG
장애예술인들은	장애예술인/NNG+들/XSN+은/JX
창작	창작/NNG
활동을	활동/NNG+을/JKO
통해	통하/VV+여/EC
생활을	생활/NNG+을/JKO
영위하지	영위하/VV+지/EC
못해	못하/VX+여/EC
경제적인	경제적/NNG+이/VCP+ㄴ/ETM
지원을	지원/NNG+을/JKO
원하고	원하/VV+고/EC
있다는	있/VX+다는/ETM
것	것/NNB
정도만	정도/NNG+만/JX
알	알/VV+ㄹ/ETM
수	수/NNB
있다	있/VA+다/EF

■국회도	■/SW+국회/NNG+도/JX
정부도	정부/NNG+도/JX
‘무관심’=장애인	‘/SN+무관심/NNG+’/SL+=/SW+장애인/NNG
비례대표로	비례대표/NNG+로/JKB
국회의원을	국회의원/NNG+을/JKO
배출하기	배출하/VV+기/ETN
시작한	시작하/VV+ㄴ/ETM
것이	것/NNB+이/JKS
17대부터다	17/SN+대/NNB+부터다/JX

17대	17/SN+대/NNG
국회에는	국회/NNG+에/JKB+는/JX
2명,	2/SN+명/NNB+,/SP
18대	18/SN+대/NNB
국회에는	국회/NNG+에/JKB+는/JX
4명의	4/SN+명/NNB+의/JKG
장애인이	장애인/NNG+이/JKS
국회에	국회/NNG+에/JKB
입성했지만,	입성하/VV+였/EP+지만/EC+,/SP
장애인예술에	장애인예술/NNG+에/JKB
관심을	관심/NNG+을/JKO
갖고	갖/VV+고/EC
장애인	장애인/NNG
예술을	예술/NNG+을/JKO
발전시킨	발전/NNG+시키/XSV+ㄴ/ETM
국회의원은	국회의원/NNG+은/JX
민주당	민주당/NNP
손봉숙	손봉숙/NNP
의원과	의원/NNG+과/JC
18대	18/SN+대/NNB
한나라당	한나라당/NNP
이정현	이정현/NNP
의원	의원/NNG
뿐이다	뿐/JX+이/VCP+다/EC

문화사업	문화사업/NNG
또한	또한/MAG
빈약하기	빈약하/VA+기/ETN
짝이	짝/NNG+이/JKS
없다	없/VA+다/EC

문화체육관광부에서	문화체육관광부/NNG+에서/JKB
실시하고	실시하/VV+고/EC
있는	있/VX+는/ETM
장애인문화예술사업은	장애인문화예술사업/NNG+은/JX
총	총/MM
17가지지만,	17/SN+가지/NNB+지만/EC+,/SP
이중	이/MM+중/NNB
예술과	예술/NNG+과/JKB
관련한	관련하/VV+ㄴ/ETM
사업은	사업/NNG+은/JX
장애인문화예술	장애인문화예술/NNG
향수사업,	향수사업/NNG+,/SP
장애인문화예술축제,	장애인문화예술축제/NNG+,/SP
장애인문화예술교육	장애인문화예술교육/NNG
프로그램	프로그램/NNG
3개	3/SN+개/NNB
뿐이다	뿐/JX+이/VCP+다/EC

따라서	따라서/MAJ
장애인문화예술	장애인문화예술/NNG
예산이	예산/NNG+이/JKS
106억원이라고	106/SN+억/NR+원/NNB+이/VCP+라고/EC
해도	하/VV+여도/EC
예술로	예술/NNG+로/JKB
사용되는	사용되/VV+는/ETM
예산은	예산/NNG+은/JX
40억원에	40/SN+억/NR+원/NNB+에/JKB
지나지	지나/VV+지/EC
않아,	않/VX+아/EC+,/SP
장애인체육	장애인체육/NNG
예산의	예산/NNG+의/JKG
10분의	10/SN+분/XSN+의/JKG
1	1/SN
밖에	밖/NNG+에/JKB
되지	되/VV+지/EC
않는	않/VX+는/ETM
상황이다	상황/NNG+이/VCP+다/EC

■공익적	■/SW+공익적/NNG
차원	차원/NNG
출연	출연/NNG
필요=그렇다면	필요/NNG+=/SW+그렇/VA+다면/EC
장애인예술을	장애인예술/NNG+을/JKO
안정적으로	안정적/NNG+으로/JKB
확산시키기	확산/NNG+시키/XSV+기/ETN
위해서는	위하/VV+여서/EC+는/JX
어떻게	어떻/VA+게/EC
해야할까?	하/VV+여야/EC+하/VX+ㄹ까/EF+?/SF
먼저	먼저/MAG
공익적	공익/NNG+적/XSN
차원의	차원/NNG+의/JKG
공연에서	공연/NNG+에서/JKB
장애예술인을	장애예술인/NNG+을/JKO
일정	일정/NNG
비율	비율/NNG
출연시키고,	출연/NNG+시키/XSV+고/EC+,/SP
문학이나	문학/NNG+이나/JC
미술작품도	미술작품/NNG+도/JX
비율을	비율/NNG+을/JKO
정해서	정하/VV+여서/EC
공공기관에서	공공기관/NNG+에서/JKB
구입하는	구입하/VV+는/ETM
것을	것/NNB+을/JKO
장애인예술	장애인예술/NNG
공공	공공/NNG
쿼터제도가	쿼터제도/NNG+가/JKS
실시돼야	실시되/VV+어야/EC
한다	하/VX+ㄴ다/EF

미술	미술/NNG
작품의	작품/NNG+의/JKG
경우,	경우/NNG+,/SP
새로	새로/MAG
건립되는	건립되/VV+는/ETM
공공	공공/NNG
건물을	건물/NNG+을/JKO
장식할	장식하/VV+ㄹ/ETM
때는	때/NNG+는/JX
장애인	장애인/NNG
작품도	작품/NNG+도/JX
함께	함께/MAG
들어가도록	들어가/VV+도록/EC
한다면	하/VX+ㄴ다면/EC
장애인	장애인/NNG
미술은	미술/NNG+은/JX
획기적으로	획기적/NNG+으로/JKB
발전할	발전하/VV+ㄹ/ETM
수	수/NNB
있다	있/VA+다/EC

또한	또한/MAG
장애인체육	장애인체육/NNG
선수들이	선수/NNG+들/XSN+이/JKS
올림픽에	올림픽/NNG+에/JKB
출전해	출전하/VV+여/EC
연금을	연금/NNG+을/JKO
받는	받/VV+는/ETM
것처럼	것/NNB+처럼/JKB
장애인창작지원금	장애인창작지원금/NNG
제도를	제도/NNG+를/JKO
마련해	마련하/VV+여/EC
예술	예술/NNG
경력이	경력/NNG+이/JKS
일정	일정/NNG
기준에	기준/NNG+에/JKB
도달하고	도달하/VV+고/EC
활동을	활동/NNG+을/JKO
열심히하고	열심히하/VV+고/EC
있는	있/VX+는/ETM
장애예술인들을	장애예술인/NNG+들/XSN+을/JKO
대상으로	대상/NNG+으로/JKB
창작	창작/NNG
활동을	활동/NNG+을/JKO
지원해야	지원하/VV+여야/EC
한다	하/VX+ㄴ다/EF

■한류사업에	■/SW+한류사업/NNG+에/JKB
포함해	포함하/VV+여/EC
‘붐’	‘붐/SN+’/SL
일으켜야=중국장애예술단처럼	일으키/VV+어야/EC+=/SW+중국장애예술단/NNP+처럼/JKB
국립장애인예술단을	국립장애인예술단/NNG+을/JKO
창단해야	창단하/VV+여야/EC
한다	하/VX+ㄴ다/EF

국내는	국내/NNG+는/JX
물론	물론/MAG
세계	세계/NNG
곳곳으로	곳곳/NNG+으로/JKB
공연을	공연/NNG+을/JKO
다닌다면	다니/VV+ㄴ다면/EC
국립장애인예술단을	국립장애인예술단/NNP+을/JKO
통해	통하/VV+여/EC
새로운	새롭/VA+ㄴ/ETM
한류	한류/NNG
열품을	열품/NNG+을/JKO
이어갈	잇/VV+어/EC+가/VX+ㄹ/ETM
수	수/NNB
있을	있/VA+을/ETM
것이다	것/NNB+이/VCP+다/EC

국립장애인예술단이	국립장애인예술단/NNP+이/JKS
성공하면	성공하/VV+면/EC
시립장애인예술단,	시립장애인예술단/NNG+,/SP
구립장애인예술단이	구립장애인예술단/NNG+이/JKS
만들어져서	만들/VV+어/EC+지/VX+어서/EC
장애예술인	장애예술인/NNG
단원들이	단원/NNG+들/XSN+이/JKS
정기적으로	정기적/NNG+으로/JKB
공연을	공연/NNG+을/JKO
하며	하/VV+며/EC
급여를	급여/NNG+를/JKO
받을	받/VV+을/ETM
수	수/NNB
있도록	있/VA+도록/EC
해야한다	하/VX+여야/EC+하/VX+ㄴ다/EF

이를	이/NP+를/JKO
위해서는	위하/VV+여서/EC+는/JX
장애예술인	장애예술/NNG+이/VCP+ㄴ/ETM
지원법률	지원법률/NNG
제정이	제정/NNG+이/JKS
필요하다	필요하/VA+다/EC

사업	사업/NNG
수행을	수행/NNG+을/JKO
할	하/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
주체가	주체/NNG+가/JKS
필요하기	필요하/VA+기/ETN
때문에	때문/NNB+에/JKB
공공기관으로	공공기관/NNG+으로/JKB
한국장애예술지원재단을	한국장애예술지원재단/NNP+을/JKO
설립해야	설립하/VV+여야/EC
한다	하/VX+ㄴ다/EF

만약	만약/NNG
장애예술인을	장애예술인/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
별도의	별도/NNG+의/JKG
독립	독립/NNG
법률이	법률/NNG+이/JKS
제정된다는	제정되/VV+ㄴ다는/ETM
것이	것/NNB+이/JKS
쉽지	쉽/VA+지/EC
않다면	않/VX+다면/EC
문화예술진흥법에	문화예술진흥법/NNG+에/JKB
재단	재단/NNG
설립의	설립/NNG+의/JKG
근거를	근거/NNG+를/JKO
마련해야	마련하/VV+여야/EC
한다	하/VX+ㄴ다/EF

■장애인문화체육과	■/SW+장애인문화체육/NNG+과/JC
분리=장애인예술이	분리/NNG+=/SW+장애인예술/NNG+이/JKS
예술로서의	예술/NNG+로서/JKB+의/JKG
전문성을	전문/NNG+성/XSN+을/JKO
갖고	갖/VV+고/EC
발전하기	발전하/VV+기/ETN
위해서는	위하/VV+여서/EC+는/JX
문화체육관광부	문화체육관광부/NNG
장애인문화체육과를	장애인문화체육과/NNG+를/JKO
체육에서	체육/NNG+에서/JKB
문화예술을	문화예술/NNG+을/JKO
분리시켜	분리/NNG+시키/XSV+어/EC
장애인예술과를	장애인예술과/NNG+를/JKO
설치해야	설치하/VV+여야/EC
한다	하/VX+ㄴ다/EF

장애인의	장애인/NNG+의/JKG
특성	특성/NNG
때문에	때문/NNB+에/JKB
장애인문화예술이	장애인문화예술/NNG+이/JKS
현재는	현재/NNG+는/JX
체육국에	체육국/NNG+에/JKB
속해	속하/VV+여/EC
있지만	있/VX+지만/EC
앞으로는	앞/NNG+으로/JKB+는/JX
예술의	예술/NNG+의/JKG
특성을	특성/NNG+을/JKO
살려서	살리/VV+어서/EC
장애인문화예술과가	장애인문화예술과/NNG+가/JKS
문화예술국에	문화예술국/NNG+에/JKB
마련돼야	마련되/VV+어야/EC
한다	하/VX+ㄴ다/EF

그동안	그동안/NNG
장애인	장애인/NNG
문제는	문제/NNG+는/JX
오로지	오로지/MAG
보건복지부에서만	보건복지부/NNG+에서/JKB+만/JX
하는	하/VV+는/ETM
일로	일/NNG+로/JKB
인식되고	인식되/VV+고/EC
있었는데	있/VX+었/EP+는데/EC
장애인체육	장애인체육/NNG
업무가	업무/NNG+가/JKS
2005년	2005/SN+년/NNB
보건복지부에서	보건복지부/NNG+에서/JKB
문화체육관광부로	문화체육관광부/NNG+로/JKB
이관되면서	이관되/VV+면서/EC
장애인체육이	장애인체육/NNG+이/JKS
활기를	활기/NNG+를/JKO
띄기	띄/VV+기/ETN
시작했듯이	시작하/VV+였/EP+듯이/EC
앞으로	앞/NNG+으로/JKB
장애인예술도	장애인예술/NNG+도/JX
문화체육관광부에서	문화체육관광부/NNG+에서/JKB
더	더/MAG
중요한	중요하/VA+ㄴ/ETM
업적을	업적/NNG+을/JKO
남길	남기/VV+ㄹ/ETM
것으로	것/NNB+으로/JKB
기대한다	기대하/VV+ㄴ다/EF
