“우리부부	“/SL+우리/NP+부부/NNG
신혼여행은	신혼여행/NNG+은/JX
꿈도	꿈/NNG+도/JX
못꾸고	못꾸/VV+고/EC
살았죠	살/VV+았/EP+죠/EF

일가친척들하고	일가친척/NNG+들/XSN+하/XSV+고/EC
연락을	연락/NNG+을/JKO
끊고	끊/VV+고/EC
지내니까	지내/VV+니까/EC
세상에	세상/NNG+에/JKB
의지할	의지하/VV+ㄹ/ETM
곳이	곳/NNG+이/JKS
우리	우리/NP
둘	두/VV+ㄹ/ETM
뿐이라	뿐/NNB+이/VCP+라/EC
정말	정말/MAG
외로웠습니다	외롭/VA+었/EP+습니다/EF

”힘든	”/SN+힘들/VA+ㄴ/ETM
상황이였지만	상황/NNG+이/VCP+였/EP+지만/EC
같이	같이/MAG
살기	살/VV+기/ETN
시작한	시작하/VV+ㄴ/ETM
후	후/NNG
연년생으로	연년생/NNG+으로/JKB
아이둘을	아이둘/NNG+을/JKO
낳아	낳/VV+아/EC
열심히	열심히/MAG
키웠다고	키우/VV+었/EP+다고/EC

원예예술촌에서	원예예술촌/NNP+에서/JKB
식사인	식사/NNG+이/VCP+ㄴ/ETM
김성규씨	김성규/NNP+씨/NNB
부부	부부/NNG

ⓒ초록여행	ⓒ/SL+초록/NNP+여행/NNG
“제가	“/SN+제/NNB+가/JKS
이렇게	이렇/VA+게/EC
장애를	장애/NNG+를/JKO
갖고	갖/VV+고/EC
있어도	있/VX+어도/EC
회사에서	회사/NNG+에서/JKB
일을	일/NNG+을/JKO
열심히	열심히/MAG
하고	하/VV+고/EC
있었어요	있/VA+었/EP+어요/EF

근데	근데/MAJ
작업장이	작업장/NNG+이/JKS
하도	하도/MAG
열악하다	열악하/VA+다/EC
보니까	보/VX+니까/EC
그대로	그대로/MAG
쓰러져서	쓰러지/VV+어서/EC
죽기	죽/VV+기/ETN
직전까지	직전/NNG+까지/JX
갔었죠	가/VV+았었/EP+죠/EF

그때	그때/NNG
아내가	아내/NNG+가/JKS
옆에서	옆/NNG+에서/JKB
지켜주지	지키/VV+어/EC+주/VX+지/EC
않았으면	않/VX+았/EP+으면/EC
큰일	큰일/NNG
날	날/NNG
뻔했어요”김씨는	뻔하/VA+었/EP+어오/EF+”/SL+김/NNP+씨/NNB+는/JX
아내의	아내/NNG+의/JKG
헌신적인	헌신적/NNG+이/VCP+ㄴ/ETM
내조로	내조/NNG+로/JKB
정신을	정신/NNG+을/JKO
차렸지만	차리/VV+었/EP+지만/EC
결국	결국/NNG
호흡기가	호흡기/NNG+가/JKS
문제가	문제/NNG+가/JKC
되서	되/VV+서/EC
잘	자/VV+ㄹ/ETM
때는	때/NNG+는/JX
기계가	기계/NNG+가/JKS
없으면	없/VA+으면/EC
잠을	잠/NNG+을/JKO
이루지	이루/VV+지/EC
못한다	못하/VX+ㄴ다/EF

“이제는	“/SL+이제/NNG+는/JX
호흡기	호흡기/NNG
1급장애까지	1/SN+급장애/NNP+까지/JX
갖게되고,	갖/VV+게/EC+되/VV+고/EC+,/SP
직장을	직장/NNG+을/JKO
잃어서	잃/VV+어서/EC
수급자까지	수급자/NNG+까지/JX
되었어요	되/VV+었/EP+어요/EC

아내는	아내/NNG+는/JX
집안살림과	집안살림/NNG+과/JC
아이들	아이/NNG+들/XSN
양육만으로	양육/NNG+만/JX+으로/JKB
힘들었을텐데	힘들/VA+었/EP+을/EC+텐/VCP+데/EC
남편까지도	남편/NNG+까지도/JX
신경	신경/NNG
쓰느라	쓰/VV+느라/EC
많이	많이/MAG
힘들었을	힘들/VA+었/EP+을/ETM
거예요	것/NNB+이/VCP+에요/EC

그동안	그동안/NNG
쉴	쉬/VV+ㄹ/ETM
시간도	시간/NNG+도/JX
없이	없이/MAG
일	일/VV
해온	하/VV+여/EC+오/VX+ㄴ/ETM
아내를	아내/NNG+를/JKO
위해	위하/VV+여/EC
여기저기	여기저기/NNG
여행을	여행/NNG+을/JKO
신청했지만	신청하/VV+였/EP+지만/EC
중증장애로	중증장애/NNG+로/JKB
인해	인하/VV+여/EC
아무데서도	아무/MM+데/NNB+서/JKB+도/JX
선정이	선정/NNG+이/JKC
되지	되/VV+지/EC
않아	않/VX+아/EC
이번이	이번/NNG+이/JKS
마지막이라는	마지막/NNG+이/VCP+라는/ETM
생각으로	생각/NNG+으로/JKB
신청을	신청/NNG+을/JKO
했죠”김씨는	하/VV+였/EP+죠/EC+”/SL+김/NNP+씨/NNB+는/JX
이번여행에	이번여행/NNG+에/JKB
선정이	선정/NNG+이/JKC
된	되/VV+ㄴ/ETM
게	것/NNB+이/JKS
너무	너무/MAG
꿈만	꿈/NNG+만/JX
같다	같/VA+다/EC

또한	또한/MAG
스쿠터를	스쿠터/NNG+를/JKO
타고	타/VV+고/EC
여행	여행/NNG
다니고,	다니/VV+고/EC+,/SP
음식점이나	음식점/NNG+이나/JC
관광지도	관광지도/NNG
스쿠터가	스쿠터/NNG+가/JKS
갈	가/VV+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
되어있어	되/VV+어/EC+있/VX+어/EC
정말로	정말로/MAG
꿈만	꿈/NNG+만/JX
같은	같/VA+은/ETM
일이	일/NNG+이/JKS
일어	일/VV+어/EC
난	나/VX+ㄴ/ETM
것	것/NNB
같다며	같/VA+다며/EC
웃음지었다	웃음짓/VV+었/EP+다/EF

동백섬	동백섬/NNP
APEC	APEC/SL
센터	센터/NNG
앞에서	앞/NNG+에서/JKB
단체사진	단체사진/NNG

ⓒ초록여행	ⓒ/SN+초록/NNP+여행/NNG
부부는	부부/NNG+는/JX
이번	이번/NNG
여행으로	여행/NNG+으로/JKB
소원이였던	소원/NNG+이/VCP+였/EP+던/ETM
신혼여행의	신혼여행/NNG+의/JKG
꿈을	꿈/NNG+을/JKO
이루게	이루/VV+게/EC
되었다	되/VV+었/EP+다/EC

여행의	여행/NNG+의/JKG
기회를	기회/NNG+를/JKO
마련해준	마련하/VV+여/EC+주/VX+ㄴ/ETM
기아자동차와	기아자동차/NNP+와/JC
에이블복지재단에	에이블복지재단/NNP+에/JKB
감사의	감사/NNG+의/JKG
말을	말/NNG+을/JKO
아끼지	아끼/VV+지/EC
않았다	않/VX+았/EP+다/EF

또한	또한/MAG
앞으로도	앞/NNG+으로/JKB+도/JX
여행을	여행/NNG+을/JKO
가기	가/VV+기/ETN
힘든	힘들/VA+ㄴ/ETM
장애인들을	장애인/NNG+들/XSN+을/JKO
위한	위하/VV+ㄴ/ETM
많은	많/VA+은/ETM
기회들이	기회/NNG+들/XSN+이/JKS
생기길	생기/VV+기/ETN+ㄹ/JKO
바란다는	바라/VV+ㄴ다는/ETM
말을	말/NNG+을/JKO
전했다	전하/VV+었/EP+다/EC

“정말	“/SN+정말/MAG
감사합니다	감사하/VV+ㅂ니다/EF

17년만에	17/SN+년만/NNB+에/JKB
처음으로	처음/NNG+으로/JKB
아내와	아내/NNG+와/JC
신혼여행을	신혼여행/NNG+을/JKO
오네요	오네요/VV

우리와	우리/NP+와/JKB
같은	같/VA+은/ETM
상황의	상황/NNG+의/JKG
부부들이	부부/NNG+들/XSN+이/JKS
정말	정말/MAG
많은데	많/VA+은/ETM+데/NNB
이렇게	이렇/VA+게/EC
장애인	장애인/NNG
부부들	부부/NNG+들/XSN
또는	또는/MAG
장애인	장애인/NNG
가족들을	가족/NNG+들/XSN+을/JKO
위한	위하/VV+ㄴ/ETM
여행이	여행/NNG+이/JKS
많아졌으면	많아지/VV+었/EP+으면/EC
해요	해요/NNG

이번에는	이번/NNG+에/JKB+는/JX
운좋게	운/NNG+좋/VA+게/EC
여행을	여행/NNG+을/JKO
왔지만	오/VV+았/EP+지만/EC
다른	다른/MM
부부들에게도	부부들/NNP+에게/JKB+도/JX
많은	많/VA+은/ETM
기회가	기회/NNG+가/JKS
생겼으면	생기/VV+었/EP+으면/EC
좋겠습니다	좋/VA+겠/EP+습니다/EF

저희는	저희/NP+는/JX
이번	이번/NNG
여행으로	여행/NNG+으로/JKB
다시	다시/MAG
신혼으로	신혼/NNG+으로/JKB
돌아가서	돌아가/VV+아서/EC
열심히	열심히/MAG
한번	한/MM+번/NNB
살아	살/VV+아/EC
볼렵니다”부부는	볼렵/VA+니다/EC+”/SN+부부/NNG+는/JX
마지막	마지막/NNG
일정인	일정/NNG+이/VCP+ㄴ/ETM
원예예술촌에서	원예예술촌/NNP+에서/JKB
다정하게	다정하/VA+게/EC
산책을	산책/NNG+을/JKO
하며	하/VV+며/EC
여행을	여행/NNG+을/JKO
마무리	마무리/NNG
했다	하/VV+였/EP+다/EC

*이	*/SW+이/MM
글은	글/NNG+은/JX
에이블복지재단	에이블복지재단/NNP
주혜진	주혜진/NNP
팀장이	팀장/NNG+이/JKS
보내주신	보내/VV+어/EC+주/VX+시/EP+ㄴ/ETM
기고문입니다	기고문/NNG+이/VCP+ㅂ니다/EF

에이블뉴스에	에이블뉴스/NNP+에/JKB
기고를	기고/NNG+를/JKO
실으려면	싣/VV+으려면/EC
회원	회원/NNG
가입을	가입/NNG+을/JKO
하고,	하/VV+고/EC+,/SP
편집국(02-792-7785)으로	편집국/NNG+(/SS+02/SN+-/SO+792/SN+-/SO+7785/SN+)/SS+으로/JKB
전화연락을	전화연락/NNG+을/JKO
주시면	주시/VV+면/EC
됩니다	되/VV+ㅂ니다/EF
