“엄마,	“/SN+엄마/NNG+,/SP
집중력이	집중력/NNG+이/JKS
돋보였다	돋보이/VV+었/EP+다/EF

2엔드까지	2/SN+엔드/NNB+까지/JX
2대0으로	2/SN+대/NNB+0/SN+으로/JKB
앞서던	앞서/VV+던/ETM
최예진은	최예진/NNP+은/JX
3엔드에서	3/SN+엔드/NNB+에서/JKB
정호원에게	정호원/NNP+에게/JKB
3점을	3/SN+점/NNB+을/JKO
내주며	내주/VV+며/EC
역전을	역전/NNG+을/JKO
당했다	당하/VV+였/EP+다/EC

자칫	자칫/MAG
분위기를	분위기/NNG+를/JKO
내줘	내주/VV+어/EF
역전패를	역전패/NNG+를/JKO
당할	당하/VV+ㄹ/ETM
위기에	위기/NNG+에/JKB
놓였던	놓이/VV+었/EP+던/ETM
최예진은	최예진/NNP+은/JX
4엔드에서	4/SN+엔드/NNB+에서/JKB
무서운	무섭/VA+ㄴ/ETM
집중력을	집중력/NNG+을/JKO
선보이며	선보이/VV+며/EC
2점을	2/SN+점/NNB+을/JKO
획득,	획득/NNG+,/SP
재역전극을	재역전극/NNG+을/JKO
펼치며	펼치/VV+며/EC
금메달을	금메달/NNG+을/JKO
획득한	획득하/VV+ㄴ/ETM
것이다	것/NNB+이/VCP+다/EC

최예진의	최예진/NNP+의/JKG
뒤에는	뒤/NNG+에/JKB+는/JX
어머니인	어머니/NNG+이/VCP+ㄴ/ETM
트레이너	트레이너/NNG
문우영이	문우영/NNG+이/JKS
있었다	있/VA+었/EP+다/EF

문우영	문우영/NNP
트레이너는	트레이너/NNG+는/JX
패럴림픽	패럴림픽/NNG
전	전/NNG
“예진이가	“예진/NNG+이/JKV+가/JKS
금메달을	금메달/NNG+을/JKO
획득해	획득하/VV+여/EC
여자선수가	여자선수/NNG+가/JKS
개인전	개인전/NNG
우승하는	우승하/VV+는/ETM
역사를	역사/NNG+를/JKO
만들	만들/VV+ㄹ/ETM
것”이라며	것/NNB+”/SL+이/VCP+라며/EC
각오를	각오/NNG+를/JKO
밝힌	밝히/VV+ㄴ/ETM
바	바/NNB
있다	있/VA+다/EC

어머니의	어머니/NNG+의/JKG
바람이	바람/NNG+이/JKS
그대로	그대로/MAG
이뤄진	이루어지/VV+ㄴ/ETM
것이다	것/NNB+이/VCP+다/EC

최예진도	최예진/NNP+도/JX
대회	대회/NNG
전	전/MM
각오를	각오/NNG+를/JKO
통해	통하/VV+여/EC
“보치아	“/SN+보치/VV+아/EC
BC3에서	BC/SL+3/SN+에서/JKB
여자선수	여자선수/NNG
최초의	최초/NNG+의/JKG
메달을	메달/NNG+을/JKO
획득할	획득하/VV+ㄹ/ETM
것”이라고	것/NNB+”/SL+이/VCP+라고/EC
강한	강하/VA+ㄴ/ETM
자신감을	자신감/NNG+을/JKO
내비친	내비치/VV+ㄴ/ETM
바	바/NNB
있다	있/VA+다/EC

이날	이날/NNG
은메달을	은메달/NNG+을/JKO
획득한	획득하/VV+ㄴ/ETM
정호원은	정호원/NNP+은/JX
베이징에서	베이징/NNP+에서/JKB
못	못/MAG
이룬	이루/VV+ㄴ/ETM
개인전	개인전/NNG
금메달에	금메달/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
집념이	집념/NNG+이/JKS
컸지만,	크/VA+었/EP+지만/EC+,/SP
은메달에	은메달/NNG+에/JKB
만족해야	만족하/VA+여야/EC
했다	하/VX+였/EP+다/EC

경기운영	경기운영/NNG
능력,	능력/NNG+,/SP
밀어치기,	밀어치/VV+기/ETN+,/SP
쳐내기	치/VV+어/EC+내/VX+기/ETN
등	등/NNB
보치아	보치아/NNP
기술을	기술/NNG+을/JKO
집대성한	집대성하/VV+ㄴ/ETM
선수라고	선수/NNG+이/VCP+라고/EC
평가받는	평가/NNG+받/VV+는/ETM
정호원은	정호원/NNP+은/JX
런던에서	런던/NNP+에서/JKB
반드시	반드시/MAG
2관왕에	2/SN+관왕/NNG+에/JKB
오르고,	오르/VV+고/EC+,/SP
베이징	베이징/NNP
페어종목	페어종목/NNP
금에	금/NNG+에/JKB
이어	잇/VV+어/EC
2연속	2/SN+연속/NNG
금메달을	금메달/NNG+을/JKO
획득하는	획득하/VV+는/ETM
것이	것/NNB+이/JKS
목표라고	목표/NNG+이/VCP+라고/EC
밝힌바	밝히/VV+ㄴ/ETM+바/NNB
있다	있/VA+다/EF

세계대회	세계대회/NNG
개인전에서	개인전/NNG+에서/JKB
항상	항상/MAG
최고의	최고/NNG+의/JKG
성적을	성적/NNG+을/JKO
냈던	내/VV+었/EP+던/ETM
그는	그/NP+는/JX
패럴림픽	패럴림픽/NNG
개인전에서	개인전/NNG+에서/JKB
금과의	금과/NNG+의/JKG
인연은	인연/NNG+은/JX
다시	다시/MAG
차기	차기/NNG
대회로	대회/NNG+로/JKB
미루게	미루/VV+게/EC
됐다	되/VV+었/EP+다/EC

하지만,	하지만/MAJ+,/SP
팀의	팀/NNG+의/JKG
정신적	정신적/NNG
지주로	지주/NNG+로/JKB
결승전에서	결승전/NNG+에서/JKB
명승부와	명승부/NNG+와/JC
파이팅	파이팅/NNG
넘치는	넘치/VV+는/ETM
플레이를	플레이/NNG+를/JKO
선보이며	선보이/VV+며/EC
소중한	소중하/VA+ㄴ/ETM
은메달을	은메달/NNG+을/JKO
획득한	획득하/VV+ㄴ/ETM
정호원은	정호원/NNP+은/JX
보치아	보치아/NNP
세계최고의	세계최고/NNG+의/JKG
플레이어라고	플레이어/NNG+이/VCP+라고/EC
평가받아	평가/NNG+받/VV+아/EC
마땅하다	마땅하/VA+다/EC

한편,	한편/NNG+,/SP
이날	이날/NNG
보치아BC2	보치아/NNP+BC/SL+2/SN
동메달	동메달/NNG
결정전에서	결정전/NNG+에서/JKB
정소영은	정소영/NNP+은/JX
중국의	중국/NNP+의/JKG
종카이를	종카이/NNG+를/JKO
5-1로	5/SN+-/SO+1/SN+로/JKB
완파하고	완파하/VV+고/EC
소중한	소중하/VA+ㄴ/ETM
동메달을	동메달/NNG+을/JKO
목에	목/NNG+에/JKB
걸었다	걷/VV+었/EP+다/EF

반면,	반면/NNG+,/SP
BC3	BC/SL+3/SN
개인전	개인전/NNG
동메달	동메달/NNG
결정전에서	결정전/NNG+에서/JKB
김한수는	김한수/NNP+는/JX
포르투칼의	포르투칼/NNP+의/JKG
마케도에게	마케도/NNP+에게/JKB
2대3으로	2/SN+대/NNB+3/SN+으로/JKB
석패해	석패하/VV+여/EC
동메달	동메달/NNG
획득에	획득/NNG+에/JKB
실패했다	실패하/VV+였/EP+다/EC

*이	*/SW+이/MM
기사는	기사/NNG+는/JX
2012런던장애인올림픽	2012/SN+런던/NNP+장애인올림픽/NNG
장애인·복지언론	장애인/NNG+·/SP+복지언론/NNG
공동취재단	공동취재/NNG+단/XSN
소속	소속/NNG
이신형	이신형/NNG
기자가	기자/NNG+가/JKS
작성한	작성하/VV+ㄴ/ETM
기사입니다	기사/NNG+이/VCP+ㅂ니다/EF

공동취재단은	공동취재/NNG+단/XSN+은/JX
복지연합신문,	복지연합신문/NNG+,/SP
에이블뉴스,	에이블뉴스/NNP+,/SP
장애인복지신문,	장애인복지신문/NNG+,/SP
장애인생활신문,	장애인생활신문/NNG+,/SP
장애인신문으로	장애인신문/NNG+으로/JKB
구성되어	구성되/VV+어/EC
있습니다	있/VX+습니다/EF
