올림픽·패럴림픽	올림픽/NNG+·/SP+패럴림픽/NNG
있다	있/VX+다/EC

더욱	더욱/MAG
고무적인	고무적/NNG+이/VCP+ㄴ/ETM
사실은	사실/NNG+은/JX
학생,	학생/NNG+,/SP
군인	군인/NNG
등	등/NNB
동원된	동원되/VV+ㄴ/ETM
관중이	관중/NNG+이/JKS
아닌	아니/VCN+ㄴ/ETM
가족단위	가족단위/NNG
나들이객들로	나들이객/NNG+들/XSN+로/JKB
경기자체와	경기자체/NNG+와/JC
대회분위기를	대회분위기/NNG+를/JKO
즐기는	즐기/VV+는/ETM
관중들이	관중/NNG+들/XSN+이/JKS
대다수라는	대다수/NNG+이/VCP+라는/ETM
것이다	것/NNB+이/VCP+다/EC

대회	대회/NNG
3일차인	3/SN+일차/NNB+이/VCP+ㄴ/ETM
지난	지나/VV+ㄴ/ETM
1일	1/SN+일/NNB
300만번째	300/SN+만/NR+번째/NNB
입장을	입장/NNG+을/JKO
기록한	기록하/VV+ㄴ/ETM
루시풀러(12세	루시풀러/NNP+(/SS+12/SN+세/NNB
여)양은	여/XSN+)/SS+양/NNB+은/JX
런던	런던/NNP
패럴림픽	패럴림픽/NNG
공식홈페이지에	공식홈페이지/NNG+에/JKB
“400m	“/SL+400/SN+m/SL
여자	여자/NNG
자유형에	자유형/NNG+에/JKB
출전하는	출전하/VV+는/ETM
엘레	엘레/NNP
시몬스(영국)를	시몬스/NNP+(/SS+영국/NNP+)/SS+를/JKO
응원하기	응원하/VV+기/ETN
위해	위하/VV+여/EC
경기장을	경기장/NNG+을/JKO
찾았는데	찾/VV+았/EP+는데/EC
뜻밖의	뜻밖/NNG+의/JKG
선물을	선물/NNG+을/JKO
얻었다”	얻/VV+었/EP+다”/EC
며	며/EC
“이번	“이번/NNG
휴가의	휴가/NNG+의/JKG
최고의	최고/NNG+의/JKG
선물로	선물/NNG+로/JKB
평생	평생/NNG
잊지	잊/VV+지/EC
못할	못하/VX+ㄹ/ETM
추억을	추억/NNG+을/JKO
만들고	만들/VV+고/EC
간다”고	가/VV+ㄴ다”고/EC
전했다	전하/VV+었/EP+다/EC

300만	300/SN+만/NR
번째	번째/NNB
관중인	관중/NNG+이/VCP+ㄴ/ETM
루시풀러양은	루시풀러양/NNP+은/JX
런던패럴림픽	런던/NNP+패럴림픽/NNG
기념품과	기념품/NNG+과/JC
마스코트,	마스코트/NNG+,/SP
서적	서적/NNG
등	등/NNB
다양한	다양하/VA+ㄴ/ETM
선물을	선물/NNG+을/JKO
받았고,	받/VV+았/EP+고/EC+,/SP
자신이	자신/NNG+이/JKS
응원한	응원하/VV+ㄴ/ETM
엘레	엘레/NNP
시몬스가	시몬스/NNP+가/JKS
금메달을	금메달/NNG+을/JKO
획득하는	획득하/VV+는/ETM
보너스까지	보너스/NNG+까지/JX
얻어	얻/VV+어/EC
큰	크/VA+ㄴ/ETM
기쁨을	기쁨/NNG+을/JKO
맛봤다	맛보/VV+았/EP+다/EF

이러한	이러하/VA+ㄴ/ETM
관심에	관심/NNG+에/JKB
힘입어	힘입/VV+어/EC
패럴림픽	패럴림픽/NNG
참가	참가/NNG
선수들은	선수/NNG+들/XSN+은/JX
연일	연일/NNG
신기록을	신기록/NNG+을/JKO
쏟아내고	쏟/VV+아/EC+내/VX+고/EC
있다	있/VX+다/EC

대회	대회/NNG
첫날인	첫날/NNG+이/VCP+ㄴ/ETM
30일	30/SN+일/NNB
여자수영	여자수영/NNG
100m	100/SN+m/SL
배영	배영/NNG
S6에서	S/SL+6/SN+에서/JKB
중국의	중국/NNP+의/JKG
류당	류당/NNG
선수가	선수/NNG+가/JKS
첫	첫/MM
번째	번째/NNB
세계신기록을	세계신기록/NNG+을/JKO
내며	내/VV+며/EC
육상과	육상/NNG+과/JC
수영	수영/NNG
등에서	등/NNB+에서/JKB
무더기	무더기/NNG
세계신기록을	세계신기록/NNG+을/JKO
갈아치우며	갈/VV+아/EC+치우/VX+며/EC
9일	9/SN+일/NNB
현재	현재/MAG
세계신기록만	세계신기록/NNG+만/JX
280개가	280/SN+개/NNB+가/JKS
갱신됐다	갱신되/VV+었/EP+다/EF

메인스타디움	메인스타디움/NNG
오토복	오토/NNG+복/XSN
공학센터에서	공학센터/NNG+에서/JKB
만난	만나/VV+ㄴ/ETM
에인즈	에인즈/NNP
파월씨	파월/NNP+씨/NNB
가족은	가족/NNG+은/JX
“장애인	“/SL+장애인/NNG
스포츠에	스포츠/NNG+에/JKB
대해	대하/VV+여/EC
잘	잘/MAG
모르지만,	모르/VV+지만/EC+,/SP
이번	이번/NNG
기회에	기회/NNG+에/JKB
가족과	가족/NNG+과/JKB
함께	함께/MAG
알아가기	알아가/VV+기/ETN
위해	위하/VV+여/EC
왔다”며	오/VX+았/EP+다/EC+”/VX+며/EC
“모든	“/SL+모든/MM
경기가	경기/NNG+가/JKS
감동적이었고,	감동적/NNG+이/VCP+었/EP+고/EC+,/SP
아이들에게	아이/NNG+들/XSN+에게/JKB
좋은	좋/VA+은/ETM
추억거리를	추억/NNG+거리/NNB+를/JKO
준	주/VV+ㄴ/ETM
것	것/NNB
같아	같/VA+아/EC
만족스럽다”고	만족스럽/VA+다”고/EC
말했다	말하/VV+였/EP+다/EC

관중들이	관중/NNG+들/XSN+이/JKS
경기장을	경기장/NNG+을/JKO
찾는	찾/VV+는/ETM
이유로	이유/NNG+로/JKB
런던	런던/NNP
교외에	교외/NNG+에/JKB
공원처럼	공원/NNG+처럼/JKB
자리	자리/NNG
잡고	잡/VV+고/EC
있는	있/VX+는/ETM
테마가	테마/NNG+가/JKS
있는	있/VA+는/ETM
환경과	환경/NNG+과/JC
장애인스포츠	장애인스포츠/NNG
체험관,	체험관/NNG+,/SP
공학체험관,	공학체험관/NNG+,/SP
테마파크	테마파크/NNG
조성	조성/NNG
등	등/NNB
경기	경기/NNG
외적으로	외적/NNG+으로/JKB
즐길	즐기/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
분위기가	분위기/NNG+가/JKS
잘	잘/MAG
조성된	조성되/VV+ㄴ/ETM
것을	것/NNB+을/JKO
꼽고	꼽/VV+고/EC
있다	있/VX+다/EC

각	각/MM
경기장	경기장/NNG
앞에	앞/NNG+에/JKB
체험관에는	체험관/NNG+에/JKB+는/JX
작은	작/VA+은/ETM
공간을	공간/NNG+을/JKO
마련해	마련하/VV+여/EC
가족과	가족/NNG+과/JC
연인	연인/NNG
등이	등/NNB+이/JKS
장애인	장애인/NNG
스포츠를	스포츠/NNG+를/JKO
체험하며	체험하/VV+며/EC
이해할	이해하/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
환경을	환경/NNG+을/JKO
조성했고,	조성하/VV+였/EP+고/EC+,/SP
휴식공간과	휴식공간/NNG+과/JC
놀이공간을	놀이공간/NNG+을/JKO
통해	통하/VV+여/EC
도심생활에	도심생활/NNG+에/JKB
지친	지치/VV+ㄴ/ETM
시민들을	시민/NNG+들/XSN+을/JKO
스타디움으로	스타디움/NNG+으로/JKB
향하도록	향하/VV+도록/EC
유혹하고	유혹하/VV+고/EC
있는	있/VX+는/ETM
것이다	것/NNB+이/VCP+다/EC

하지만,	하지만/MAJ+,/SP
무엇보다	무엇/NP+보다/JKB
가장	가장/MAG
큰	크/VA+ㄴ/ETM
이유는	이유/NNG+는/JX
장애를	장애/NNG+를/JKO
개성으로	개성/NNG+으로/JKB
인정하고,	인정하/VV+고/EC+,/SP
그들을	그/NP+들/XSN+을/JKO
존중하며	존중하/VV+며/EC
그네들의	그네/NP+들/XSN+의/JKG
눈높이에	눈높이/NNG+에/JKB
맞춰	맞추/VV+어/EC
바라보는	바라보/VV+는/ETM
그들의	그/NP+들/XSN+의/JKG
장애인에	장애인/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
인식이	인식/NNG+이/JKC
아닌가	아니/VCN+ㄴ가/EC
생각해본다	생각하/VV+여/EC+보/VX+ㄴ다/EF

*이	*/SW+이/MM
기사는	기사/NNG+는/JX
2012런던장애인올림픽	2012/SN+런던/NNP+장애인올림픽/NNG
장애인·복지언론	장애인/NNG+·/SP+복지언론/NNG
공동취재단	공동취재/NNG+단/XSN
소속	소속/NNG
이신형	이신형/NNG
기자가	기자/NNG+가/JKS
작성한	작성하/VV+ㄴ/ETM
기사입니다	기사/NNG+이/VCP+ㅂ니다/EF

공동취재단은	공동취재/NNG+단/XSN+은/JX
복지연합신문,	복지연합신문/NNG+,/SP
에이블뉴스,	에이블뉴스/NNP+,/SP
장애인복지신문,	장애인복지신문/NNG+,/SP
장애인생활신문,	장애인생활신문/NNG+,/SP
장애인신문으로	장애인신문/NNG+으로/JKB
구성되어	구성되/VV+어/EC
있습니다	있/VX+습니다/EF
