“나에게	“/SL+나/NP+에게/JKB
좋겠다	좋/VA+겠/EP+다/EC

또한	또한/MAG
좋은	좋/VA+은/ETM
작품,	작품/NNG+,/SP
생각	생각/NNG
거리들이	거리/NNG+들/XSN+이/JKS
가득한	가득하/VA+ㄴ/ETM
제주DPI장애인인권영화제에	제주/NNP+DPI/SL+장애인인권영화제/NNG+에/JKB
참석해	참석하/VV+여/EC
장애,	장애/NNG+,/SP
비장애가	비장애/NNG+가/JKC
아닌	아니/VCN+ㄴ/ETM
더불어	더불/VV+어/EC
살아가는	살아가/VV+는/ETM
우리들이	우리/NP+들/XSN+이/JKS
서로	서로/MAG
소통하고	소통하/VV+고/EC
이해하고	이해하/VV+고/EC
공감하는	공감하/VV+는/ETM
장이	장/NNG+이/JKC
되길	되/VV+기/ETN+ㄹ/JKO
바란다	바라/VV+ㄴ다/EF

‘제13회	‘/SN+제/XPN+13/SN+회/NNB
제주장애인인권영화제는	제주/NNP+장애인인권영화제/NNG+는/JX
14일부터~16일까지	14/SN+일/NNB+부터/JX+~/SO+16/SN+일/NNB+까지/JX
제주영상미디어센터에서	제주영상미디어센터/NNP+에서/JKB
개최되며,	개최되/VV+며/EC+,/SP
총	총/MM
24편의	24/SN+편/NNB+의/JKG
다양한	다양하/VA+ㄴ/ETM
영상이	영상/NNG+이/JKS
상영된다	상영되/VV+ㄴ다/EF

자세한	자세하/VA+ㄴ/ETM
사항은	사항/NNG+은/JX
제주DPI(064-757-9897)로	제주/NNP+DPI/SL+(/SS+064/SN+-/SO+757/SN+-/SO+9897/SN+)/SS+로/JKB
문의하면	문의하/VV+면/EC
된다	되/VV+ㄴ다/EF

*이글은	*/SW+이글/NNP+은/JX
‘제13회	‘/SN+제/XPN+13/SN+회/NNB
제주장애인인권영화제’	제주/NNP+장애인인권영화제/NNG+’/SN
최은주	최은주/NNP
집행위원이	집행위원/NNG+이/JKS
보내왔습니다	보내오/VV+았/EP+습니다/EF
