‘금	‘/SN+금/NNG
양궁의	양궁/NNG+의/JKG
이화숙	이화숙/NNP
선수가	선수/NNG+가/JKS
4일	4/SN+일/NNB
런던	런던/NNP
왕립포병대대	왕립포병대대/NNG
양궁경기장에서	양궁경기장/NNG+에서/JKB
열린	열리/VV+ㄴ/ETM
여자	여자/NNG
개인	개인/NNG
리커브	리커브/NNP
스탠딩	스탠딩/NNG
결선에서	결선/NNG+에서/JKB
슈팅하고	슈팅하/VV+고/EC
있다	있/VX+다/EC

이화숙	이화숙/NNP
선수와	선수/NNG+와/JC
중국의	중국/NNP+의/JKG
얀휘리엔	얀휘리/NNG+에/JKB+ㄴ/JX
선수가	선수/NNG+가/JKS
서로를	서로/NNG+를/JKO
껴안으며	껴안/VV+으며/EC
격려하고	격려하/VV+고/EC
있다	있/VX+다/EC

여자	여자/NNG
개인	개인/NNG
리커브	리커브/NNP
스탠딩	스탠딩/NNG
결선에서	결선/NNG+에서/JKB
은메달을	은메달/NNG+을/JKO
차지한	차지하/VV+ㄴ/ETM
이화숙	이화숙/NNP
선수가	선수/NNG+가/JKS
메달을	메달/NNG+을/JKO
목에	목/NNG+에/JKB
걸고	걸/VV+고/EC
환한	환하/VA+ㄴ/ETM
미소를	미소/NNG+를/JKO
짓고	짓/VV+고/EC
있다	있/VX+다/EC

여자	여자/NNG
개인	개인/NNG
리커브	리커브/NNP
스탠딩	스탠딩/NNG
결선에서	결선/NNG+에서/JKB
은메달을	은메달/NNG+을/JKO
차지한	차지하/VV+ㄴ/ETM
이화숙	이화숙/NNP
선수가	선수/NNG+가/JKS
금메달을	금메달/NNG+을/JKO
차지한	차지하/VV+ㄴ/ETM
중극의	중극/NNG+의/JKG
얀휘리엔	얀휘리/NNG+에/JKB+ㄴ/JX
선수(사진	선수/NNG+(/SS+사진/NNG
가운데)와	가운데/NNG+)/SS+와/JKB
함께	함께/MAG
기뻐하고	기뻐하/VV+고/EC
있다	있/VX+다/EC

이화숙	이화숙/NNP
선수가	선수/NNG+가/JKS
은메달을	은메달/NNG+을/JKO
목에	목/NNG+에/JKB
걸고	걸/VV+고/EC
응원해준	응원하/VV+여/EC+주/VX+ㄴ/ETM
응원단들과	응원단/NNG+들/XSN+과/JKB
함께	함께/MAG
기념촬영을	기념촬영/NNG+을/JKO
하고	하/VV+고/EC
있다	있/VX+다/EC

여자	여자/NNG
자유형	자유/NNG+형/XSN
50m	50/SN+m/SL
S7예선에	S/SL+7/SN+예선/NNG+에/JKB
출전한	출전하/VV+ㄴ/ETM
수영의	수영/NNG+의/JKG
김지은	김지은/NNP
선수	선수/NNG

아쉽게도	아쉽/VA+게/EC+도/JX
36초25를	36/SN+초/NNB+25/SN+를/JKO
기록하며	기록하/VV+며/EC
조	조/NNG
5위에	5/SN+위/NNB+에/JKB
머물렀다	머무르/VV+었/EP+다/EC

여자	여자/NNG
자유형	자유/NNG+형/XSN
50m	50/SN+m/SL
S7예선에	S/SL+7/SN+예선/NNG+에/JKB
출전한	출전하/VV+ㄴ/ETM
수영의	수영/NNG+의/JKG
김지은	김지은/NNP
선수	선수/NNG

아쉽게도	아쉽/VA+게/EC+도/JX
36초25를	36/SN+초/NNB+25/SN+를/JKO
기록하며	기록하/VV+며/EC
조	조/NNG
5위에	5/SN+위/NNB+에/JKB
머물렀다	머무르/VV+었/EP+다/EC

여자	여자/NNG
자유형	자유/NNG+형/XSN
50m	50/SN+m/SL
S7예선에	S/SL+7/SN+예선/NNG+에/JKB
출전한	출전하/VV+ㄴ/ETM
수영	수영/NNG
김지은	김지은/NNP
선수의	선수/NNG+의/JKG
입수	입수/NNG
모습	모습/NNG
