민병언,	민병언/NNG+,/SP
42초21이라는	42/SN+초/NNB+21/SN+이/VCP+라는/ETM
세계신기록을	세계신기록/NNG+을/JKO
수립,	수립/NNG+,/SP
이번	이번/NNG
대회	대회/NNG
50m	50/SN+m/SL
배영에	배영/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
기대감을	기대감/NNG+을/JKO
갖게	갖/VV+게/EC
만들었다	만들/VV+었/EP+다/EC

런던	런던/NNP
패럴림픽에	패럴림픽/NNG+에/JKB
앞서	앞서/VV+어/EC
민병언은	민병언/NNG+은/JX
지난	지나/VV+ㄴ/ETM
베이징대회와	베이징대회/NNP+와/JC
광저우아시안게임을	광저우아시안게임/NNG+을/JKO
기억하며	기억하/VV+며/EC
열심히	열심히/MAG
훈련했고,	훈련하/VV+였/EP+고/EC+,/SP
이번	이번/NNG
대회가	대회/NNG+가/JKS
마지막이라는	마지막/NNG+이/VCP+라는/ETM
생각으로	생각/NNG+으로/JKB
반드시	반드시/MAG
금메달을	금메달/NNG+을/JKO
딸	따/VV+ㄹ/ETM
것이라고	것/NNB+이/VCP+라고/EC
각오를	각오/NNG+를/JKO
밝힌바	밝히/VV+ㄴ/ETM+바/NNB
있다	있/VA+다/EF

50m	50/SN+m/SL
배영에	배영/NNG+에/JKB
남다른	남다르/VA+ㄴ/ETM
각오로	각오/NNG+로/JKB
배수의	배수/NNG+의/JKG
진을	진/NNG+을/JKO
친	치/VV+ㄴ/ETM
민병언의	민병언/NNP+의/JKG
바람은	바람/NNG+은/JX
이뤄졌다	이루어지/VV+었/EP+다/EF

민병언은	민병언/NNG+은/JX
샤르코	샤르코/NNP
마리	마리/NNP
투스(감각신경장애증)란	투스/NNG+(/SS+감각신경장애증/NNG+)/SS+이/VCP+란/ETM
희귀	희귀/NNG
질환의	질환/NNG+의/JKG
장애를	장애/NNG+를/JKO
갖고	갖/VV+고/EC
있다	있/VX+다/EC

자신이	자신/NNG+이/JKS
장애인이라는	장애인/NNG+이/VCP+라는/ETM
사실을	사실/NNG+을/JKO
초등학교	초등학교/NNG
3학년	3/SN+학년/NNG
때	때/NNG
처음	처음/NNG
알았지만,	알/VV+았/EP+지만/EC+,/SP
장애란	장애/NNG+이/VCP+란/ETM
부족함이	부족하/VA+ㅁ/ETN+이/JKS
아닌	아니/VCN+ㄴ/ETM
단지	단지/MAG
조금	조금/MAG
불편함에	불편하/VA+ㅁ/ETN+에/JKB
불구하다고	불구하/VA+다고/EC
말한다	말하/VV+ㄴ다/EF

스무살	스무/MM+살/NNB
무렵	무렵/NNB
물에	물/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
공포를	공포/NNG+를/JKO
이겨내기	이기/VV+어/EC+내/VX+기/ETN
위해	위하/VV+여/EC
시작한	시작하/VV+ㄴ/ETM
선수생활은	선수생활/NNG+은/JX
지금의	지금/NNG+의/JKG
세계최강	세계최강/NNG
민병언을	민병언/NNG+을/JKO
만든	만들/VV+ㄴ/ETM
것이다	것/NNB+이/VCP+다/EC

경기	경기/NNP
후	후/NNG
민병언은	민병언/NNG+은/JX
“대회	“/SN+대회/NNG
기간	기간/NNG
베이징	베이징/NNP
때와	때/NNG+와/JKB
같은	같/VA+은/ETM
악몽이	악몽/NNG+이/JKS
되살아나면	되살아나/VV+면/EC
어쩌나	어쩌/VV+나/EC
걱정이	걱정/NNG+이/JKS
많이	많이/MAG
돼	되/VV+어/EC
어떤	어떤/MM
메달이라도	메달/NNG+이라도/JX
딸	따/VV+ㄹ/ETM
수	수/NNB
있다면	있/VA+다면/EC
만족하려고	만족하/VA+려고/EC
했다”며	하/VX+였/EP+다/EC+”/VV+며/EC
“좋은	“/SW+좋/VA+은/ETM
기록으로	기록/NNG+으로/JKB
메달을	메달/NNG+을/JKO
획득할	획득하/VV+ㄹ/ETM
수	수/NNB
있어	있/VA+어/EC
기쁘고,	기쁘/VA+고/EC+,/SP
코칭스태프를	코칭스태프/NNG+를/JKO
비롯한	비롯하/VV+ㄴ/ETM
모든	모든/MM
이들과	이/NP+들/XSN+과/JKB
기쁨을	기쁨/NNG+을/JKO
나누고	나누/VV+고/EC
싶다”고	싶/VX+다/EC+”/VX+고/EC
소감을	소감/NNG+을/JKO
밝혔다	밝히/VV+었/EP+다/EC

이로써,	이/NP+로써/JKB+,/SP
대회	대회/NNG
초반	초반/NNG
이인국	이인국/NNP
선수의	선수/NNG+의/JKG
실격이라는	실격/NNG+이/VCP+라는/ETM
악재에도	악재/NNG+에/JKB+도/JX
불구하고	불구하/VV+고/EC
대한민국	대한민국/NNP
수영은	수영/NNG+은/JX
SB5	SB/SL+5/SN
평영	평영/NNG
100m	100/SN+m/SL
종목에서	종목/NNG+에서/JKB
임우근,	임우근/NNP+,/SP
S3	S/SL+3/SN
배영	배영/NNG
50m종목	50/SN+m/SL+종목/NNG
민병언	민병언/NNP
선수의	선수/NNG+의/JKG
금메달,	금메달/NNG+,/SP
S14	S/SL+14/SN
자유형	자유/NNG+형/XSN
200m	200/SN+m/SL
종목	종목/NNG
조원상	조원/NNG+상/XSN
선수의	선수/NNG+의/JKG
동메달	동메달/NNG
등	등/NNB
금2	금/MM+2/SN
동1로	동/NNG+1/SN+로/JKB
역대	역대/NNG
최대의	최대/NNG+의/JKG
메달을	메달/NNG+을/JKO
수확하며	수확하/VV+며/EC
대회	대회/NNG
전	전/MM
예상을	예상/NNG+을/JKO
뛰어넘는	뛰어넘/VV+는/ETM
결과를	결과/NNG+를/JKO
이뤘다	이루/VV+었/EP+다/EF

*이	*/SW+이/MM
기사는	기사/NNG+는/JX
2012런던장애인올림픽	2012/SN+런던/NNP+장애인올림픽/NNG
장애인·복지언론	장애인/NNG+·/SP+복지언론/NNG
공동취재단	공동취재/NNG+단/XSN
소속	소속/NNG
이신형	이신형/NNG
기자가	기자/NNG+가/JKS
작성한	작성하/VV+ㄴ/ETM
기사입니다	기사/NNG+이/VCP+ㅂ니다/EF

공동취재단은	공동취재/NNG+단/XSN+은/JX
복지연합신문,	복지연합신문/NNG+,/SP
에이블뉴스,	에이블뉴스/NNP+,/SP
장애인복지신문,	장애인복지신문/NNG+,/SP
장애인생활신문,	장애인생활신문/NNG+,/SP
장애인신문으로	장애인신문/NNG+으로/JKB
구성되어	구성되/VV+어/EC
있습니다	있/VX+습니다/EF
