런던장애인올림픽	런던/NNP+장애인올림픽/NNG
시작”이라고	시작”/NNG+이/VCP+라고/EC
강조했다	강조하/VV+였/EP+다/EC

김용환	김용환/NNP
문화체육관광부	문화체육관광부/NNG
제2차관은	제/XPN+2/SN+차관/NNG+은/JX
“종합	“/SN+종합/NNG
12위는	12/SN+위/NNB+는/JX
200일	200/SN+일/NNB
동안	동안/NNG
이천훈련원에서	이천훈/NNP+련원/NNG+에서/JKB
땀흘려	땀/NNG+흘리/VV+어/EC
노력한	노력하/VV+ㄴ/ETM
결과로	결과/NNG+로/JKB
온	온/MM
국민들에게	국민/NNG+들/XSN+에게/JKB
감동을	감동/NNG+을/JKO
주었다”며	주/VV+었/EP+다/EC+”/VX+며/EC
향후	향후/NNG
지원을	지원/NNG+을/JKO
약속했다	약속하/VV+었/EP+다/EC

한편	한편/MAG
앞서	앞서/MAG
지난	지나/VV+ㄴ/ETM
5일에는	5/SN+일/NNB+에/JKB+는/JX
‘한판	‘/SL+한판/NNG
승’의	승/NNG+’/SL+의/JKG
최광근	최광근/NNP
선수를	선수/NNG+를/JKO
비롯한	비롯하/VV+ㄴ/ETM
유도	유도/NNG
선수단과	선수단/NNG+과/JC
육상	육상/NNG
투척	투척/NNG
종목의	종목/NNG+의/JKG
김순정,	김순정/NNP+,/SP
조정	조정/NNG
대표팀이	대표팀/NNG+이/JKS
귀국했고,	귀국하/VV+였/EP+고/EC+,/SP
8일에는	8/SN+일/NNB+에/JKB+는/JX
양궁,	양궁/NNG+,/SP
역도,	역도/NNG+,/SP
펜싱	펜싱/NNG
종목	종목/NNG
선수단이	선수단/NNG+이/JKS
귀국했다	귀국하/VV+였/EP+다/EF

육상의	육상/NNG+의/JKG
김규대	김규대/NNP
선수가	선수/NNG+가/JKS
기수를	기수/NNG+를/JKO
들고	들/VV+고/EC
앞장서	앞장서/VV+어/EC
나온데	나오/VV+ㄴ/ETM+데/NNB
이어	잇/VV+어/EC
장애인	장애인/NNG
선수단이	선수단/NNG+이/JKS
금의환향	금의환향/NNG
했다	하/VV+였/EP+다/EC

ⓒ박종태	ⓒ/SL+박종태/NNP
장춘배	장춘배/NNP
선수단장이	선수단장/NNG+이/JKS
장애인선수단	장애인선수단/NNG
입국	입국/NNG
환영행사에서	환영행사/NNG+에서/JKB
귀국	귀국/NNG
보고를	보고/NNG+를/JKO
하고	하/VV+고/EC
있다	있/VX+다/EC

ⓒ박종태	ⓒ/SL+박종태/NNP
장춘배	장춘배/NNP
선수단장이	선수단장/NNG+이/JKS
대한장애인체육회	대한장애인체육회/NNP
윤석용	윤석용/NNP
회장에게	회장/NNG+에게/JKB
단기를	단기/NNG+를/JKO
반납하고	반납하/VV+고/EC
있다	있/VX+다/EC

ⓒ박종태	ⓒ/SN+박종태/NNP
대한장애인체육회	대한장애인체육회/NNP
윤석용	윤석용/NNP
회장이	회장/NNG+이/JKS
환영사를	환영사/NNG+를/JKO
낭독하고	낭독하/VV+고/EC
있다	있/VX+다/EC

ⓒ박종태	ⓒ/SL+박종태/NNP
2012런던장애인올림픽에서	2012/SN+런던/NNP+장애인올림픽/NNG+에서/JKB
종합	종합/NNG
12위를	12/SN+위/NNB+를/JKO
기록한	기록하/VV+ㄴ/ETM
우리나라	우리나라/NNG
장애인	장애인/NNG
선수단이	선수단/NNG+이/JKS
귀국	귀국/NNG
환영행사에서	환영행사/NNG+에서/JKB
화이팅을	화이팅/NNG+을/JKO
외치고	외치/VV+고/EC
있다	있/VX+다/EC

ⓒ박종태	ⓒ/SL+박종태/NNP
유도	유도/NNG
한판	한판/NNG
승의	승/NNG+의/JKG
사나이,	사나이/NNG+,/SP
최광근	최광근/NNP
선수가	선수/NNG+가/JKS
어머니와	어머니/NNG+와/JKB
함께	함께/MAG
기자회견을	기자회견/NNG+을/JKO
하고	하/VV+고/EC
있다	있/VX+다/EC

ⓒ박종태	ⓒ/SL+박종태/NNP
남자	남자/NNG
평형	평/NNG+형/XSN
100m	100/SN+m/SL
SB5에서	SB/SL+5/SN+에서/JKB
1분34초94으로	1/SN+분/NNB+34/SN+초/NNB+94/SN+으로/JKB
아시아신기록을	아시아/NNP+신기록/NNG+을/JKO
기록하며	기록하/VV+며/EC
금메달을	금메달/NNG+을/JKO
목에	목/NNG+에/JKB
걸었던	걸/VV+었/EP+던/ETM
수영의	수영/NNG+의/JKG
임우근	임우근/NNP
선수가	선수/NNG+가/JKS
어머니와	어머니/NNG+와/JKB
함께	함께/MAG
기자회견을	기자회견/NNG+을/JKO
하고	하/VV+고/EC
있다	있/VX+다/EC

ⓒ박종태	ⓒ/SL+박종태/NNP
보치아의	보치아/NNP+의/JKG
BC3	BC/SL+3/SN
여자	여자/NNG
최초의	최초/NNG+의/JKG
금메달리스트인	금메달리스트/NNG+이/VCP+ㄴ/ETM
최예진	최예진/NNP
선수가	선수/NNG+가/JKS
기자회견을	기자회견/NNG+을/JKO
갖고	갖/VV+고/EC
있다	있/VX+다/EC

ⓒ박종태	ⓒ/SL+박종태/NNP
2012런던장애인올림픽에	2012/SN+런던/NNP+장애인올림픽/NNG+에/JKB
출전해	출전하/VV+여/EC
금	금/NNG
1,	1/SN+,/SP
은	은/NNG
4,	4/SN+,/SP
동	동/NNG
4개를	4/SN+개/NNB+를/JKO
기록한	기록하/VV+ㄴ/ETM
탁구	탁구/NNG
선수단이	선수단/NNG+이/JKS
모여	모이/VV+어/EC
화이팅을	화이팅/NNG+을/JKO
외치고	외치/VV+고/EC
있다	있/VX+다/EC

ⓒ박종태	ⓒ/SL+박종태/NNP
*박종태	*/SW+박종태/NNP
기자는	기자/NNG+는/JX
에이블뉴스	에이블뉴스/NNP
객원기자로	객원기자/NNG+로/JKB
일명	일명/NNG
'장애인권익지킴이'로	'/SS+장애인권익지킴이/NNG+'/SS+로/JKB
알려져	알려지/VV+어/EC
있으며,	있/VX+으며/EC+,/SP
장애인	장애인/NNG
편의시설과	편의시설/NNG+과/JC
관련한	관련하/VV+ㄴ/ETM
분야에서	분야/NNG+에서/JKB
다양한	다양하/VA+ㄴ/ETM
활동을	활동/NNG+을/JKO
하고	하/VV+고/EC
있습니다	있/VX+습니다/EF
