숙자매	숙자매/NNG
발전을	발전/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
뼈있는	뼈/NNG+있/VA+는/ETM
한	한/MM
마디도	마디/NNG+도/JX
잊지	잊/VV+지/EC
않았다	않/VX+았/EP+다/EF

선수들은	선수/NNG+들/XSN+은/JX
“세계적으로	“/SN+세계적/NNG+으로/JKB
양궁이	양궁/NNG+이/JKS
상향평준화	상향평준화/NNG
되며	되/VV+며/EC
시스템	시스템/NNG
및	및/MAG
선수운영	선수운영/NNG
발전이	발전/NNG+이/JKS
빠르게	빠르/VA+게/EC
진행되고	진행되/VV+고/EC
있다”며	있/VX+다/EC+”/VV+며/EC
“한국	“/SW+한국/NNP
장애인양궁이	장애인양궁/NNG+이/JKS
더욱	더욱/MAG
발전하기	발전하/VV+기/ETN
위해서는	위하/VV+여서/EC+는/JX
세계에	세계/NNG+에/JKB
발맞춰	발맞추/VV+어/EC
인프라	인프라/NNG
구축과	구축/NNG+과/JC
인재	인재/NNP
양성이	양성/NNG+이/JKS
필수”라고	필수”/NNG+이/VCP+라고/EC
말했다	말하/VV+였/EP+다/EC

이날	이날/NNG
한국	한국/NNP
장애인	장애인/NNG
여자양궁은	여자양궁/NNG+은/JX
아테네에서	아테네/NNG+에서/JKB
동메달,	동메달/NNG+,/SP
베이징에서	베이징/NNP+에서/JKB
은메달,	은메달/NNG+,/SP
런던에서	런던/NNP+에서/JKB
드디어	드디어/MAG
첫	첫/MM
금메달을	금메달/NNG+을/JKO
획득해	획득하/VV+여/EC
패럴림픽	패럴림픽/NNG
금메달과	금메달/NNG+과/JC
인연이	인연/NNG+이/JKS
없었던	없/VA+었/EP+던/ETM
악연도	악연/NNG+도/JX
깼다	깨/VV+었/EP+다/EF

한편,	한편/NNG+,/SP
이어	이어/MAG
펼쳐진	펼쳐지/VV+ㄴ/ETM
남자양궁	남자양궁/NNG
결승전에서는	결승전/NNG+에서/JKB+는/JX
세계최강	세계최강/NNG
러시아를	러시아/NNP+를/JKO
넘지	넘/VV+지/EC
못하고	못하/VX+고/EC
은메달을	은메달/NNG+을/JKO
획득했다	획득하/VV+였/EP+다/EC

당초	당초/NNG
은메달	은메달/NNG
이상의	이상/NNG+의/JKG
성적을	성적/NNG+을/JKO
예상했던	예상하/VV+였/EP+던/ETM
남자	남자/NNG
양궁팀은	양궁팀/NNG+은/JX
소기의	소기/NNG+의/JKG
목적을	목적/NNG+을/JKO
달성한	달성하/VV+ㄴ/ETM
것이다	것/NNB+이/VCP+다/EC

결승에	결승/NNG+에/JKB
올라온	올라오/VV+ㄴ/ETM
만큼	만큼/NNB
금메달을	금메달/NNG+을/JKO
기대했지만,	기대하/VV+였/EP+지만/EC+,/SP
안정된	안정되/VV+ㄴ/ETM
전력과	전력/NNG+과/JC
대회	대회/NNG
컨디션까지	컨디션/NNG+까지/JX
완벽한	완벽하/VA+ㄴ/ETM
러시아와의	러시아/NNP+와/JKB+의/JKG
경기는	경기/NNG+는/JX
쉽지	쉽/VA+지/EC
않았다	않/VX+았/EP+다/EF

경기	경기/NNG
중반	중반/NNG
동점까지	동점/NNG+까지/JX
이뤘지만,	이루/VV+었/EP+지만/EC+,/SP
후반	후반/NNG
시간에	시간/NNG+에/JKB
쫓기며	쫓기/VV+며/EC
슈팅이	슈팅/NNG+이/JKS
빗나가	빗나가/VV+아/EC
은메달에	은메달/NNG+에/JKB
만족해야	만족하/VA+여야/EC
했다	하/VX+였/EP+다/EC

여자는	여자/NNG+는/JX
세계	세계/NNG
1위,	1/SN+위/NNB+,/SP
남자는	남자/NNG+는/JX
세계2위	세계/NNG+2/SN+위/NNB
대한민국	대한민국/NNP
장애인양궁은	장애인양궁/NNP+은/JX
역시	역시/MAG
세계최고라는	세계최고/NNG+이/VCP+라는/ETM
평가를	평가/NNG+를/JKO
받기에	받/VV+기/ETN+에/JKB
충분한	충분하/VA+ㄴ/ETM
하루였다	하루/NNG+이/VCP+었/EP+다/EF

*이	*/SW+이/MM
기사는	기사/NNG+는/JX
2012런던장애인올림픽	2012/SN+런던/NNP+장애인올림픽/NNG
장애인·복지언론	장애인/NNG+·/SP+복지언론/NNG
공동취재단	공동취재/NNG+단/XSN
소속	소속/NNG
이신형	이신형/NNG
기자가	기자/NNG+가/JKS
작성한	작성하/VV+ㄴ/ETM
기사입니다	기사/NNG+이/VCP+ㅂ니다/EF

공동취재단은	공동취재/NNG+단/XSN+은/JX
복지연합신문,	복지연합신문/NNG+,/SP
에이블뉴스,	에이블뉴스/NNP+,/SP
장애인복지신문,	장애인복지신문/NNG+,/SP
장애인생활신문,	장애인생활신문/NNG+,/SP
장애인신문으로	장애인신문/NNG+으로/JKB
구성되어	구성되/VV+어/EC
있습니다	있/VX+습니다/EF
