정부,	정부/NNG+,/SP
대비한	대비하/VV+ㄴ/ETM
안전대책을	안전대책/NNG+을/JKO
마련하는	마련하/VV+는/ETM
한편	한편/NNG
겨울철	겨울철/NNG
폭설에	폭설/NNG+에/JKB
대비한	대비하/VV+ㄴ/ETM
대응체계를	대응체계/NNG+를/JKO
구축하기로	구축하/VV+기/ETN+로/JKB
했다	하/VV+였/EP+다/EC

이에	이/NP+에/JKB
따라	따르/VV+아/EC
장애선수	장애선수/NNG
실종	실종/NNG
시	시/NNB
국방부가	국방부/NNG+가/JKS
군	군/NNG
병력을	병력/NNG+을/JKO
투입해	투입하/VV+여/EC
수색에	수색/NNG+에/JKB
나서고,	나서/VV+고/EC+,/SP
강원도와	강원도/NNP+와/JC
국토해양부가	국토해양부/NNP+가/JKS
제설	제설/NNG
작업에	작업/NNG+에/JKB
나서기로	나서/VV+기/ETN+로/JKB
했다	하/VV+였/EP+다/EC

또한	또한/MAG
외교통상부,	외교통상부/NNG+,/SP
법무부	법무부/NNG
등은	등/NNB+은/JX
해외	해외/NNG
선수들과	선수/NNG+들/XSN+과/JC
주요	주요/NNG
인사들의	인사/NNG+들/XSN+의/JKG
입국	입국/NNG
편의를	편의/NNG+를/JKO
위해	위하/VV+여/EC
비자	비자/NNG
발급을	발급/NNG+을/JKO
간소화하고	간소화하/VV+고/EC
선수	선수/NNG
수송	수송/NNG
방안	방안/NNG
등을	등/NNB+을/JKO
마련키로	마련하/VV+기/ETN+로/JKB
했다	하/VV+였/EP+다/EC

지원위원회는	지원위원회/NNG+는/JX
경기	경기/NNP
외에도	외/NNB+에/JKB+도/JX
국공립	국공립/NNG
예술단체가	예술단체/NNG+가/JKS
출연하는	출연하/VV+는/ETM
각종	각종/NNG
문화행사	문화행사/NNG
및	및/MAG
글로벌	글로벌/NNG
리더들이	리더/NNG+들/XSN+이/JKS
참여해	참여하/VV+여/EC
지적장애인의	지적장애인/NNG+의/JKG
인권을	인권/NNG+을/JKO
논의하는	논의하/VV+는/ETM
‘글로벌	‘/SL+글로벌/NNG
개발	개발/NNG
서밋’	서밋/NNG+’/SN
등	등/NNB
다양한	다양하/VA+ㄴ/ETM
프로그램을	프로그램/NNG+을/JKO
마련키로	마련하/VV+기/ETN+로/JKB
했다	하/VV+였/EP+다/EC

이외	이외/NNG
티켓	티켓/NNG
1장으로	1/SN+장/NNB+으로/JKB
강원도	강원도/NNP
지역	지역/NNG
관광	관광/NNG
시	시/NNG
할인	할인/NNG
혜택을	혜택/NNG+을/JKO
받는	받/VV+는/ETM
스페셜	스페셜/NNG
패스(special	패스/NNG+(/SS+special/SL
pass)를	pass/SL+)/SS+를/JKO
홍보하고,	홍보하/VV+고/EC+,/SP
많은	많/VA+은/ETM
국민들이	국민/NNG+들/XSN+이/JKS
대회장을	대회장/NNG+을/JKO
방문해	방문하/VV+여/EC
‘화합’의	‘화합/NNG+’/SL+의/JKG
의미를	의미/NNG+를/JKO
체감할	체감하/VV+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
지원할	지원하/VV+ㄹ/ETM
예정이다	예정/NNG+이/VCP+다/EC

이날	이날/NNG
김황식	김황식/NNP
국무총리는	국무총리/NNG+는/JX
“스페셜올림픽은	“/SN+스페셜올림픽/NNG+은/JX
함께,	함께/MAG+,/SP
더불어,	더불/VV+어/EC+,/SP
어우러져	어우러지/VV+어/EC
사는	살/VV+는/ETM
사회를	사회/NNG+를/JKO
지향하고	지향하/VV+고/EC
있으므로	있/VX+으므로/EC
성공적인	성공적/NNG+이/VCP+ㄴ/ETM
대회	대회/NNG
개최를	개최/NNG+를/JKO
위해	위하/VV+여/EC
민관	민관/NNG
모두가	모두/NNG+가/JKS
힘을	힘/NNG+을/JKO
합쳐	합치/VV+어/EC
협력을	협력/NNG+을/JKO
이루어	이루/VV+어/EC
내자”고	내/VX+자”고/EC
당부했다	당부하/VV+였/EP+다/EC

문화체육관광부	문화체육관광부/NNG
최광식	최광식/NNP
장관은	장관/NNG+은/JX
“스포츠를	“/SL+스포츠/NNG+를/JKO
통해	통하/VV+여/EC
관용과	관용/NNG+과/JC
배려를	배려/NNG+를/JKO
확산하는	확산하/VV+는/ETM
특별한	특별하/VA+ㄴ/ETM
대회인	대회/NNG+이/VCP+ㄴ/ETM
만큼	만큼/NNB
진정한	진정하/VA+ㄴ/ETM
스페셜올림픽이	스페셜올림픽/NNG+이/JKC
되기	되/VV+기/ETN
위해서는	위하/VV+여서/EC+는/JX
민관의	민관/NNG+의/JKG
특별한	특별하/VA+ㄴ/ETM
관심과	관심/NNG+과/JC
참여가	참여/NNG+가/JKS
필요하다”고	필요하/VA+다”고/EC
강조했다	강조하/VV+였/EP+다/EC

한편	한편/MAG
스페셜올림픽은	스페셜올림픽/NNP+은/JX
세계	세계/NNG
113개국	113/SN+개국/NNB
지적장애인	지적장애인/NNG
선수가	선수/NNG+가/JKS
참여하는	참여하/VV+는/ETM
지적장애인들의	지적장애인/NNG+들/XSN+의/JKG
스포츠	스포츠/NNG
축제로	축제/NNG+로/JKB
2013년	2013/SN+년/NNB
1월	1/SN+월/NNB
29일부터	29/SN+일/NNB+부터/JX
2월5일까지	2/SN+월/NNB+5/SN+일/NNB+까지/JX
강원도	강원도/NNP
평창	평창/NNP
등지에서	등지/NNB+에서/JKB
열린다	열리/VV+ㄴ다/EF
