시각장애인	시각장애인/NNG
모든	모든/MM
식량과	식량/NNG+과/JC
장비는	장비/NNG+는/JX
배낭에	배낭/NNG+에/JKB
매고	매/VV+고/EC
달려야	달리/VV+어야/EC
한다	하/VX+ㄴ다/EF

매	매/MM
구간	구간/NNG
출발시각은	출발시각/NNG+은/JX
똑같고	똑같/VA+고/EC
제한시간이	제한시간/NNG+이/JKS
있으며,	있/VA+으며/EC+,/SP
송	송/NNP
관장은	관장/NNG+은/JX
안내도우미	안내도우미/NNG
배낭에	배낭/NNG+에/JKB
연결된	연결되/VV+ㄴ/ETM
1m짜리의	1/SN+m/SL+짜리/XSN+의/JKG
생명줄에	생명줄/NNG+에/JKB
의지한	의지하/VV+ㄴ/ETM
채	채/NNB
달리게	달리/VV+게/EC
된다	되/VV+ㄴ다/EF

송	송/NNP
관장은	관장/NNG+은/JX
“마라톤을	“/SL+마라톤/NNG+을/JKO
통해	통하/VV+여/EC
나	나/NP
자신을	자신/NNG+을/JKO
다시	다시/MAG
한	한/MM
번	번/NNB
돌아보게	돌아보/VV+게/EC
되고	되/VV+고/EC
매사	매사/NNG
자신감과	자신감/NNG+과/JC
적극적인	적극적/NNG+이/VCP+ㄴ/ETM
생각을	생각/NNG+을/JKO
하는	하/VV+는/ETM
자세를	자세/NNG+를/JKO
갖게	갖/VV+게/EC
된다”며	되/VV+ㄴ다/EC+”/VX+며/EC
“나태하고	“/SN+나태하/VA+고/EC
게을러지지	게을러지/VV+지/EC
않기	않/VX+기/ETN
위해	위하/VV+여/EC
매년	매년/MAG
오지마라톤에	오지마라톤/NNG+에/JKB
출전하고,	출전하/VV+고/EC+,/SP
훈련과	훈련/NNG+과/JC
연습	연습/NNG
과정이	과정/NNG+이/JKS
인생에서	인생/NNG+에서/JKB
또	또/MAG
하나의	하나/NNG+의/JKG
활력소가	활력소/NNG+가/JKC
되고	되/VV+고/EC
있다”고	있/VX+다/EC+”/VV+고/EC
밝혔다	밝히/VV+었/EP+다/EC

한편	한편/MAG
송	송/NNP
관장은	관장/NNG+은/JX
2005년부터	2005/SN+년/NNB+부터/JX
2009년까지	2009/SN+년/NNB+까지/JX
사하라사막(250㎞),	사하라사막/NNP+(/SS+250/SN+㎞/SW+)/SS+,/SP
고비사막(250㎞),	고비/NNP+사막/NNG+(/SS+250/SN+㎞/SW+)/SS+,/SP
아타카마사막(250㎞),	아타카마/NNP+사막/NNG+(/SS+250/SN+㎞/SW+)/SS+,/SP
남극마라톤대회(250㎞)를	남극마라톤대회/NNG+(/SS+250/SN+㎞/SW+)/SS+를/JKO
완주해	완주하/VV+여/EC
‘세계	‘/SN+세계/NNG
극한마라톤대회	극한마라톤대회/NNG
그랜드슬램'을	그랜드슬램/NNG+'/SS+을/JKO
달성한	달성하/VV+ㄴ/ETM
역대	역대/NNG
52번째이자	52/SN+번째/NNB+이/VCP+자/EC
세계	세계/NNG
최초의	최초/NNG+의/JKG
장애인으로	장애인/NNG+으로/JKB
이름을	이름/NNG+을/JKO
올렸다	올리/VV+었/EP+다/EC
