전국장애인체전	전/MM+국장애인체전/NNG
등	등/NNB
최선을	최선/NNG+을/JKO
다	다/MAG
하겠다”고	하/VV+겠/EP+다/EC+”/VV+고/EC
밝혔다	밝히/VV+었/EP+다/EC

고양시는	고양시/NNP+는/JX
지난	지나/VV+ㄴ/ETM
20일	20/SN+일/NNB
장애인체전에	장애인체전/NNG+에/JKB
참가하는	참가하/VV+는/ETM
장애인럭비	장애인럭비/NNG
선수들과	선수/NNG+들/XSN+과/JKB
함께	함께/MAG
고양어울림누리체육관	고양어울림누리체육관/NNP
장애인편의을	장애인편의/NNG+을/JKO
점검했다	점검하/VV+였/EP+다/EF

ⓒ박종태	ⓒ/SL+박종태/NNP
고양시	고양시/NNP
관계자	관계자/NNG
및	및/MAG
장애인럭비	장애인럭비/NNG
선수들이	선수/NNG+들/XSN+이/JKS
고양어울림누리체육관	고양어울림누리체육관/NNP
2층	2/SN+층/NNG
광장에	광장/NNG+에/JKB
경사로	경사/NNG+로/JKB
및	및/MAG
장애인선수를	장애인선수/NNG+를/JKO
위한	위하/VV+ㄴ/ETM
주차장	주차장/NNG
설치	설치/NNG
문제를	문제/NNG+를/JKO
논의하고	논의하/VV+고/EC
있다	있/VX+다/EC

ⓒ박종태	ⓒ/SL+박종태/NNP
고양어울림누리체육관	고양어울림누리체육관/NNP
1층에는	1/SN+층/NNG+에/JKB+는/JX
남여	남여/NNG
공용	공용/NNG
장애인화장실이	장애인화장실/NNG+이/JKS
설치돼	설치되/VV+어/EC
있다	있/VX+다/EF

ⓒ박종태	ⓒ/SL+박종태/NNP
남,여장애인	남/NNB+,/SP+여장애인/NNG
화장실	화장실/NNG
공통으로	공통/NNG+으로/JKB
용변기에	용변/NNG+기/XSN+에/JKB
등받이가	등받이/NNG+가/JKS
없고	없/VA+고/EC
휴지걸이와	휴지걸이/NNG+와/JC
응급시를	응급시/NNG+를/JKO
대비한	대비하/VV+ㄴ/ETM
비상호출벨이	비/XPN+상호출벨이/NNG
중증장애인들의	중증장애인/NNG+들/XSN+의/JKG
손이	손/NNG+이/JKS
닿지	닿/VV+지/EC
않는	않/VX+는/ETM
범위에	범위/NNG+에/JKB
설치돼	설치되/VV+어/EC
있어	있/VX+어/EC
개선이	개선/NNG+이/JKS
요구됐다	요구되/VV+었/EP+다/EF

ⓒ박종태	ⓒ/SL+박종태/NNP
고양어울림누리체육관에는	고양어울림누리체육관/NNP+에/JKB+는/JX
식당이	식당/NNG+이/JKS
없고	없/VA+고/EC
스낵코너만	스낵코너/NNG+만/JX
잇다	잇/VV+다/EF

ⓒ박종태	ⓒ/SL+박종태/NNP
고양어울림누리체육관	고양어울림누리체육관/NNP
1층에	1/SN+층/NNG+에/JKB
장애인주차장이	장애인주차장/NNG+이/JKS
설치돼	설치되/VV+어/EC
있다	있/VX+다/EF

ⓒ박종태	ⓒ/SL+박종태/NNP
*박종태	*/SW+박종태/NNP
기자는	기자/NNG+는/JX
에이블뉴스	에이블뉴스/NNP
객원기자로	객원기자/NNG+로/JKB
일명	일명/NNG
'장애인권익지킴이'로	'/SS+장애인권익지킴이/NNG+'/SS+로/JKB
알려져	알려지/VV+어/EC
있으며,	있/VX+으며/EC+,/SP
장애인	장애인/NNG
편의시설과	편의시설/NNG+과/JC
관련한	관련하/VV+ㄴ/ETM
분야에서	분야/NNG+에서/JKB
다양한	다양하/VA+ㄴ/ETM
활동을	활동/NNG+을/JKO
하고	하/VV+고/EC
있습니다	있/VX+습니다/EF
