대한장애인사격연맹	대한/NNP+장애인사격연맹/NNG
공금횡령은	공금횡령/NNG+은/JX
물론	물론/MAG
파행적인	파행적/NNG+이/VCP+ㄴ/ETM
조직운영이	조직운영/NNG+이/JKS
이뤄졌다고	이루어지/VV+었/EP+다고/EC
주장했다	주장하/VV+였/EP+다/EF

장	장/NNP
회장이	회장/NNG+이/JKS
2010년	2010/SN+년/NNB
6월,	6/SN+월/NNB+,/SP
정관에	정관/NNG+에/JKB
따라	따르/VV+아/EC
대의원	대의원/NNG
총회를	총회/NNG+를/JKO
통해	통하/VV+여/EC
부회장	부회장/NNG
및	및/MAG
이사들을	이사/NNG+들/XSN+을/JKO
다시	다시/MAG
선임했어야	선임하/VV+였/EP+어야/EC
하나	하/VX+나/EC
기존	기존/NNG
임원들의	임원/NNG+들/XSN+의/JKG
임기를	임기/NNG+를/JKO
유임했다는	유임하/VV+였/EP+다는/ETM
것	것/NNB

특히	특히/MAG
이	이/NP
같은	같/VA+은/ETM
상황에서	상황/NNG+에서/JKB
지원목적(국가대표	지원목적/NNG+(/SS+국가대표/NNG
훈련비)	훈련/NNG+비/XSN+)/SS
및	및/MAG
용도에	용도/NNG+에/JKB
부합하지	부합하/VV+지/EC
않게	않/VX+게/EC
교부금이	교부금/NNG+이/JKS
지출됐고,	지출되/VV+었/EP+고/EC+,/SP
지정기탁후원금도	지정기탁후원금/NNG+도/JX
목적	목적/NNG
외로	외/NNB+로/JKB
부적절하게	부적절하/VA+게/EC
사용했다며	사용하/VV+었/EP+다며/EC
문제를	문제/NNG+를/JKO
제기했다	제기하/VV+였/EP+다/EC

실제	실제/NNG
대한장애인체육회는	대한장애인체육회/NNP+는/JX
2011년	2011/SN+년/NNB
1월	1/SN+월/NNB
감사결과처분요구서를	감사결과처분요구서/NNG+를/JKO
통해	통하/VV+여/EC
대의원	대의원/NNG
총회·이사회운영	총회/NNG+·/SP+이사회운영/NNG
부적절	부적절/NNG
개선,	개선/NNG+,/SP
교부금(2500여만원)·지정기탁후원금(900여만원)	교부금/NNG+(/SS+2500/SN+여/XSN+만/NR+원/NNB+)/SS+·/SP+지정기탁후원금/NNG+(/SS+900/SN+여/XSN+만/NR+원/NNB+)/SS
반환	반환/NNG
등을	등/NNB+을/JKO
요구한바	요구하/VV+ㄴ/ETM+바/NNB
있다	있/VA+다/EF

이	이/NP
같은	같/VA+은/ETM
요구에	요구/NNG+에/JKB
현	현/MM
집행부	집행부/NNG
이사들은	이사/NNG+들/XSN+은/JX
일괄사임을	일괄사임/NNG+을/JKO
결의했지만	결의하/VV+였/EP+지만/EC
장	장/NNP
회장은	회장/NNG+은/JX
2011년	2011/SN+년/NNB
4월과	4/SN+월/NNB+과/JC
6월	6/SN+월/NNB
대의원	대의원/NNG
총회를	총회/NNG+를/JKO
거치지	거치/VV+지/EC
않은	않/VX+은/ETM
채	채/NNB
이들을	이/NP+들/XSN+을/JKO
부회장	부회장/NNG
또는	또는/MAG
이사로	이사/NNG+로/JKB
재임명했다	재/XPN+임명하/VV+였/EP+다/EF

이를	이/NP+를/JKO
놓고	놓/VV+고/EC
반발한	반발하/VV+ㄴ/ETM
신	신/NNP
집행부는	집행부/NNG+는/JX
2011년	2011/SN+년/NNB
11월	11/SN+월/NNB
14일	14/SN+일/NNB
대한장애인체육회의	대한장애인체육회/NNP+의/JKG
승인을	승인/NNG+을/JKO
받아	받/VV+아/EC
임시대의원총회를	임시대의원총회/NNG+를/JKO
거쳐	거치/VV+어/EC
부회장	부회장/NNG
및	및/MAG
이사들을	이사/NNG+들/XSN+을/JKO
구성했다	구성하/VV+였/EP+다/EF

이어	이어/MAG
올해	올해/NNG
5월에는	5/SN+월/NNB+에/JKB+는/JX
서울동부지법에	서울/NNP+동부지법/NNG+에/JKB
현	현/MM
집행부의	집행부/NNG+의/JKG
‘업무정지	‘/SL+업무정지/NNG
가처분신청	가처분신청/NNG
및	및/MAG
임원지위부존재	임원지위부존재/NNG
소장’을	소장/NNG+’/SL+을/JKO
제출했다	제출하/VV+였/EP+다/EF

서울동부지법은	서울동부지법/NNP+은/JX
“사격연맹	“/SN+사격연맹/NNG
정관에	정관/NNG+에/JKB
명시된	명시되/VV+ㄴ/ETM
‘회장,	‘/SN+회장/NNG+,/SP
부회장,	부회장/NNG+,/SP
이사,	이사/NNG+,/SP
감사는	감사/NNG+는/JX
총회에서	총회/NNG+에서/JKB
선출해	선출하/VV+여/EC
대한장애인체육회장에	대한/NNP+장애인체육회장/NNG+에/JKB
보고’,	보고’/NNG+,/SP
‘총회는	‘/SL+총회/NNG+는/JX
제20조에	제/XPN+20/SN+조/NNB+에/JKB
의해	의하/VV+여/EC
선출된	선출되/VV+ㄴ/ETM
대의원으로	대의원/NNG+으로/JKB
구성	구성/NNG
한다’는	하/VV+ㄴ다/EF+’/SL+는/JX
규정을	규정/NNG+을/JKO
근거로	근거/NNG+로/JKB
부회장,	부회장/NNG+,/SP
이사	이사/NNG
선임은	선임/NNG+은/JX
대의원총회의	대의원총회/NNG+의/JKG
고유	고유/NNG
권한으로써	권한/NNG+으로써/JKB
이를	이/NP+를/JKO
회장에게	회장/NNG+에게/JKB
전면적으로	전면적/NNG+으로/JKB
위임한	위임하/VV+ㄴ/ETM
것은	것/NNB+은/JX
정관에	정관/NNG+에/JKB
위배된다”고	위배되/VV+ㄴ다/EC+”/SN+고/JKQ
판단했다	판단하/VV+였/EP+다/EC

이에	이/NP+에/JKB
“사격연맹이	“/SN+사격연맹/NNG+이/JKS
2010년	2010/SN+년/NNB
3월	3/SN+월/NNB
정기	정기/NNG
대의원	대의원/NNG
총회에서	총회/NNG+에서/JKB
장	장/NNP
회장에게	회장/NNG+에게/JKB
집행부	집행부/NNG
구성을	구성/NNG+을/JKO
위임하기로	위임하/VV+기/ETN+로/JKB
한	하/VV+ㄴ/ETM
결의는	결의/NNG+는/JX
무효”이며	무효”/NNG+이/VCP+며/EC
“장	“/SN+장/XSN
회장이	회장/NNG+이/JKS
김임연,	김임연/NNP+,/SP
원덕연,	원덕연/NNP+,/SP
박상순을	박상순/NNP+을/JKO
부회장으로,	부회장/NNG+으로/JKB+,/SP
강주영,	강주영/NNP+,/SP
김돈규,	김돈규/NNP+,/SP
심지용,	심지용/NNP+,/SP
이연국	이연국/NNG
등을	등/NNB+을/JKO
이사로	이사/NNG+로/JKB
임명한	임명하/VV+ㄴ/ETM
것	것/NNB
역시	역시/MAG
무효”라고	무효”/NNG+이/VCP+라고/EC
결정했다	결정하/VV+였/EP+다/EC

한편	한편/MAG
사격연맹	사격연맹/NNG
장	장/NNP
회장은	회장/NNG+은/JX
지난	지나/VV+ㄴ/ETM
11일	11/SN+일/NNB
개인적인	개인적/NNG+이/VCP+ㄴ/ETM
신상을	신상/NNG+을/JKO
이유로	이유/NNG+로/JKB
사임서를	사임/NNG+서/XSN+를/JKO
이사회와	이사회/NNG+와/JC
연맹사무국에	연맹사무/NNG+국/XSN+에/JKB
제출했다	제출하/VV+였/EP+다/EF
