“어떻게	“/SL+어떻/VA+게/EC
상처투성이가	상처/NNG+투성이/XSN+가/JKC
된다	되/VV+ㄴ다/EF

나도	나/NP+도/JX
한때	한때/NNG
시어머니께서	시어머니/NNG+께서/JKS
‘아이는	‘/SN+아이/NNG+는/JX
가질	가지/VV+ㄹ/ETM
수	수/NNB
있겠나’라는	있/VA+겠/EP+나/EC+’/VV+라는/ETM
말을	말/NNG+을/JKO
들었을	듣/VV+었/EP+을/ETM
때	때/NNG
많이	많이/MAG
속상했던	속상하/VA+였/EP+던/ETM
기억을	기억/NNG+을/JKO
되짚어	되짚/VV+어/EC
보면	보/VX+면/EC
아이가	아이/NNG+가/JKS
둘이나	둘/NR+이나/JX
있는	있/VA+는/ETM
지금도	지금/NNG+도/JX
그때의	그때/NNG+의/JKG
아픔은	아픔/NNG+은/JX
쉽사리	쉽사리/MAG
지워지지	지우/VV+어/EC+지/VX+지/EC
않는다	않/VX+는다/EF

모성권은	모성권/NNG+은/JX
여성이라면	여성/NNG+이/VCP+라면/EC
누구나	누구/NP+나/JX
가지는	가지/NNG+는/JX
가장	가장/MAG
기본적인	기본적/NNG+이/VCP+ㄴ/ETM
권리임에도	권리/NNG+이/VCP+ㅁ에도/EC
불구하고	불구하/VV+고/EC
장애라는	장애/NNG+이/VCP+라는/ETM
이유만으로	이유/NNG+만/JX+으로/JKB
배제되어	배제되/VV+어/EC
버리는	버리/VX+는/ETM
현실이	현실/NNG+이/JKS
너무	너무/MAG
안타까울	안타깝/VA+ㄹ/ETM
수	수/NNB
없다	없/VA+다/EC

장애	장애/NNG
여성들도	여성/NNG+들/XSN+도/JX
임신,	임신/NNG+,/SP
출산,	출산/NNG+,/SP
양육에	양육/NNG+에/JKB
있어	있/VA+어/EC
사회에서	사회/NNG+에서/JKB
그들을	그/NP+들/XSN+을/JKO
바라보는	바라보/VV+는/ETM
따가운	따갑/VA+ㄴ/ETM
시선과	시선/NNG+과/JKB
잘못된	잘못되/VV+ㄴ/ETM
편견이	편견/NNG+이/JKS
사라지고	사라지/VV+고/EC
그들과	그/NP+들/XSN+과/JKB
그	그/MM
자녀들에게	자녀/NNG+들/XSN+에게/JKB
필요한	필요하/VA+ㄴ/ETM
제도나	제도/NNG+나/JC
편의시설이	편의시설/NNG+이/JKS
늘어난다면	늘어나/VV+ㄴ다면/EC
‘엄마’라고	‘/SN+엄마’/NNG+이/VCP+라고/EC
불리는	불리/VV+는/ETM
제2의	제/XPN+2/SN+의/JKG
행복한	행복하/VA+ㄴ/ETM
삶을	삶/NNG+을/JKO
마음껏	마음껏/MAG
누리고,	누리/VV+고/EC+,/SP
설사	설사/MAG
고난이	고난/NNG+이/JKS
생기더라도	생기/VV+더라도/EC
이겨나가는	이기/VV+어/EC+나가/VX+는/ETM
용기를	용기/NNG+를/JKO
갖게	갖/VV+게/EC
되지	되/VV+지/EC
않을까?해마다	않/VX+을까/EF+?/SF+해마다/MAG
열리는	열리/VV+는/ETM
제주DPI의	제주/NNP+DPI/SL+의/JKG
장애인인권영화제는	장애인인권영화제/NNG+는/JX
비장애인들에게는	비장애인/NNG+들/XSN+에게/JKB+는/JX
장애인을	장애인/NNG+을/JKO
이해하는	이해하/VV+는/ETM
데에	데/NNB+에/JKB
이론이	이론/NNG+이/JKC
아닌	아니/VCN+ㄴ/ETM
영화나	영화/NNG+나/JC
다큐멘터리를	다큐멘터리/NNG+를/JKO
통해	통하/VV+여/EC
자연스럽게	자연스럽/VA+게/EC
이해되며	이해되/VV+며/EC
장애인과	장애인/NNG+과/JC
비장애인들이	비장애인/NNG+들/XSN+이/JKS
서로	서로/MAG
소통하고	소통하/VV+고/EC
공감하는	공감하/VV+는/ETM
계기가	계기/NNG+가/JKC
되고	되/VV+고/EC
있다	있/VX+다/EC

많이	많이/MAG
이들이	이/NP+들/XSN+이/JKS
이런	이런/MM
좋은	좋/VA+은/ETM
기회를	기회/NNG+를/JKO
놓치지	놓치/VV+지/EC
말고	말/VX+고/EC
함께하는	함께하/VV+는/ETM
시간이	시간/NNG+이/JKC
되었으면	되/VV+었/EP+으면/EC
한다	하/VX+ㄴ다/EF

‘제13회	‘/SN+제/XPN+13/SN+회/NNB
제주장애인인권영화제는	제주/NNP+장애인인권영화제/NNG+는/JX
14일부터~16일까지	14/SN+일/NNB+부터/JX+~/SO+16/SN+일/NNB+까지/JX
제주영상미디어센터에서	제주영상미디어센터/NNP+에서/JKB
개최되며,	개최되/VV+며/EC+,/SP
총	총/MM
24편의	24/SN+편/NNB+의/JKG
다양한	다양하/VA+ㄴ/ETM
영상이	영상/NNG+이/JKS
상영된다	상영되/VV+ㄴ다/EF

자세한	자세하/VA+ㄴ/ETM
사항은	사항/NNG+은/JX
제주DPI(064-757-9897)로	제주/NNP+DPI/SL+(/SS+064/SN+-/SO+757/SN+-/SO+9897/SN+)/SS+로/JKB
문의하면	문의하/VV+면/EC
된다	되/VV+ㄴ다/EF

*이글은	*/SW+이글/NNP+은/JX
‘제13회	‘/SN+제/XPN+13/SN+회/NNB
제주장애인인권영화제’	제주/NNP+장애인인권영화제/NNG+’/SN
최은주	최은주/NNP
집행위원이	집행위원/NNG+이/JKS
보내왔습니다	보내오/VV+았/EP+습니다/EF
