KBS	KBS/SL
않고	않/VX+고/EC
도와주는	도와주/VV+는/ETM
사람은	사람/NNG+은/JX
인간의	인간/NNG+의/JKG
역사와	역사/NNG+와/JKB
함께	함께/MAG
시작되었을	시작되/VV+었/EP+을/ETM
것이다	것/NNB+이/VCP+다/EC

특히	특히/MAG
우리나라의	우리나라/NNG+의/JKG
건국이념이자	건국이념/NNG+이/VCP+자/EC
교육이념인	교육이념/NNG+이/VCP+ㄴ/ETM
‘널리	‘/SN+널리/NNG
인간을	인간/NNG+을/JKO
이롭게	이롭/VA+게/EC
한다’는	하/VX+ㄴ다/EF+’/SL+는/JX
홍익인간(弘益人間)은	홍익인간/NNG+(/SS+弘益人間/SL+)/SS+은/JX
인간애와	인간애/NNG+와/JC
이타주의에	이타주의/NNG+에/JKB
바탕하고	바탕/NNG+하/XSV+고/EC
있는	있/VX+는/ETM
자원봉사의	자원봉사/NNG+의/JKG
근간이기도	근간/NNG+이/VCP+기/ETN+도/JX
하다	하/VX+다/EC

그러나	그러나/MAJ
근대적	근대적/NNG
의미의	의미/NNG+의/JKG
볼런티어(Volunteer)는	볼런티어/NNG+(/SS+Volunteer/SL+)/SS+는/JX
1617년	1617/SN+년/NNB
영국에서	영국/NNP+에서/JKB
신부	신부/NNG
빈센트	빈센트/NNP
드	드/NNP
폴이	폴/NNP+이/JKS
조직한	조직하/VV+ㄴ/ETM
자선부인회에서	자선부인/NNG+회/XSN+에서/JKB
전개한	전개하/VV+ㄴ/ETM
사회봉사	사회봉사/NNG
활동이라	활동/NNG+이/VCP+라/EC
할	하/VV+ㄹ/ETM
수	수/NNB
있는데	있/VA+는데/EC
처음에는	처음/NNG+에/JKB+는/JX
자선사업가로	자선사업가/NNG+로/JKB
사회복지의	사회복지/NNG+의/JKG
주도적	주도적/NNG
역할을	역할/NNG+을/JKO
하였으나	하/VV+였/EP+으나/EC
차츰	차츰/MAG
볼런티어의	볼런티어/NNG+의/JKG
역할은	역할/NNG+은/JX
협력자로	협력자/NNG+로/JKB
바뀌게	바뀌/VV+게/EC
되었다고	되/VV+었/EP+다고/EC
한다	하/VV+ㄴ다/EF

이	이/NP
같은	같/VA+은/ETM
서양의	서양/NNG+의/JKG
볼런타리즘(voluntarism)은	볼런타리즘/NNG+(/SS+voluntarism/SL+)/SS+은/JX
우리나라에	우리나라/NNG+에/JKB
들어	들/VV+어/EC
온	오/VV+ㄴ/ETM
것은	것/NNB+은/JX
한말	한말/NNG
기독교	기독교/NNG
사상과	사상/NNG+과/JKB
같이	같이/MAG
들어	들/VV+어/EC
왔는데	오/VX+았/EP+는데/EC
당시에는	당시/NNG+에/JKB+는/JX
주로	주로/MAG
지식인들의	지식인/NNG+들/XSN+의/JKG
농촌계몽활동이었다	농촌계몽활동/NNG+이/VCP+었/EP+다/EF

그	그/MM
후	후/NNG
1960년대에	1960/SN+년대/NNB+에/JKB
인도주의와	인도주의/NNG+와/JC
자원봉사를	자원봉사/NNG+를/JKO
기본정신으로	기본정신/NNG+으로/JKB
하는	하/VV+는/ETM
적십자운동이	적십자운동/NNG+이/JKS
활성화	활성화/NNG
되면서	되/VV+면서/EC
각	각/MM
대학에서도	대학/NNG+에서/JKB+도/JX
농촌봉사활동이	농촌봉사활동/NNG+이/JKS
활발해져서	활발하/VA+여/EC+지/VX+어서/EC
이를	이/NP+를/JKO
‘농활’이라	‘/SL+농활’/NNG+이/VCP+라/EC
부르기도	부르/VV+기/ETN+도/JX
했다	하/VX+였/EP+다/EF

그리고	그리고/MAJ
’86아시안게임과	’/SL+86/SN+아시안게임/NNG+과/JC
’88올림픽을	’88/SN+올림픽/NNG+을/JKO
치르게	치르/VV+게/EC
되면서	되/VV+면서/EC
봉사자들을	봉사자/NNG+들/XSN+을/JKO
필요로	필요/NNG+로/JKB
하게	하/VV+게/EC
되자	되/VV+자/EC
그동안	그동안/NNG
일부	일부/NNG
사회복지기관	사회복지기관/NNG
등에서만	등/NNB+에서/JKB+만/JX
사용해	사용하/VV+여/EC
오던	오/VX+던/ETM
볼런티어가	볼런티어/NNG+가/JKS
‘자원봉사자’란	‘/SN+자원봉사자/NNG+’/SN+이/VCP+란/ETM
이름으로	이름/NNG+으로/JKB
인식되고	인식되/VV+고/EC
알려지게	알려지/VV+게/EC
되었으나,	되/VV+었/EP+으나/EC+,/SP
[자원봉사활동기본법]이	[/SS+자원봉사활동기본법/NNG+]/SS+이/JKS
제정된	제정되/VV+ㄴ/ETM
것은	것/NNB+은/JX
2005년	2005/SN+년/NNB
8월	8/SN+월/NNB
4일이다	4/SN+일/NNB+이/VCP+다/EC

사실	사실/MAG
필자도	필자/NNG+도/JX
사회복지	사회복지/NNG
특히	특히/MAG
장애인복지를	장애인복지/NNG+를/JKO
하게	하/VV+게/EC
된	되/VV+ㄴ/ETM
계기가	계기/NNG+가/JKS
1970년대에	1970/SN+년대/NNB+에/JKB
시작한	시작하/VV+ㄴ/ETM
자원봉사라고	자원봉사/NNG+이/VCP+라고/EC
할	하/VV+ㄹ/ETM
수	수/NNB
있다	있/VA+다/EC

녹음기도	녹음/VV+기/ETN+도/JX
귀했던	귀하/VA+였/EP+던/ETM
시절이라	시절/NNG+이/VCP+라/EC
시각장애인에게	시각장애인/NNG+에게/JKB
책을	책/NNG+을/JKO
읽어주는	읽/VV+어/EC+주/VX+는/ETM
낭독봉사활동을	낭독봉사활동/NNG+을/JKO
했었는데	하/VV+였었/EP+는데/EC
당시에도	당시/NNG+에/JKB+도/JX
낭독봉사자란	낭독봉사자/NNG+이/VCP+란/ETM
말은	말/NNG+은/JX
있었지만	있/VA+었/EP+지만/EC
‘자원봉사자’란	‘/SN+자원봉사자’/NNG+이/VCP+란/ETM
말은	말/NNG+은/JX
없었던	없/VA+었/EP+던/ETM
같다	같/VA+다/EC

‘사랑아	‘/SN+사랑아/NNG
사랑아’	사랑아’/NNG
홈페이지	홈페이지/NNG

ⓒKBS	ⓒKBS/SL
‘사랑아	‘/SL+사랑아/NNG
사랑아’	사랑아’/NNG
등장인물	등장인물/NNG
유씨	유/NNP+씨/NNB

ⓒKBS	ⓒKBS/SL
소설이나	소설/NNG+이나/JC
드라마는	드라마/NNG+는/JX
당연히	당연히/MAG
허구이다	허구/NNG+이/VCP+다/EC

그러나	그러나/MAJ
아무리	아무리/MAG
허구라	허구/NNG+이/VCP+라/EC
하더라도	하/VV+더라도/EC
사실적인	사실적/NNG+이/VCP+ㄴ/ETM
배경의	배경/NNG+의/JKG
바탕위에서	바탕위/NNG+에서/JKB
만들어진	만들/VV+어/EC+지/VX+ㄴ/ETM
허구여야	허구열/VV+야/EC
한다	하/VX+ㄴ다/EF

얼마	얼마/NNG
전에도	전/NNG+에/JKB+도/JX
필자가	필자/NNG+가/JKS
언급했듯이	언급하/VV+였/EP+듯이/EC
아무리	아무리/MAG
효를	효/NNG+를/JKO
강조하기	강조하/VV+기/ETN
위해서라도	위하/VV+여서/EC+라도/JX
살아있는	살/VV+아/EC+있/VX+는/ETM
어머니의	어머니/NNG+의/JKG
한쪽	한쪽/NNG
눈을	눈/NNG+을/JKO
아들에게	아들/NNG+에게/JKB
주어서는	주/VV+어서/EC+는/JX
안	안/MAG
된다는	되/VV+ㄴ다는/ETM
것이다	것/NNB+이/VCP+다/EC

살아있는	살/VV+아/EC+있/VX+는/ETM
사람의	사람/NNG+의/JKG
안구는	안구/NNG+는/JX
이식할	이식하/VV+ㄹ/ETM
수가	수/NNB+가/JKS
없기	없/VA+기/ETN
때문이다	때문/NNB+이/VCP+다/EC

KBS2	KBS/SL+2/SN
TV소설	TV/SL+소설/NNG
‘사랑아	‘/SN+사랑아/NNG
사랑아’는	사랑아/NNG+’/SL+는/JX
1970년대가	1970/SN+년대/NNB+가/JKS
시대적	시대적/NNG
배경인데	배경/NNG+이/VCP+ㄴ데/EC
출연자들이	출연자/NNG+들/XSN+이/JKS
그때는	그때/NNG+는/JX
사용하지도	사용하/VV+지/EC+도/JX
않았던	않/VX+았/EP+던/ETM
‘자원봉사자’를	‘/SN+자원봉사자’/NNG+를/JKO
남발하고	남발하/VV+고/EC
있으니	있/VX+으니/EC
말이다	말/NNG+이/VCP+다/EC

‘사랑아	‘/SN+사랑아/NNG
사랑아’는	사랑아’/NNG+는/JX
1970년대	1970/SN+년대/NNB
구미읍에서	구미읍/NNP+에서/JKB
떨어진	떨어지/VV+ㄴ/ETM
다미울이라는	다미울/NNG+이/VCP+라는/ETM
시골마을이	시골마을/NNG+이/JKS
주	주/NNG
무대인데	무대/NNG+이/VCP+ㄴ데/EC
다미울에서	다미울/NNP+에서/JKB
만복당이라는	만복당/NNP+이/VCP+라는/ETM
한약방을	한약방/NNG+을/JKO
운영하는	운영하/VV+는/ETM
홍윤식(선우재덕	홍윤식/NNP+(/SS+선우재덕/NNP
분)은	분/NNG+)/SS+은/JX
승희(황선희	승희/NNP+(/SS+황선희/NNP
분)와	분/NNG+)/SS+와/JC
승아(송민정	승아/NNG+(/SS+송민정/NNP
분)라는	분/NNB+)/SS+이/VCP+라는/ETM
쌍둥이	쌍둥이/NNG
딸과	딸/NNG+과/JC
아들	아들/NNG
하나를	하나/NR+를/JKO
두고	두/VV+고/EC
있다	있/VX+다/EC

언니	언니/NNG
승희는	승희/NNP+는/JX
공부를	공부/NNG+를/JKO
잘	잘/MAG
해서	하/VV+여서/EC
한국대를	한국/NNP+대/NNB+를/JKO
갔으나	가/VV+았/EP+으나/EC
동생	동생/NNG
승아는	승아/NNP+는/JX
중학교	중학교/NNG
밖에	밖/NNG+에/JKB
못	못/MAG
나온	나오/VV+ㄴ/ETM
말썽장이였다	말썽장/NNG+이/VCP+였다/EC

젊은	젊/VA+은/ETM
시절	시절/NNG
홍윤식과	홍윤식/NNP+과/JC
최명주(이일화	최명주/NNP+(/SS+이일화/NNP
분)는	분/NNG+)/SS+는/JX
사랑하는	사랑하/VV+는/ETM
사이였으나	사이/NNG+이/VCP+었/EP+으나/EC
독립운동을	독립운동/NNG+을/JKO
하던	하/VV+던/ETM
홍윤식의	홍윤식/NNP+의/JKG
아버지를	아버지/NNG+를/JKO
최명주의	최명주의/NNG
아버지가	아버지/NNG+가/JKS
밀고하는	밀고하/VV+는/ETM
바람에	바람/NNB+에/JKB
윤식의	윤식/NNG+의/JKG
아버지가	아버지/NNG+가/JKS
죽게	죽/VV+게/EC
되자	되/VV+자/EC
윤식의	윤식/NNG+의/JKG
어머니는	어머니/NNG+는/JX
두	두/MM
사람의	사람/NNG+의/JKG
결혼을	결혼/NNG+을/JKO
결사반대했다	결사반대하/VV+였/EP+다/EC

집안의	집안/NNG+의/JKG
반대로	반대/NNG+로/JKB
윤식은	윤식/NNG+은/JX
명주와	명주/NNP+와/JC
야반도주하여	야반도주/NNG+하/XSV+여/EC
살림을	살림/NNG+을/JKO
차렸고,	차리/VV+었/EP+고/EC+,/SP
명주가	명주/NNP+가/JKS
아이를	아이/NNG+를/JKO
가졌으나	가지/VV+었/EP+으나/EC
윤식은	윤식/NNG+은/JX
금동외삼촌(김효원	금동외삼촌/NNG+(/SS+김효원/NNP
분)에게	분/NNG+)/SS+에게/JKB
끌려와서	끌려오/VV+아서/EC
김양자(김예령	김양자/NNP+(/SS+김예령/NNP
분)과	분/NNG+)/SS+과/JKB
결혼하게	결혼하/VV+게/EC
된다	되/VV+ㄴ다/EF

그	그/MM
후	후/NNG
윤식은	윤식/NNG+은/JX
집	집/NNG
앞에서	앞/NNG+에서/JKB
강보에	강보/NNG+에/JKB
쌓인	쌓이/VV+ㄴ/ETM
아이를	아이/NNG+를/JKO
발견하고	발견하/VV+고/EC
양자가	양자/NNG+가/JKS
낳은	낳/VV+은/ETM
딸과	딸/NNG+과/JC
쌍둥이로	쌍둥이/NNG+로/JKB
키우는데,	키우/VV+는데/EC+,/SP
아기는	아기/NNG+는/JX
명주가	명주/NNG+가/JKS
수놓던	수놓/VV+던/ETM
배내저고리를	배내저고리/NNG+를/JKO
입고	입/VV+고/EC
있었다	있/VX+었/EP+다/EF

홍윤식과	홍윤식/NNP+과/JKB
헤어진	헤어지/VV+ㄴ/ETM
최명주가	최명주/NNP+가/JKS
아기를	아기/NNG+를/JKO
낳았으나	낳/VV+았/EP+으나/EC
명주	명주/NNP
엄마	엄마/NNG
유씨(김석옥	유/NNP+씨/NNB+(/SS+김석옥/NNP
분)는	분/NNG+)/SS+는/JX
명주에게는	명주/NNP+에게/JKB+는/JX
아기가	아기/NNG+가/JKS
죽었다고	죽/VV+었/EP+다고/EC
말하고,	말하/VV+고/EC+,/SP
명주의	명주/NNP+의/JKG
몸종이던	몸종/NNG+이/VCP+던/ETM
방곱단(이지은	방곱/NR+단/XSN+(/SS+이지/JC+은/JX
분)을	분/NNG+)/SS+을/JKO
시켜	시키/VV+어/EC
아기를	아기/NNG+를/JKO
윤식의	윤식/NNG+의/JKG
집	집/NNG
앞에	앞/NNG+에/JKB
갖다	갖/VV+다/EC
놓게	놓/VX+게/EC
했던	하/VX+였/EP+던/ETM
것이다	것/NNB+이/VCP+다/EC

그리고	그리고/MAJ
6	6/SN

25가	25/SN+가/JKS
터졌다	터지/VV+었/EP+다/EC

‘사랑아	‘/SN+사랑아/NNG
사랑아’	사랑아’/NNG
등장인물에	등장인물/NNG+에/JKB
있는	있/VA+는/ETM
설명을	설명/NNG+을/JKO
보면	보/VV+면/EC

‘유씨	‘/SL+유/NNP+씨/NNB
김석옥	김석옥/NNP

명주의	명주/NNP+의/JKG
어머니	어머니/NNG

서울	서울/NNP
근교의	근교/NNG+의/JKG
치매	치매/NNG
전문	전문/NNG
병원에	병원/NNG+에/JKB
장기	장기/NNG
입원	입원/NNG
중인	중/NNB+이/VCP+ㄴ/ETM
중증	중증/NNG
치매	치매/NNG
환자	환자/NNG

육이오	육이오/NNG
때	때/NNG
인민군의	인민군/NNG+의/JKG
포격으로	포격/NNG+으로/JKB
부상을	부상/NNG+을/JKO
입은	입/VV+은/ETM
그녀는	그녀/NP+는/JX
외상성	외상성/NNG
뇌손상으로	뇌손상/NNG+으로/JKB
인한	인하/VV+ㄴ/ETM
실어증과	실어증/NNG+과/JC
기억장애에	기억장애/NNG+에/JKB
걸렸다	걸리/VV+었/EP+다/EC

십년	십/NR+년/NNB
전,	전/NNG+,/SP
치매환자	치매환자/NNG
수용소에서	수용소/NNG+에서/JKB
자원봉사를	자원봉사/NNG+를/JKO
온	오/VV+ㄴ/ETM
명주와	명주/NNP+와/JC
재회했다	재회하/VV+였/EP+다/EC

’1960년에	’/SL+1960/SN+년/NNB+에/JKB
명주가	명주/NNG+가/JKS
수용소에	수용소/NNG+에/JKB
자원봉사를	자원봉사/NNG+를/JKO
나와서	나오/VV+아서/EC
어머니를	어머니/NNG+를/JKO
만날	만나/VV+ㄹ/ETM
수는	수/NNB+는/JX
있을	있/VA+을/ETM
것이다	것/NNB+이/VCP+다/EC

명주는	명주/NNP+는/JX
6	6/SN

25	25/SN
때	때/NNG
잃어버린	잃어버리/VV+ㄴ/ETM
어머니를	어머니/NNG+를/JKO
찾아서	찾/VV+아서/EC
수용소마다	수용소/NNG+마다/JX
뒤지고	뒤지/VV+고/EC
다닐	다니/VV+ㄹ/ETM
수는	수/NNB+는/JX
있었을	있/VA+었/EP+을/ETM
테니까	터/NNB+니/VCN+까/EC

그러나	그러나/MAJ
명주는	명주/NNP+는/JX
어머니를	어머니/NNG+를/JKO
서울	서울/NNP
근교의	근교/NNG+의/JKG
치매전문병원에	치매전문병원/NNG+에/JKB
입원을	입원/NNG+을/JKO
시켜	시키/VV+어/EC
놓고	놓/VX+고/EC
드나들고	드나들/VV+고/EC
있다	있/VX+다/EC

명주는	명주/NNP+는/JX
어머니	어머니/NNG
병문안을	병문안/NNG+을/JKO
가면서	가/VV+면서/EC
다른	다른/MM
사람들에게는	사람/NNG+들/XSN+에게/JKB+는/JX
자원봉사를	자원봉사/NNG+를/JKO
간다고	가/VV+ㄴ다고/EC
했다	하/VV+였/EP+다/EC

아들	아들/NNG
박노경(오창석	박노경/NNP+(/SS+오창석/NNP
분),	분/NNG+)/SS+,/SP
색오름공방의	색오름공방/NNG+의/JKG
김양,	김/NNP+양/NNB+,/SP
방곱단	방곱/NNG+단/XSN
등은	등/NNB+은/JX
‘공방이	‘/SL+공방/NNG+이/JKS
이렇게	이렇/VA+게/EC
바쁜데	바쁘/VA+ㄴ데/EC
요양원에	요양원/NNG+에/JKB
자원봉사하러	자원/NNG+봉사하/VV+러/EC
가느냐’고	가/VX+느냐/EC+’/SN+고/NNG
타박을	타박/NNG+을/JKO
했다	하/VV+였/EP+다/EF

그런데	그런데/MAJ
1960년대에는	1960/SN+년대/NNB+에/JKB+는/JX
치매전문병원도	치매전문병원/NNG+도/JX
없었고	없/VA+었/EP+고/EC
‘자원봉사자’라는	‘/SN+자원봉사자’/NNG+이/VCP+라는/ETM
용어도	용어/NNG+도/JX
없었다	없/VA+었/EP+다/EF

[의료법]에	[/SS+의료법/NNG+]/SS+에/JKB
요양병원이	요양병원/NNG+이/JKS
처음	처음/NNG
생긴	생기/VV+ㄴ/ETM
것은	것/NNB+은/JX
1994년이다	1994/SN+년/NNB+이/VCP+다/EC

필자도	필자/NNG+도/JX
‘사랑아	‘/SN+사랑아/NNG
사랑아’에서	사랑아’/NNG+에서/JKB
처음	처음/NNG
‘자원봉사자’라는	‘/SN+자원봉사자’/NNG+이/VCP+라는/ETM
말을	말/NNG+을/JKO
듣고는	듣/VV+고는/EC
‘저	‘/SN+저/JKB
때는	때/NNG+는/JX
저런	저런/MM
말이	말/NNG+이/JKS
없었는데	없/VA+었/EP+는데/EC

’	’/SL
하고는	하고/JKB+는/JX
그냥	그냥/MAG
지나쳤었다	지나치/VA+었었/EP+다/EF

그런데	그런데/MAJ
‘사랑아	‘/SL+사랑아/NNG
사랑아’는	사랑아/NNG+’/SL+는/JX
지난	지나/VV+ㄴ/ETM
5월	5/SN+월/NNB
7일에	7/SN+일/NNB+에/JKB
시작해서	시작하/VV+여서/EC
아직도	아직/MAG+도/JX
계속하고	계속하/VV+고/EC
있는데	있/VX+는데/EC
엉터리가	엉터리/NNG+가/JKC
하도	하/NNG+도/JX
많아서	많/VA+아서/EC
다시	다시/MAG
한	한/MM
번	번/NNB
‘자원봉사자’를	‘/SN+자원봉사자’/NNG+를/JKO
찾아보게	찾아보/VV+게/EC
되었다	되/VV+었/EP+다/EC

'식모'	'/SS+식/NNP+모/NP+'/SS
ⓒ네이버	ⓒ/SL+네이버/NNP
뉴스	뉴스/NNG
라이브러리	라이브러리/NNG
'버스차장'	'/SS+버스차장/NNG+'/SS
ⓒ네이버	ⓒ/SL+네이버/NNP
뉴스	뉴스/NNG
라이브러리	라이브러리/NNG
시청자	시청자/NNG
게시판을	게시판/NNG+을/JKO
훑어보니	훑어보/VV+니/EC
필자의	필자/NNG+의/JKG
생각과	생각/NNG+과/JKB
비슷한	비슷하/VA+ㄴ/ETM
내용들이	내용/NNG+들/XSN+이/JKS
많았다	많/VA+았/EP+다/EC

최00님은	최/NNP+00/SN+님/NNG+은/JX
예전에	예전/NNG+에/JKB
들은	듣/VV+은/ETM
습작기초	습작기/NNG+초/NNB
강의에서	강의/NNG+에서/JKB
교수는	교수/NNG+는/JX
‘독자를	‘/SL+독자/NNG+를/JKO
우습게보지	우습/VA+게/EC+보/VX+지/EC
말라’고	말/VX+라/EC+’/VV+고/EC
했다는	하/VV+였/EP+다는/ETM
것이다	것/NNB+이/VCP+다/EC

예를	예/NNG+를/JKO
들면	들/VV+면/EC
타이타닉	타이타닉/NNP
침몰	침몰/NNG
전에	전/NNG+에/JKB
한	하/VV+ㄴ/ETM
쌍의	쌍/NNG+의/JKG
로맨틱남녀가	로맨틱남녀/NNG+가/JKS
보름달빛아래서	보름달빛아래/NNG+서/JKB
사랑의	사랑/NNG+의/JKG
포옹을	포옹/NNG+을/JKO
한다는	하/VV+ㄴ다는/ETM
설정을	설정/NNG+을/JKO
한다면,	하/VV+ㄴ다면/EC+,/SP
작가는	작가/NNG+는/JX
필수적으로	필수적/NNG+으로/JKB
당시	당시/NNG
타이타닉	타이타닉/NNP
침몰	침몰/NNG
당일의	당일/NNG+의/JKG
월력과	월력/NNG+과/JC
날씨를	날씨/NNG+를/JKO
확인해야	확인하/VV+여야/EC
한다는	하/VX+ㄴ다는/ETM
것이다	것/NNB+이/VCP+다/EC

참고로	참고/NNG+로/JKB
당일	당일/NNG
밤은	밤/NNG+은/JX
그믐에	그믐/NNG+에/JKB
흐린	흐리/VA+ㄴ/ETM
날씨였다고	날씨/NNG+이/VCP+었/EP+다고/EC
한다	하/VV+ㄴ다/EF

1970년도를	1970/SN+년/NNB+도/NNG+를/JKO
설정으로	설정/NNG+으로/JKB
하는	하/VV+는/ETM
드라마에서	드라마/NNG+에서/JKB
삼륜딸딸이	삼륜딸딸/NNG+이/JKS
운송차로	운송차/NNG+로/JKB
구미에서	구미/NNP+에서/JKB
서울까지	서울/NNP+까지/JX
운행이	운행/NNG+이/JKS
가능하다고	가능하/VA+다고/EC
보시는지?	보/VV+시/EP+는지/EF+?/SF
다미울이라는	다미울/NNG+이/VCP+라는/ETM
구미를	구미/NNG+를/JKO
읍내로	읍내/NNG+로/JKB
둔	두/VV+ㄴ/ETM
깡촌마을에서	깡촌마을/NNG+에서/JKB
서울이	서울/NNP+이/JKS
당일	당일/NNG
생활권이라고	생활권/NNG+이/VCP+라고/EC
생각하시는지?	생각하/VV+시/EP+는지/EF+?/SF
딸이	딸/NNG+이/JKS
아버지	아버지/NNG
첫사랑의	첫사랑/NNG+의/JKG
과거를	과거/NNG+를/JKO
가지고	가지/VV+고/EC
거래를	거래/NNG+를/JKO
한다는	하/VV+ㄴ다는/ETM
황당한	황당하/VA+ㄴ/ETM
막장개념은	막장개념/NNG+은/JX
말도	말/NNG+도/JX
안	안/MAG
되는	되/VV+는/ETM
설정이라는	설정/NNG+이/VCP+라는/ETM
것이다	것/NNB+이/VCP+다/EC

이00님은	이/MM+00/SN+님/NNG+은/JX
시대에	시대/NNG+에/JKB
맞지	맞/VV+지/EC
않은	않/VX+은/ETM
소품이나	소품/NNG+이나/JC
용어를	용어/NNG+를/JKO
지적하기도	지적하/VV+기/ETN+도/JX
했다	하/VX+였/EP+다/EF

당시에는	당시/NNG+에/JKB+는/JX
철필	철필/VV
쓴	쓰/VV+ㄴ/ETM
등사물로	등사물/NNG+로/JKB
인쇄하고	인쇄하/VV+고/EC
종이는	종이/NNG+는/JX
16절지였는데	16/SN+절지/NNG+이/VCP+었/EP+는데/EC
가정통신문이	가정통신문/NNG+이/JKS
컴퓨터로	컴퓨터/NNG+로/JKB
뽑은	뽑/VV+은/ETM
A4였다	A/SL+4/SN+이/VCP+었/EP+다/EF

또	또/MAG
그	그/MM
시대에	시대/NNG+에/JKB
아르바이트라는	아르바이트/NNG+이/VCP+라는/ETM
용어와	용어/NNG+와/JC
서울에	서울/NNP+에/JKB
그렇게	그렇/VA+게/EC
높은	높/VA+은/ETM
빌딩이	빌딩/NNG+이/JKS
있었는지를	있/VA+었/EP+는지/EC+를/JKO
물었다	묻/VV+었/EP+다/EF

언니	언니/NNG
승희는	승희/NNP+는/JX
공부를	공부/NNG+를/JKO
잘해서	잘하/VV+여서/EC
한국대(서울대학?)	한국/NNP+대/NNB+(/SS+서울대학/NNP+?/SF+)/SS
합격을	합격/NNG+을/JKO
했다	하/VV+였/EP+다/EC

승아는	승아/NNP+는/JX
아버지	아버지/NNG
윤식이	윤식이/NNP
녹용을	녹용/NNG+을/JKO
사오라며	살오라/VV+며/EC
만원을	만/NR+원/NNB+을/JKO
주셨는데	주/VV+시었/EP+는데/EC
몇	몇/MM
천	천/NR
원짜리	원/NNB+짜리/XSN
가짜	가짜/NNG
녹용을	녹용/NNG+을/JKO
사오는	사/VV+아/EC+오/VV+는/ETM
바람에	바람/NNB+에/JKB
만복당은	만복당/NNP+은/JX
영업정지를	영업정지/NNG+를/JKO
맞아	맞/VV+아/EC
승희의	승희/NNP+의/JKG
등록금을	등록금/NNG+을/JKO
마련하지	마련하/VV+지/EC
못했다	못하/VX+였/EP+다/EC

윤식은	윤식/NNG+은/JX
사채를	사채/NNG+를/JKO
얻으러	얻/VV+으러/EC
다녔으나,	다니/VV+었/EP+으나/EC+,/SP
양자는	양자/NNG+는/JX
고향	고향/NNG
선배인	선배/NNG+이/VCP+ㄴ/ETM
소망병원	소망병원/NNP
여삼추(김규철	여삼추/NNG+(/SS+김규철/NNP
분)	분/NNG+)/SS
원장한테	원장/NNG+한테/JKB
등록금을	등록금/NNG+을/JKO
빌려	빌리/VV+어/EC
승희에게	승희/NNP+에게/JKB
주었는데	주/VV+었/EP+는데/EC
가수를	가수/NNG+를/JKO
꿈꾸는	꿈꾸/VV+는/ETM
승아가	승아/NNG+가/JKS
그	그/MM
돈을	돈/NNG+을/JKO
훔쳐서	훔치/VV+어서/EC
달아났다	달아나/VV+았/EP+다/EC

아무리	아무리/MAG
시골	시골/NNG
한약방이라고	한약방/NNG+이/VCP+라고/EC
