미리보는	미리보/NNP+는/JX
찌르는	찌르/VV+는/ETM
사회고발영화,	사회고발영화/NNG+,/SP
그리고	그리고/MAJ
장애를	장애/NNG+를/JKO
장르영화	장르영화/NNG
문법	문법/NNG
속에서	속/NNG+에서/JKB
유려하게	유려하/VA+게/EC
풀어낸	풀어내/VV+ㄴ/ETM
작품들까지	작품/NNG+들/XSN+까지/JX
다양한	다양하/VA+ㄴ/ETM
범주의	범주/NNG+의/JKG
영화가	영화/NNG+가/JKS
주를	주/NNG+를/JKO
이루며,	이루/VV+며/EC+,/SP
개막작	개막/NNG+작/XSN
‘두	‘/SN+두/MM
번째	번째/NNB
계절’을	계절’/NNG+을/JKO
포함한	포함하/VV+ㄴ/ETM
경쟁작	경쟁/NNG+작/XSN
27개	27/SN+개/NNB
작품이	작품/NNG+이/JKS
선정됐다	선정되/VV+었/EP+다/EF

이에	이/NP+에/JKB
‘제13회	‘/SN+제/XPN+13/SN+회/NNB
장애인영화제’	장애인영화제/NNG+’/SL
개막작인	개막/NNG+작/XSN+이/VCP+ㄴ/ETM
‘두	‘/SN+두/NR
번째	번째/NNB
계절’	계절’/NNG
등	등/NNB
주목받는	주목/NNG+받/VV+는/ETM
작품	작품/NNG
5개를	5/SN+개/NNB+를/JKO
소개한다	소개하/VV+ㄴ다/EF

‘두	‘/SN+두/NR
번째	번째/NNB
계절’	계절/NNG+’/SL
스틸컷	스틸컷/NNG

ⓒ장애인영화제	ⓒ/SL+장애인영화제/NNG
사무국	사무국/NNG
■기대되는	■/SW+기대되/VV+는/ETM
개막작	개막/NNG+작/XSN
‘두	‘/SN+두/NR
번째	번째/NNB
계절’=26년이라는	계절/NNG+’/SN+=/SW+26/SN+년/NNB+이/VCP+라는/ETM
시설에서의	시설/NNG+에서/JKB+의/JKG
오랜	오랜/MM
삶을	삶/NNG+을/JKO
청산하고	청산하/VV+고/EC
마침내	마침내/MAG
독립	독립/NNG
생활을	생활/NNG+을/JKO
시작한	시작하/VV+ㄴ/ETM
수양	수양/NNG

혼자만의	혼자/NNG+만/JX+의/JKG
시간을	시간/NNG+을/JKO
마음껏	마음껏/MAG
누리고	누리/VV+고/EC
외출하고	외출하/VV+고/EC
싶을	싶/VX+을/ETM
때	때/NNG
나갈	나가/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
서울에서의	서울/NNP+에서/JKB+의/JKG
자립생활은	자립생활/NNG+은/JX
신기할	신기하/VA+ㄹ/ETM
정도로	정도/NNG+로/JKB
자유롭지만	자유롭/VA+지만/EC
긴밀한	긴밀하/VA+ㄴ/ETM
인맥	인맥/NNG
없는	없/VA+는/ETM
대도시에서의	대도시/NNG+에서/JKB+의/JKG
삶이	삶/NNG+이/JKS
그리	그리/MAG
신나기만	신/NNG+나/VV+기/ETN+만/JX
한	하/VX+ㄴ/EF
것은	것/NNB+은/JX
아니다	아니/VCN+다/EC

카메라는	카메라/NNG+는/JX
서울에서의	서울/NNP+에서/JKB+의/JKG
두	두/MM
번째	번째/NNB
봄을	봄/NNG+을/JKO
맞이한	맞이하/VV+ㄴ/ETM
수양의	수양/NNG+의/JKG
일상을	일상/NNG+을/JKO
조용한	조용하/VA+ㄴ/ETM
따라가면서	따라가/VV+면서/EC
그녀의	그녀/NP+의/JKG
나긋나긋한	나긋나긋하/VA+ㄴ/ETM
목소리를	목소리/NNG+를/JKO
성실히	성실히/MAG
기록한다	기록하/VV+ㄴ다/EF

긴	길/VA+ㄴ/ETM
터널	터널/NNG
같았던	같/VA+았/EP+던/ETM
시설에서의	시설/NNG+에서/JKB+의/JKG
기억을	기억/NNG+을/JKO
단정한	단정하/VA+ㄴ/ETM
언어로	언어/NNG+로/JKB
새기고,	새기/VV+고/EC+,/SP
자립생활과	자립생활/NNG+과/JKB
함께	함께/MAG
찾아온	찾아오/VV+ㄴ/ETM
삶의	삶/NNG+의/JKG
무게를	무게/NNG+를/JKO
묵묵히	묵묵히/MAG
수용하는	수용하/VV+는/ETM
수양의	수양/NNG+의/JKG
모습은	모습/NNG+은/JX
고통조차	고통/NNG+조차/JX
삶의	삶/NNG+의/JKG
깊이로	깊이/NNG+로/JKB
단단히	단단히/MAG
다져온	다지/VV+어/EC+오/VX+ㄴ/ETM
그녀의	그녀/NP+의/JKG
삶을	삶/NNG+을/JKO
정서적으로	정서적/NNG+으로/JKB
가늠케	가늠하/VV+게/EC
한다	하/VX+ㄴ다/EF

말쑥한	말쑥하/VA+ㄴ/ETM
부엌	부엌/NNG
살림,	살림/NNG+,/SP
책상	책상/NNG
앞에	앞/NNG+에/JKB
붙은	붙/VV+은/ETM
일본어단어장,	일본어/NNP+단어장/NNG+,/SP
이제	이제/MAG
수양의	수양/NNG+의/JKG
집은	집/NNG+은/JX
주춤거리면서도	주춤거리/VV+면서/EC+도/JX
느린	느리/VA+ㄴ/ETM
발걸음을	발걸음/NNG+을/JKO
멈추지	멈추/VV+지/EC
않는	않/VX+는/ETM
독립생활의	독립생활/NNG+의/JKG
한	한/MM
모습이다	모습/NNG+이/VCP+다/EC

카메라는	카메라/NNG+는/JX
수양의	수양/NNG+의/JKG
곁에	곁/NNG+에/JKB
가까이	가까이/MAG
머물면서도	머물/VV+면서/EC+도/JX
그녀의	그녀/NP+의/JKG
삶을	삶/NNG+을/JKO
감동실화로	감동실화/NNG+로/JKB
포장해내거나	포장하/VV+여/EC+내/VX+거나/EC
극기스토리로	극기스토리/NNG+로/JKB
한정	한정/NNG
짓지	짓/VV+지/EC
않고,	않/VX+고/EC+,/SP
한	한/MM
인간의	인간/NNG+의/JKG
지속되는	지속되/VV+는/ETM
삶과	삶/NNG+과/JC
성숙한	성숙하/VV+ㄴ/ETM
품성을	품성/NNG+을/JKO
함께	함께/MAG
경험하게	경험하/VV+게/EC
한다	하/VX+ㄴ다/EF

섬세한	섬세하/VA+ㄴ/ETM
감수성을	감수성/NNG+을/JKO
지닌	지니/VV+ㄴ/ETM
주인공과	주인공/NNG+과/JC
인간에	인간/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
예의를	예의/NNG+를/JKO
지키는	지키/VV+는/ETM
감독이	감독/NNG+이/JKS
만나	만나/VV+아/EC
만들어낸,	만들/VV+어/EC+내/VX+ㄴ/ETM+,/SP
말하는	말하/VV+는/ETM
순간보다	순간/NNG+보다/JKB
그	그/MM
행간이	행간/NNG+이/JKS
더욱	더욱/MAG
돋보이는	돋보이/VV+는/ETM
사려	사려/NNG
깊은	깊/VA+은/ETM
다큐멘터리로,	다큐멘터리/NNG+로/JKB+,/SP
이번	이번/NNG
장애인영화제의	장애인영화제/NNG+의/JKG
개막작으로	개막/NNG+작/XSN+으로/JKB
선정됐다	선정되/VV+었/EP+다/EF

<감독:영,	</SS+감독/NNG+:/SP+영/NNP+,/SP
러닝타임:	러닝타임/NNG+:/SP
40분,	40/SN+분/NNB+,/SP
장르:	장르/NNG+:/SP
다큐멘터리,	다큐멘터리/NNG+,/SP
전체관람가>	전체관람/NNG+가/JKS+>/SS
'2010년,서울'	'/SS+2010/SN+년/NNB+,/SP+서울/NNP+'/SS
스틸컷	스틸컷/NNG

ⓒ장애인영화제	ⓒ/SL+장애인영화제/NNG
사무국	사무국/NNG
■“장애아들을	■/SW+“/SN+장애아/NNG+들/XSN+을/JKO
위해	위하/VV+여/EC
못할것도	못하/VX+ㄹ/ETM+것/NNB+도/JX
없지만…”	없/VA+지만/EC+…/SE+”/SL
‘2010년,	‘/SL+2010/SN+년/NNB+,/SP
서울’=가진	서울/NNP+’/SL+=/SW+가지/VV+ㄴ/ETM
것도	것/NNB+도/JX
배운	배우/VV+ㄴ/ETM
것도	것/NNB+도/JX
없는	없/VA+는/ETM
50대	50/SN+대/NNG
김춘배	김춘배/NNP

일자리를	일자리/NNG+를/JKO
얻기	얻/VV+기/ETN
위해	위하/VV+여/EC
고군	고군/NNG
고투하지만	고투하/VV+지만/EC
절박한	절박하/VA+ㄴ/ETM
노력은	노력/NNG+은/JX
매번	매번/MAG
헛수고로	헛수고/NNG+로/JKB
돌아간다	돌아가/VV+ㄴ다/EC

장애를	장애/NNG+를/JKO
앓고	앓/VV+고/EC
있는	있/VX+는/ETM
아들	아들/NNG
민준을	민준/NNG+을/JKO
위해서라면	위하/VV+여서/EC+이/VCP+라면/EC
못할	못하/VX+ㄹ/ETM
것이	것/NNB+이/JKS
없지만,	없/VA+지만/EC+,/SP
전과자인	전과자/NNG+이/VCP+ㄴ/ETM
그에게	그/NP+에게/JKB
세상은	세상/NNG+은/JX
그리	그리/MAG
녹록치	녹록하/VA+지/EC
않다	않/VX+다/EC

우리	우리/NP
시대의	시대/NNG+의/JKG
정의,	정의/NNG+,/SP
그리고	그리고/MAJ
공정이라는	공정/NNG+이/VCP+라는/ETM
것이	것/NNB+이/JKS
과연	과연/MAG
무엇인가?	무엇/NP+이/VCP+ㄴ가/EF+?/SF
경직된	경직되/VV+ㄴ/ETM
규칙의	규칙/NNG+의/JKG
기능적	기능적/NNG
적용이	적용/NNG+이/JKS
어떤	어떤/MM
비극을	비극/NNG+을/JKO
초래하는지	초래하/VV+는지/EC
시대의	시대/NNG+의/JKG
자화상	자화상/NNG
김춘배를	김춘배/NNP+를/JKO
통해	통하/VV+여/EC
소외되고	소외되/VV+고/EC
도태되는	도태되/VV+는/ETM
서글픈	서글프/VA+ㄴ/ETM
한	한/MM
인간의	인간/NNG+의/JKG
모습을	모습/NNG+을/JKO
차분하고	차분하/VA+고/EC
냉정하게	냉정하/VA+게/EC
조명한다	조명하/VV+ㄴ다/EF

<감독:김민철,	</SS+감독/NNG+:/SP+김민철/NNP+,/SP
러닝타임:	러닝타임/NNG+:/SP
25분,	25/SN+분/NNB+,/SP
장르:	장르/NNG+:/SP
드라마,	드라마/NNG+,/SP
전체관람가>	전체관람/NNG+가/JKS+>/SS
'나를	'/SS+나/NP+를/JKO
찾아	찾/VV+아/EC
떠난	떠나/VV+ㄴ/ETM
여행'	여행/NNG+'/SS
스틸컷	스틸컷/NNG

ⓒ장애인영화제	ⓒ/SL+장애인영화제/NNG
사무국	사무국/NNG
■장애인	■/SW+장애인/NNG
부모로	부모/NNG+로/JKB
산다는	살/VV+ㄴ다는/ETM
것은?	것/NNB+은/JX+?/SF
‘나를	‘/SL+나/NP+를/JKO
찾아	찾/VV+아/EC
떠난	떠나/VV+ㄴ/ETM
여행’=장애인	여행/NNG+’/SL+=/SW+장애인/NNG
부모로	부모/NNG+로/JKB
살아오면서	살아오/VV+면서/EC
겪어야	겪/VV+어야/EC
했던	하/VX+였/EP+던/ETM
내면의	내면/NNG+의/JKG
아픔을	아픔/NNG+을/JKO
담아낸	담아내/VV+ㄴ/ETM
자전적	자전적/NNG
다큐멘터리	다큐멘터리/NNG

아픈	아프/VA+ㄴ/ETM
상처와	상처/NNG+와/JC
기억들을	기억/NNG+들/XSN+을/JKO
떠올려	떠올리/VV+어/EC
치유하고,	치유하/VV+고/EC+,/SP
장애인의	장애인/NNG+의/JKG
문제를	문제/NNG+를/JKO
개인이	개인/NNG+이/JKC
아니라	아니/VCN+라/EC
사회가	사회/NNG+가/JKS
함께	함께/MAG
책임져야	책임지/VV+어야/EC
한다는	하/VX+ㄴ다는/ETM
것을	것/NNB+을/JKO
보여주고자	보이/VV+어/EC+주/VX+고자/EC
했다	하/VX+였/EP+다/EC

발달장애인의	발달장애인/NNG+의/JKG
문제를	문제/NNG+를/JKO
가족이	가족/NNG+이/JKS
책임지고	책임지/VV+고/EC
살아가야	살아가/VV+아야/EC
하는	하/VX+는/ETM
지금의	지금/NNG+의/JKG
현실에서	현실/NNG+에서/JKB
무엇보다	무엇/NP+보다/JKB
필요한	필요하/VA+ㄴ/ETM
것이	것/NNB+이/JKS
국가의	국가/NNG+의/JKG
현실적인	현실적/NNG+이/VCP+ㄴ/ETM
지원이다	지원/NNG+이/VCP+다/EC

장애아동지원법과	장애아동지원법/NNG+과/JC
발달장애인법을	발달장애인법/NNG+을/JKO
제정해	제정하/VV+여/EC
국가가	국가/NNG+가/JKS
구조적인	구조적/NNG+이/VCP+ㄴ/ETM
대안을	대안/NNG+을/JKO
만들어야	만들/VV+어야/EC
한다고	하/VX+ㄴ다고/EC
주장하는	주장하/VV+는/ETM
동시에,	동시/NNG+에/JKB+,/SP
일상	일상/NNG
속에서	속/NNG+에서/JKB
희망을	희망/NNG+을/JKO
잃지	잃/VV+지/EC
않고	않/VX+고/EC
현실을	현실/NNG+을/JKO
열심히	열심히/MAG
살아가는	살아가/VV+는/ETM
장애인	장애인/NNG
부모의	부모/NNG+의/JKG
모습이	모습/NNG+이/JKS
순박한	순박하/VA+ㄴ/ETM
필치로	필치/NNG+로/JKB
그려진다	그리/VV+어/EC+지/VX+ㄴ다/EF

<감독:박상현,	</SS+감독/NNG+:/SP+박상현/NNP+,/SP
러닝타임:	러닝타임/NNG+:/SP
14분,	14/SN+분/NNB+,/SP
장르:	장르/NNG+:/SP
다큐멘터리,	다큐멘터리/NNG+,/SP
전체관람가>	전체관람/NNG+가/JKS+>/SS
'나비와	'/SS+나비/NNP+와/JC
바다'	바다/NNG+'/SS
스틸컷	스틸컷/NNG

ⓒ장애인영화제	ⓒ/SL+장애인영화제/NNG
사무국	사무국/NNG
■로맨스가	■/SW+로맨스/NNG+가/JKS
떠난	떠나/VV+ㄴ/ETM
결혼	결혼/NNG
‘나비와	‘/SN+나비/NNG+와/JC
바다’=뇌병변	바다/NNG+’/SL+=/SW+뇌병변/NNG
장애를	장애/NNG+를/JKO
앓고	앓/VV+고/EC
있는	있/VX+는/ETM
재년(제제)과	재년/NNG+(/SS+제제/NNG+)/SS+과/JC
우영(노인네)이	우영/NNP+(/SS+노인네/NNG+)/SS+이/JKS
드디어	드디어/MAG
7년	7/SN+년/NNB
연애의	연애/NNG+의/JKG
종지부를	종지부/NNG+를/JKO
찍고	찍/VV+고/EC
결혼을	결혼/NNG+을/JKO
결심한다	결심하/VV+ㄴ다/EF

아름답고	아름답/VA+고/EC
행복할	행복하/VA+ㄹ/ETM
것만	것/NNB+만/JX
같던	같/VA+던/ETM
결혼이	결혼/NNG+이/JKS
막상	막상/MAG
눈앞으로	눈앞/NNG+으로/JKB
다가오니	다가오/VV+니/EC
환상은	환상/NNG+은/JX
점점	점점/MAG
걷히고	걷히/VV+고/EC
현실은	현실/NNG+은/JX
더욱더	더욱더/MAG
선명해진다	선명하/VA+여/EC+지/VX+ㄴ다/EF

재년과	재년/NNG+과/JC
우영이	우영/NNG+이/JKS
나누는	나누/VV+는/ETM
사랑은	사랑/NNG+은/JX
말할	말하/VV+ㄹ/ETM
필요도	필요/NNG+도/JX
없이	없이/MAG
로맨스지만	로맨스/NNG+이/VCP+지만/EC
두	두/MM
사람을	사람/NNG+을/JKO
바라보는	바라보/VV+는/ETM
우려	우려/NNG
섞인	섞이/VV+ㄴ/ETM
시선과	시선/NNG+과/JC
각자에게	각자/NNG+에게/JKB
주어진	주어지/VV+ㄴ/ETM
역할에	역할/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
부담은	부담/NNG+은/JX
호러일	호러일/VV+ㄹ/ETM
수밖에	수/NNB+밖에/JX
없다	없/VA+다/EC

영화는	영화/NNG+는/JX
‘비정상이라	‘/SL+비정상/NNG+이/VCP+라/EC
규정된	규정되/VV+ㄴ/ETM
삶’을	삶/NNG+’/SL+을/JKO
살고	살/VV+고/EC
있	있/VX
두	두/MM
사람의	사람/NNG+의/JKG
결혼	결혼/NNG
과정을	과정/NNG+을/JKO
따라가면서	따라가/VV+면서/EC
두	두/MM
사람을	사람/NNG+을/JKO
바라보는	바라보/VV+는/ETM
비장애인의	비/XPN+장애인/NNG+의/JKG
시선과	시선/NNG+과/JC
가부장의	가부장/NNG+의/JKG
허울에	허울/NNG+에/JKB
갇힌	갇히/VV+ㄴ/ETM
결혼제도의	결혼제도/NNG+의/JKG
폭력성을	폭력성/NNG+을/JKO
담아낸다	담아내/VV+ㄴ다/EF

<감독:박배일,	</SS+감독/NNG+:/SP+박배일/NNP+,/SP
러닝타임:	러닝타임/NNG+:/SP
89분,	89/SN+분/NNB+,/SP
장르:	장르/NNG+:/SP
다큐멘터리,	다큐멘터리/NNG+,/SP
전체관람가>	전체관람/NNG+가/JKS+>/SS
'시설장애인의	'/SS+시설장애인/NNG+의/JKG
역습'스틸컷	역습/NNG+'/SS+스틸컷/NNG

ⓒ장애인영화제	ⓒ/SL+장애인영화제/NNG
사무국	사무국/NNG
■초청작	■/SW+초청작/NNP
‘시설장애인의	‘/SL+시설장애인/NNG+의/JKG
역습’=장애인생활시설에서	역습/NNG+’/SL+=/SW+장애인생활시설/NNG+에서/JKB
살던	살/VV+던/ETM
여덟	여덟/NR
명의	명/NNB+의/JKG
장애인이	장애인/NNG+이/JKS
서울	서울/NNP
마로니에공원에서	마로니에공원/NNP+에서/JKB
천막을	천막/NNG+을/JKO
치고	치/VV+고/EC
농성을	농성/NNG+을/JKO
시작한다	시작하/VV+ㄴ다/EC

비리시설인	비리시설/NNG+이/VCP+ㄴ/ETM
석암재단의	석암재단/NNP+의/JKG
민주화를	민주화/NNG+를/JKO
위해	위하/VV+여/EC
일	일/NR
년	년/NNB
넘게	넘/VV+게/EC
투쟁했던	투쟁하/VV+였/EP+던/ETM
장애인들이	장애인/NNG+들/XSN+이/JKS
이제는	이제/NNG+는/JX
시설이	시설/NNG+이/JKC
아니라	아니/VCN+라/EC
지역사회에서	지역사회/NNG+에서/JKB
인간답게	인간/NNG+답/XSA+게/EC
살	살/VV+ㄹ/ETM
권리를	권리/NNG+를/JKO
요구하고	요구하/VV+고/EC
있다	있/VX+다/EC

지역사회에서	지역사회/NNG+에서/JKB
자립생활을	자립생활/NNG+을/JKO
할	하/VV+ㄹ/ETM
여건이	여건/NNG+이/JKC
되지	되/VV+지/EC
않아	않/VX+아/EC
많은	많/VA+은/ETM
장애인이	장애인/NNG+이/JKS
시설	시설/NNG
안에서,	안/NNG+에서/JKB+,/SP
그리고	그리고/MAJ
시설보다	시설/NNG+보다/JKB
더	더/MAG
시설	시설/NNG
같은	같/VA+은/ETM
골방에서	골방/NNG+에서/JKB
인간	인간/NNG
이하의	이하/NNG+의/JKG
삶을	삶/NNG+을/JKO
살아가고	살아가/VV+고/EC
있다	있/VX+다/EC

오세훈	오세훈/NNP
서울시장은	서울/NNP+시장/NNG+은/JX
2008년	2008/SN+년/NNB
12월	12/SN+월/NNB
말	말/NNB
장애인과의	장애인/NNG+과/JKB+의/JKG
면담을	면담/NNG+을/JKO
통해	통하/VV+여/EC
자립생활	자립생활/NNG
대책을	대책/NNG+을/JKO
마련하겠다고	마련하/VV+겠/EP+다고/EC
했지만	하/VV+였/EP+지만/EC
약속은	약속/NNG+은/JX
지켜지지	지키/VV+어/EC+지/VX+지/EC
않고	않/VX+고/EC
있다	있/VX+다/EC

이에	이/NP+에/JKB
8명의	8/SN+명/NNB+의/JKG
농성	농성/NNG
장애인과	장애인/NNG+과/JC
연대단체의	연대단체/NNG+의/JKG
62일간의	62/SN+일/NNB+간/XSN+의/JKG
끈질긴	끈질기/VA+ㄴ/ETM
투쟁에	투쟁/NNG+에/JKB
결국	결국/NNG
서울시는	서울시/NNP+는/JX
2010년부터	2010/SN+년/NNB+부터/JX
자립생활가정을	자립생활가정/NNG+을/JKO
시범사업하고,	시범사업하/VV+고/EC+,/SP
장애인전환서비스지원센터를	장애인전환서비스지원센터/NNG+를/JKO
설치하여	설치하/VV+여/EC
시설퇴소	시설퇴소/NNG
장애인을	장애인/NNG+을/JKO
지원하겠다고	지원하/VV+겠/EP+다고/EC
약속한다	약속하/VV+ㄴ다/EF

결국	결국/NNG
여덞	여덞/SN
명의	명/NNB+의/JKG
장애인은	장애인/NNG+은/JX
농성을	농성/NNG+을/JKO
풀고	풀/VV+고/EC
지역사회에서	지역사회/NNG+에서/JKB
자립생활을	자립생활/NNG+을/JKO
시작한다	시작하/VV+ㄴ다/EC

<감독:박종필,	</SS+감독/NNG+:/SP+박종필/NNP+,/SP
러닝타임:	러닝타임/NNG+:/SP
54분,	54/SN+분/NNB+,/SP
장르:	장르/NNG+:/SP
다큐멘터리,	다큐멘터리/NNG+,/SP
12세관람가>	12/SN+세/NNB+관람/NNG+가/XSN+>/SS
