<패럴림픽>	</SS+패럴림픽/NNG+>/SS
대한	대하/VV+ㄴ/ETM
일반적인	일반적/NNG+이/VCP+ㄴ/ETM
규정을	규정/NNG+을/JKO
정해	정하/VV+여/EC
놓았다	놓/VX+았/EP+다/EF

규정집	규정집/NNG
3	3/SN

3의	3/SN+의/JKG
기술,	기술/NNG+,/SP
장비	장비/NNG
항목의	항목/NNG+의/JKG
기본	기본/NNG
원칙(3	원칙/NNG+(/SS+3/SN

3	3/SN

1)에	1/SN+)/SS+에/JKB
따르면	따르/VV+면/EC
패럴림픽	패럴림픽/NNG
선수들의	선수/NNG+들/XSN+의/JKG
장비는	장비/NNG+는/JX
타인과	타인/NNG+과/JC
자신에게	자신/NNG+에게/JKB
안전해야	안전하/VA+여야/EC
하고	하/VX+고/EC
공정해야	공정하/VA+여야/EC
하며	하/VX+며/EC
합리적인	합리적/NNG+이/VCP+ㄴ/ETM
수준에서	수준/NNG+에서/JKB
구매할	구매하/VV+ㄹ/ETM
수	수/NNB
있어야	있/VA+어야/EC
하고	하/VX+고/EC
신체적인	신체/NNG+적/XSN+이/VCP+ㄴ/ETM
역량으로만	역량/NNG+으로/JKB+만/JX
움직여야	움직이/VV+어야/EC
한다	하/VX+ㄴ다/EF

IPC는	IPC/SL+는/JX
이	이/MM
항목에	항목/NNG+에/JKB
별도	별도/NNG
주석을	주석/NNG+을/JKO
달아	달/VV+아/EC
"IPC는	"/SS+IPC/SL+는/JX
위	위/NNG
목적을	목적/NNG+을/JKO
이룰	이루/VV+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
장비를	장비/NNG+를/JKO
정의하고	정의하/VV+고/EC
제한할	제한하/VV+ㄹ/ETM
방법을	방법/NNG+을/JKO
찾아가는	찾아가/VV+는/ETM
중"이라고	중/NNB+"/SS+이라고/JKQ
했다	하/VV+였/EP+다/EC

2012	2012/SN
런던	런던/NNP
패럴림픽	패럴림픽/NNG
육상	육상/NNG
남자	남자/NNG
T44	T/SL+44/SN
200ｍ의	200/SN+ｍ/SL+의/JKG
막강한	막강하/VA+ㄴ/ETM
우승	우승/NNG
후보였던	후보/NNG+이/VCP+었/EP+던/ETM
'블레이드	'/SS+블레이드/NNG
러너'	러너/NNG+'/SS
오스카	오스카/NNP
피스토리우스(26·남아공)는	피스토리우스/NNP+(/SS+26/SN+·/SP+남아공/NNP+)/SS+는/JX
결승전에서	결승전/NNG+에서/JKB
브라질의	브라질/NNP+의/JKG
알란	알란/NNP
올리베이라에	올리베이라/NNP+에/JKB
0	0/SN

07초	07/SN+초/NNB
차로	차/NNG+로/JKB
금메달을	금메달/NNG+을/JKO
놓쳤다	놓치/VV+었/EP+다/EF

피스토리우스는	피스토리우스/NNP+는/JX
경기가	경기/NNG+가/JKS
끝난	끝나/VV+ㄴ/ETM
직후	직후/NNG
인터뷰에서	인터뷰/NNG+에서/JKB
상대방	상대방/NNG
의족	의족/NNG
길이에	길이/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
의혹을	의혹/NNG+을/JKO
제기했다	제기하/VV+였/EP+다/EC

피스토리우스를	피스토리우스/NNG+를/JKO
제치고	제치/VV+고/EC
금메달을	금메달/NNG+을/JKO
차지한	차지하/VV+ㄴ/ETM
브라질의	브라질/NNP+의/JKG
알란	알란/NNP
올리베이라의	올리베이라/NNP+의/JKG
의족	의족/NNG
길이는	길이/NNG+는/JX
피스토리우스보다	피스토리우스/NNG+보다/JKB
다소	다소/MAG
길다	길/VA+다/EC

한편	한편/MAG
IPC	IPC/SL
관계자는	관계자/NNG+는/JX
피스토리우스와	피스토리우스/NNG+와/JKB
만나	만나/VV+아/EC
의족	의족/NNG
길이에	길이/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
의견을	의견/NNG+을/JKO
나눌	나누/VV+ㄹ/ETM
것이라고	것/NNB+이/VCP+라고/EC
3일	3/SN+일/NNB
밝혔다	밝히/VV+었/EP+다/EC

IPC	IPC/SL
미디어	미디어/NNG
담당관	담당관/NNG
크레이그	크레이그/NNP
스펜서는	스펜서/NNP+는/JX
올림픽	올림픽/NNG
파크	파크/NNG
내에서	내/NNB+에서/JKB
열린	열리/VV+ㄴ/ETM
기자회견에서	기자회견/NNG+에서/JKB
"피스토리우스가	"/SS+피스토리우스/NNG+가/JKS
한	한/MM
달	달/NNB
반쯤	반/NNG+쯤/XSN
전	전/NNG
IPC로	IPC/SL+로/JKB
직접	직접/MAG
전화를	전화/NNG+를/JKO
걸어	걷/VV+어/EC
상대방	상대방/NNG
선수의	선수/NNG+의/JKG
의족	의족/NNG
길이에	길이/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
문의를	문의/NNG+를/JKO
해왔지만	하/VV+여/EC+오/VX+았/EP+지만/EC
별다른	별다르/VA+ㄴ/ETM
위반	위반/NNG
사항이	사항/NNG+이/JKS
없었다"고	없/VA+었/EP+다/EF+"/SS+고/JKQ
말했다	말하/VV+였/EP+다/EC

이	이/MM
관계자는	관계자/NNG+는/JX
"IPC는	"/SS+IPC/SL+는/JX
기꺼이	기꺼이/MAG
피스토리우스의	피스토리우스/NNG+의/JKG
의견을	의견/NNG+을/JKO
들을	듣/VV+을/ETM
것"이라며	것/NNB+"/SS+이/VCP+라며/EC
"관중이	"/SS+관중/NNG+이/JKS
들어찬	들어차/VV+ㄴ/ETM
올림픽	올림픽/NNG
스타디움	스타디움/NNG
말고	말/VV+고/EC
다른	다른/MM
곳에서	곳/NNG+에서/JKB
만나길	만나/VV+기/ETN+ㄹ/JKO
바란다"고	바라/VV+ㄴ다/EF+"/SS+고/JKQ
덧붙였다	덧붙이/VV+었/EP+다/EF

의족	의족/NNG
규정에	규정/NNG+에/JKB
대해서는	대하/VV+여서/EC+는/JX
IPC에	IPC/SL+에/JKB
의족	의족/NNG
길이에	길이/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
규정이	규정/NNG+이/JKS
있다고	있/VA+다고/EC
말했다	말하/VV+였/EP+다/EC

그는	그/NP+는/JX
"2010년부터	"/SS+2010/SN+년/NNB+부터/JX
규정이	규정/NNG+이/JKS
있었다"며	있/VA+었/EP+다/EF+"/SS+며/EC
"피스토리우스가	"/SS+피스토리우스/NNG+가/JKS
나왔던	나오/VV+았/EP+던/ETM
결승전에서도	결승전/NNG+에서/JKB+도/JX
국제	국제/NNG
장애등급분류사가	장애등급분류/NNG+사/XSN+가/JKS
선수들을	선수/NNG+들/XSN+을/JKO
측정했다"며	측정하/VV+였/EP+다/EF+"/SS+며/EC
결승에	결승/NNG+에/JKB
나온	나오/VV+ㄴ/ETM
8명의	8/SN+명/NNB+의/JKG
선수들이	선수/NNG+들/XSN+이/JKS
모두	모두/MAG
규정에	규정/NNG+에/JKB
맞는	맞/VV+는/ETM
선수였다"고	선수/NNG+이/VCP+었/EP+다/EF+"/SS+고/JKQ
말했다	말하/VV+였/EP+다/EC

junmk@yna	junmk/SL+@/SW+yna/SL

co	co/SL

kr<저	kr/SL+</SS+저/MM
작	작/NNG
권	권/NNP
자(c)연	자/NP+(/SS+c/SL+)/SS+연/NNG
합	합/NNG
뉴	뉴/NNG
스	스/NNG

무	무/NNG
단	단/MM
전	전/NNG
재-재	재/NNG+-/SO+재/NNG
배	배/NNG
포	포/NNG
금	금/VV
지	짓/VV

>	>/SS
