‘숙자매,	‘/SL+숙자매/NNG+,/SP
3·4위전(진출시/한국VS	3/SN+·/SP+4/SN+위전/NNG+(/SS+진출/NNG+시/NNB+//SP+한국/NNP+VS/SL
TBA)17:30~	TBA/SL+)/SS+17/SN+:/SP+30/SN+~/SO
남자	남자/NNG
단체	단체/NNG
리커브	리커브/NNP
오픈	오픈/NNG
결승(진출시/한국VS	결승/NNG+(/SS+진출/NNG+시/NNB+//SP+한국/NNP+VS/SL
TBA)※탁구(엑셀	TBA/SL+)/SS+※/SN+탁구/NNG+(/SS+엑셀/NNG
N1)09:00~	N/SL+1/SN+)/SS+09/SN+:/SP+00/SN+~/SO
남자	남자/NNG
단체	단체/NNG
Class6-8	Class/SL+6/SN+-/SO+8/SN
예선(한국VS스페인)16:30~	예선/NNG+(/SS+한국/NNP+VS/SL+스페인/NNP+)/SS+16/SN+:/SP+30/SN+~/SO
남자	남자/NNG
단체	단체/NNG
Class3	Class/SL+3/SN
예선8강(한국VS오스트리아)19:00~	예선/NNG+8/SN+강/NNG+(/SS+한국/NNP+VS/SL+오스트리아/NNP+)/SS+19/SN+:/SP+00/SN+~/SO
여자	여자/NNG
단체	단체/NNG
Class4-5	Class/SL+4/SN+-/SO+5/SN
예선8강(한국VS슬로베니아)※펜싱(엑셀	예선/NNG+8/SN+강/NNG+(/SS+한국/NNP+VS/SL+슬로베니아/NNP+)/SS+※/SN+펜싱/NNB+(/SS+엑셀/NNG
N2)09:30~	N/SL+2/SN+)/SS+09/SN+:/SP+30/SN+~/SO
여자	여자/NNG
에페	에페/NNG
개인	개인/NNG
카테고리A	카테고리/NNG+A/SL
풀B	풀/NNG+B/SL
예선(김선미)13:00~	예선/NNG+(/SS+김선미/NNP+)/SS+13/SN+:/SP+00/SN+~/SO
여자	여자/NNG
에페	에페/NNG
개인	개인/NNG
카테고리A	카테고리/NNG+A/SL
풀B	풀/NNG+B/SL
예선8강(진출시/김선미)17:45~	예선/NNG+8/SN+강/SW+(/SS+진출/NNG+시/NNB+//SP+김선미/NNP+)/SS+17/SN+:/SP+45/SN+~/SO
여자	여자/NNG
에페	에페/NNG
개인	개인/NNG
카테고리A	카테고리/NNG+A/SL
풀B	풀/NNG+B/SL
준결승(진출시/김선미)18:30~	준결승/NNG+(/SS+진출/NNG+시/NNB+//SP+김선미/NNP+)/SS+18/SN+:/SP+30/SN+~/SO
여자	여자/NNG
에페	에페/NNG
개인	개인/NNG
카테고리A	카테고리/NNG+A/SL
풀B	풀/NNG+B/SL
3·4위전(진출시/김선미)19:30~	3/SN+·/SP+4/SN+위전/NNG+(/SS+진출/NNG+시/NNB+//SP+김선미/NNP+)/SS+19/SN+:/SP+30/SN+~/SO
여자	여자/NNG
에페	에페/NNG
개인	개인/NNG
카테고리A	카테고리/NNG+A/SL
풀B	풀/NNG+B/SL
결승(진출시/김선미)※사이클(브랜드	결승/NNG+(/SS+진출/NNG+시/NNB+//SP+김선미/NNP+)/SS+※/SN+사이클/NNG+(/SS+브랜드/NNG
해치)11:00~	해치/NNP+)/SS+11/SN+:/SP+00/SN+~/SO
(도로)남자	(/SS+도로/NNG+)/SS+남자/NNP
개인	개인/NNG
C-3	C/SL+-/SO+3/SN
타임트라이얼	타임트라이얼/NNG
결선(진용식)16:21~	결선/NNG+(/SS+진용식/NNG+)/SS+16/SN+:/SP+21/SN+~/SO
(도로)여자	(/SS+도로/NNG+)/SS+여자/NNG
개인	개인/NNG
H-3	H/SL+-/SO+3/SN
타임트라이얼	타임트라이얼/NNG
결선(김정임)※역도(엑셀	결선/NNG+(/SS+김정임/NNP+)/SS+※/SL+역도/NNG+(/SS+엑셀/NNG
S3)15:00~	S/SL+3/SN+)/SS+15/SN+:/SP+00/SN+~/SO
여자	여자/NNG
+82	+/SW+82/SN

5Kg	5/SN+Kg/SL
결선(이현정)18:35~	결선/NNG+(/SS+이현정/NNP+)/SS+18/SN+:/SP+35/SN+~/SO
남자	남자/NNG
+100Kg	+/SW+100/SN+Kg/SL
결선(전근배)	결선/NNG+(/SS+전근배/NNP+)/SS
