<장애인체전>	</SS+장애인체전/NNG+>/SS
똑같다"고	똑같/VA+다/EF+"/SS+고/JKQ
말했다	말하/VV+였/EP+다/EC

전민재가	전민재/NNG+가/JKS
장애를	장애/NNG+를/JKO
안게	안/VV+게/EC
된	되/VV+ㄴ/ETM
것은	것/NNB+은/JX
다섯	다섯/NR
살	살/NNB
때인	때/NNG+이/VCP+ㄴ/ETM
1982년이었다	1982/SN+년/NNB+이/VCP+었/EP+다/EF

원인을	원인/NNG+을/JKO
알	알/VV+ㄹ/ETM
수	수/NNB
없는	없/VA+는/ETM
뇌염	뇌염/NNG
때문에	때문/NNB+에/JKB
상반신을	상반신/NNG+을/JKO
자유롭게	자유롭/VA+게/EC
움직일	움직이/VV+ㄹ/ETM
수	수/NNB
없었고	없/VA+었/EP+고/EC
학교	학교/NNG
생활도	생활/NNG+도/JX
하지	하/VV+지/EC
못한	못하/VX+ㄴ/ETM
채	채/NNB
우울한	우울하/VA+ㄴ/ETM
사춘기를	사춘기/NNG+를/JKO
보냈다	보내/VV+었/EP+다/EF

열아홉이던	열아홉/NR+이/VCP+던/ETM
1996년에야	1996/SN+년/NNB+에/JKB+야/JX
특수학교를	특수학교/NNG+를/JKO
소개받아	소개/NNG+받/VV+아/EC
초등학생이	초등학생/NNG+이/JKC
됐고	되/VV+었/EP+고/EC
중학교	중학교/NNG
2학년이던	2/SN+학년/NNG+이/VCP+던/ETM
2003년에	2003/SN+년/NNB+에/JKB
교사의	교사/NNG+의/JKG
권유로	권유/NNG+로/JKB
육상에	육상/NNG+에/JKB
입문했다	입문하/VV+였/EP+다/EF

장애를	장애/NNG+를/JKO
신경쓰지	신경/NNG+쓰/VV+지/EC
않고	않/VX+고/EC
혼신을	혼신/NNG+을/JKO
쏟아부을	쏟/VV+아/EC+붓/VV+을/ETM
수	수/NNB
있는	있/VA+는/ETM
분야를	분야/NNG+를/JKO
찾은	찾/VV+은/ETM
인생의	인생/NNG+의/JKG
전환점이었다	전환점/NNG+이/VCP+었/EP+다/EF

전민재는	전민재/NNP+는/JX
뛰기	뛰/VV+기/ETN
시작한	시작하/VV+ㄴ/ETM
뒤	뒤/NNG
처음으로	처음/NNG+으로/JKB
출전한	출전하/VV+ㄴ/ETM
2003년	2003/SN+년/NNB
장애인체전에서는	장애인체전/NNG+에서/JKB+는/JX
경쟁자들의	경쟁자/NNG+들/XSN+의/JKG
벽을	벽/NNG+을/JKO
넘지	넘/VV+지/EC
못하고	못하/VX+고/EC
노메달에	노메달/NNG+에/JKB
그쳤다	그치/VV+었/EP+다/EC

그러나	그러나/MAJ
이듬해부터	이듬해/NNG+부터/JX
잠재력이	잠재력/NNG+이/JKS
폭발해	폭발하/VV+여/EC
지금까지	지금/NNG+까지/JX
한	한/MM
차례도	차례/NNG+도/JX
주종목에서	주종목/NNP+에서/JKB
정상을	정상/NNG+을/JKO
놓치지	놓치/VV+지/EC
않는	않/VX+는/ETM
기량을	기량/NNG+을/JKO
자랑하고	자랑하/VV+고/EC
있다	있/VX+다/EC

체전을	체전/NNG+을/JKO
가장	가장/MAG
빛내는	빛내/VV+는/ETM
스타이고	스타/NNG+이/VCP+고/EC
런던	런던/NNP
패럴림픽에서	패럴림픽/NNG+에서/JKB
100ｍ,	100/SN+ｍ/SL+,/SP
200ｍ	200/SN+ｍ/SL
은메달을	은메달/NNG+을/JKO
획득한	획득하/VV+ㄴ/ETM
국가대표이지만	국가대표/NNG+이/VCP+지만/EC
훈련	훈련/NNG
상황이	상황/NNG+이/JKS
다소	다소/MAG
초라하게	초라하/VA+게/EC
비치기도	비치/VV+기/ETN+도/JX
한다	하/VX+ㄴ다/EF

국가대표	국가대표/NNG
경기를	경기/NNG+를/JKO
앞두고는	앞두/VV+고는/EC
이천훈련원에서	이천훈/NNP+련원/NNG+에서/JKB
전문적인	전문적/NNG+이/VCP+ㄴ/ETM
관리를	관리/NNG+를/JKO
받지만	받/VV+지만/EC
평소에는	평소/NNG+에/JKB+는/JX
자택	자택/NNG
근처에서	근처/NNG+에서/JKB
개인훈련을	개인훈련/NNG+을/JKO
하고	하/VV+고/EC
있다	있/VX+다/EC

어머니	어머니/NNG
한	한/NNP
씨는	씨/NNB+는/JX
"민재가	"/SS+민재/NNP+가/JKS
혼자	혼자/NNG
일일	일일/MAG
계획을	계획/NNG+을/JKO
짜	짜/VV+아/EC
집에서	집/NNG+에서/JKB
4㎞	4/SN+㎞/SW
정도가	정도/NNG+가/JKS
떨어진	떨어지/VV+ㄴ/ETM
전북	전북/NNP
진안종합경기장에서	진안종/NNP+합경기장/NNG+에서/JKB
훈련한다"며	훈련하/VV+ㄴ다/EF+"/SS+며/EC
"전문적인	"/SS+전문/NNG+적/XSN+이/VCP+ㄴ/ETM
코치가	코치/NNG+가/JKS
있었으면	있/VA+었/EP+으면/EC
더	더/MAG
기량	기량/NNG
향상이	향상/NNG+이/JKS
빨랐을	빠르/VA+았/EP+을/ETM
것"이라고	것/NNB+"/SS+이라고/JKQ
말했다	말하/VV+였/EP+다/EC

전민재는	전민재/NNG+는/JX
골목길과	골목길/NNG+과/JC
차도를	차도/NNG+를/JKO
따지지	따지/VV+지/EC
않고	않/VX+고/EC
발톱이	발톱/NNG+이/JKS
빠지도록	빠지/VV+도록/EC
달렸고	달리/VV+었/EP+고/EC
운동장에	운동장/NNG+에/JKB
줄자로	줄자/NNG+로/JKB
100ｍ를	100/SN+ｍ/SL+를/JKO
표시하고서	표시하/VV+고서/EC
실전	실전/NNG
훈련을	훈련/NNG+을/JKO
소화했으며	소화하/VV+였/EP+으며/EC
밭두렁에서	밭두렁/NNG+에서/JKB
폐타이어를	폐타이어/NNG+를/JKO
끌어	끌/VV+어/EC
체력을	체력/NNG+을/JKO
길렀다	기르/VV+었/EP+다/EF

대한장애인체육회는	대한장애인체육회/NNP+는/JX
"전민재가	"/SS+전민재/NNG+가/JKS
런던	런던/NNP
패럴림픽을	패럴림픽/NNG+을/JKO
앞두고	앞두/VV+고/EC
200일	200/SN+일/NNB
동안	동안/NNG
합숙훈련을	합숙훈련/NNG+을/JKO
하면서	하/VV+면서/EC
기록이	기록/NNG+이/JKS
크게	크/VA+게/EC
향상됐다"고	향상되/VV+었/EP+다/EF+"/SS+고/JKQ
밝혔다	밝히/VV+었/EP+다/EC

체전을	체전/NNG+을/JKO
성공적으로	성공적/NNG+으로/JKB
마친	마치/VV+ㄴ/ETM
전민재의	전민재/NNG+의/JKG
눈은	눈/NNG+은/JX
내년	내년/NNG
세계선수권대회의	세계선수권대회/NNG+의/JKG
시상대	시상대/NNG
꼭대기를	꼭대기/NNG+를/JKO
바라보고	바라보/VV+고/EC
있다	있/VX+다/EC

그는	그/NP+는/JX
"패럴림픽은	"/SS+패럴림픽/NNG+은/JX
아직	아직/MAG
시간이	시간/NNG+이/JKS
있으니	있/VA+으니/EC
둘째	둘째/NR
목표이고	목표/NNG+이/VCP+고/EC
내년	내년/NNG
프랑스	프랑스/NNP
파리에서	파리/NNP+에서/JKB
열리는	열리/VV+는/ETM
세계선수권대회에서	세계선수권대회/NNG+에서/JKB
꼭	꼭/MAG
정상에	정상/NNG+에/JKB
오르고	오르/VV+고/EC
싶다"고	싶/VX+다/EF+"/SS+고/JKQ
말했다	말하/VV+였/EP+다/EC

누구보다	누구/NP+보다/JKB
열정적인	열정적/NNG+이/VCP+ㄴ/ETM
엘리트	엘리트/NNG
선수	선수/NNG
전민재가	전민재/NNG+가/JKS
체전에서	체전/NNG+에서/JKB
언제까지	언제/NP+까지/JX
챔피언을	챔피언/NNG+을/JKO
유지할지,	유지하/VV+ㄹ지/EC+,/SP
세계무대에서	세계무대/NNG+에서/JKB
어떤	어떤/MM
폭발력을	폭발력/NNG+을/JKO
선보일지	선보일/VV+ㄹ지/EC
기대된다	기대되/VV+ㄴ다/EF

jangje@yna	jangje/SL+@/SW+yna/SL

co	co/SL

kr<저	kr/SL+</SS+저/MM
작	작/NNG
권	권/NNP
자(c)연	자/NP+(/SS+c/SL+)/SS+연/NNG
합	합/NNG
뉴	뉴/NNG
스	스/NNG

무	무/NNG
단	단/MM
전	전/NNG
재-재	재/NNG+-/SO+재/NNG
배	배/NNG
포	포/NNG
금	금/VV
지	짓/VV

>	>/SS
