전국장애인체전	전/MM+국장애인체전/NNG
개최된다	개최되/VV+ㄴ다/EF

수영	수영/NNG
선수가	선수/NNG+가/JKS
11일	11/SN+일/NNB
고양실내체육관에서	고양실내체육관/NNP+에서/JKB
열린	열리/VV+ㄴ/ETM
경기에서	경기/NNG+에서/JKB
힘차게	힘차/VA+게/EC
물살을	물살/NNG+을/JKO
가르고	가르/VV+고/EC
있다	있/VX+다/EC

인천	인천/NNP
소속의	소속/NNG+의/JKG
육상	육상/NNG
선수가	선수/NNG+가/JKS
11일	11/SN+일/NNB
고양종합운동장에서	고양종합운/NNP+동장/NNG+에서/JKB
열린	열리/VV+ㄴ/ETM
경기에서	경기/NNG+에서/JKB
역주하고	역주하/VV+고/EC
있다	있/VX+다/EC

육상	육상/NNG
경기에	경기/NNG+에/JKB
출전한	출전하/VV+ㄴ/ETM
시각장애	시각장애/NNG
선수들이	선수/NNG+들/XSN+이/JKS
11일	11/SN+일/NNB
고양종합운동장에서	고양종합운/NNP+동장/NNG+에서/JKB
열린	열리/VV+ㄴ/ETM
경기에	경기/NNP+에/JKB
서	서/VV+어/EC
보조인의	보조인/NNG+의/JKG
도움을	도움/NNG+을/JKO
받으며,	받/VV+으며/EC+,/SP
최선을	최선/NNG+을/JKO
다하고	다하/VV+고/EC
있다	있/VX+다/EC

12일	12/SN+일/NNB
열린	열리/VV+ㄴ/ETM
마라톤	마라톤/NNG
경기	경기/NNG
모습	모습/NNG

휠체어장애인들이	휠체어장애인/NNG+들/XSN+이/JKS
힘차게	힘차/VA+게/EC
춮발하고	춮발하/VV+고/EC
있다	있/VX+다/EC

11일	11/SN+일/NNB
용인조정경기장에서	용인조정경/NNP+기장/NNG+에서/JKB
열린	열리/VV+ㄴ/ETM
조정	조정/NNG
경기	경기/NNG
모습	모습/NNG

12일	12/SN+일/NNB
마라톤에	마라톤/NNG+에/JKB
출전한	출전하/VV+ㄴ/ETM
경북의	경북/NNP+의/JKG
선수가	선수/NNG+가/JKS
결승선에	결승선/NNG+에/JKB
도착하자	도착하/VV+자/EC
두	두/MM
팔을	팔/NNG+을/JKO
활짝	활짝/MAG
들어	들/VV+어/EC
보이고	보이/VV+고/EC
있다	있/VX+다/EC
