평창동계패럴림픽	평창동계패럴림픽/NNP
휠체어컬링과	휠체어컬링/NNG+과/JC
아이스슬레지하키	아이스슬레지하키/NNP
2개	2/SN+개/NNB
종목을	종목/NNG+을/JKO
제외할	제외하/VV+ㄹ/ETM
경우	경우/NNG
알파인스키	알파인스키/NNP
3명,	3/SN+명/NNB+,/SP
바이애슬론	바이애슬론/NNG
1명,	1/SN+명/NNB+,/SP
크로스컨트리	크로스컨트리/NNG
1명	1/SN+명/NNB
등	등/NNB
5명에	5/SN+명/NNB+에/JKB
불과했다	불과하/VA+었/EP+다/EC

최근	최근/NNG
장애인	장애인/NNG
동계올림픽	동계올림픽/NNG
참가	참가/NNG
현황	현황/NNG

ⓒ장병완	ⓒ/SN+장병완/NNP
의원실	의원/NNG+실/XSN
장	장/NNP
의원은	의원/NNG+은/JX
“올림픽	“/SL+올림픽/NNG
출전	출전/NNG
자격은	자격/NNG+은/JX
당해	당해/NNG
2월	2/SN+월/NNB
기준으로	기준/NNG+으로/JKB
국제대회	국제대회/NNG
참가실적과	참가실적/NNG+과/JC
성적	성적/NNG
등을	등/NNB+을/JKO
고려해	고려하/VV+여/EC
결정되는데	결정되/VV+는데/EC
우리가	우리/NP+가/JKS
이처럼	이/NP+처럼/JKB
출전	출전/NNG
선수가	선수/NNG+가/JKS
적은	적/VA+은/ETM
것은	것/NNB+은/JX
국내	국내/NNG
장애인	장애인/NNG
동계스포츠	동계스/NNP+포츠/NNG
선수층이	선수층/NNG+이/JKS
빈약하고,	빈약하/VA+고/EC+,/SP
국가적	국가적/NNG
지원이	지원/NNG+이/JKS
적어	적/VA+어/EC
올림픽	올림픽/NNG
출전	출전/NNG
자격을	자격/NNG+을/JKO
갖춘	갖추/VV+ㄴ/ETM
선수가	선수/NNG+가/JKS
적기	적/VA+기/ETN
때문”이라고	때문/NNB+”/SL+이/VCP+라고/EC
지적했다	지적하/VV+였/EP+다/EF

현재	현재/MAG
올림픽	올림픽/NNG
출전	출전/NNG
자격을	자격/NNG+을/JKO
갖춘	갖추/VV+ㄴ/ETM
국내	국내/NNG
개인전	개인전/NNG
선수는	선수/NNG+는/JX
알파인스키와	알파인스키/NNP+와/JC
크로스컨트리	크로스컨트리/NNG
두	두/MM
개	개/NNB
종목	종목/NNG
6명이고	6/SN+명/NNB+이/VCP+고/EC
2014년	2014/SN+년/NNB
신설될	신설되/VV+ㄹ/ETM
스노보드를	스노보드/NNG+를/JKO
포함해도	포함하/VV+여도/EC
8명에	8/SN+명/NNB+에/JKB
불과한	불과하/VA+ㄴ/ETM
수준이다	수준/NNG+이/VCP+다/EC

2018평창장애인동계올림픽	2018/SN+평/NNB+창장애인동계올림픽/NNG
출전	출전/NNG
가능	가능/NNG
선수	선수/NNG
현황	현황/NNG

ⓒ장병완	ⓒ/SN+장병완/NNP
의원실	의원/NNG+실/XSN
장	장/NNP
의원은	의원/NNG+은/JX
“이처럼	“/SL+이/NNG+처럼/JKB
선수	선수/NNG
부족	부족/NNG
현상을	현상/NNG+을/JKO
방치한다면	방치하/VV+ㄴ다면/EC
좋은	좋/VA+은/ETM
성적을	성적/NNG+을/JKO
기대하기는	기대하/VV+기/ETN+는/JX
커녕	커녕/MAG
천신만고	천신만고/NNG
끝에	끝/NNG+에/JKB
개최권을	개최권/NNG+을/JKO
획득한	획득하/VV+ㄴ/ETM
평창동계장애인올림픽이	평창동/NNP+계장애인올림픽/NNG+이/JKS
자칫	자칫/MAG
남의	남/NNG+의/JKG
잔치가	잔치/NNG+가/JKC
될	되/VV+ㄹ/ETM
것이	것/NNB+이/JKS
자명하다”며	자명하/VA+다/EC+”/VX+며/EC
“지금부터	“/SL+지금/NNG+부터/JX
대비해	대비하/VV+여/EC
2014년	2014/SN+년/NNB
소치대회에	소치대회/NNG+에/JKB
많은	많/VA+은/ETM
선수가	선수/NNG+가/JKS
참가해	참가하/VV+여/EC
국제경험을	국제경험/NNG+을/JKO
쌓아야	쌓/VV+아야/EC
2018년	2018/SN+년/NNB
평창대회를	평창대회/NNG+를/JKO
성공적으로	성공적/NNG+으로/JKB
치를	치르/VV+ㄹ/ETM
수	수/NNB
있을	있/VA+을/ETM
것”이라고	것/NNB+”/SL+이/VCP+라고/EC
역설했다	역설하/VV+였/EP+다/EF

한편,	한편/NNG+,/SP
장애인동계올림픽의	장애인동계올림픽/NNG+의/JKG
금메달	금메달/NNG
수는	수/NNG+는/JX
모두	모두/MAG
74개로	74/SN+개/NNB+로/JKB
이	이/MM
가운데	가운데/NNG
2개는	2/SN+개/NNB+는/JX
단체전	단체전/NNG
휠체어컬링과	휠체어컬링/NNG+과/JC
아이스슬레이지	아이스슬레이지/NNG
하키로	하키/NNP+로/JKB
나머지	나머지/NNG
72개가	72/SN+개/NNB+가/JKS
모두	모두/MAG
개인전이다	개인전/NNG+이/VCP+다/EC

우리나라는	우리나라/NNG+는/JX
2002년	2002/SN+년/NNB
대회에서	대회/NNG+에서/JKB
최초로	최초/NNG+로/JKB
메달(한상민	메달/NNG+(/SS+한상민/NNP
좌식스키	좌식스키/NNP
은메달)을	은메달/NNG+)/SS+을/JKO
획득한	획득하/VV+ㄴ/ETM
이후	이후/NNG
2010년	2010/SN+년/NNB
대회	대회/NNG
컬링	컬링/NNG
단체장	단체장/NNG
은메달이	은메달/NNG+이/JKS
메달	메달/NNG
수확의	수확/NNG+의/JKG
전부일	전부/NNG+이/VCP+ㄹ/ETM
정도로	정도/NNG+로/JKB
성적이	성적/NNG+이/JKS
부진한	부진하/VA+ㄴ/ETM
상태이다	상태/NNG+이/VCP+다/EC
