-패럴림픽-	-/SO+패럴림픽/NNG+-/SO
한국은	한국/NNP+은/JX
매치	매치/NNG
스코어	스코어/NNG
0-3으로	0/SN+-/SO+3/SN+으로/JKB
중국에	중국/NNP+에/JKB
패해	패하/VV+여/EC
은메달에	은메달/NNG+에/JKB
만족해야	만족하/VA+여야/EC
했다	하/VX+였/EP+다/EC

junmk@yna	junmk/SL+@/SW+yna/SL

co	co/SL

kr<저	kr/SL+</SS+저/MM
작	작/NNG
권	권/NNP
자(c)연	자/NP+(/SS+c/SL+)/SS+연/NNG
합	합/NNG
뉴	뉴/NNG
스	스/NNG

무	무/NNG
단	단/MM
전	전/NNG
재-재	재/NNG+-/SO+재/NNG
배	배/NNG
포	포/NNG
금	금/VV
지	짓/VV

>	>/SS
