서울시,	서울시/NNP+,/SP
위한	위하/VV+ㄴ/ETM
스포츠	스포츠/NNG
서비스는	서비스/NNG+는/JX
전무한	전무하/VA+ㄴ/ETM
실정으로	실정/NNG+으로/JKB
시	시/NNG
소속	소속/NNG
생활체육지도자	생활체육지도자/NNG
319명이	319/SN+명/NNB+이/JKS
경로당,	경로당/NNG+,/SP
장애인시설,	장애인시설/NNG+,/SP
어린이집,	어린이집/NNG+,/SP
유치원	유치원/NNG
등을	등/NNB+을/JKO
방문해	방문하/VV+여/EC
서비스를	서비스/NNG+를/JKO
지원하고	지원하/VV+고/EC
있는	있/VX+는/ETM
것이	것/NNB+이/JKS
전부다	전부다/MAG

서울시체육회,	서울/NNP+시체육회/NNG+,/SP
생활체육회,	생활체육/NNG+회/XSN+,/SP
장애인체육회도	장애인체육회/NNG+도/JX
통합된다	통합되/VV+ㄴ다/EC

서울시는	서울시/NNP+는/JX
내년까지	내년/NNG+까지/JX
서울시체육회와	서울/NNP+시체육회/NNG+와/JC
생활체육회를	생활체육/NNG+회/XSN+를/JKO
통합해서	통합하/VV+여서/EC
‘시민체육회(가칭)’을	‘/SN+시민체육회/NNG+(/SS+가칭/NNG+)/SS+’/SL+을/JKO
출범시킨	출범/NNG+시키/XSV+ㄴ/ETM
뒤	뒤/NNG
2014년에는	2014/SN+년/NNB+에/JKB+는/JX
장애인체육회까지	장애인체육회/NNG+까지/JX
통합해서	통합하/VV+여서/EC
완료한다는	완료하/VV+ㄴ다는/ETM
계획이다	계획/NNG+이/VCP+다/EC

한편	한편/MAG
서울시는	서울시/NNP+는/JX
‘저소득층	‘/SL+저소득층/NNG
스포츠바우처’를	스포츠바우처’/NNG+를/JKO
7만원에서	7/SN+만/NR+원/NNB+에서/JKB
10만원으로	10/SN+만/NR+원/NNB+으로/JKB
2014년까지	2014/SN+년/NNB+까지/JX
단계적	단계적/NNG
확대해	확대하/VV+여/EC
체육시설을	체육시설/NNG+을/JKO
이용할	이용하/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
기회를	기회/NNG+를/JKO
늘려나간다는	늘리/VV+어/EC+나가/VX+ㄴ다는/ETM
계획이다	계획/NNG+이/VCP+다/EC
