드러내지	드러내/VV+지/EC
사회에서는	사회/NNG+에서/JKB+는/JX
싸가지	싸/VA+아/EC+가지/NNB
없는	없/VA+는/ETM
놈,	놈/NNB+,/SP
뭔가	뭐/NP+이/VCP+ㄴ가/EC
이상한	이상하/VA+ㄴ/ETM
놈으로	놈/NNB+으로/JKB
오해받고	오해/NNG+받/XSV+고/EC
주인공은	주인공/NNG+은/JX
오롯이	오롯이/MAG
그	그/MM
오해를	오해/NNG+를/JKO
일상으로	일상/NNG+으로/JKB
삼고	삼/VV+고/EC
바보처럼	바보/NNG+처럼/JKB
묵묵히	묵묵히/MAG
견딘다	견디/VV+ㄴ다/EF

영화를	영화/NNG+를/JKO
보는	보/VV+는/ETM
내내	내내/MAG
우리는	우리/NP+는/JX
장애,	장애/NNG+,/SP
혹은	혹은/MAG
인생의	인생/NNG+의/JKG
선배로서	선배/NNG+로서/JKB
영화의	영화/NNG+의/JKG
주인공에게	주인공/NNG+에게/JKB
이런	이런/MM
말을	말/NNG+을/JKO
해주고	하/VV+여/EC+주/VX+고/EC
싶을	싶/VX+을/ETM
것이다	것/NNB+이/VCP+다/EC

‘어서	‘/SN+어서/MAG
자신을	자신/NNG+을/JKO
당당하게	당당하/VA+게/EC
드러내라고!	드러내/VV+라고/EF+!/SF
장애를	장애/NNG+를/JKO
인정하라고!’장애의	인정하/VV+라고/EF+!/SF+’/SL+장애/NNG+의/JKG
세계에	세계/NNG+에/JKB
곧	곧/MAG
입문하게	입문하/VV+게/EC
될	되/VV+ㄹ/ETM
영화의	영화/NNG+의/JKG
주인공에게	주인공/NNG+에게/JKB
우리	우리/NP
선배들은	선배/NNG+들/XSN+은/JX
얼마나	얼마나/MAG
해	하/VV+여/EC
줄	주/VX+ㄹ/ETM
이야기가	이야기/NNG+가/JKS
많은가?	많/VA+은가/EF+?/SF
그러나	그러나/MAJ
영화의	영화/NNG+의/JKG
마지막에	마지막/NNG+에/JKB
주인공은	주인공/NNG+은/JX
자신을	자신/NNG+을/JKO
인정하기로	인정하/VV+기/ETN+로/JKB
한	하/VV+ㄴ/ETM
듯하다	듯하/VX+다/EC

선배한테	선배/NNG+한테/JKB
인사도	인사/NNG+도/JX
할	하/VV+ㄹ/ETM
줄	줄/NNB
모른다며	모르/VV+ㄴ다며/EC
냉랭하게	냉랭하/VA+게/EC
지나가는	지나가/VV+는/ETM
선배들을	선배/NNG+들/XSN+을/JKO
향해	향하/VV+여/EC
뒤늦게	뒤늦/VA+게/EC
돌아서서	돌아서/VV+어서/EC
큰	크/VA+ㄴ/ETM
목소리로	목소리/NNG+로/JKB
안녕하십니까라고	안녕하/VA+십니까라고/EC
외친다	외치/VV+ㄴ다/EF

그리고	그리고/MAJ
비로소	비로소/MAG
이	이/MM
청년의	청년/NNG+의/JKG
얼굴에	얼굴/NNG+에/JKB
미소가	미소/NNG+가/JKS
번진다	번지/VV+ㄴ다/EF

영화내내	영화/NNG+내내/MAG
한	한/MM
번도	번/NNB+도/JX
볼	보/VV+ㄹ/ETM
수	수/NNB
없었던	없/VA+었/EP+던/ETM
미소를!	미소/NNG+를/JKO+!/SF
안타깝게도	안타깝/VA+게/EC+도/JX
신체의	신체/NNG+의/JKG
장애가	장애/NNG+가/JKS
성격의	성격/NNG+의/JKG
형성에도	형성/NNG+에/JKB+도/JX
영향을	영향/NNG+을/JKO
미친다는	미치/VV+ㄴ다는/ETM
사실에	사실/NNG+에/JKB
근거하였을	근거하/VV+였/EP+을/ETM
때	때/NNG
주인공은	주인공/NNG+은/JX
분명	분명/MAG
지금과는	지금/NNG+과/JKB+는/JX
다른	다르/VA+ㄴ/ETM
미래를	미래/NNG+를/JKO
살아갈	살아가/VV+ㄹ/ETM
것이다	것/NNB+이/VCP+다/EC

적어도	적어도/MAG
별	별/MM
볼일	볼일/NNG
없는	없/VA+는/ETM
놈이란	놈/NNB+이/VCP+란/ETM
소리는	소리/NNG+는/JX
듣지	듣/VV+지/EC
않게	않/VX+게/EC
말이다	말/NNG+이/VCP+다/EC

^^‘제13회	^^/SW+‘/SL+제/XPN+13/SN+회/NNB
제주장애인인권영화제는	제주장애인인권영화제/NNG+는/JX
14일부터~16일까지	14/SN+일/NNB+부터/JX+~/SO+16/SN+일/NNB+까지/JX
제주영상미디어센터에서	제주영상미디어센터/NNP+에서/JKB
개최되며,	개최되/VV+며/EC+,/SP
총	총/MM
24편의	24/SN+편/NNB+의/JKG
다양한	다양하/VA+ㄴ/ETM
영상이	영상/NNG+이/JKS
상영된다	상영되/VV+ㄴ다/EF

자세한	자세하/VA+ㄴ/ETM
사항은	사항/NNG+은/JX
제주DPI(064-757-9897)로	제주/NNP+DPI/SL+(/SS+064/SN+-/SO+757/SN+-/SO+9897/SN+)/SS+로/JKB
문의하면	문의하/VV+면/EC
된다	되/VV+ㄴ다/EF

*이글은	*/SW+이글/NNP+은/JX
‘제13회	‘/SN+제/XPN+13/SN+회/NNB
제주장애인인권영화제’	제주장애인인권영화제/NNG+’/SL
고선려	고선려/NNP
집행위원이	집행위원/NNG+이/JKS
보내왔습니다	보내오/VV+았/EP+습니다/EF
