특수교육에	특수교육/NNG+에/JKB
Syndrome,	Syndrome/SL+,/SP
정서	정서/NNG
장애,	장애/NNG+,/SP
혈우병,	혈우병/NNG+,/SP
신장병,	신장병/NNG+,/SP
발작	발작/NNG
등	등/NNB

중요한	중요하/VA+ㄴ/ETM
점은	점/NNG+은/JX
아이들의	아이/NNG+들/XSN+의/JKG
증상이	증상/NNG+이/JKS
심각하지	심각하/VA+지/EC
않은	않/VX+은/ETM
경우에는	경우/NNG+에/JKB+는/JX
학교에서	학교/NNG+에서/JKB
굳이	굳이/MAG
특수	특수/NNG
교육이필요하다라고	교육/NNG+이필요하/VA+다라고/EC
권하지	권하/VV+지/EC
않는다는	않/VX+는다는/ETM
것에	것/NNB+에/JKB
있다	있/VA+다/EC

미국에서는	미국/NNP+에서/JKB+는/JX
교육받을	교육/NNG+받/VV+을/ETM
권리는	권리/NNG+는/JX
대단히	대단히/MAG
중요한	중요하/VA+ㄴ/ETM
권리이다	권리/NNG+이/VCP+다/EC

그들에게는	그/NP+들/XSN+에게/JKB+는/JX
학습	학습/NNG
장애를	장애/NNG+를/JKO
절대	절대/MAG
숨기거나	숨기/VV+거나/EC
시간이	시간/NNG+이/JKS
지나면	지나/VV+면/EC
나아지겠지라는	나아지/VV+겠/EP+지/EC+이/VCP+라는/ETM
막연한	막연하/VA+ㄴ/ETM
기대를	기대/NNG+를/JKO
하지	하/VV+지/EC
않는다	않/VX+는다/EF

학부모들은	학부모/NNG+들/XSN+은/JX
자신들의	자신/NNG+들/XSN+의/JKG
아이들의	아이/NNG+들/XSN+의/JKG
학습능력이	학습능력/NNG+이/JKS
평균에	평균/NNG+에/JKB
미달한다고	미달하/VV+ㄴ다고/EC
생각되면	생각되/VV+면/EC
해당	해당/NNG
학군에	학군/NNG+에/JKB
요청을	요청/NNG+을/JKO
통해서	통하/VV+여서/EC
적절한	적절하/VA+ㄴ/ETM
학습	학습/NNG
발달을	발달/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
특수교육을	특수교육/NNG+을/JKO
시	시/NNG
또는	또는/MAG
타운으로	타운/NNG+으로/JKB
부터	부터/JX
받아낸다	받/VV+아/EC+내/VX+ㄴ다/EC

즉,	즉/MAG+,/SP
학교에서	학교/NNG+에서/JKB
알아서	알/VV+아서/EC
뭔가를	뭐/NP+이/VCP+ㄴ가/EC+를/JKO
해주기를	하/VV+여/EC+주/VX+기/ETN+를/JKO
바라지	바라/VV+지/EC
않는다는	않/VX+는다는/ETM
점에	점/NNG+에/JKB
있다	있/VA+다/EC

중요한	중요하/VA+ㄴ/ETM
점은	점/NNG+은/JX
부모가	부모/NNG+가/JKS
자녀의	자녀/NNG+의/JKG
특수교육의	특수교육/NNG+의/JKG
필요성과	필요성/NNG+과/JC
그	그/MM
정도를	정도/NNG+를/JKO
학교에	학교/NNG+에/JKB
요구하고,	요구하/VV+고/EC+,/SP
아이들에게	아이/NNG+들/XSN+에게/JKB
적합한	적합하/VA+ㄴ/ETM
교육이	교육/NNG+이/JKS
이루어	이루/VV+어/EC
질수	지/VX+ㄹ/ETM+수/NNB
있도록	있/VA+도록/EC
상황을	상황/NNG+을/JKO
적극적으로	적극적/NNG+으로/JKB
주도해	주도하/VV+여/EC
나가야	나가/VX+아야/EC
한다는	하/VX+ㄴ다는/ETM
것이다	것/NNB+이/VCP+다/EC

‘제13회	‘/SN+제/XPN+13/SN+회/NNB
제주장애인인권영화제는	제주/NNP+장애인인권영화제/NNG+는/JX
14일부터~16일까지	14/SN+일/NNB+부터/JX+~/SO+16/SN+일/NNB+까지/JX
제주영상미디어센터에서	제주영상미디어센터/NNP+에서/JKB
개최되며,	개최되/VV+며/EC+,/SP
총	총/MM
24편의	24/SN+편/NNB+의/JKG
다양한	다양하/VA+ㄴ/ETM
영상이	영상/NNG+이/JKS
상영된다	상영되/VV+ㄴ다/EF

자세한	자세하/VA+ㄴ/ETM
사항은	사항/NNG+은/JX
제주DPI(064-757-9897)로	제주/NNP+DPI/SL+(/SS+064/SN+-/SO+757/SN+-/SO+9897/SN+)/SS+로/JKB
문의하면	문의하/VV+면/EC
된다	되/VV+ㄴ다/EF

*이글은	*/SW+이글/NNP+은/JX
‘제13회	‘/SN+제/XPN+13/SN+회/NNB
제주장애인인권영화제’	제주장애인인권영화제/NNG+’/SL
김미영	김미영/NNP
집행위원이	집행위원/NNG+이/JKS
보내왔습니다	보내오/VV+았/EP+습니다/EF
