‘장애이해교육	‘/SL+장애이해교육/NNG
부끄러워하는	부끄러워하/VV+는/ETM
학생의	학생/NNG+의/JKG
감정적인	감정적/NNG+이/VCP+ㄴ/ETM
부분을	부분/NNG+을/JKO
과장되게	과장되/VV+게/EC
드러내기보다는	드러내/VV+기/ETN+보다/JKB+는/JX
담담한	담담하/VA+ㄴ/ETM
시선으로	시선/NNG+으로/JKB
전개한	전개하/VV+ㄴ/ETM
부분과	부분/NNG+과/JC
마지막	마지막/NNG
엔딩에	엔딩/NNG+에/JKB
여운을	여운/NNG+을/JKO
남겨	남기/VV+어/EC
감동적인	감동적/NNG+이/VCP+ㄴ/ETM
권예진	권예진/NNP
학생(인천	학생/NNG+(/SS+인천/NNP
부원여자중학교	부원여자중학교/NNG
2학년)의	2/SN+학년/NNG+)/SS+의/JKG
‘난	‘/SN+난/XSN
더	더/MAG
이상	이상/NNG
신경	신경/NNG
쓰지	쓰/VV+지/EC
않을	않/VX+을/ETM
거야!’,	것/NNB+이/VCP+야/EF+!/SF+’/SL+,/SP
우수상은	우수상/NNG+은/JX
장애인과	장애인/NNG+과/JC
따돌림을	따돌림/NNG+을/JKO
당하는	당하/VV+는/ETM
학생의	학생/NNG+의/JKG
특별한	특별하/VA+ㄴ/ETM
유대감이라는	유/NNP+대감/NNG+이/VCP+라는/ETM
소재를	소재/NNG+를/JKO
사용해	사용하/VV+여/EC
잔잔한	잔잔하/VA+ㄴ/ETM
감동을	감동/NNG+을/JKO
담아낸	담아내/VV+ㄴ/ETM
허승혁	허승혁/NNP
학생(경기	학생/NNG+(/SS+경기/NNP
저현고등학교	저현고등학교/NNP
1학년)의	1/SN+학년/NNG+)/SS+의/JKG
‘내가	‘/SL+내/XSN+가/JKS
외면했던	외면하/VV+였/EP+던/ETM
소중한	소중하/VA+ㄴ/ETM
것에	것/NNB+에/JKB
대하여’가	대하/VV+여/EC+’/SL+가/JKS
차지했다	차지하/VV+었/EP+다/EC

또한	또한/MAG
조수아	조수아/NNG
학생(경기	학생/NNG+(/SS+경기/NNP
서종중학교	서종중학교/NNP
3학년)의	3/SN+학년/NNG+)/SS+의/JKG
‘희망을	‘/SL+희망/NNG+을/JKO
연주하는	연주하/VV+는/ETM
음악실	음악실/NNG
귀신에	귀신/NNG+에/JKB
대해	대하/VV+여/EC
들어보셨나요?’	듣/VV+어/EC+보/VX+시었/EP+나/EC+요/JX+?/SF+’/SL
등	등/NNB
4편이	4/SN+편/NNB+이/JKS
가작으로	가작/NNG+으로/JKB
선정됐다	선정되/VV+었/EP+다/EF

이번	이번/NNG
수상작품은	수상작품/NNG+은/JX
향후	향후/NNG
‘장애인의	‘/SN+장애인/NNG+의/JKG
날’	날/NNG+’/SL
특집방송	특집방송/NNG
장애이해교육	장애이해교육/NNG
드라마,	드라마/NNG+,/SP
라디오	라디오/NNG
드라마와	드라마/NNG+와/JC
플래시	플래시/NNG
등을	등/NNB+을/JKO
제작돼	제작되/VV+어/EC
청소년들의	청소년/NNG+들/XSN+의/JKG
다양한	다양하/VA+ㄴ/ETM
장애이해교육	장애이해교육/NNG
소재로	소재/NNG+로/JKB
사용된다	사용되/VV+ㄴ다/EF

한편	한편/MAG
시상은	시상/NNG+은/JX
오는	오/VV+는/ETM
12월	12/SN+월/NNB
‘장애인먼저실천	‘/SN+장애인먼저실천/NNG
시상식’에서	시상식/NNG+’/SL+에서/JKB
진행될	진행되/VV+ㄹ/ETM
예정이다	예정/NNG+이/VCP+다/EC
