“처음이자	“/SL+처음/NNG+이/VCP+자/EC
불국사,	불국사/NNP+,/SP
경주세계문화엑스포,	경주/NNP+세계문화엑스포/NNG+,/SP
경주국립박물관	경주/NNP+국립박물관/NNG
관람,	관람/NNG+,/SP
감포	감포/NNP
해돋이	해돋이/NNG
감상,	감상/NNG+,/SP
첨성대·안압지산책,	첨성대/NNP+·/SP+안압지산/NNG+책/XSN+,/SP
워터파크	워터파크/NNP
등	등/NNB
가족	가족/NNG
간의	간/NNB+의/JKG
화합과	화합/NNG+과/JC
소통을	소통/NNG+을/JKO
중심으로	중심/NNG+으로/JKB
이루어졌다	이루어지/VV+었/EP+다/EF

참가자중	참가자/NNG+중/NNB
백발이	백발/NNG+이/JKS
성성한	성성하/VA+ㄴ/ETM
나이에도	나이/NNG+에/JKB+도/JX
잘	잘/MAG
걸을	걷/VV+을/ETM
수	수/NNB
없는	없/VA+는/ETM
아내를	아내/NNG+를/JKO
위해	위하/VV+여/EC
휠체어를	휠체어/NNG+를/JKO
끌고	끌/VV+고/EC
다녔던	다니/VV+었/EP+던/ETM
전우석(77세)·최정순(81·지체장애4급)	전우석/NNP+(/SS+77/SN+세/NNB+)/SS+·/SP+최정순/NNP+(/SS+81/SN+·/SP+지체장애/NNG+4/SN+급/NNG+)/SS
노부부가	노부부/NNG+가/JKS
눈에	눈/NNG+에/JKB
띄었다	띄/VV+었/EP+다/EF

전우석	전우석/NNP
씨의	씨/NNB+의/JKG
가족은	가족/NNG+은/JX
1세대인	1/SN+세/NNB+대/NNG+이/VCP+ㄴ/ETM
할머니와	할머니/NNG+와/JC
2세대인	2/SN+세대/NNB+이/VCP+ㄴ/ETM
아들,	아들/NNG+,/SP
3세대인	3/SN+세대/NNG+이/VCP+ㄴ/ETM
손주	손주/NNG
이렇게	이렇/VA+게/EC
3명이	3/SN+명/NNB+이/JKS
모두	모두/MAG
지체장애를	지체장애/NNG+를/JKO
갖고	갖/VV+고/EC
있다	있/VX+다/EC

할머니는	할머니/NNG+는/JX
나이로	나이/NNG+로/JKB
인한	인하/VV+ㄴ/ETM
장애로	장애/NNG+로/JKB
인해	인하/VV+여/EC
걷기가	걷/VV+기/ETN+가/JKS
힘들고	힘들/VA+고/EC
아들은	아들/NNG+은/JX
젊은	젊/VA+은/ETM
시절	시절/NNG
공장에서	공장/NNG+에서/JKB
프레스기계	프레스기계/NNG
인해	인하/VV+여/EC
손가락이	손가락/NNG+이/JKS
절단되는	절단되/VV+는/ETM
사고를	사고/NNG+를/JKO
당했으며,	당하/VV+였/EP+으며/EC+,/SP
손주는	손주/NNG+는/JX
태어날	태어나/VV+ㄹ/ETM
때부터	때/NNG+부터/JX
와상장애로	와상장애/NNG+로/JKB
인해	인하/VV+여/EC
누워서만	눕/VV+어서/EC+만/JX
생활하며	생활하/VV+며/EC
한순간도	한순간/NNG+도/JX
눈을	눈/NNG+을/JKO
뗄	떼/VV+ㄹ/ETM
수	수/NNB
없는	없/VA+는/ETM
상황이다	상황/NNG+이/VCP+다/EC

“아이도	“/SN+아이/NNG+도/JX
맨	맨/MM
날	날/NNG
병원에	병원/NNG+에/JKB
가야하는데	가/VV+아야/EC+하/VX+는/ETM+데/NNB
젊었을	젊/VA+었/EP+을/ETM
때	때/NNG
많이	많이/MAG
빚지고	빚지/VV+고/EC
산	살/VV+ㄴ/ETM
조그마한	조그마하/VA+ㄴ/ETM
집	집/NNG
때문에	때문/NNB+에/JKB
아무	아무/MM
지원도	지원/NNG+도/JX
없어요	없/VA+어요/EC

한달에	한/MM+달/NNB+에/JKB
100만원	100/SN+만/NR+원/NNB
정도	정도/NNG
비용이	비용/NNG+이/JKS
들어가는데	들어가/VV+는데/EC
힘들지	힘들/VA+지/EC

난	나/NP+ㄴ/JX
또	또/MAG
젊을	젊/VA+을/ETM
때	때/NNG
사고가	사고/NNG+가/JKS
난	나/VV+ㄴ/ETM
이후부터	이후/NNG+부터/JX
일을	일/NNG+을/JKO
못	못/MAG
구해서	구하/VV+여서/EC
일용직으로	일용직/NNG+으로/JKB
일하지	일하/VV+지/EC

”2세대	”/SL+2/SN+세대/NNG
구성원인	구성원/NNG+이/VCP+ㄴ/ETM
아이의	아이/NNG+의/JKG
아버지는	아버지/NNG+는/JX
현재	현재/MAG
상황을	상황/NNG+을/JKO
이야기	이야기/NNG
하며	하/VV+며/EC
끝내	끝내/MAG
말을	말/NNG+을/JKO
잇지	잇/VV+지/EC
못했다	못하/VX+였/EP+다/EC

그동안	그동안/NNG
한	한/MM
집에서	집/NNG+에서/JKB
여섯	여섯/NR
식구가	식구/NNG+가/JKS
같이	같이/MAG
살면서	살/VV+면서/EC
가족	가족/NNG
모두	모두/MAG
여행을	여행/NNG+을/JKO
바래왔지만	바래오/VV+았/EP+지만/EC
할머니와	할머니/NNG+와/JC
아이가	아이/NNG+가/JKS
걷지	걷/VV+지/EC
못하는	못하/VX+는/ETM
상황으로	상황/NNG+으로/JKB
마땅한	마땅하/VA+ㄴ/ETM
이동수단이	이동수단/NNG+이/JKS
없어	없/VA+어/EC
마음은	마음/NNG+은/JX
있는데	있/VA+는데/EC
행동으로	행동/NNG+으로/JKB
옮길	옮기/VV+ㄹ/ETM
엄두도	엄두/NNG+도/JX
못냈다고	못/MAG+내/VV+었/EP+다고/EC

“나도	“/SN+나/NP+도/JX
나이가	나이/NNG+가/JKS
많아서	많/VA+아서/EC
못	못/MAG
걷지	걷/VV+지/EC

애는	애/NNG+는/JX
저렇게	저렇/VA+게/EC
장애가	장애/NNG+가/JKS
있어서	있/VA+어서/EC
아예	아예/MAG
걷지를	걷/VV+지/EC+를/JX
못하는데	못하/VX+는/ETM+데/NNB
어떻게	어떻/VA+게/EC
다	다/MAG
같이	같이/MAG
여행을	여행/NNG+을/JKO
가겠어	가/VV+겠/EP+어/EC

차도	차/NNG+도/JX
못	못/MAG
구하고	구하/VV+고/EC

차를	차/NNG+를/JKO
구해도	구하/VV+여도/EC
나이를	나이/NNG+를/JKO
많이	많이/MAG
먹었는데	먹/VV+었/EP+는데/EC
여행가서	여행/NNG+가/VV+아서/EC
어떻게	어떻/VA+게/EC
돌아다녀	돌아다니/VV+어/EC

”1세대	”/SL+1/SN+세대/NNG
구성원인	구성원/NNG+이/VCP+ㄴ/ETM
할머니는	할머니/NNG+는/JX
평소	평소/NNG
엄두를	엄두/NNG+를/JKO
못	못/MAG
내고	내/VV+고/EC
있었던	있/VX+었/EP+던/ETM
가족여행을	가족여행/NNG+을/JKO
이번기회에	이번기회/NNG+에/JKB
할	하/VV+ㄹ/ETM
수	수/NNB
있게	있/VA+게/EC
되어서	되/VV+어서/EC
여행을	여행/NNG+을/JKO
준비하는	준비하/VV+는/ETM
과정	과정/NNG
동안	동안/NNG
너무	너무/MAG
들떠있었다고	들떨/VV+있/VX+었/EP+다고/EC
말했다	말하/VV+였/EP+다/EC

“우리가	“/SL+우리/NP+가/JKS
이제	이제/MAG
나이가	나이/NNG+가/JKS
있어서	있/VA+어서/EC
이번	이번/NNG
가족여행이	가족여행/NNG+이/JKS
처음이자	처음/NNG+이/VCP+자/EC
마지막이	마지막/NNG+이/JKC
될	되/VV+ㄹ/ETM
것	것/NNB
같은데	같/VA+은데/EC
이렇게	이렇/VA+게/EC
좋은	좋/VA+은/ETM
기회를	기회/NNG+를/JKO
줘서	주/VV+어서/EC
고맙고,	고맙/VA+고/EC+,/SP
즐겁게	즐겁/VA+게/EC
놀다	놀/VV+다/EC
가는	가/VX+는/ETM
거	것/NNB
같아서	같/VA+아서/EC
기분이	기분/NNG+이/JKS
좋네요	좋/VA+네요/EF

”여행의	”/SL+여행/NNG+의/JKG
막바지에	막바지/NNG+에/JKB
연세가	연세/NNG+가/JKS
지긋하신	지긋하/VA+시/EP+ㄴ/ETM
나이에도	나이/NNG+에/JKB+도/JX
모든	모든/MM
일정을	일정/NNG+을/JKO
휠체어에	휠체어/NNG+에/JKB
앉으신	앉/VV+으시/EP+ㄴ/ETM
할머니와	할머니/NNG+와/JKB
같이	같이/MAG
다니셨던	다니/VV+시었/EP+던/ETM
할아버지의	할아버지/NNG+의/JKG
웃음에서	웃음/NNG+에서/JKB
가족의	가족/NNG+의/JKG
행복이	행복/NNG+이/JKS
느껴졌다	느끼/VV+어/EC+지/VX+었/EP+다/EF

*이글은	*/SW+이글/NNP+은/JX
에이블복지재단	에이블복지재단/NNP
초록여행	초록여행/NNG
담당	담당/NNG
최범열씨가	최범열/NNP+씨/NNB+가/JKS
보내온	보내오/VV+ㄴ/ETM
기고문입니다	기고문/NNG+이/VCP+ㅂ니다/EF

에이블뉴스	에이블뉴스/NNP
회원	회원/NNG
가입을	가입/NNG+을/JKO
하고,	하/VV+고/EC+,/SP
편집국(02-792-7785)으로	편집국/NNG+(/SS+02/SN+-/SO+792/SN+-/SO+7785/SN+)/SS+으로/JKB
전화연락을	전화연락/NNG+을/JKO
주시면	주시/VV+면/EC
직접	직접/MAG
글을	글/NNG+을/JKO
등록할	등록하/VV+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
기고	기고/NNG
회원	회원/NNG
등록을	등록/NNG+을/JKO
해드립니다	해드립/VV+니다/EF
