전국장애인체전	전/MM+국장애인체전/NNG
불편하고,	불편하/VA+고/EC+,/SP
휴지걸이도	휴지걸이/NNG+도/JX
사용하기에	사용하/VV+기/ETN+에/JKB
불편함이	불편하/VA+ㅁ/ETN+이/JKS
있는	있/VA+는/ETM
조금	조금/MAG
높은	높/VA+은/ETM
위치에	위치/NNG+에/JKB
설치돼	설치되/VV+어/EC
있었다	있/VX+었/EP+다/EF

세면대	세면대/NNG
손잡이도	손잡이/NNG+도/JX
고정식으로	고정식/NNG+으로/JKB
휠체어	휠체어/NNG
장애인들의	장애인/NNG+들/XSN+의/JKG
용변기	용변/NNG+기/XSN
접근을	접근/NNG+을/JKO
방해하는	방해하/VV+는/ETM
상황이었고,	상황/NNG+이/VCP+었/EP+고/EC+,/SP
용변기	용변/NNG+기/XSN
뒤에	뒤/NNG+에/JKB
등받이도	등받이/NNG+도/JX
없었다	없/VA+었/EP+다/EF

반면	반면/NNG
비상호출버튼은	비상호출버튼/NNG+은/JX
사용하기	사용하/VV+기/ETN
편한	편하/VA+ㄴ/ETM
위치에	위치/NNG+에/JKB
설치돼	설치되/VV+어/EC
있었다	있/VX+었/EP+다/EF

수영장	수영장/NNG
탈의실의	탈의실/NNG+의/JKG
경우	경우/NNG
출입문이	출입문/NNG+이/JKS
여닫이문으로	여닫이문/NNG+으로/JKB
휠체어장애인들의	휠체어장애인/NNG+들/XSN+의/JKG
출입이	출입/NNG+이/JKS
불편했고,	불편하/VA+었/EP+고/EC+,/SP
신발장	신발장/NNG
및	및/MAG
옷장으로	옷장/NNG+으로/JKB
꽉	꽉/MAG
채워져	채우/VV+어/EC+지/VX+어/EC
있어	있/VX+어/EC
휠체어장애인들이	휠체어장애인/NNG+들/XSN+이/JKS
이용하기에는	이용하/VV+기/ETN+에/JKB+는/JX
공간이	공간/NNG+이/JKS
협소했다	협소하/VV+였/EP+다/EF

샤워실	샤워/NNG+실/XSN
안의	안/NNG+의/JKG
경우에는	경우/NNG+에/JKB+는/JX
벽에	벽/NNG+에/JKB
설치된	설치되/VV+ㄴ/ETM
의자가	의자/NNG+가/JKS
휠체어	휠체어/NNG
및	및/MAG
목발	목발/NNG
장애인이	장애인/NNG+이/JKS
앉기에는	앉/VV+기/ETN+에/JKB+는/JX
작고	작/VA+고/EC
미끄러워	미끄럽/VA+어/EC
위험해	위험하/VA+여/EC
보였다	보이/VV+었/EP+다/EF

이날	이날/NNG
점검을	점검/NNG+을/JKO
같이한	같이하/VV+ㄴ/ETM
고양시	고양시/NNP
도시관리공사	도시관리공사/NNG
직원은	직원/NNG+은/JX
주출입구	주출입구/NNG
옆	옆/NNG
장애인전용주차장과	장애인전용주차장/NNG+과/JC
인도	인도/NNP
연계와	연계/NNG+와/JKB
관련	관련/NNG
"(휠체어장애인)이	"(/SS+휠체어장애인/NNG+)/SS+이/JKS
안전한	안전하/VA+ㄴ/ETM
경사로로	경사로/NNG+로/JKB
다닐	다니/VV+ㄹ/ETM
수	수/NNB
있게	있/VA+게/EC
고칠	고치/VV+ㄹ/ETM
것"이라고	것/NNB+"/SS+이라고/JKQ
말했다	말하/VV+였/EP+다/EC

이어	이어/MAG
수영장	수영장/NNG
탈의실	탈의실/NNG
문제에	문제/NNG+에/JKB
대해서는	대하/VV+여서/EC+는/JX
"신발장,	"/SS+신발장/NNG+,/SP
옷장의	옷장/NNG+의/JKG
수를	수/NNG+를/JKO
최소한으로	최소한/NNG+으로/JKB
줄이고,	줄이/VV+고/EC+,/SP
장애인들이	장애인/NNG+들/XSN+이/JKS
앉아서	앉/VV+아서/EC
옷을	옷/NNG+을/JKO
갈아입을	갈아입/VV+을/ETM
수	수/NNB
있도록	있/VA+도록/EC
평상을	평상/NNG+을/JKO
설치할	설치하/VV+ㄹ/ETM
것"이라며	것/NNB+"/SS+이/VCP+라며/EC
"샤워실	"/SS+샤워실/NNP
벽면에	벽면/NNG+에/JKB
설치한	설치하/VV+ㄴ/ETM
의자도	의자/NNG+도/JX
안전한	안전하/VA+ㄴ/ETM
제품으로	제품/NNG+으로/JKB
교체할	교체하/VV+ㄹ/ETM
것"이라고	것/NNB+"/SS+이라고/JKQ
덧붙였다	덧붙이/VV+었/EP+다/EF

특히	특히/MAG
장애인화장실에	장애인화장/NNG+실/XSN+에/JKB
대해서는	대하/VV+여서/EC+는/JX
"지금	"/SS+지금/MAG
고칠	고치/VV+ㄹ/ETM
수	수/NNB
없는	없/VA+는/ETM
상황으로,	상황/NNG+으로/JKB+,/SP
이동화장실	이동화장실/NNG
등을	등/NNB+을/JKO
설치해서	설치하/VV+여서/EC
불편을	불편/NNG+을/JKO
최소화할	최소화하/VV+ㄹ/ETM
것"이라며	것/NNB+"/SS+이/VCP+라며/EC
"(대회	"(/SS+대회/NNG
기간	기간/NNG
동안)	동안/NNG+)/SS
자원봉사자들을	자원봉사자/NNG+들/XSN+을/JKO
최대한	최대한/NNG
배치해서	배치하/VV+여서/EC
장애인선수들을	장애인선수/NNG+들/XSN+을/JKO
지원하고,	지원하/VV+고/EC+,/SP
불편사항이	불편사항/NNG+이/JKS
접수되는	접수되/VV+는/ETM
즉시	즉시/NNG
시정해	시정하/VV+여/EC
나갈	나가/VX+ㄹ/ETM
것"이라고	것/NNB+"/SS+이라고/JKQ
밝혔다	밝히/VV+었/EP+다/EC

주출입구	주출입구/NNG
옆	옆/NNG
2층으로	2/SN+층/NNG+으로/JKB
올라가는	올라가/VV+는/ETM
계단에는	계단/NNG+에/JKB+는/JX
점자블록과	점자블록/NNG+과/JC
손잡이가	손잡이/NNG+가/JKS
없다	없/VA+다/EC

ⓒ박종태	ⓒ/SL+박종태/NNP
주출입구	주출입구/NNG
근처	근처/NNG
장애인전용주차장은	장애인전용주차장/NNG+은/JX
인도와	인도/NNP+와/JKB
연계가	연계/NNG+가/JKS
안돼	안되/VV+어/EC
있어	있/VX+어/EC
휠체어장애인은	휠체어장애인/NNG+은/JX
차도를	차도/NNG+를/JKO
건너야한다	건너/VV+어야/EC+하/VX+ㄴ다/EF

더욱이	더욱이/MAG
주출입구	주출입구/NNG
앞	앞/NNG
인도와	인도/NNP+와/JC
차도	차도/NNG
사이에는	사이/NNG+에/JKB+는/JX
턱이	턱/NNG+이/JKS
있어	있/VA+어/EC
수동휠체어의	수동휠체어/NNG+의/JKG
경우	경우/NNG
이동이	이동/NNG+이/JKS
힘들다	힘들/VA+다/EC

ⓒ박종태	ⓒ/SL+박종태/NNP
1층	1/SN+층/NNG
주출입구에	주출입구/NNG+에/JKB
설치된	설치되/VV+ㄴ/ETM
장애인화장실의	장애인화장실/NNG+의/JKG
출입문은	출입문/NNG+은/JX
여닫이문으로	여닫이문/NNG+으로/JKB
휠체어장애인의	휠체어장애인/NNG+의/JKG
출입이	출입/NNG+이/JKS
매우	매우/MAG
힘들다	힘들/VA+다/EC

ⓒ박종태	ⓒ/SL+박종태/NNP
고양시체육관	고양시체육관/NNG
장애인화장실	장애인화장실/NNG
내부는	내부/NNG+는/JX
공통적으로	공통적/NNG+으로/JKB
용변기가	용변/NNG+기/XSN+가/JKS
낮아	낮/VA+아/EC
휠체어장애인이	휠체어장애인/NNG+이/JKS
옮겨	옮기/VV+어/EC
앉기	앉/VV+기/ETN
불편하고,	불편하/VA+고/EC+,/SP
용변기	용변/NNG+기/XSN
뒤	뒤/NNG
등받이가	등받이/NNG+가/JKS
없다	없/VA+다/EF

ⓒ박종태	ⓒ/SN+박종태/NNP
1층	1/SN+층/NNG
주출입구	주출입구/NNG
이외의	이외/NNG+의/JKG
장애인화장실의	장애인화장실/NNG+의/JKG
출입문은	출입문/NNG+은/JX
모두	모두/MAG
터치식	터치/NNG+식/XSN
자동문이다	자동문/NNG+이/VCP+다/EC

ⓒ박종태	ⓒ/SL+박종태/NNP
남여	남여/NNG
탈의실	탈의실/NNG
출입문도	출입문/NNG+도/JX
여닫이문으로	여닫이문/NNG+으로/JKB
휠체어	휠체어/NNG
장애인의	장애인/NNG+의/JKG
출입에	출입/NNG+에/JKB
어려움이	어려움/NNG+이/JKS
있다	있/VA+다/EF

ⓒ박종태	ⓒ/SL+박종태/NNP
탈의실	탈의실/NNG
내부에는	내부/NNG+에/JKB+는/JX
신발장,	신발장/NNG+,/SP
옷장이	옷장/NNG+이/JKS
가득차	가득/MAG+차/VV+아/EC
있어	있/VX+어/EC
휠체어장애인들이	휠체어장애인/NNG+들/XSN+이/JKS
이용하기에는	이용하/VV+기/ETN+에/JKB+는/JX
공간이	공간/NNG+이/JKS
협소하다	협소하/VV+다/EC

ⓒ박종태	ⓒ/SL+박종태/NNP
샤워실	샤워/NNG+실/XSN
안의	안/NNG+의/JKG
경우에는	경우/NNG+에/JKB+는/JX
벽에	벽/NNG+에/JKB
설치된	설치되/VV+ㄴ/ETM
의자가	의자/NNG+가/JKS
휠체어	휠체어/NNG
및	및/MAG
목발	목발/NNG
장애인이	장애인/NNG+이/JKS
앉기에는	앉/VV+기/ETN+에/JKB+는/JX
작고	작/VA+고/EC
미끄러워	미끄럽/VA+어/EC
위험해	위험하/VA+여/EC
보였다	보이/VV+었/EP+다/EF

ⓒ박종태	ⓒ/SL+박종태/NNP
*박종태	*/SW+박종태/NNP
기자는	기자/NNG+는/JX
에이블뉴스	에이블뉴스/NNP
객원기자로	객원기자/NNG+로/JKB
일명	일명/NNG
'장애인권익지킴이'로	'/SS+장애인권익지킴이/NNG+'/SS+로/JKB
알려져	알려지/VV+어/EC
있으며,	있/VX+으며/EC+,/SP
장애인	장애인/NNG
편의시설과	편의시설/NNG+과/JC
관련한	관련하/VV+ㄴ/ETM
분야에서	분야/NNG+에서/JKB
다양한	다양하/VA+ㄴ/ETM
활동을	활동/NNG+을/JKO
하고	하/VV+고/EC
있습니다	있/VX+습니다/EF
