<패럴림픽>	</SS+패럴림픽/NNG+>/SS
문성혜는	문성혜/NNP+는/JX
이미	이미/MAG
차오닝닝의	차오닝닝/NNP+의/JKG
부모에게	부모/NNG+에게/JKB
인사를	인사/NNG+를/JKO
드렸고	드리/VV+었/EP+고/EC
차오닝닝은	차오닝닝/NNP+은/JX
이번	이번/NNG
패럴림픽	패럴림픽/NNG
대회가	대회/NNG+가/JKS
끝나면	끝나/VV+면/EC
문성혜의	문성혜/NNP+의/JKG
부모님께	부모님/NNG+께/JKB
정식으로	정식/NNG+으로/JKB
인사를	인사/NNG+를/JKO
드릴	드리/VV+ㄹ/ETM
계획이다	계획/NNG+이/VCP+다/EC

두	두/MM
선수는	선수/NNG+는/JX
이번	이번/NNG
대회를	대회/NNG+를/JKO
마친	마치/VV+ㄴ/ETM
뒤에	뒤/NNG+에/JKB
결혼할	결혼하/VV+ㄹ/ETM
예정이다	예정/NNG+이/VCP+다/EC

정확한	정확하/VA+ㄴ/ETM
날짜는	날짜/NNG+는/JX
정해지지	정하/VV+여/EC+지/VX+지/EC
않았지만	않/VX+았/EP+지만/EC
중국과	중국/NNP+과/JC
한국에서	한국/NNP+에서/JKB
각각	각각/MAG
혼례를	혼례/NNG+를/JKO
치를	치르/VV+ㄹ/ETM
계획이다	계획/NNG+이/VCP+다/EC

문성혜가	문성혜/NNP+가/JKS
열애	열애/NNG
사실을	사실/NNG+을/JKO
밝힌	밝히/VV+ㄴ/ETM
8일(현지시간)	8/SN+일/NNB+(/SS+현지시간/NNG+)/SS
패럴림픽	패럴림픽/NNG
탁구	탁구/NNG
경기장에서는	경기장/NNG+에서/JKB+는/JX
문성혜와	문성혜/NNP+와/JC
차오닝닝이	차오닝닝/NNP+이/JKS
출전하는	출전하/VV+는/ETM
경기가	경기/NNG+가/JKS
모두	모두/MAG
열렸다	열리/VV+었/EP+다/EC

성별이	성별/NNG+이/JKS
달라	다르/VA+아/EC
맞대결을	맞대결/NNG+을/JKO
펼칠	펼치/VV+ㄹ/ETM
일은	일/NNG+은/JX
없었지만	없/VA+었/EP+지만/EC
차오닝닝은	차오닝닝/NNP+은/JX
남자	남자/NNG
탁구	탁구/NNG
단체전(클래스4-5)	단체전/NNG+(/SS+클래스/NNG+4/SN+-/SO+5/SN+)/SS
결승에서	결승/NNG+에서/JKB
한국을	한국/NNP+을/JKO
꺾고	꺾/VV+고/EC
금메달을	금메달/NNG+을/JKO
땄고	따/VV+았/EP+고/EC
문성혜는	문성혜/NNP+는/JX
여자	여자/NNG
탁구	탁구/NNG
단체전	단체전/NNG
3-4위전에서	3/SN+-/SO+4/SN+위/NNB+전/NNG+에서/JKB
세르비아를	세르비아/NNP+를/JKO
누르고	누르/VV+고/EC
동메달을	동메달/NNG+을/JKO
목에	목/NNG+에/JKB
걸었다	걷/VV+었/EP+다/EF

문성혜가	문성혜/NNP+가/JKS
3-4위전을	3/SN+-/SO+4/SN+위/NNB+전/NNG+을/JKO
치를	치르/VV+ㄹ/ETM
때	때/NNG
차오닝닝은	차오닝닝/NNG+은/JX
문성혜의	문성혜/NNP+의/JKG
뒤쪽	뒤쪽/NNG
관중석에서	관중석/NNG+에서/JKB
뜨거운	뜨겁/VA+ㄴ/ETM
응원전을	응원전/NNG+을/JKO
펼치기도	펼치/VV+기/ETN+도/JX
했다	하/VX+였/EP+다/EC

문성혜는	문성혜/NNP+는/JX
"중국에	"/SS+중국/NNP+에/JKB
차오닝닝을	차오닝닝/NNG+을/JKO
만나러	만나/VV+러/EC
갔을	가/VV+았/EP+을/ETM
때	때/NNG
여왕처럼	여왕/NNG+처럼/JKB
잘	잘/MAG
해주면서	하/VV+여/EC+주/VX+면서/EC
좋은	좋/VA+은/ETM
감정이	감정/NNG+이/JKS
조금씩	조금씩/MAG
생겼다"며	생기/VV+었/EP+다/EF+"/SS+며/EC
"어머니가	"/SS+어머니/NNG+가/JKS
닝닝을	닝닝/NNG+을/JKO
좋아하신다"며	좋아하하/VV+시/EP+ㄴ다/EF+"/SS+며/EC
웃음지었다	웃음짓/VV+었/EP+다/EF

junmk@yna	junmk/SL+@/SW+yna/SL

co	co/SL

kr<저	kr/SL+</SS+저/MM
작	작/NNG
권	권/NNP
자(c)연	자/NP+(/SS+c/SL+)/SS+연/NNG
합	합/NNG
뉴	뉴/NNG
스	스/NNG

무	무/NNG
단	단/MM
전	전/NNG
재-재	재/NNG+-/SO+재/NNG
배	배/NNG
포	포/NNG
금	금/VV
지	짓/VV

>	>/SS
