사회인	사회/NNG+이/VCP+ㄴ/ETM
14살	14/SN+살/NNB
무렵부터	무렵/NNB+부터/JX
14년	14/SN+년/NNB
동안	동안/NNG
꾸준히	꾸준히/MAG
해온	하/VV+여/EC+오/VX+ㄴ/ETM
수영을	수영/NNG+을/JKO
그만둔	그만두/VV+ㄴ/ETM
것이다	것/NNB+이/VCP+다/EC

진호	진호/NNP
씨는	씨/NNB+는/JX
2005년	2005/SN+년/NNB
체코	체코/NNP
세계장애인선수권대회	세계장애인선수권대회/NNG
배영	배영/NNG
200m	200/SN+m/SL
세계신기록을	세계신기록/NNG+을/JKO
세우고	세우/VV+고/EC
2009년	2009/SN+년/NNB
그	그/MM
기록을	기록/NNG+을/JKO
경신하며	경신하/VV+며/EC
성공적인	성공적/NNG+이/VCP+ㄴ/ETM
선수생활을	선수생활/NNG+을/JKO
마쳤다	마치/VV+었/EP+다/EF

올해	올해/NNG
진호	진호/NNP
씨	씨/NNB
나이는	나이/NNG+는/JX
스물여섯	스물여섯/NR

사회인으로서	사회인/NNG+으로서/JKB
자립해야	자립하/VV+여야/EC
할	하/VX+ㄹ/ETM
시기가	시기/NNG+가/JKS
다가오자	다가오/VV+자/EC
어머니	어머니/NNG
현경	현경/NNP
씨는	씨/NNB+는/JX
아들의	아들/NNG+의/JKG
장래를	장래/NNG+를/JKO
놓고	놓/VV+고/EC
고민했다	고민하/VV+였/EP+다/EF

많은	많/VA+은/ETM
고민	고민/NNG
끝에	끝/NNG+에/JKB
현경	현경/NNP
씨는	씨/NNB+는/JX
아들	아들/NNG
진호	진호/NNP
씨	씨/NNB
이름으로	이름/NNG+으로/JKB
카페를	카페/NNG+를/JKO
열었다	열/VV+었/EP+다/EC

성격	성격/NNG
밝고	밝/VA+고/EC
붙임성	붙임성/NNG
좋은	좋/VA+은/ETM
아들이	아들/NNG+이/JKS
카페를	카페/NNG+를/JKO
잘	잘/MAG
운영할	운영하/VV+ㄹ/ETM
수	수/NNB
있을	있/VA+을/ETM
거라는	것/NNB+이/VCP+라는/ETM
생각에서였다	생각/NNG+에서/JKB+이/VCP+었/EP+다/EC

아직	아직/MAG
진호	진호/NNP
씨는	씨/NNB+는/JX
혼자	혼자/NNG
커피를	커피/NNG+를/JKO
만들지	만들/VV+지/EC
못한다	못하/VX+ㄴ다/EF

현경	현경/NNP
씨가	씨/NNB+가/JKS
기계에서	기계/NNG+에서/JKB
에스프레소를	에스프레소/NNG+를/JKO
추출하면	추출하/VV+면/EC
진호	진호/NNP
씨가	씨/NNB+가/JKS
뜨거운	뜨겁/VA+ㄴ/ETM
물을	물/NNG+을/JKO
붓는	붓/VV+는/ETM
정도다	정도/NNG+이/VCP+다/EF

이제	이제/MAG
사회로	사회/NNG+로/JKB
첫발,	첫발/NNG+,/SP
진호	진호/NNP
씨의	씨/NNB+의/JKG
배움은	배우/VV+ㅁ/ETN+은/JX
느리지만,	느리/VV+지만/EC+,/SP
가족들은	가족/NNG+들/XSN+은/JX
조바심을	조바심/NNG+을/JKO
내지	내/VV+지/EC
않는다	않/VX+는다/EF

수영	수영/NNG
선수	선수/NNG
생활	생활/NNG
7년	7/SN+년/NNB
만에	만/NNB+에/JKB
세계신기록을	세계신기록/NNG+을/JKO
세운	세우/VV+ㄴ/ETM
진호	진호/NNP
씨의	씨/NNB+의/JKG
끈기를	끈기/NNG+를/JKO
믿기	믿/VV+기/ETN
때문이다	때문/NNB+이/VCP+다/EC

가족들은	가족/NNG+들/XSN+은/JX
적어도	적어도/MAG
5년간	5/SN+년/NNB+간/XSN
'카페	'/SS+카페/NNG
대표'	대표/NNG+'/SS
진호	진호/NNP
씨의	씨/NNB+의/JKG
자립을	자립/NNG+을/JKO
도울	돕/VV+ㄹ/ETM
예정이다	예정/NNG+이/VCP+다/EC

올해	올해/NNG
말까지	말/NNB+까지/JX
진호	진호/NNP
씨가	씨/NNB+가/JKS
직접	직접/MAG
'아메리카노'를	'/SS+아메리카노/NNP+'/SS+를/JKO
만든다는	만들/VV+ㄴ다는/ETM
작은	작/VA+은/ETM
목표도	목표/NNG+도/JX
세웠다	세우/VV+었/EP+다/EC

현경	현경/NNP
씨는	씨/NNB+는/JX
진호	진호/NNP
씨가	씨/NNB+가/JKS
사회에서	사회/NNG+에서/JKB
받은	받/VV+은/ETM
사랑을	사랑/NNG+을/JKO
돌려주고	돌려주/VV+고/EC
싶다며	싶/VX+다며/EC
카페를	카페/NNG+를/JKO
지폐장애인	지폐장애/NNG+이/VCP+ㄴ/ETM
부모들이	부모/NNG+들/XSN+이/JKS
교류하고	교류하/VV+고/EC
쉬어갈	쉬/VV+어/EC+가/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
장소로	장소/NNG+로/JKB
제공하고	제공하/VV+고/EC
싶다는	싶/VX+다는/ETM
포부를	포부/NNG+를/JKO
밝히기도	밝히/VV+기/ETN+도/JX
했다	하/VX+였/EP+다/EC

ready@yna	ready/SL+@/SW+yna/SL

co	co/SL

kr<저	kr/SL+</SS+저/MM
작	작/NNG
권	권/NNP
자(c)연	자/NP+(/SS+c/SL+)/SS+연/NNG
합	합/NNG
뉴	뉴/NNG
스	스/NNG

무	무/NNG
단	단/MM
전	전/NNG
재-재	재/NNG+-/SO+재/NNG
배	배/NNG
포	포/NNG
금	금/VV
지	짓/VV

>	>/SS
