메카가	메카/NNP+가/JKS
현상을	현상/NNG+을/JKO
두고	두/VV+고/EC
‘모세의	‘/SL+모세/NNG+의/JKG
기적’이라	기적’/NNG+이/VCP+라/EC
하고,	하/VV+고/EC+,/SP
가지산	가지산/NNP
간월산	간월산/NNP
신불산	신불산/NNP
등의	등/NNB+의/JKG
아름다운	아름답/VA+ㄴ/ETM
풍광이	풍광/NNG+이/JKS
그림처럼	그림/NNG+처럼/JKB
펼쳐진	펼쳐지/VV+ㄴ/ETM
곳을	곳/NNG+을/JKO
‘영남알프스’라고	‘/SL+영남알프스/NNP+’/SN+이/VCP+라고/EC
하지를	하/VV+지/EC+를/JX
않나	않/VX+나/EF

도대체	도대체/MAG
왜	왜/MAG
무엇	무엇/NP
때문에	때문/NNB+에/JKB
아름다운	아름답/VA+ㄴ/ETM
우리나라를	우리나라/NNG+를/JKO
외국의	외국/NNG+의/JKG
나폴리나	나폴리/NNP+나/JC
모세	모세/NNG
그리고	그리고/MAJ
알프스에	알프스/NNP+에/JKB
비교하지	비교하/VV+지/EC
못해서	못하/VX+여서/EC
안달인가	안달/NNG+이/VCP+ㄴ가/EC
말이다	말/NNG+이/VCP+다/EC

검색어	검색어/NNG
메카에	메카/NNG+에/JKB
뜨는	뜨/VV+는/ETM
뉴스들	뉴스/NNG+들/XSN

ⓒ네이버뉴스	ⓒ/SL+네이버뉴스/NNG
이렇게	이렇/VA+게/EC
한번	한/MM+번/NNB
명명된	명명되/VV+ㄴ/ETM
이름에	이름/NNG+에/JKB
대해서는	대하/VV+여서/EC+는/JX
특히	특히/MAG
언론사	언론사/NNG
기자들이	기자/NNG+들/XSN+이/JKS
아무	아무/MM
생각	생각/NNG
없이	없이/MAG
그대로	그대로/MAG
받아쓰며	받아쓰/VV+며/EC
답습하고	답습하/VV+고/EC
있으니	있/VX+으니/EC
아아~	알/VV+아/EC+~/SO
통재라!	통재/NNG+이/VCP+라/EF+!/SF
그	그/MM
중에서도	중/NNB+에서/JKB+도/JX
정말	정말/MAG
통탄할	통탄하/VV+ㄹ/ETM
단어가	단어/NNG+가/JKS
메카이다	메카/NNG+이/VCP+다/EF

메카(Mecca)란	메카/NNP+(/SS+Mecca/SL+)/SS+이/VCP+란/ETM
사우디아라비아	사우디아라비아/NNP
서남부	서남부/NNP
홍해	홍해/NNP
연안에	연안/NNG+에/JKB
있는	있/VA+는/ETM
도시이름인데,	도시이름/NNG+이/VCP+ㄴ데/EC+,/SP
이슬람교의	이슬람교/NNG+의/JKG
창시자인	창시자/NNG+이/VCP+ㄴ/ETM
마호메트가	마호메트/NNP+가/JKS
태어난	태어나/VV+ㄴ/ETM
곳으로	곳/NNG+으로/JKB
이슬람교	이슬람교/NNG
최고의	최고/NNG+의/JKG
성지이다	성지/NNG+이/VCP+다/EC

몇	몇/MM
해	해/NNG
전	전/MM
문화체육관광부에서	문화체육관광부/NNG+에서/JKB
발표한	발표하/VV+ㄴ/ETM
‘2008	‘/SL+2008/SN
한국의	한국/NNP+의/JKG
종교	종교/NNG
현황’에	현황/NNG+’/SL+에/JKB
의하면	의하/VV+면/EC
한국의	한국/NNP+의/JKG
7대	7/SN+대/NNG
종교로	종교/NNG+로/JKB
불교	불교/NNG
개신교	개신교/NNG
천주교	천주교/NNG
유교	유교/NNG
천도교	천도교/NNG
원불교	원불교/NNG
대종교	대종교/NNG
그리고	그리고/MAJ
기타종교인데	기타종교/NNP+이/VCP+ㄴ데/EC
이슬람교는	이슬람교/NNG+는/JX
7대	7/SN+대/NNG
종교에도	종교/NNG+에/JKB+도/JX
속하지	속하/VV+지/EC
않은	않/VX+은/ETM
기타종교이다	기타종교/NNP+이/VCP+다/EC

대부분의	대부분/NNG+의/JKG
사람들이	사람/NNG+들/XSN+이/JKS
이슬람교을	이슬람교/NNG+을/JKO
숭배하지도	숭배하/VV+지/EC+도/JX
않고,	않/VX+고/EC+,/SP
마호메트를	마호메트/NNP+를/JKO
성자로,	성자/NNG+로/JKB+,/SP
마호메트가	마호메트/NNP+가/JKS
태어난	태어나/VV+ㄴ/ETM
메카를	메카/NNG+를/JKO
성지로	성지/NNG+로/JKB
생각하지도	생각하/VV+지/EC+도/JX
않으면서	않/VX+으면서/EC
‘메카’를	‘/SL+메카/NNG+’/SL+를/JKO
세계의	세계/NNG+의/JKG
중심	중심/NNG
내지	내지/MAG
모든	모든/MM
것의	것/NNB+의/JKG
중심에	중심/NNG+에/JKB
놓고	놓/VV+고/EC
있으니	있/VX+으니/EC
이는	이/NP+는/JX
어찌된	어찌되/VA+ㄴ/ETM
일일까	일/NNG+이/VCP+ㄹ까/EC

‘메카’가	‘/SL+메카/NNG+’/SL+가/JKS
어떻게	어떻/VA+게/EC
쓰이고	쓰이/VV+고/EC
있는지	있/VX+는지/EC
한번	한/MM+번/NNB
보자	보/VV+자/EF

2012년	2012/SN+년/NNB
9월	9/SN+월/NNB
8일	8/SN+일/NNB
저녁	저녁/NNG
8시	8/SN+시/NNB
네이버	네이버/NNP
홈에서	홈/NNG+에서/JKB
‘메카’를	‘/SN+메카/NNB+’/SL+를/JKO
검색어로	검색어/NNG+로/JKB
해서	하/VV+여서/EC
나오는	나오/VV+는/ETM
뉴스들이다	뉴스/NNG+들/XSN+이/VCP+다/EC

첨단산업	첨단산업/NNG
R&D	R/SL+&/SW+D/SL
메카	메카/NNG
급부상,	급부상/NNG+,/SP
서울시	서울시/NNP
성수동	성수동/NNP
수제화	수제화/NNG
메카로	메카/NNG+로/JKB
육성,	육성/NNG+,/SP
車	車/SL
물류	물류/NNG
메카,	메카/NNP+,/SP
공주	공주/NNP
농촌체험학습	농촌체험학습/NNG
메카로	메카/NNG+로/JKB
우뚝,	우뚝/MAG+,/SP
레저스포츠	레저스포츠/NNG
메카,	메카/NNP+,/SP
부산	부산/NNP
세계적	세계적/NNG
영상산업	영상산업/NNG
메카로,	메카/NNG+로/JKB+,/SP
해양레저	해양레저/NNP
메카,	메카/NNP+,/SP
아토피	아토피/NNG
예방	예방/NNG
메카	메카/NNG
등등	등등/NNB
모든	모든/MM
것의	것/NNB+의/JKG
중심이라는	중심/NNG+이/VCP+라는/ETM
’메카‘는	’/SL+메카/NNG+‘/SL+는/JX
뉴스의	뉴스/NNG+의/JKG
제목	제목/NNG
또는	또는/MAG
내용에서	내용/NNG+에서/JKB
끝도	끝/NNG+도/JX
없이	없이/MAG
이어진다	이어지/VV+ㄴ다/EF

그야말로	그야말로/MAG
모든	모든/MM
뉴스의	뉴스/NNG+의/JKG
중심이	중심/NNG+이/JKS
’메카‘인	’/SN+메카/NNB+‘/SL+이/VCP+ㄴ/ETM
셈이다	셈/NNB+이/VCP+다/EC

물론	물론/MAG
‘메카’를	‘/SL+메카’/NNG+를/JKO
모든	모든/MM
것의	것/NNB+의/JKG
중심에	중심/NNG+에/JKB
놓고	놓/VV+고/EC
이야기	이야기/NNG
하는	하/VV+는/ETM
것은	것/NNB+은/JX
유식자들의	유식자/NNG+들/XSN+의/JKG
자기	자기/NP
과시(?)	과시/NNG+(/SS+?/SF+)/SS
인	이/VV+ㄴ/ETM
것	것/NNB
같은데	같/VA+은데/EC
장애인이라고	장애인/NNG+이/VCP+라고/EC
해서	하/VV+여서/EC
별반	별반/MAG
다르지	다르/VA+지/EC
않다	않/VX+다/EC

너무	너무/MAG
많아서	많/VA+아서/EC
일일이	일일이/MAG
다	다/MAG
열거	열거/NNG
할	하/VV+ㄹ/ETM
수도	수/NNB+도/JX
없지만	없/VA+지만/EC
필자가	필자/NNG+가/JKS
이	이/MM
글을	글/NNG+을/JKO
쓰고	쓰/VV+고/EC
있는	있/VX+는/ETM
‘에이블뉴스’만	‘/SL+에이블뉴스’/NNG+만/JX
해도	하/VV+여도/EC
‘메카’를	‘/SL+메카/NNG+’/SL+를/JKO
검색어로	검색어/NNG+로/JKB
넣으면	넣/VV+으면/EC
관련기사가	관련기사/NNG+가/JKS
주르르	주르르/MAG
달려	달리/VV+어/EC
나온다	나오/VV+ㄴ다/EF

검색어	검색어/NNG
메카에	메카/NNG+에/JKB
뜨는	뜨/VV+는/ETM
뉴스들	뉴스/NNG+들/XSN

장애인	장애인/NNG
복지증진의	복지증진/NNG+의/JKG
메카,	메카/NNP+,/SP
장애인스포츠의	장애인스포츠/NNG+의/JKG
메카,	메카/NNP+,/SP
뮤지컬	뮤지컬/NNG
공연의	공연/NNG+의/JKG
메카,	메카/NNP+,/SP
당사자주의의	당사자주의/NNG+의/JKG
메카,	메카/NNP+,/SP
그리고	그리고/MAJ
이룸센터는	이룸센터/NNG+는/JX
장애인단체들의	장애인단체/NNG+들/XSN+의/JKG
메카란다	메카/NNG+라/VV+ㄴ다/EF

메카를	메카/NNG+를/JKO
즐겨	즐기/VV+어/EC
쓰는	쓰/VV+는/ETM
당신은	당신/NP+은/JX
정말로	정말로/MAG
이슬람교와	이슬람교/NNG+와/JC
마호메트를	마호메트/NNP+를/JKO
숭배해서	숭배하/VV+여서/EC
‘메카’를	‘/SN+메카/NNB+’/SL+를/JKO
세계의	세계/NNG+의/JKG
중심에	중심/NNG+에/JKB
놓인	놓이/VV+ㄴ/ETM
성지로	성지/NNG+로/JKB
생각하는가	생각하/VV+는가/EC

아!	아/IC+!/SF
누구던가?	누구/NP+이/VCP+던가/EF+?/SF
그렇게	그렇/VA+게/EC
슬프고도	슬프/VA+고도/EC
애닯은	애닯/VA+은/ETM
메카를	메카/NNG+를/JKO
모든	모든/MM
것의	것/NNB+의/JKG
중심에	중심/NNG+에/JKB
맨	매/VV+ㄴ/ETM
처음	처음/NNG
놓은	놓/VV+은/ETM
그는……	그/NP+는/JX+……/SE

에이블뉴스에서	에이블뉴스/NNP+에서/JKB
‘메카’를	‘/SN+메카/NNB+’/SL+를/JKO
중심으로	중심/NNG+으로/JKB
바꿔	바꾸/VV+어/EC
보자	보/VX+자/EF

장애인	장애인/NNG
복지증진의	복지증진/NNG+의/JKG
중심,	중심/NNG+,/SP
장애인스포츠의	장애인스포츠/NNG+의/JKG
중심,	중심/NNG+,/SP
뮤지컬	뮤지컬/NNG
공연의	공연/NNG+의/JKG
중심,	중심/NNG+,/SP
당사자주의의	당사자주의/NNG+의/JKG
중심,	중심/NNG+,/SP
그리고	그리고/MAJ
이룸센터는	이룸센터/NNG+는/JX
장애인단체들의	장애인단체/NNG+들/XSN+의/JKG
중심이라고	중심/NNG+이/VCP+라고/EC
할	하/VV+ㄹ/ETM
수	수/NNB
있는데	있/VA+는데/EC
중심이라는	중심/NNG+이/VCP+라는/ETM
단어가	단어/NNG+가/JKS
미심쩍다면	미심쩍/VA+다면/EC
아사달은	아사달/NNP+은/JX
어떨까	어떻/VA+ㄹ까/EC

천부경과	천부경/NNG+과/JC
천부인을	천부인/NNG+을/JKO
연구하신	연구하/VV+시/EP+ㄴ/ETM
구길수	구길수/NNP
선생은	선생/NNG+은/JX
밝달임금(檀君)께서	밝달임금/NNG+(/SS+檀君/SL+)/SS+께서/JKS
아사달(처음	아사달/NNP+(/SS+처음/NNG
땅)에	땅/NNG+)/SS+에/JKB
도읍을	도읍/NNG+을/JKO
정하고	정하/VV+고/EC
처음으로	처음/NNG+으로/JKB
세운	세우/VV+ㄴ/ETM
나라가	나라/NNG+가/JKS
아사선(조선)이라고	아사선/NNG+(/SS+조선/NNP+)/SS+이라고/JKQ
하셨다	하/VV+시었/EP+다/EC

이	이/MM
때	때/NNG
글자는	글자/NNG+는/JX
없어서	없/VA+어서/EC
하느님이	하느님/NNG+이/JKS
내리신	내리/VV+시/EP+ㄴ/ETM
하늘과	하늘/NNG+과/JC
땅과	땅/NNG+과/JC
사람의	사람/NNG+의/JKG
증표인	증표/NNG+이/VCP+ㄴ/ETM
천부인	천부/NNG+이/VCP+ㄴ/ETM
원방각	원방각/NNG
ㅇ	ㅇ/NNG
ㅁ	ㅁ/NNG
ㅿ	ㅿ/SL
으로	으로/JKB
신지녹도문이라는	신지녹도문/NNG+이/VCP+라는/ETM
원시한글	원시한글/NNG
가림다를	가림다/NNP+를/JKO
만들었는데	만들/VV+었/EP+는데/EC
이	이/MM
원시	원시/NNG
한글이	한글/NNG+이/JKS
훈민정음의	훈민정음/NNP+의/JKG
모태라는	모태/NNG+이/VCP+라는/ETM
것이다	것/NNB+이/VCP+다/EC

구길수	구길수/NNP
선생은	선생/NNG+은/JX
뜻도	뜻/NNG+도/JX
의미도	의미/NNG+도/JX
요상한	요상하/VA+ㄴ/ETM
‘메카’가	‘/SL+메카/NNG+’/SL+가/JKC
아니라	아니/VCN+라/EC
밝달임금이	밝달임금/NNG+이/JKS
도읍으로	도읍/NNG+으로/JKB
삼은	삼/VV+은/ETM
처음	처음/NNG
땅	땅/NNG
즉	즉/MAG
하늘말	하늘말/NNG
‘아사달’을	‘/SN+아사달/NNP+’/SL+을/JKO
‘메카’	‘/SL+메카’/NNG
대신	대신/NNG
사용하자고	사용하/VV+자고/EC
하셨다	하/VV+시었/EP+다/EC

장애인복지증진의	장애인복지증진/NNG+의/JKG
아사달은	아사달/NNP+은/JX
어떨까	어떻/VA+ㄹ까/EC

우리	우리/NP
한글은	한글/NNG+은/JX
못	못/MAG
적을	적/VA+을/ETM
말이	말/NNG+이/JKS
없고	없/VA+고/EC
나타내지	나타내/VV+지/EC
못할	못하/VX+ㄹ/ETM
글이	글/NNG+이/JKS
없다	없/VA+다/EC

그러나	그러나/MAJ
글자	글자/NNG
한자	한자/NNG
차이로	차이/NNG+로/JKB
엉뚱한	엉뚱하/VA+ㄴ/ETM
말이	말/NNG+이/JKC
될	되/VV+ㄹ/ETM
수도	수/NNB+도/JX
있으니	있/VA+으니/EC
님이라는	님/NNG+이/VCP+라는/ETM
글자에	글자/NNG+에/JKB
금하나를	금하나/NNG+를/JKO
그으면	긋/VV+으면/EC
남이	남/NNG+이/JKC
될	되/VV+ㄹ/ETM
수도	수/NNB+도/JX
있기	있/VA+기/ETN
때문이다	때문/NNB+이/VCP+다/EC

얼마	얼마/NNG
전부터	전/NNG+부터/JX
인터넷에서는	인터넷/NNG+에서/JKB+는/JX
한글	한글/NNG
오타들이	오타/NNG+들/XSN+이/JKS
나돌고	나돌/VV+고/EC
있어	있/VX+어/EC
그것을	그것/NP+을/JKO
본	보/VV+ㄴ/ETM
필자도	필자/NNG+도/JX
하하	하하/NNG
호호	호호/NNG
실컷	실컷/MAG
웃었다	웃/VV+었/EP+다/EF

엄마는	엄마/NNG+는/JX
아들에게	아들/NNG+에게/JKB
게임을	게임/NNG+을/JKO
하느냐고	하/VV+느냐고/EC
물었는데	묻/VV+었/EP+는데/EC
정작	정작/NNG
그	그/MM
엄마가	엄마/NNG+가/JKS
휴대폰으로	휴대폰/NNG+으로/JKB
보낸	보내/VV+ㄴ/ETM
내용은	내용/NNG+은/JX
‘게이바니’였다	‘/SN+게이바니’/NNG+이/VCP+었/EP+다/EF

양념치킨이	양념치킨/NNG+이/JKS
‘양년치킨’이	‘/SN+양년/NNB+치/XSN+키/XSV+ㄴ/ETM+’/SL+이/JKC
되기도	되/VV+기/ETN+도/JX
하고,	하/VX+고/EC+,/SP
인감증명서가	인감증명서/NNG+가/JKS
‘인간증명서’로	‘/SL+인간증명서’/NNG+로/JKB
둔갑하고,	둔갑하/VA+고/EC+,/SP
수지침이	수지침/NNG+이/JKS
‘수치심’이	‘/SL+수치심’/NNG+이/JKC
되기도	되/VV+기/ETN+도/JX
하고,	하/VX+고/EC+,/SP
기다리세요가	기다리세요/NNG+가/JKS
‘기다니세요’가	‘/SL+기다니세요’/NNG+가/JKC
될	되/VV+ㄹ/ETM
수도	수/NNB+도/JX
있다	있/VA+다/EF

이는	이/NP+는/JX
한글의	한글/NNG+의/JKG
바른	바르/VA+ㄴ/ETM
