한국,	한국/NNP+,/SP
S14(지적장애)	S/SL+14/SN+(/SS+지적장애/NNG+)/SS
결선에서	결선/NNG+에서/JKB
조원상	조원/NNP+상/XSN
선수가	선수/NNG+가/JKS
동메달을	동메달/NNG+을/JKO
딴	따/VV+ㄴ/ETM
것이	것/NNB+이/JKS
최고	최고/NNG
기록이다	기록/NNG+이/VCP+다/EC

은메달은	은메달/NNG+은/JX
임우근	임우근/NNP
선수보다	선수/NNG+보다/JKB
0	0/SN

92초	92/SN+초/NNB
늦은	늦/VA+은/ETM
독일의	독일/NNP+의/JKG
니엘스	니엘스/NNP
그루넨베르크	그루넨베르크/NNP
선수에게	선수/NNG+에게/JKB
돌아갔다	돌아가/VV+았/EP+다/EF

역도의	역도/NNG+의/JKG
전근배	전근배/NNP
선수는	선수/NNG+는/JX
런던	런던/NNP
엑셀	엑셀/NNG
사우스아레나에서	사우스아레나/NNP+에서/JKB
열린	열리/VV+ㄴ/ETM
남자	남자/NNG
+100kg	+/SW+100/SN+kg/SL
결선에서	결선/NNG+에서/JKB
232kg을	232/SN+kg/SL+을/JKO
들어	들/VV+어/EC
올리며	올리/VV+며/EC
동메달을	동메달/NNG+을/JKO
안겼다	안기/VV+었/EP+다/EF

사격이	사격/NNG+이/JKS
심영집	심영집/NNG
선수는	선수/NNG+는/JX
메달을	메달/NNG+을/JKO
추가하는데	추가하/VV+는/ETM+데/NNB
실패했다	실패하/VV+였/EP+다/EC

심영집은	심영집/NNP+은/JX
5일	5/SN+일/NNB
런던	런던/NNP
왕립	왕립/NNG
보병대에서	보병대/NNG+에서/JKB
열린	열리/VV+ㄴ/ETM
사격	사격/NNG
남자	남자/NNG
R7	R/SL+7/SN
50m	50/SN+m/SL
소총	소총/NNG
3자세	3/SN+자세/NNG
결선에	결선/NNG+에/JKB
진출했지만	진출하/VV+였/EP+지만/EC
합계	합계/NNG
1245	1245/SN

7점으로	7/SN+점/NNB+으로/JKB
4위에	4/SN+위/NNB+에/JKB
올랐다	오르/VV+았/EP+다/EC

함께	함께/MAG
결선에	결선/NNG+에/JKB
진출한	진출하/VV+ㄴ/ETM
심재용	심재용/NNP
선수는	선수/NNG+는/JX
합계	합계/NNG
1235	1235/SN

9점으로	9/SN+점/NNB+으로/JKB
5위를	5/SN+위/NNB+를/JKO
차지했다	차지하/VV+었/EP+다/EC

휠체어	휠체어/NNG
펜싱	펜싱/NNG
종목의	종목/NNG+의/JKG
유일한	유일하/VA+ㄴ/ETM
김선미	김선미/NNP
선수는	선수/NNG+는/JX
엑셀	엑셀/NNG
노스	노스/NNG
아레나에서	아레나/NNP+에서/JKB
열린	열리/VV+ㄴ/ETM
여자	여자/NNG
에페	에페/NNG
개인	개인/NNG
카테고리A	카테고리/NNG+A/SL
8강전에서	8/SN+강/NNG+전/XSN+에서/JKB
중국의	중국/NNP+의/JKG
위치이	위치/NNG+이/JKS
선수에	선수/NNG+에/JKB
9대15로	9/SN+대/NNB+15/SN+로/JKB
패했다	패하/VV+였/EP+다/EF

한편	한편/MAG
우리나라는	우리나라/NNG+는/JX
금메달	금메달/NNG
6개,	6/SN+개/NNB+,/SP
은메달	은메달/NNG
5개,	5/SN+개/NNB+,/SP
동메달	동메달/NNG
6개로	6/SN+개/NNB+로/JKB
13위에	13/SN+위/NNB+에/JKB
올랐다	오르/VV+았/EP+다/EC

중국은	중국/NNP+은/JX
금메달	금메달/NNG
60개,	60/SN+개/NNB+,/SP
은메달	은메달/NNG
50개,	50/SN+개/NNB+,/SP
동메달	동메달/NNG
49개로	49/SN+개/NNB+로/JKB
1위를	1/SN+위/NNB+를/JKO
고수하고	고수하/VV+고/EC
있고	있/VX+고/EC
러시아가	러시아/NNP+가/JKS
금메달	금메달/NNG
28개,	28/SN+개/NNB+,/SP
은메달	은메달/NNG
25개,	25/SN+개/NNB+,/SP
동메달	동메달/NNG
20개로	20/SN+개/NNB+로/JKB
2위를,	2/SN+위/NNB+를/JKO+,/SP
영국이	영국/NNP+이/JKS
금메달	금메달/NNG
25개,	25/SN+개/NNB+,/SP
은메달	은메달/NNG
36개,	36/SN+개/NNB+,/SP
동메달	동메달/NNG
31개로	31/SN+개/NNB+로/JKB
3위를	3/SN+위/NNB+를/JKO
기록	기록/NNG
중이다	중/NNB+이/VCP+다/EC
