장애인올림픽	장애인올림픽/NNG
있다	있/VX+다/EC

탁구의	탁구/NNG+의/JKG
조경희	조경희/NNP
선수	선수/NNG
모습	모습/NNG

조경희,	조경희/NNP+,/SP
정상숙,	정상숙/NNP+,/SP
최현지	최현지/NNP
선수로	선수/NNG+로/JKB
구성된	구성되/VV+ㄴ/ETM
탁구	탁구/NNG
여자	여자/NNG
단체	단체/NNG
1-3체급	1/SN+-/SO+3/SN+체급/NNG
팀은	팀/NNG+은/JX
6일	6/SN+일/NNB
상대국인	상대국/NNG+이/VCP+ㄴ/ETM
영국을	영국/NNP+을/JKO
3대	3/SN+대/NNG
0으로	0/SN+으로/JKB
제압하고	제압하/VV+고/EC
결승진출에	결승진출/NNG+에/JKB
성공했다	성공하/VV+였/EP+다/EC

탁구의	탁구/NNG+의/JKG
조경희	조경희/NNP
선수가	선수/NNG+가/JKS
득점에	득점/NNG+에/JKB
성공해	성공하/VV+여/EC
기뻐하고	기뻐하/VV+고/EC
있다	있/VX+다/EC

육상의	육상/NNG+의/JKG
김규대	김규대/NNP
선수(사진	선수/NNG+(/SS+사진/NNG
왼쪽)가	왼쪽/NNG+)/SS+가/JKS
6일	6/SN+일/NNB
런던	런던/NNP
올림픽	올림픽/NNG
스타디움에서	스타디움/NNG+에서/JKB
열린	열리/VV+ㄴ/ETM
남자	남자/NNG
800m	800/SN+m/SL
T54	T/SL+54/SN
결선에서	결선/NNG+에서/JKB
역주하고	역주하/VV+고/EC
있다	있/VX+다/EC

역주	역주/NNG
후	후/NNG
자신의	자신/NNG+의/JKG
기록을	기록/NNG+을/JKO
지켜보고	지켜보/VV+고/EC
있는	있/VX+는/ETM
김규대	김규대/NNP
선수	선수/NNG

동메달이	동메달/NNG+이/JKS
기대됐던	기대되/VV+었/EP+던/ETM
김규대	김규대/NNP
선수는	선수/NNG+는/JX
1분39초03의	1/SN+분/XSN+39/SN+초/NNB+03/SN+의/JKG
기록으로	기록/NNG+으로/JKB
5위를	5/SN+위/NNB+를/JKO
차지했다	차지하/VV+었/EP+다/EC

역주를	역주/NNG+를/JKO
마친	마치/VV+ㄴ/ETM
김규대	김규대/NNP
선수가	선수/NNG+가/JKS
호흡을	호흡/NNG+을/JKO
가다듬고	가다듬/VV+고/EC
있다	있/VX+다/EC
