진정한	진정하/VA+ㄴ/ETM
달린	달리/VV+ㄴ/ETM
의자	의자/NNG

그것은	그것/NP+은/JX
일반의	일반/NNG+의/JKG
생각일	생각/NNG+이/VCP+ㄹ/ETM
뿐이다	뿐/NNB+이/VCP+다/EC

그러나	그러나/MAJ
그녀는	그녀/NP+는/JX
휠체어를	휠체어/NNG+를/JKO
그렇게	그렇/VA+게/EC
단순하게	단순하/VA+게/EC
보질	보/VV+지/EC+ㄹ/JX
않았다	않/VX+았/EP+다/EF

그녀에게는	그녀/NP+에게/JKB+는/JX
휠체어를	휠체어/NNG+를/JKO
통한	통하/VV+ㄴ/ETM
은유,	은유/NNG+,/SP
그리고	그리고/MAJ
사회적	사회적/NNG
다름에	다르/VA+ㅁ/ETN+에/JKB
대한	대하/VV+ㄴ/ETM
지속적인	지속적/NNG+이/VCP+ㄴ/ETM
의문,	의문/NNG+,/SP
그녀는	그녀/NP+는/JX
그	그/MM
신기한	신기하/VA+ㄴ/ETM
물건을	물건/NNG+을/JKO
이용해	이용하/VV+여/EC
무언가를	무엇/NP+이/VCP+ㄴ가/EF+를/JKO
해야	하/VV+여야/EC
했다	하/VX+였/EP+다/EC

사람들이	사람/NNG+들/XSN+이/JKS
타치하지	타치하/VV+지/EC
못한	못하/VX+ㄴ/ETM
부분을	부분/NNG+을/JKO
그녀만의	그녀/NP+만/JX+의/JKG
감각으로	감각/NNG+으로/JKB
형상화	형상화/NNG
해내야	해내/VV+어야/EC
했다	하/VX+였/EP+다/EC

공간이	공간/NNG+이/JKS
필요했다	필요하/VA+었/EP+다/EC

수평	수평/NNG
이동만이	이동/NNG+만/JX+이/JKS
가능한	가능하/VA+ㄴ/ETM
휠체어의	휠체어/NNG+의/JKG
한계를	한계/NNG+를/JKO
극복하기	극복하/VV+기/ETN
위해서는	위하/VV+여서/EC+는/JX
휠체어가	휠체어/NNG+가/JKS
좌우	좌우/NNG
상하,	상하/NNG+,/SP
그리고	그리고/MAJ
자유롭게	자유롭/VA+게/EC
휠체어로	휠체어/NNG+로/JKB
그리는	그리/VV+는/ETM
원까지	원/NNB+까지/JX

그래,	그/MAJ+래/IC+,/SP
그녀는	그녀/NP+는/JX
물이라는	물/NNG+이/VCP+라는/ETM
것에서	것/NNB+에서/JKB
답을	답/NNG+을/JKO
찾았다	찾/VV+았/EP+다/EC

물	물/NNG
속에	속/NNG+에/JKB
넣을	넣/VV+을/ETM
수	수/NNB
있다면	있/VA+다면/EC
모든	모든/MM
것이	것/NNB+이/JKS
한꺼번에	한꺼번에/MAG
가능해	가능하/VA+여/EC
진다	지/VX+ㄴ다/EF

휠체어	휠체어/NNG
들	듣/VV
것에	것/NNB+에/JKB
실려	실리/VV+어/EC
바닷가로	바닷가/NNG+로/JKB
가고	가/VV+고/EC
있는	있/VX+는/ETM
오스틴(출처:	오스틴/NNP+(/SS+출처/NNG+:/SP
프리	프리/NNP
휠링	휠링/NNG
홈페이지	홈페이지/NNG
동영상	동영상/NNG
캡처)	캡처/NNG+)/SS

ⓒ샘	ⓒ/SL+샘/NNG
휠체어가	휠체어/NNG+가/JKS
물속으로	물속/NNG+으로/JKB
들어	들/VV+어/EC
간다는	가/VX+ㄴ다는/ETM
것,	것/NNB+,/SP
어찌보면	어찌/MAG+보/VV+면/EC
그저	그저/MAG
들어가면	들어가/VV+면/EC
되는	되/VV+는/ETM
단순한	단순하/VA+ㄴ/ETM
것처럼	것/NNB+처럼/JKB
보이지만	보이/VV+지만/EC
아니다	아니/VCN+다/EC

철저한	철저하/VA+ㄴ/ETM
준비와	준비/NNG+와/JC
훈련	훈련/NNG
과정을	과정/NNG+을/JKO
통해서만이	통하/VV+여서/EC+만/JX+이/JKS
가능한	가능하/VA+ㄴ/ETM
것이다	것/NNB+이/VCP+다/EC

그녀는	그녀/NP+는/JX
사람을	사람/NNG+을/JKO
모았다	모으/VV+았/EP+다/EC

잠수	잠수/NNG
전문가,	전문가/NNG+,/SP
휠체어	휠체어/NNG
전문가,	전문가/NNG+,/SP
다이버,	다이버/NNG+,/SP
장애인	장애인/NNG
다이버	다이버/NNG
등등	등등/NNB
10여명의	10/SN+여/XSN+명/NNB+의/JKG
스탭을	스탭/NNG+을/JKO
모아	모으/VV+아/EC
일을	일/NNG+을/JKO
진행하기	진행하/VV+기/ETN
시작했다	시작하/VV+였/EP+다/EF

그	그/MM
중에	중/NNB+에/JKB
맥	맥/NNG
도우스는	도우스/NNP+는/JX
드문	드물/VA+ㄴ/ETM
장애	장애/NNG
다이버다	다이벌/VV+다/EC

그는	그/NP+는/JX
항상	항상/MAG
분위기를	분위기/NNG+를/JKO
업	업/NNG
시키며	시키/VV+며/EC
무보수로	무보수/NNG+로/JKB
자원	자원/NNG
봉사를	봉사/NNG+를/JKO
했다	하/VV+였/EP+다/EF

그의	그/NP+의/JKG
섬세한	섬세하/VA+ㄴ/ETM
지도로	지도/NNG+로/JKB
수	수/MM
오스틴이	오스틴/NNP+이/JKS
어려운	어렵/VA+ㄴ/ETM
일을	일/NNG+을/JKO
해	하/VV+여/EC
낼	내/VX+ㄹ/ETM
수	수/NNB
있게	있/VA+게/EC
되었다	되/VV+었/EP+다/EC

그녀는	그녀/NP+는/JX
물에	물/NNG+에/JKB
들어갔다	들어가/VV+았/EP+다/EC

모든	모든/MM
것이	것/NNB+이/JKS
달랐다	다르/VA+았/EP+다/EC

이제	이제/MAG
비로소	비로소/MAG
자유로워진	자유롭/VA+어/EC+지/VX+ㄴ/ETM
것이다	것/NNB+이/VCP+다/EC

그녀는	그녀/NP+는/JX
이를	이/NP+를/JKO
단순한	단순하/VA+ㄴ/ETM
행위	행위/NNG
예술에	예술/NNG+에/JKB
그치지	그치/VV+지/EC
않고	않/VX+고/EC
사람들의	사람/NNG+들/XSN+의/JKG
장애를	장애/NNG+를/JKO
보는	보/VV+는/ETM
시각의	시각/NNG+의/JKG
전환이	전환/NNG+이/JKS
필요하다는	필요하/VA+다는/ETM
것을	것/NNB+을/JKO
느꼈다	느끼/VV+었/EP+다/EF

그래서	그래서/MAJ
단순한	단순하/VA+ㄴ/ETM
풀을	풀/NNG+을/JKO
넘어	넘/VV+어/EC
이스라엘의	이스라엘/NNP+의/JKG
홍해까지,	홍해/NNP+까지/JX+,/SP
그리고	그리고/MAJ
런던올림픽까지	런던/NNP+올림픽/NNG+까지/JX
그녀는	그녀/NP+는/JX
휠체어를	휠체어/NNG+를/JKO
통한	통하/VV+ㄴ/ETM
사람들의	사람/NNG+들/XSN+의/JKG
장애인에	장애인/NNG+에/JKB
관한	관하/VV+ㄴ/ETM
시각의	시각/NNG+의/JKG
전환을	전환/NNG+을/JKO
위해	위하/VV+여/EC
끊임없이	끊임없이/MAG
돌아다니며	돌아다니/VV+며/EC
보이고	보이/VV+고/EC
알렸다	알리/VV+었/EP+다/EF

그녀는	그녀/NP+는/JX
'자유를	'/SS+자유/NNG+를/JKO
찾아서	찾/VV+아서/EC
2'를	2/SN+'/SS+를/JKO
만들어	만들/VV+어/EC
냈다	내/VX+었/EP+다/EF

홍해의	홍해/NNP+의/JKG
심해에서	심해/NNG+에서/JKB
만들어	만들/VV+어/EC
낸	내/VX+ㄴ/ETM
이	이/MM
작품은	작품/NNG+은/JX
더	더/MAG
강한	강하/VA+ㄴ/ETM
느낌으로	느낌/NNG+으로/JKB
다가왔다	다가오/VV+았/EP+다/EC

색상도	색상/NNG+도/JX
화려하고	화려하/VA+고/EC
근접	근접/NNG
촬영을	촬영/NNG+을/JKO
늘려	늘리/VV+어/EC
더	더/MAG
생동감이	생동감/NNG+이/JKS
느껴진다	느끼/VV+어/EC+지/VX+ㄴ다/EF

평행	평행/NNG
이동시에는	이동/NNG+시/NNB+에/JKB+는/JX
마치	마치/MAG
특별한	특별하/VA+ㄴ/ETM
기구를	기구/NNG+를/JKO
탄	타/VV+ㄴ/ETM
것	것/NNB
같은	같/VA+은/ETM
편안함이	편안하/VA+ㅁ/ETN+이/JKS
느껴지기도	느끼/VV+어/EC+지/VX+기/ETN+도/JX
하고	하/VX+고/EC
물방울과	물방울/NNG+과/JC
수많은	수많/VA+은/ETM
열대어	열대어/NNG
사이를	사이/NNG+를/JKO
여유롭게	여유롭/VA+게/EC
지날	지나/VV+ㄹ/ETM
때는	때/NNG+는/JX
마치	마치/MAG
고난을	고난/NNG+을/JKO
이겨나가	이기/VV+어/EC+나/VX+가/JKS
이루어야	이루/VV+어야/EC
할	하/VX+ㄹ/ETM
것을	것/NNB+을/JKO
이루는	이루/VV+는/ETM
승리의	승리/NNG+의/JKG
쾌감	쾌감/NNG
같은	같/VA+은/ETM
것이	것/NNB+이/JKS
느껴졌다	느끼/VV+어/EC+지/VX+었/EP+다/EF

마지막,	마지막/NNG+,/SP
붉은	붉/VA+은/ETM
수면을	수면/NNG+을/JKO
향해	향하/VV+여/EC
비상할	비상하/VV+ㄹ/ETM
때는	때/NNG+는/JX
이제	이제/MAG
더	더/MAG
이상	이상/NNG
이길	이기/VV+ㄹ/ETM
것조차도	것/NNB+조차도/JX
없는	없/VA+는/ETM
완벽한	완벽하/VA+ㄴ/ETM
승자의	승자/NNG+의/JKG
모습을	모습/NNG+을/JKO
그대로	그대로/MAG
느낄	느끼/VV+ㄹ/ETM
수가	수/NNB+가/JKS
있었다	있/VA+었/EP+다/EF

그를	그/NP+를/JKO
본	보/VV+ㄴ/ETM
사람들의	사람/NNG+들/XSN+의/JKG
반응은	반응/NNG+은/JX
경이	경/NNG+이/JKS
그	그/MM
자체였다	자체/NNG+이/VCP+었/EP+다/EF

한결	한결/MAG
같이	같이/MAG
놀랍다는	놀랍/VA+다는/ETM
표정이다	표정/NNG+이/VCP+다/EC

물방울을	물방울/NNG+을/JKO
가르며	가르/VV+며/EC
바닷속으로	바닷속/NNG+으로/JKB
가라	가/VV+라/EC
앉고	앉/VV+고/EC
있는	있/VX+는/ETM
오스틴(출처:	오스틴/NNP+(/SS+출처/NNG+:/SP
프리	프리/NNP
휠링	휠링/NNG
홈페이지	홈페이지/NNG
동영상	동영상/NNG
캡처)	캡처/NNG+)/SS

ⓒ샘	ⓒ/SL+샘/NNG
물	물/NNG
속에서	속/NNG+에서/JKB
자유로이	자유로이/MAG
유영하고	유영하/VV+고/EC
있는	있/VX+는/ETM
오스틴(출처:	오스틴/NNP+(/SS+출처/NNG+:/SP
프리	프리/NNP
휠링	휠링/NNG
홈페이지	홈페이지/NNG
동영상	동영상/NNG
캡처)	캡처/NNG+)/SS

ⓒ샘	ⓒ/SL+샘/NNG
고기	고기/NNG
떼에	떼/NNG+에/JKB
묻혀	묻히/VV+어/EC
있는	있/VX+는/ETM
오스틴(출처:	오스틴/NNP+(/SS+출처/NNG+:/SP
프리	프리/NNP
휠링	휠링/NNG
홈페이지	홈페이지/NNG
동영상	동영상/NNG
캡처)	캡처/NNG+)/SS

ⓒ샘	ⓒ/SL+샘/NNG
전자	전자/NNG
횃불(출처:	횃불/NNG+(/SS+출처/NNG+:/SP
프리	프리/NNP
휠링	휠링/NNG
홈페이지	홈페이지/NNG
동영상	동영상/NNG
캡처)	캡처/NNG+)/SS

ⓒ샘	ⓒ/SN+샘/NNG
굴을	굴/NNG+을/JKO
빠져	빠지/VV+어/EC
나가는	나가/VV+는/ETM
오스틴(출처:	오스틴/NNP+(/SS+출처/NNG+:/SP
프리	프리/NNP
휠링	휠링/NNG
홈페이지	홈페이지/NNG
동영상	동영상/NNG
캡처)	캡처/NNG+)/SS

ⓒ샘	ⓒ/SL+샘/NNG
휠체어에	휠체어/NNG+에/JKB
부착된	부착되/VV+ㄴ/ETM
헤드라이트(출처:	헤드라이트/NNG+(/SS+출처/NNG+:/SP
프리	프리/NNP
휠링	휠링/NNG
홈페이지	홈페이지/NNG
동영상	동영상/NNG
캡처)	캡처/NNG+)/SS

ⓒ샘	ⓒ/SL+샘/NNG
금빛	금빛/NNG
수면을	수면/NNG+을/JKO
향해	향하/VV+여/EC
상승	상승/NNG
중인	중/NNB+이/VCP+ㄴ/ETM
오스틴(출처:	오스틴/NNP+(/SS+출처/NNG+:/SP
프리	프리/NNP
휠링	휠링/NNG
홈페이지	홈페이지/NNG
동영상	동영상/NNG
캡처)	캡처/NNG+)/SS

ⓒ샘	ⓒ샘/SN
*	*/SW
샘	샘/NNG
기자는	기자/NNG+는/JX
에이블뉴스	에이블뉴스/NNP
객원기자로	객원기자/NNG+로/JKB
캘리포니아	캘리포니아/NNP
버클리대학	버클리대학/NNP
사회학과를	사회학과/NNG+를/JKO
졸업하고,	졸업하/VV+고/EC+,/SP
전	전/MM
미상원	미/NNP+상원/NNG
장애인국	장애인국/NNG
인턴을	인턴/NNG+을/JKO
지냈다	지내/VV+었/EP+다/EC

현재	현재/MAG
TEC	TEC/SL
대표를	대표/NNG+를/JKO
맡고	맡/VV+고/EC
있다	있/VX+다/EC
