-장애인체전-	-/SO+장애인체전/NNG+-/SO
런던	런던/NNP
패럴림픽의	패럴림픽/NNG+의/JKG
노메달	노메달/NNG
아쉬움을	아쉬움/NNG+을/JKO
달랬다	달러/VV+었/EP+다/EF

jangje@yna	jangje/SL+@/SW+yna/SL

co	co/SL

kr<저	kr/SL+</SS+저/MM
작	작/NNG
권	권/NNP
자(c)연	자/NP+(/SS+c/SL+)/SS+연/NNG
합	합/NNG
뉴	뉴/NNG
스	스/NNG

무	무/NNG
단	단/MM
전	전/NNG
재-재	재/NNG+-/SO+재/NNG
배	배/NNG
포	포/NNG
금	금/VV
지	짓/VV

>	>/SS
