권력의	권력/NNG+의/JKG
또한,	또한/MAG+,/SP
2006년도에	2006/SN+년도/NNB+에/JKB
무혐의	무혐의/NNG
처분을	처분/NNG+을/JKO
받았던	받/VV+았/EP+던/ETM
행정실장(64)는	행정실장/NNG+(/SS+64/SN+)/SS+는/JX
12년	12/SN+년/NNB
징역을	징역/NNG+을/JKO
선고받았다	선고/NNG+받/VV+았/EP+다/EC

2005년부터	2005/SN+년/NNB+부터/JX
인화학교성폭력대책추진위원회에서	인화학교성폭력대책추진위원회/NNG+에서/JKB
활동하기	활동하/VV+기/ETN
시작하여	시작하/VV+여/EC
2012년에	2012/SN+년/NNB+에/JKB
이르러서야	이르/VV+어서/EC+야/JX
학교가	학교/NNG+가/JKS
폐쇄되는	폐쇄되/VV+는/ETM
등의	등/NNB+의/JKG
성과를	성과/NNG+를/JKO
이룬	이루/VV+ㄴ/ETM
것이다	것/NNB+이/VCP+다/EC

'둥근장막'은	'/SS+둥글/VA+ㄴ/ETM+장막/NNG+'/SS+은/JX
2005년	2005/SN+년/NNB
인화학교	인화학교/NNG
성폭력	성폭력/NNG
문제를	문제/NNG+를/JKO
확인하는	확인하/VV+는/ETM
시점부터의	시점/NNG+부터/JX+의/JKG
기록영상을	기록영상/NNG+을/JKO
담담히	담담히/MAG
풀어내며	풀어내/VV+며/EC
그	그/MM
속에서	속/NNG+에서/JKB
고통과	고통/NNG+과/JC
절망,	절망/NNG+,/SP
희망을	희망/NNG+을/JKO
그리는	그리/VV+는/ETM
이야기이다	이야기/NNG+이/VCP+다/EC

학생이	학생/NNG+이/JKS
가장	가장/MAG
안전해야	안전하/VA+여야/EC
할	하/VX+ㄹ/ETM
학교에서	학교/NNG+에서/JKB
교장,	교장/NNG+,/SP
행정실장,	행정실장/NNG+,/SP
교사	교사/NNG
등	등/NNB
성폭행을	성폭행/NNG+을/JKO
당하고,	당하/VV+고/EC+,/SP
그	그/MM
사실을	사실/NNG+을/JKO
선생님께	선생님/NNG+께/JKB
관리자에게	관리자/NNG+에게/JKB
얘기해도	얘기하/VV+여도/EC
입막음	입막음/NNG
되고,	되/VV+고/EC+,/SP
사학체계안에서는	사학체계안/NNG+에서/JKB+는/JX
그저	그저/MAG
덮어야	덮/VV+어야/EC
하는	하/VX+는/ETM
일이었고	일/NNG+이/VCP+었/EP+고/EC
성폭행뿐만이	성폭행/NNG+뿐만/JX+이/JKC
아니라	아니/VCN+라/EC
폭행,	폭행/NNG+,/SP
살인등이	살인/NNG+등/NNB+이/JKS
자행된	자행되/VV+ㄴ/ETM
천인공노할	천인공노하/VV+ㄹ/ETM
일들이	일/NNG+들/XSN+이/JKS
벌어졌다	벌어지/VV+었/EP+다/EF

2005년	2005/SN+년/NNB
성폭력사건대책위원회가	성폭력사건대책위원회/NNG+가/JKS
꾸려지고	꾸리/VV+어/EC+지/VX+고/EC
경찰에	경찰/NNG+에/JKB
조사되고	조사되/VV+고/EC
기소가	기소/NNG+가/JKC
되어도	되/VV+어도/EC
악마와	악마/NNG+와/JKB
같은	같/VA+은/ETM
어른들이	어른/NNG+들/XSN+이/JKS
2006년	2006/SN+년/NNB
쉽게	쉽/VA+게/EC
풀려나는	풀려나/VV+는/ETM
현실을	현실/NNG+을/JKO
봤을	보/VV+았/EP+을/ETM
때	때/NNG
농아학생들은	농아학생/NNG+들/XSN+은/JX
일반아이들이	일반아이/NNG+들/XSN+이/JKS
당해도	당하/VV+여도/EC
이랬을까	이렇/VA+었/EP+을까/EC
하는	하/VV+는/ETM
생각에	생각/NNG+에/JKB
실망하고	실망하/VV+고/EC
장애인	장애인/NNG
차별로	차별/NNG+로/JKB
받아들였다	받아들이/VV+었/EP+다/EF

함께	함께/MAG
사건을	사건/NNG+을/JKO
고발한	고발하/VV+ㄴ/ETM
어른들은	어른/NNG+들/XSN+은/JX
어른대로	어른/NNG+대로/JX
어른이라는	어른/NNG+이/VCP+라는/ETM
것이	것/NNB+이/JKS
치욕스러움을	치욕스럽/VA+ㅁ/ETN+을/JKO
맛보았다고	맛보/VV+았/EP+다고/EC
소회하고	소회하/VV+고/EC
있다	있/VX+다/EC

대체	대체/MAG
어떻게	어떻/VA+게/EC
이런	이런/MM
짓을	짓/NNG+을/JKO
할	하/VV+ㄹ/ETM
수	수/NNB
있는지	있/VA+는지/EC

공지영	공지영/NNP
작가는	작가/NNG+는/JX
그것을	그것/NP+을/JKO
‘카르텔’로	‘/SL+카르텔/NNG+’/SL+로/JKB
설명하고	설명하/VV+고/EC
있었다	있/VX+었/EP+다/EF

저	저/MM
악마같은	악마/NNG+같/VA+은/ETM
사람이	사람/NNG+이/JKS
교장도	교장/NNG+도/JX
되고,	되/VV+고/EC+,/SP
경찰서장이	경찰서/NNG+장/XSN+이/JKS
되어서	되/VV+어서/EC
서로를	서로/NNG+를/JKO
돕고	돕/VV+고/EC
쉬쉬해주는	쉬쉬하/VV+여/EC+주/VX+는/ETM

카르텔	카르텔/NNG

청각장애	청각장애/NNG
아동을	아동/NNG+을/JKO
자신의	자신/NNG+의/JKG
딸과	딸/NNG+과/JKB
똑같게	똑같/VA+게/EC
보지	보/VV+지/EC
못하는	못하/VX+는/ETM
것이	것/NNB+이/JKC
아닌가	아니/VCN+ㄴ가/EC
하는	하/VV+는/ETM
인간성의	인간성/NNG+의/JKG
결여	결여/NNG

그	그/MM
카르텔을	카르텔/NNG+을/JKO
깨고	깨/VV+고/EC
학교	학교/NNG
폐쇄를	폐쇄/NNG+를/JKO
이끌어낸건	이끌/VV+어/EC+내/VX+ㄴ건/EC
결국	결국/NNG
여론이었고,	여론/NNG+이/VCP+었/EP+고/EC+,/SP
상식을	상식/NNG+을/JKO
가진	가지/VV+ㄴ/ETM
보통	보통/NNG
사람들의	사람/NNG+들/XSN+의/JKG
접근이	접근/NNG+이/JKS
사태를	사태/NNG+를/JKO
해결하는	해결하/VV+는/ETM
열쇠가	열쇠/NNG+가/JKC
되었다	되/VV+었/EP+다/EC

여론이	여론/NNG+이/JKS
들끓기	들끓/VV+기/ETN
전부터	전/NNG+부터/JX
직접	직접/MAG
양심과	양심/NNG+과/JC
상식에	상식/NNG+에/JKB
의해	의하/VV+여/EC
일을	일/NNG+을/JKO
해온	하/VV+여/EC+오/VX+ㄴ/ETM
활동가,	활동가/NNG+,/SP
김영일	김영일/NNP
선생님	선생님/NNG
외	외/NNB
교직원,	교직원/NNG+,/SP
수화통역사,	수화통역사/NNG+,/SP
모두에게	모두/NNG+에게/JKB
감사를	감사/NNG+를/JKO
전하고	전하/VV+고/EC
싶다	싶/VX+다/EC

무엇보다도	무엇/NP+보다/JKB+도/JX
'둥근장막'을	'/SS+둥글/VA+ㄴ/ETM+장막/NNG+'/SS+을/JKO
용감하게	용감하/VA+게/EC
헤쳐나가고	헤치/VV+어/EC+나가/VX+고/EC
있는	있/VX+는/ETM
아이들에게	아이/NNG+들/XSN+에게/JKB
감사를	감사/NNG+를/JKO
보낸다	보내/VV+ㄴ다/EF

'둥근장막'을	'/SS+둥글/VA+ㄴ/ETM+장막/NNG+'/SS+을/JKO
통해	통하/VV+여/EC
광주인화학교에서	광주인화학교/NNP+에서/JKB
폭행뿐만이	폭행/NNG+뿐만/JX+이/JKC
아니라	아니/VCN+라/EC
교육의	교육/NNG+의/JKG
부재,	부재/NNG+,/SP
고등학교	고등학교/NNG
졸업장을	졸업장/NNG+을/JKO
줄	주/VV+ㄹ/ETM
수	수/NNB
없는	없/VA+는/ETM
상태에서	상태/NNG+에서/JKB
학생을	학생/NNG+을/JKO
속여	속이/VV+어/EC
고등학교	고등학교/NNG
3년을	3/SN+년/NNB+을/JKO
다니게	다니/VV+게/EC
하여	하/VX+여/EC
가짜	가짜/NNG
졸업장을	졸업장/NNG+을/JKO
주는	주/VV+는/ETM
등의	등/NNB+의/JKG
사기와	사기/NNG+와/JKB
같은	같/VA+은/ETM
행태를	행태/NNG+를/JKO
버젓이	버젓이/MAG
저지르는	저지르/VV+는/ETM
행태를	행태/NNG+를/JKO
고발	고발/NNG
하고	하/VV+고/EC
있다	있/VX+다/EC

졸업생이	졸업생/NNG+이/JKS
사회에	사회/NNG+에/JKB
참여하는데	참여하/VV+는/ETM+데/NNB
어려움을	어려움/NNG+을/JKO
겪는	겪/VV+는/ETM
현실과	현실/NNG+과/JKB
함께	함께/MAG
학교교육의	학교교육/NNG+의/JKG
부재가	부재/NNG+가/JKS
사회참여를	사회참여/NNG+를/JKO
어렵게	어렵/VA+게/EC
하는	하/VX+는/ETM
점도	점/NNG+도/JX
깊이	깊이/NNG
있게	있/VA+게/EC
다루고	다루/VV+고/EC
있다	있/VX+다/EC

우리	우리/NP
사회	사회/NNG
전체가	전체/NNG+가/JKS
사학법인에	사학법인/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
철저한	철저하/VA+ㄴ/ETM
감시와	감시/NNG+와/JC
개혁을	개혁/NNG+을/JKO
통해	통하/VV+여/EC
장애학생들이	장애학생/NNG+들/XSN+이/JKS
교육에서	교육/NNG+에서/JKB
소외받지	소외/NNG+받/VV+지/EC
않도록	않/VX+도록/EC
법	법/NNG
개정	개정/NNG
등에	등/NNB+에/JKB
더욱	더욱/MAG
관심을	관심/NNG+을/JKO
기울이는	기울이/VV+는/ETM
계기가	계기/NNG+가/JKC
되길	되/VV+기/ETN+ㄹ/JKO
빈다	비/VV+ㄴ다/EF

‘제13회	‘/SN+제/XPN+13/SN+회/NNB
제주장애인인권영화제는	제주/NNP+장애인인권영화제/NNG+는/JX
14일부터~16일까지	14/SN+일/NNB+부터/JX+~/SO+16/SN+일/NNB+까지/JX
제주영상미디어센터에서	제주영상미디어센터/NNP+에서/JKB
개최되며,	개최되/VV+며/EC+,/SP
총	총/MM
24편의	24/SN+편/NNB+의/JKG
다양한	다양하/VA+ㄴ/ETM
영상이	영상/NNG+이/JKS
상영된다	상영되/VV+ㄴ다/EF

자세한	자세하/VA+ㄴ/ETM
사항은	사항/NNG+은/JX
제주DPI(064-757-9897)로	제주/NNP+DPI/SL+(/SS+064/SN+-/SO+757/SN+-/SO+9897/SN+)/SS+로/JKB
문의하면	문의하/VV+면/EC
된다	되/VV+ㄴ다/EF

*이글은	*/SW+이글/NNP+은/JX
수화통역사	수화통역사/NNG
최인순님이	최인순/NNP+님/XSN+이/JKS
보내왔습니다	보내오/VV+았/EP+습니다/EF
