순천향대,	순천향대/NNP+,/SP
제공하는데	제공하/VV+는/ETM+데/NNB
그치지	그치/VV+지/EC
않는다	않/VX+는다/EF

휴식과	휴식/NNG+과/JC
훈련을	훈련/NNG+을/JKO
할	하/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
여건을	여건/NNG+을/JKO
제공함과	제공하/VV+ㅁ/ETN+과/JKB
동시에	동시/NNG+에/JKB
다양한	다양하/VA+ㄴ/ETM
문화체험과	문화체험/NNG+과/JC
지역사회	지역사회/NNG
교류	교류/NNG
등	등/NNB
다양한	다양하/VA+ㄴ/ETM
이벤트로	이벤트/NNG+로/JKB
구성돼	구성되/VV+어/EC
있다	있/VX+다/EF

지역	지역/NNG
사회엔	사회/NNG+에/JKB+ㄴ/JX
지적	지적/NNG
장애인에	장애인/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
인식을	인식/NNG+을/JKO
개선할	개선하/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
기회를	기회/NNG+를/JKO
마련해	마련하/VV+여/EC
주고,	주/VX+고/EC+,/SP
참가	참가/NNG
선수단에는	선수단/NNG+에/JKB+는/JX
한국과	한국/NNP+과/JC
그	그/MM
지역의	지역/NNG+의/JKG
고유	고유/NNG
정서와	정서/NNG+와/JC
문화를	문화/NNG+를/JKO
전해줄	전하/VV+여/EC+주/VX+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
어울림의	어울리/VV+ㅁ/ETN+의/JKG
장이다	장/NNG+이/VCP+다/EC

목표는	목표/NNG+는/JX
지적	지적/NNG
장애인들을	장애인/NNG+들/XSN+을/JKO
수용하고	수용하/VV+고/EC
존중하며	존중하/VV+며/EC
그들이	그/NP+들/XSN+이/JKS
보다	보다/MAG
생산적인	생산적/NNG+이/VCP+ㄴ/ETM
사회	사회/NNG
구성원이	구성원/NNG+이/JKC
될	되/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
지회를	지회/NNG+를/JKO
제공하는	제공하/VV+는/ETM
것	것/NNB

이를	이/NP+를/JKO
통해	통하/VV+여/EC
자존감과	자존/NNG+감/XSN+과/JC
존엄성을	존엄성/NNG+을/JKO
향상시킬	향상/NNG+시키/XSV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
사회적	사회적/NNG
조건을	조건/NNG+을/JKO
만들어	만들/VV+어/EC
함께	함께/MAG
어울릴	어울리/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
사회를	사회/NNG+를/JKO
만들기	만들/VV+기/ETN
위한	위하/VV+ㄴ/ETM
의미가	의미/NNG+가/JKS
담겨	담기/VV+어/EC
있다	있/VX+다/EF

나경원	나경원/NNG
위원장과	위원장/NNG+과/JC
손풍삼	손풍삼/NNP
총장이	총장/NNG+이/JKS
협약서를	협약/NNG+서/XSN+를/JKO
교환한후	교환하/VV+ㄴ/ETM+후/NNG
기념촬영	기념촬영/NNG

ⓒ순천향대	ⓒ/SL+순천향대/NNP
순천향대학은	순천향대학/NNP+은/JX
지난	지나/VV+ㄴ/ETM
1999년	1999/SN+년/NNB
당시	당시/NNG
지적장애인	지적장애인/NNG
특수올림픽경기로	특수올림픽경기/NNG+로/JKB
국내에	국내/NNG+에/JKB
소개되었던	소개되/VV+었/EP+던/ETM
스페셜올림픽경기	스페셜올림픽경기/NNG
국내	국내/NNG
첫	첫/MM
개최지로	개최지/NNG+로/JKB
이번	이번/NNG
2013평창동계스페셜올림픽과는	2013/SN+평창동계스페셜올림픽/NNP+과/JKB+는/JX
또다른	또/MAG+다른/MM
인연을	인연/NNG+을/JKO
맺고	맺/VV+고/EC
있는	있/VX+는/ETM
대학이기도	대학/NNG+이/VCP+기/ETN+도/JX
하다	하/VX+다/EC

이번	이번/NNG
호스트타운후원과	호스트타운후원/NNG+과/JKB
더불어	더불/VV+어/EC
순천향대학교에서는	순천향대학교/NNP+에서/JKB+는/JX
2013평창동계스페셜올림픽에서	2013/SN+평/NNB+창동계스페셜올림픽/NNP+에서/JKB
비경기종목의	비경기종목/NNG+의/JKG
하나인	하나/NNG+이/VCP+ㄴ/ETM
영유아	영유아/NNG
지적장애인을	지적장애인/NNG+을/JKO
대상으로	대상/NNG+으로/JKB
한	하/VV+ㄴ/ETM
“어린이선수프로그램”을	“/SL+어린이선수프로그램/NNG+”/SL+을/JKO
이	이/MM
대학	대학/NNG
작업치료학과	작업치료학과/NNG
교수	교수/NNG
및	및/MAG
학부생	학부생/NNG
자원봉사자	자원봉사자/NNG
중심으로	중심/NNG+으로/JKB
운영하면서	운영하/VV+면서/EC
세계스페셜올림픽조직위(SOI)로부터	세계스페셜올림픽/NNP+조직위/NNG+(/SS+SOI/SL+)/SS+로부터/JKB
약2천만원의	약/MM+2/SN+천만/NR+원/NNB+의/JKG
운영기금	운영기금/NNG
또한	또한/MAG
유치하였다	유치하/VV+였/EP+다/EF

2013	2013/SN
평창	평창/NNP
동계	동계/NNG
스페셜올림픽	스페셜올림픽/NNG
세계대회는	세계대회/NNG+는/JX
오는	오/VV+는/ETM
2013년	2013/SN+년/NNB
1월	1/SN+월/NNB
29일부터	29/SN+일/NNB+부터/JX
2월	2/SN+월/NNB
5일까지	5/SN+일/NNB+까지/JX
8일간	8/SN+일/NNB+간/XSN
강원도	강원도/NNP
평창	평창/NNP
및	및/MAG
강릉	강릉/NNP
일대에서	일대/NNG+에서/JKB
개최된다	개최되/VV+ㄴ다/EF

캐나다	캐나다/NNP
선수단은	선수단/NNG+은/JX
순천향대학에서	순천향대학/NNP+에서/JKB
1월	1/SN+월/NNB
26일부터	26/SN+일/NNB+부터/JX
29일까지	29/SN+일/NNB+까지/JX
3박4일동안	3/SN+박/NNB+4/SN+일/NNB+동안/NNG
지역	지역/NNG
문화	문화/NNG
체험	체험/NNG
및	및/MAG
경기	경기/NNG
사전	사전/NNG
체력	체력/NNG
단련	단련/NNG
훈련을	훈련/NNG+을/JKO
가질	가지/VV+ㄹ/ETM
예정이다	예정/NNG+이/VCP+다/EC

*정봉근	*/SW+정봉근/NNP
기자는	기자/NNG+는/JX
에이블뉴스	에이블뉴스/NNP
객원기자로	객원기자/NNG+로/JKB
현재	현재/MAG
순천향대학교	순천향대학교/NNP
작업치료학과	작업치료학과/NNG
교수로	교수/NNG+로/JKB
재직	재직/NNG
중입니다	중/NNB+이/VCP+ㅂ니다/EF
