“신체장애인도	“/SL+신체장애인/NNG+도/JX
회원인	회원/NNG+이/VCP+ㄴ/ETM
제임스가	제임스/NNP+가/JKS
마침내	마침내/MAG
해내고	해내/VV+고/EC
말았다	말/VX+았/EP+다/EF

엄청난	엄청나/VA+ㄴ/ETM
스피드로	스피드/NNG+로/JKB
비장애인들과	비장애인/NNG+들/XSN+과/JKB
함께한	함께하/VV+ㄴ/ETM
레이스를	레이스/NNG+를/JKO
마치고	마치/VV+고/EC
돌아와서	돌아오/VV+아서/EC
그는	그/NP+는/JX
생에	생/NNG+에/JKB
최고의	최고/NNG+의/JKG
스릴을	스릴/NNG+을/JKO
맛보았다고	맛보/VV+았/EP+다고/EC
흥분했다	흥분하/VV+였/EP+다/EF

다른	다른/MM
친구들도	친구/NNG+들/XSN+도/JX
시뮬레이션을	시뮬레이션/NNG+을/JKO
마치고	마치/VV+고/EC
속속	속속/MAG
차를	차/NNG+를/JKO
몰고	몰/VV+고/EC
트랙에	트랙/NNG+에/JKB
올라온다	올라오/VV+ㄴ다/EF

사람들이	사람/NNG+들/XSN+이/JKS
하기	하/VV+기/ETN
힘들다는	힘들/VA+다는/ETM
통념을	통념/NNG+을/JKO
깨고	깨/VV+고/EC
이제	이제/MAG
그들은	그/NP+들/XSN+은/JX
스피드를	스피드/NNG+를/JKO
즐기고	즐기/VV+고/EC
있는	있/VX+는/ETM
것이다	것/NNB+이/VCP+다/EC

차의	차/NNG+의/JKG
특수	특수/NNG
장비들은	장비/NNG+들/XSN+은/JX
드라이브	드라이브/NNG
매스터라는	매스터/NNG+이/VCP+라는/ETM
회사에서	회사/NNG+에서/JKB
담당했다	담당하/VV+였/EP+다/EC

각	각/MM
장애인에	장애인/NNG+에/JKB
맞게	맞/VV+게/EC
모든	모든/MM
장애인용	장애인/NNG+용/XSN
운전	운전/NNG
장비들을	장비/NNG+들/XSN+을/JKO
마련해	마련하/VV+여/EC
준다	주/VX+ㄴ다/EF

또한	또한/MAG
개조도	개조/NNG+도/JX
해	하/VV+여/EC
준다	주/VX+ㄴ다/EF

장애인용	장애인/NNG+용/XSN
레이스	레이스/NNG
카들은	카들/XSN+은/JX
도어를	도어/NNG+를/JKO
완전히	완전히/MAG
떼어낼	떼/VV+어/EC+내/VX+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
설계되었다	설계되/VV+었/EP+다/EC

차제가	차제/NNG+가/JKS
워낙	워낙/MAG
낮아	낮/VA+아/EC
휠체어에	휠체어/NNG+에/JKB
탄	타/VV+ㄴ/ETM
채	채/NNB
차에	차/NNG+에/JKB
오르기가	오르/VV+기/ETN+가/JKS
쉽지	쉽/VA+지/EC
않기	않/VX+기/ETN
때문이다	때문/NNB+이/VCP+다/EC

차	차/NNG
문을	문/NNG+을/JKO
떼어	떼/VV+어/EC
내면	내/VX+면/EC
안에	안/NNG+에/JKB
두꺼운	두껍/VA+ㄴ/ETM
철들로	철/NNB+들/XSN+로/JKB
만들어진	만들/VV+어/EC+지/VX+ㄴ/ETM
또	또/MAG
하나의	하나/NNG+의/JKG
문이	문/NNG+이/JKS
있다	있/VA+다/EF

만에	만/NNB+에/JKB
하나의	하나/NNG+의/JKG
사고에도	사고/NNG+에/JKB+도/JX
장애인들을	장애인/NNG+들/XSN+을/JKO
보호할	보호하/VV+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
철제	철제/NNG
빔으로	빔/NNG+으로/JKB
뼈대가	뼈대/NNG+가/JKS
갖추어져	갖추/VV+어/EC+지/VX+어/EC
있는	있/VX+는/ETM
것이다	것/NNB+이/VCP+다/EC

이	이/MM
문마져	문마/NNG+져/XSN
열고	열/VV+고/EC
레이서가	레이서/NNG+가/JKS
들어가면	들어가/VV+면/EC
도우미들은	도우미/NNG+들/XSN+은/JX
다시	다시/MAG
속문을	속문/NNG+을/JKO
닫고	닫/VV+고/EC
걷문까지	걷문/NNG+까지/JX
닫고	닫/VV+고/EC
드라이버로	드라이버/NNG+로/JKB
문을	문/NNG+을/JKO
잠가	잠그/VV+아/EC
버린다	버리/VV+ㄴ다/EF

각자에	각자/NNG+에/JKB
맞는	맞/VV+는/ETM
기기들을	기기/NNG+들/XSN+을/JKO
이용해	이용하/VV+여/EC
레이스를	레이스/NNG+를/JKO
마치고	마치/VV+고/EC
돌아와서는	돌아오/VV+아서/EC+는/JX
다시	다시/MAG
문을	문/NNG+을/JKO
뜯고	뜯/VV+고/EC
속문을	속문/NNG+을/JKO
열고	열/VV+고/EC
레이서가	레이서/NNG+가/JKS
나온다	나오/VV+ㄴ다/EF

그들은	그/NP+들/XSN+은/JX
이제	이제/MAG
꽤	꽤/MAG
많은	많/VA+은/ETM
레이서들을	레이서/NNG+들/XSN+을/JKO
만들어	만들/VV+어/EC
냈다	내/VX+었/EP+다/EF

위험은	위험/NNG+은/JX
항상	항상/MAG
따르지만,	따르/VV+지만/EC+,/SP
비장애인과	비장애인/NNG+과/JKB
마찬가지로	마찬가지/NNG+로/JKB
스릴을	스릴/NNG+을/JKO
느낄	느끼/VV+ㄹ/ETM
수	수/NNB
있다는	있/VA+다는/ETM
점에서	점/NNG+에서/JKB
마냥	마냥/MAG
즐거워하고	즐거워하/VV+고/EC
있다	있/VX+다/EC

*	*/SW
샘	샘/NNG
기자는	기자/NNG+는/JX
에이블뉴스	에이블뉴스/NNP
객원기자로	객원기자/NNG+로/JKB
캘리포니아	캘리포니아/NNP
버클리대학	버클리대학/NNP
사회학과를	사회학과/NNG+를/JKO
졸업하고,	졸업하/VV+고/EC+,/SP
전	전/MM
미상원	미/NNP+상원/NNG
장애인국	장애인국/NNG
인턴을	인턴/NNG+을/JKO
지냈다	지내/VV+었/EP+다/EC

현재	현재/MAG
TEC	TEC/SL
대표를	대표/NNG+를/JKO
맡고	맡/VV+고/EC
있다	있/VX+다/EC
