가을밤	가을밤/NNG
문을	문/NNG+을/JKO
열었다	열/VV+었/EP+다/EC

한국DPI	한국/NNP+DPI/SL
김대성	김대성/NNP
회장은	회장/NNG+은/JX
개회사를	개회사/NNG+를/JKO
통해	통하/VV+여/EC
“장애인의	“/SL+장애인/NNG+의/JKG
대한	대한/NNG
편견을	편견/NNG+을/JKO
벗어던지고	벗어던지/VV+고/EC
차별없는	차별없/VA+는/ETM
사회를	사회/NNG+를/JKO
만들고자	만들/VV+고자/EC
기획된	기획되/VV+ㄴ/ETM
장애인문화예술축제가	장애인문화예술축제/NNG+가/JKS
장애인,	장애인/NNG+,/SP
비장애인	비/XPN+장애인/NNG
구분없이	구분/NNG+없이/MAG
모두	모두/MAG
공감될	공감/NNG+되/XSV+ㄹ/ETM
수	수/NNB
있고,	있/VA+고/EC+,/SP
세상을	세상/NNG+을/JKO
살아가면서	살아가/VV+면서/EC
큰	크/VA+ㄴ/ETM
힘이	힘/NNG+이/JKC
될	되/VV+ㄹ/ETM
수	수/NNB
있길	있/VA+기/ETN+ㄹ/JKO
바란다”며	바란다”/VV+며/EC
“문화예술을	“/SL+문화예술/NNG+을/JKO
장애인도	장애인/NNG+도/JX
향유할	향유하/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
사회를	사회/NNG+를/JKO
기원한다”고	기원하/VV+ㄴ다”고/EC
말했다	말하/VV+였/EP+다/EC

개막식에	개막식/NNG+에/JKB
이어	잇/VV+어/EC
진행된	진행되/VV+ㄴ/ETM
장애인문화예술축제	장애인문화예술축제/NNG
콘서트는	콘서트/NNG+는/JX
‘Dream’,	‘Dream’/SL+,/SP
‘Romance’,	‘Romance’/SL+,/SP
‘Passion’	‘Passion’/SL
이라는	이/VCP+라는/ETM
총	총/MM
3가지	3/SN+가지/NNB
주제로	주제/NNG+로/JKB
감동의	감동/NNG+의/JKG
무대는	무대/NNG+는/JX
물론,	물론/MAG+,/SP
어깨를	어깨/NNG+를/JKO
들썩이게	들썩이/VV+게/EC
하는	하/VX+는/ETM
화려한	화려하/VA+ㄴ/ETM
무대들로	무대/NNG+들/XSN+로/JKB
모든	모든/MM
관객들의	관객/NNG+들/XSN+의/JKG
호응을	호응/NNG+을/JKO
자아냈다	자아내/VV+었/EP+다/EF

특히,	특히/MAG+,/SP
슈퍼스타K	슈퍼스타/NNG+K/SL
4에	4/SN+에/JKB
출연해	출연하/VV+여/EC
연신	연신/MAG
화제의	화제/NNG+의/JKG
인물로	인물/NNG+로/JKB
떠오르고	떠오르/VV+고/EC
있는	있/VX+는/ETM
‘절대음감’	‘/SL+절대음감/NNG+’/SL
이아름양(시각장애)이	이아름양/NNP+(/SS+시각장애/NNG+)/SS+이/JKS
무대에	무대/NNG+에/JKB
올라	오르/VV+아/EC
청아한	청아하/VA+ㄴ/ETM
목소리로	목소리/NNG+로/JKB
다비치의	다비치/NNG+의/JKG
‘안녕이라고	‘/SN+안녕/NNG+이/VCP+라고/EC
말하지마’를	말하/VV+지/EC+말/VX+아/EC+’/SL+를/JKO
열창하자,	열창하/VV+자/EC+,/SP
관객들은	관객/NNG+들/XSN+은/JX
눈가를	눈가/NNG+를/JKO
적시며,	적시/VV+며/EC+,/SP
뜨거운	뜨겁/VA+ㄴ/ETM
박수를	박수/NNG+를/JKO
보냈다	보내/VV+었/EP+다/EF

무대	무대/NNG
도중	도중/NNG
관객들을	관객/NNG+들/XSN+을/JKO
향히	향히/MAG
하트를	하트/NNG+를/JKO
그린	그리/VV+ㄴ/ETM
가수	가수/NNG
태진아씨	태진아/NNP+씨/NNB

이날	이날/NNG
개막식	개막식/NNG
콘서트의	콘서트/NNG+의/JKG
진풍경은	진풍경/NNG+은/JX
역시	역시/MAG
대한민국	대한민국/NNP
최고의	최고/NNG+의/JKG
가수들의	가수/NNG+들/XSN+의/JKG
연륜넘치는	연륜/NNG+넘치/VV+는/ETM
무대매너였다	무대매너/NNG+이/VCP+었/EP+다/EF

“장애인분들	“/SL+장애인분/NNG+들/XSN
사랑합니다!”를	사랑하/VV+ㅂ니다/EF+!/SF+”/SL+를/JKO
연신	연신/MAG
외치며	외치/VV+며/EC
등장한	등장하/VV+ㄴ/ETM
가수	가수/NNG
태진아씨는	태진아/NNP+씨/NNB+는/JX
노래	노래/NNG
도중	도중/NNG
하트를	하트/NNG+를/JKO
그리는가하면,	그리는가하/VV+면/EC+,/SP
무대로	무대/NNG+로/JKB
내려와	내려오/VV+아/EC
관객들과	관객/NNG+들/XSN+과/JC
악수는	악수/NNG+는/JX
물론,	물론/MAG+,/SP
호흡을	호흡/NNG+을/JKO
같이했다	같이하/VV+였/EP+다/EC

또한	또한/MAG
‘나는	‘/SL+나/VV+는/ETM
가수다2’로	가수/NNG+이/VCP+다/EF+2/SN+’/SL+로/JKB
제2의	제/XPN+2/SN+의/JKG
전성기로	전성기/NNG+로/JKB
떠오른	떠오르/VV+ㄴ/ETM
여전사	여전사/NNG
서문탁,	서문탁/NNG+,/SP
매력넘치는	매력/NNG+넘치/VV+는/ETM
알리의	알리/NNP+의/JKG
호소력	호소력/NNG
짙은	짙/VA+은/ETM
열창,	열창/NNG+,/SP
12년차	12/SN+년차/NNB
가수	가수/NNG
홍경민의	홍경민/NNP+의/JKG
몸을	몸/NNG+을/JKO
아끼지	아끼/VV+지/EC
않은	않/VX+은/ETM
멋진	멋지/VA+ㄴ/ETM
댄스	댄스/NNG
뿐만	뿐/NNB+만/JX
아니라,	아니/VCN+라/EC+,/SP
장애인	장애인/NNG
가수인	가수/NNG+이/VCP+ㄴ/ETM
최호동과	최호동/NNP+과/JC
나용희,	나용희/NNP+,/SP
가을밤의	가을밤/NNG+의/JKG
낭만	낭만/NNG
나무자전거의	나무자전거/NNG+의/JKG
통기타	통기타/NNG
선율까지	선율/NNG+까지/JX
이어지며,	이어지/VV+며/EC+,/SP
최고의	최고/NNG+의/JKG
호응을	호응/NNG+을/JKO
자아냈다	자아내/VV+었/EP+다/EF

이어	이어/MAG
등장한	등장하/VV+ㄴ/ETM
기부가수	기부가수/NNG
김장훈은	김장훈/NNP+은/JX
무대	무대/NNG
시작과	시작/NNG+과/JKB
동시에	동시/NNG+에/JKB
“장애인문화예술축제에	“/SN+장애인문화예술축제/NNG+에/JKB
맞는	맞/VV+는/ETM
맞춤형	맞춤/NNG+형/XSN
공연을	공연/NNG+을/JKO
선보이겠다”며	선보이/VV+겠/EP+다/EC+”/VX+며/EC
무대로	무대/NNG+로/JKB
내려와,	내려오/VV+아/EC+,/SP
관객들	관객/NNG+들/XSN
속에서	속/NNG+에서/JKB
연신	연신/MAG
호흡을	호흡/NNG+을/JKO
같이해	같이하/VV+여/EC
폭발적인	폭발적/NNG+이/VCP+ㄴ/ETM
열정의	열정/NNG+의/JKG
무대를	무대/NNG+를/JKO
선보이며,	선보이/VV+며/EC+,/SP
개막식	개막식/NNG
콘서트의	콘서트/NNG+의/JKG
마지막을	마지막/NNG+을/JKO
뜨겁게	뜨겁/VA+게/EC
장식했다	장식하/VV+였/EP+다/EC

한편,	한편/NNG+,/SP
한국DPI가	한국/NNP+DPI/SL+가/JKS
주최하는	주최하/VV+는/ETM
장애인문화예술축제는	장애인문화예술축제/NNG+는/JX
장애인,	장애인/NNG+,/SP
비장애인이	비장애인/NNG+이/JKS
모두	모두/MAG
함께	함께/MAG
즐길	즐기/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
문화축제로,	문화축제/NNG+로/JKB+,/SP
지난	지나/VV+ㄴ/ETM
2009년부터	2009/SN+년/NNB+부터/JX
4년째	4/SN+년/NNB+째/XSN
이어지고	이어지/VV+고/EC
있으며,	있/VX+으며/EC+,/SP
오는	오/VV+는/ETM
12월까지	12/SN+월/NNB+까지/JX
서울,	서울/NNP+,/SP
부산,	부산/NNP+,/SP
인천,	인천/NNP+,/SP
대구	대구/NNP
등	등/NNB
전국에서	전국/NNG+에서/JKB
다양한	다양하/VA+ㄴ/ETM
공연들로	공연/NNG+들/XSN+로/JKB
펼쳐질	펼쳐지/VV+ㄹ/ETM
예정이다	예정/NNG+이/VCP+다/EC

사회를	사회/NNG+를/JKO
맡은	맡/VV+은/ETM
연극배우	연극배우/NNG
이정길씨,방송인	이정길/NNP+씨/NNB+,/SP+방송/NNG+이/VCP+ㄴ/ETM
윤선아씨	윤선아/NNP+씨/NNB

한국DPI	한국/NNP+DPI/SL
김대성	김대성/NNP
회장	회장/NNG
등	등/NNB
내빈들이	내빈/NNG+들/XSN+이/JKS
개막	개막/NNG
세레모니를	세레모니/NNG+를/JKO
펼치고	펼치/VV+고/EC
있다	있/VX+다/EC

K팝스타	K/SL+팝스타/NNG
출연으로	출연/NNG+으로/JKB
화제의	화제/NNG+의/JKG
인물로	인물/NNG+로/JKB
떠오른	떠오르/VV+ㄴ/ETM
김수환이	김수환/NNP+이/JKS
열창하고	열창하/VV+고/EC
있다	있/VX+다/EC

장애인가수	장애인가수/NNG
나용희의	나용희/NNP+의/JKG
신나는	신/NNG+나/VV+는/ETM
무대	무대/NNG

홍경민의	홍경민/NNP+의/JKG
12년만에	12/SN+년만/NNB+에/JKB
선보이는	선보이/VV+는/ETM
폭풍댄스	폭풍댄스/NNG

시각장애	시각장애/NNG
이아름양의	이아름양/NNP+의/JKG
청아한	청아하/VA+ㄴ/ETM
공연	공연/NNG

무대매너의	무대매너/NNG+의/JKG
끝을	끝/NNG+을/JKO
보여준	보이/VV+어/EC+주/VX+ㄴ/ETM
가수	가수/NNG
김장훈	김장훈/NNP
