'인천장애인AG조직위'	'/SS+인천/NNP+장애인/NNG+AG/SL+조직위/NNG+'/SS
2시)	2/SN+시/NNB+)/SS
문방위	문방위/NNG
전체회의에서	전체회의/NNG+에서/JKB
주경기장	주/MM+경기장/NNG
예산이	예산/NNG+이/JKS
확정되면	확정되/VV+면/EC
공은	공/NNG+은/JX
예결위로	예결위/NNG+로/JKB
넘어간다”며	넘어가/VV+ㄴ다/EC+”/VV+며/EC
“예결위원과	“/SN+예결위원/NNG+과/JC
정부부처를	정부부처/NNG+를/JKO
꾸준히	꾸준히/MAG
설득하고	설득하/VV+고/EC
협조를	협조/NNG+를/JKO
얻어내	얻/VV+어/EC+내/VX+어/EC
반드시	반드시/MAG
2013년	2013/SN+년/NNB
예산에	예산/NNG+에/JKB
반영될	반영되/VV+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
노력하겠다”고	노력하/VV+겠/EP+다/EC+”/VV+고/EC
밝혔다	밝히/VV+었/EP+다/EC
