인권위·기자협회	인권위/NNG+·/SP+기자협회/NNG
총강(7조),	총/XPN+강/NNG+(/SS+7/SN+조/NNB+)/SS+,/SP
실천요강(10개항)으로	실천요강/NNP+(/SS+10/SN+개/NNB+항/NNG+)/SS+으로/JKB
구성됐다	구성되/VV+었/EP+다/EF

전문은	전문/NNG+은/JX
범죄보도의	범죄보도/NNG+의/JKG
순기능과	순기능/NNG+과/JC
성범죄	성범죄/NNG
보도	보도/NNG
가이드라인	가이드라인/NNG
필요성에	필요성/NNG+에/JKB
대해	대하/VV+여/EC
명시했고,	명시하/VV+였/EP+고/EC+,/SP
총강은	총/XPN+강/NNG+은/JX
성폭력	성폭력/NNG
범죄에	범죄/NNG+에/JKB
접근하는	접근하/VV+는/ETM
시각과	시각/NNG+과/JC
태도를	태도/NNG+를/JKO
제시하고	제시하/VV+고/EC
있다	있/VX+다/EC

10개항의	10/SN+개/NNB+항/NNG+의/JKG
실천요강에는	실천요강/NNG+에/JKB+는/JX
피해자와	피해자/NNG+와/JC
그	그/MM
가족	가족/NNG
신상정보	신상정보/NNG
공개	공개/NNG
금지	금지/NNG
피해자	피해자/NNG
유인론(책임론)과	유인/NNG+론/XSN+(/SS+책임론/NNG+)/SS+과/JC
성범죄에	성범죄/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
잘못된	잘못되/VV+ㄴ/ETM
통념을	통념/NNG+을/JKO
강화할	강화하/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
보도	보도/NNG
자제	자제/NNG
가해자의	가해자/NNG+의/JKG
범죄	범죄/NNG
수법과	수법/NNG+과/JC
수사상황의	수사상황/NNG+의/JKG
지나친	지나치/VA+ㄴ/ETM
상세	상세/NNG
보도	보도/NNG
금지	금지/NNG
가해자의	가해자/NNG+의/JKG
신상정보	신상정보/NNG
공개	공개/NNG
원칙적	원칙적/NNG
금지	금지/NNG
수사기관이	수사기관/NNG+이/JKS
제공한	제공하/VV+ㄴ/ETM
정보의	정보/NNG+의/JKG
적절한	적절하/VA+ㄴ/ETM
활용	활용/NNG
미성년자	미성년자/NNG
사건의	사건/NNG+의/JKG
세심한	세심하/VA+ㄴ/ETM
고려	고려/NNP
사진과	사진/NNG+과/JC
영상	영상/NNG
등	등/NNB
사용	사용/NNG
시	시/NNG
2차	2/SN+차/NNB
피해	피해/NNG
주의	주의/NNG
성범죄	성범죄/NNG
예방과	예방/NNG+과/JC
관련	관련/NNG
인식	인식/NNG
제고	제고/NNG
방안	방안/NNG
적극	적극/NNG
보도	보도/NNG
등의	등/NNB+의/JKG
내용이	내용/NNG+이/JKS
담겼다	담기/VV+었/EP+다/EF

성범죄	성범죄/NNG
보도	보도/NNG
기준은	기준/NNG+은/JX
인권위와	인권위/NNG+와/JC
기자협회가	기자협회/NNG+가/JKS
지난해	지난해/NNG
공동	공동/NNG
제정한	제정하/VV+ㄴ/ETM
인격권,	인격권/NNG+,/SP
장애인	장애인/NNG
인권,	인권/NNG+,/SP
이주민	이주민/NNG
인권,	인권/NNG+,/SP
아동	아동/NNG
인권	인권/NNG
등과	등/NNB+과/JKB
관련한	관련하/VV+ㄴ/ETM
‘인권보도준칙’의	‘/SL+인권보도준칙/NNG+’/SL+의/JKG
세부적인	세부적/NNG+이/VCP+ㄴ/ETM
기준으로	기준/NNG+으로/JKB
활용된다	활용되/VV+ㄴ다/EF

한편	한편/MAG
인권위와	인권위/NNG+와/JC
기자협회는	기자협회/NNG+는/JX
인권보도수첩	인권보도수첩/NNG
제작	제작/NNG
배포,	배포/NNG+,/SP
언론인을	언론인/NNG+을/JKO
대상으로	대상/NNG+으로/JKB
한	하/VV+ㄴ/ETM
인권교육	인권교육/NNG
등을	등/NNB+을/JKO
통해	통하/VV+여/EC
성범죄	성범죄/NNG
보도	보도/NNG
기준을	기준/NNG+을/JKO
언론계에서	언론계/NNG+에서/JKB
준수할	준수하/VV+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
공동캠페인을	공동캠페인/NNG+을/JKO
전개할	전개하/VV+ㄹ/ETM
계획이다	계획/NNG+이/VCP+다/EC
