수화통역센터장들,	수화통역센터장/NNG+들/XSN+,/SP
‘2012	‘/SL+2012/SN
서울시	서울시/NNP
장애인복지안내’에	장애인복지안내’/NNG+에/JKB
따라	따르/VV+아/EC
인건비가	인건비/NNG+가/JKS
지급되지	지급되/VV+지/EC
않는	않/VX+는/ETM
것으로	것/NNB+으로/JKB
이를	이/NP+를/JKO
유급화	유급화/NNG
하기에는	하/VV+기/ETN+에/JKB+는/JX
재정	재정/NNG
상	상/NNG
힘든	힘들/VA+ㄴ/ETM
부분이라는	부분/NNG+이/VCP+라는/ETM
입장이다	입장/NNG+이/VCP+다/EC

시	시/NNG
관계자는	관계자/NNG+는/JX
“복지부	“/SN+복지부/NNG
지침에서는	지침/NNG+에서/JKB+는/JX
지자체와	지자체/NNG+와/JKB
협의	협의/NNG
후	후/NNG
보수를	보수/NNG+를/JKO
정할수	정하/VV+ㄹ/ETM+수/NNB
있게	있/VA+게/EC
되어있다로	되/VV+어/EC+있/VX+다로/EC
내려져	내려지/VV+어/EC
있다	있/VX+다/EF

형평성	형평성/NNG
문제로	문제/NNG+로/JKB
센터장들에게	센터장/NNG+들/XSN+에게/JKB
인건비를	인건비/NNG+를/JKO
지급해야	지급하/VV+여야/EC
한다면,	하/VX+ㄴ다면/EC+,/SP
주간보호시설	주간보호시설/NNG
등	등/NNB
다른	다른/MM
소규모시설들도	소규모시설/NNG+들/XSN+도/JX
함께	함께/MAG
지급해야	지급하/VV+여야/EC
하는데,	하/VX+는데/EC+,/SP
총	총/MM
100억원이	100/SN+억/NR+원/NNB+이/JKS
든다”고	들/VV+ㄴ다/EC+”/VV+고/EC
토로했다	토로하/VV+였/EP+다/EF

이어	이어/MAG
그는	그/NP+는/JX
“현재	“/SL+현재/NNG
센터장이	센터/NNG+장/XSN+이/JKS
상근한다고	상근하/VV+ㄴ다고/EC
하지만,	하/VV+지만/EC+,/SP
협회	협회/NNG
지부장을	지부장/NNG+을/JKO
겸업하면서	겸업하/VV+면서/EC
활동하고	활동하/VV+고/EC
계신다	계신/NNG+이/VCP+다/EF

시에서는	시/NNG+에서/JKB+는/JX
상근	상근/NNG
의무가	의무/NNG+가/JKS
없다	없/VA+다/EC

그렇기	그렇/VA+기/EC
때문에	때문/NNB+에/JKB
인건비는	인건비/NNG+는/JX
현실적으로	현실적/NNG+으로/JKB
어렵다”며	어렵/VA+다/EC+”/SN+며/EC
“광명시는	“/SL+광명시/NNP+는/JX
현재	현재/MAG
도비와	도비/NNG+와/JC
시비를	시비/NNG+를/JKO
매칭해	매칭하/VV+여/EC
인건비를	인건비/NNG+를/JKO
지원한다	지원하/VV+ㄴ다/EC

우리는	우리/NP+는/JX
시비	시비/NNG
100%로	100/SN+%/SW+로/JKB
지원해야	지원하/VV+여야/EC
하기	하/VX+기/ETN
때문에	때문/NNB+에/JKB
재정적으로	재정적/NNG+으로/JKB
힘들다”고	힘들/VA+다/EC+”/VV+고/EC
덧붙였다	덧붙이/VV+었/EP+다/EF

한편,	한편/NNG+,/SP
센터장들과	센터장/NNG+들/XSN+과/JC
면담을	면담/NNG+을/JKO
가진	가지/VV+ㄴ/ETM
시의회	시의회/NNG
김기옥	김기옥/NNP
보건복지위원장은	보건복지위원장/NNG+은/JX
"일단	"/SS+일단/MAG
청원서를	청원서/NNG+를/JKO
제출하면	제출하/VV+면/EC
의원들과의	의원/NNG+들/XSN+과/JKB+의/JKG
논의가	논의/NNG+가/JKS
있어야	있/VA+어야/EC
한다"며	하/VX+ㄴ다/EF+"/SS+며/EC
"예산이	"/SS+예산/NNG+이/JKS
충분하다면	충분하/VA+다면/EC
유급화가	유급화/NNG+가/JKS
쉽게	쉽/VA+게/EC
될	되/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
문제인데,	문제/NNG+이/VCP+ㄴ데/EC+,/SP
수화센터장에	수화센터장/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
유급화를	유급화/NNG+를/JKO
시행하게	시행하/VV+게/EC
된다면	되/VV+ㄴ다면/EC
형평성	형평성/NNG
때문에	때문/NNB+에/JKB
비슷한	비슷하/VA+ㄴ/ETM
시설들도	시설/NNG+들/XSN+도/JX
함께	함께/MAG
이뤄져야	이루어지/VV+어야/EC
하는데,	하/VX+는데/EC+,/SP
예산의	예산/NNG+의/JKG
규모가	규모/NNG+가/JKS
너무	너무/MAG
큰	크/VA+ㄴ/ETM
게	것/NNB+이/JKS
사실로	사실/NNG+로/JKB
검토해봐야	검토하/VV+여/EC+보/VX+아야/EC
할	하/VX+ㄹ/ETM
사항"이라고	사항/NNG+"/SS+이라고/JKQ
말했다	말하/VV+였/EP+다/EC
