10년간	10/SN+년/NNB+간/XSN
10년과	10/SN+년/NNB+과/JC
12년	12/SN+년/NNB
동안	동안/NNG
병원	병원/NNG
영안실에	영안실/NNG+에/JKB
방치했던	방치하/VV+였/EP+던/ETM
것으로	것/NNB+으로/JKB
알려져	알려지/VV+어/EC
충격을	충격/NNG+을/JKO
줬다	주/VV+었/EP+다/EC

이	이/NP
같은	같/VA+은/ETM
충격적	충격적/NNG
이야기가	이야기/NNG+가/JKS
방송이	방송/NNG+이/JKS
타자	타자/NNG
수년전	수년전/NNG
자녀를	자녀/NNG+를/JKO
장씨에게	장/NNP+씨/NNB+에게/JKB
보냈다고	보내/VV+었/EP+다고/EC
밝힌	밝히/VV+ㄴ/ETM
가족들이	가족/NNG+들/XSN+이/JKS
찾아왔고	찾아오/VV+았/EP+고/EC
그	그/MM
중	중/NNB
한	한/MM
가족이	가족/NNG+이/JKS
12년	12/SN+년/NNB
전에	전/NNG+에/JKB
죽은	죽/VV+은/ETM
이광동씨의	이광동/NNP+씨/NNB+의/JKG
유가족인	유가족/NNG+이/VCP+ㄴ/ETM
것으로	것/NNB+으로/JKB
확인됐다	확인되/VV+었/EP+다/EF

이후	이후/NNG
원주시민사회단체와	원주시/NNP+민사회단체/NNG+와/JC
장애인단체를	장애인단체/NNG+를/JKO
중심으로	중심/NNG+으로/JKB
대책위가	대책위/NNG+가/JKS
꾸려졌으며,	꾸리/VV+어/EC+지/VX+었/EP+으며/EC+,/SP
장씨와	장/NNP+씨/NNB+와/JKB
함께	함께/MAG
거주하고	거주하/VV+고/EC
있던	있/VX+던/ETM
4명의	4/SN+명/NNB+의/JKG
발달장애인을	발달장애인/NNG+을/JKO
구출해	구출하/VV+여/EC
분리	분리/NNG
조치했다	조치하/VV+였/EP+다/EC

이날	이날/NNG
보신각	보신각/NNP
위령제에는	위령제/NNG+에/JKB+는/JX
발달장애인의	발달장애인/NNG+의/JKG
죽음을	죽음/NNG+을/JKO
애도하기	애도하/VV+기/ETN
위해	위하/VV+여/EC
고	고/MM
이광동씨의	이광동/NNP+씨/NNB+의/JKG
유가족과	유가족/NNG+과/JC
두	두/MM
단체	단체/NNG
관계자	관계자/NNG
등	등/NNB
200여명이	200/SN+여/XSN+명/NNB+이/JKS
참석했으며,	참석하/VV+였/EP+으며/EC+,/SP
추모글	추모글/NNG
낭독,	낭독/NNG+,/SP
죽은	죽/VV+은/ETM
원혼을	원혼/NNG+을/JKO
달래기	달래/VV+기/ETN
위한	위하/VV+ㄴ/ETM
진혼굿,	진혼굿/NNG+,/SP
헌화	헌화/NNG
순	순/XSN
등으로	등/NNB+으로/JKB
2시간	2/SN+시간/NNB
동안	동안/NNG
진행됐다	진행되/VV+었/EP+다/EF

이어	이어/MAG
4시께부터	4/SN+시/NNB+께부터/JX
보신각에서	보신각/NNP+에서/JKB
안국동	안국동/NNP
사거리를	사거리/NNG+를/JKO
지나	지나/VV+아/EC
복지부까지	복지부/NNG+까지/JX
약	약/MM
1시간가량	1/SN+시간/NNB+가량/XSN
운구행렬이	운구행렬/NNG+이/JKS
이어졌고,	이어지/VV+었/EP+고/EC+,/SP
다시	다시/MAG
복지부	복지부/NNG
앞에서	앞/NNG+에서/JKB
발달장애인의	발달장애인/NNG+의/JKG
영혼을	영혼/NNG+을/JKO
달래기	달래/VV+기/ETN
위한	위하/VV+ㄴ/ETM
위령제가	위령제/NNG+가/JKS
열렸다	열리/VV+었/EP+다/EC

처음	처음/NNG
복지부	복지부/NNG
앞마당	앞마당/NNG
내에서	내/NNB+에서/JKB
위령제를	위령제/NNG+를/JKO
지낼	지내/VV+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
복지부에	복지부/NNG+에/JKB
바리게이트를	바리게이트/NNG+를/JKO
철거	철거/NNG
해줄	하/VV+여/EC+주/VX+ㄹ/ETM
것을	것/NNB+을/JKO
요청했지만	요청하/VV+였/EP+지만/EC
복지부가	복지부/NNG+가/JKS
그룹	그룹/NNG
한화	한화/NNG
사유지임을	사유지임/NNG+을/JKO
강조하며	강조하/VV+며/EC
불가	불가/NNG
입장을	입장/NNG+을/JKO
밝히면서	밝히/VV+면서/EC
언성이	언성/NNG+이/JKS
오	오/MAG
갖고	갖/VV+고/EC
유가족과	유가족/NNG+과/JC
이들	이/NP+들/XSN
단체는	단체/NNG+는/JX
바리게이트를	바리게이트/NNG+를/JKO
무단으로	무단/NNG+으로/JKB
넘고	넘/VV+고/EC
위령제를	위령제/NNG+를/JKO
지내야	지내/VV+어야/EC
했다	하/VX+였/EP+다/EC

이광동씨의	이광동/NNP+씨/NNB+의/JKG
여동생	여동생/NNG
이미화씨가	이미화/NNP+씨/NNB+가/JKS
복지부	복지부/NNG
청사	청사/NNG
앞에서	앞/NNG+에서/JKB
발언하는	발언하/VV+는/ETM
모습	모습/NNG

이광동씨의	이광동/NNP+씨/NNB+의/JKG
동생	동생/NNG
이미화	이미화/NNP
씨는	씨/NNB+는/JX
“복지부는	“/SN+복지부/NNG+는/JX
복지를	복지/NNG+를/JKO
위해	위하/VV+여/EC
존재하는	존재하/VV+는/ETM
것으로	것/NNB+으로/JKB
복지	복지/NNG
앞에는	앞/NNG+에/JKB+는/JX
천한	천하/VA+ㄴ/ETM
목숨	목숨/NNG
등	등/NNB
기준은	기준/NNG+은/JX
없을	없/VA+을/ETM
것이라고	것/NNB+이/VCP+라고/EC
생각했는데	생각하/VV+였/EP+는데/EC
복지부가	복지부/NNG+가/JKS
목숨에	목숨/NNG+에/JKB
값을	값/NNG+을/JKO
매기는	매기/VV+는/ETM
것	것/NNB
같다”며	같/VA+다/EC+”/VX+며/EC
“지금까지	“/SL+지금/NNG+까지/JX
투쟁이라는	투쟁/NNG+이/VCP+라는/ETM
단어를	단어/NNG+를/JKO
써본	쓰/VV+어/EC+보/VX+ㄴ/ETM
적	적/NNB
없는데	없/VA+는데/EC
죽은	죽/VV+은/ETM
오빠를	오빠/NNG+를/JKO
통해	통하/VV+여/EC
깨닫는	깨닫/VV+는/ETM
것이	것/NNB+이/JKS
많다	많/VA+다/EC

모든	모든/MM
일이	일/NNG+이/JKS
원상태로	원/XPN+상태/NNG+로/JKB
돌아갈	돌아가/VV+ㄹ/ETM
때가지	때가지/NNG
힘	힘/NNG
쓰겠다”고	쓰/VV+겠/EP+다/EC+”/VX+고/EC
밝혔다	밝히/VV+었/EP+다/EC

전국장애인부모연대	전/MM+국장애인부모연대/NNG
윤종술	윤종술/NNP
대표는	대표/NNG+는/JX
“하늘나라에서	“/SN+하늘나라/NNG+에서/JKB
고인들	고인/NNG+들/XSN
훌훌	훌훌/MAG
날아다니게	날아다니/VV+게/EC
마지막	마지막/NNG
보내는	보내/VV+는/ETM
마음으로	마음/NNG+으로/JKB
왔지만	오/VV+았/EP+지만/EC
복지부	복지부/NNG
행태를	행태/NNG+를/JKO
보니	보/VV+니/EC
엄숙한	엄숙하/VA+ㄴ/ETM
자세로	자세/NNG+로/JKB
살아갈	살아가/VV+ㄹ/ETM
수	수/NNB
없다는	없/VA+다는/ETM
것을	것/NNB+을/JKO
깨달았다	깨닫/VV+았/EP+다/EF

발달장애인이	발달장애인/NNG+이/JKS
12년	12/SN+년/NNB
동안	동안/NNG
냉동고에	냉동고/NNG+에/JKB
있었는데	있/VA+었/EP+는데/EC
아무도	아무/NP+도/JX
몰랐다	모르/VV+았/EP+다/EC

복지부는	복지부/NNG+는/JX
자기	자기/NP
탓이	탓/NNG+이/JKC
아니라고만	아니/VCN+라고/EC+만/JX
한다”고	하/VV+ㄴ다/EF+”/VV+고/EC
분개했다	분개하/VV+였/EP+다/EC

특히	특히/MAG
이들은	이/NP+들/XSN+은/JX
발달장애인법	발달장애인법/NNG
제정을	제정/NNG+을/JKO
통해	통하/VV+여/EC
발달장애인	발달장애인/NNG
및	및/MAG
그	그/MM
가족들이	가족/NNG+들/XSN+이/JKS
인간으로서의	인간/NNG+으로서/JKB+의/JKG
권리를	권리/NNG+를/JKO
보장받야한다고	보장/NNG+받/VV+야/EC+하/VX+ㄴ다고/EC
목소리를	목소리/NNG+를/JKO
높였다	높이/VV+었/EP+다/EF

한국장애인부모회	한국/NNP+장애인부모회/NNG
노익상	노익상/NNP
회장은	회장/NNG+은/JX
앞서	앞서/MAG
열린	열리/VV+ㄴ/ETM
보신각	보신각/NNP
위령제에서	위령제/NNG+에서/JKB
“발달장애인과	“/SN+발달장애인/NNG+과/JC
그	그/MM
가족들도	가족/NNG+들/XSN+도/JX
국민으로써	국민/NNG+으로써/JKB
의무교육,	의무교육/NNG+,/SP
의식주를	의식주/NNG+를/JKO
영위할	영위하/VV+ㄹ/ETM
권리를	권리/NNG+를/JKO
가진다“며	가지/VV+ㄴ다“며/EC
”발달장애인	”/SN+발달장애인/NNG
가족을	가족/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
발달장애인법이	발달장애인법/NNG+이/JKS
국회를	국회/NNG+를/JKO
통과해야	통과하/VV+여야/EC
할	하/VX+ㄹ/ETM
것“이라고	것/NNB+“/SL+이/VCP+라고/EC
강조했다	강조하/VV+였/EP+다/EC

한편	한편/MAG
지난	지나/VV+ㄴ/ETM
23일	23/SN+일/NNB
원주의료원에서는	원주의료원/NNP+에서/JKB+는/JX
고	고/MM
이광동씨의	이광동/NNP+씨/NNB+의/JKG
장례식이	장례식/NNG+이/JKS
유가족들을	유가족/NNG+들/XSN+을/JKO
중심으로	중심/NNG+으로/JKB
치러졌고,	치르/VV+어/EC+지/VX+었/EP+고/EC+,/SP
지난	지나/VV+ㄴ/ETM
24일에는	24/SN+일/NNB+에/JKB+는/JX
두	두/MM
발달장애인	발달장애인/NNG
노제	노제/NNG
및	및/MAG
추모문화제가	추모문화제/NNG+가/JKS
원주시청	원주시청/NNP
앞에서	앞/NNG+에서/JKB
열렸다	열리/VV+었/EP+다/EC

하지만	하지만/MAJ
고	고/NNP
장성희씨는	장성희/NNP+씨/NNB+는/JX
연고자를	연고자/NNG+를/JKO
찾지	찾/VV+지/EC
못해	못하/VX+여/EC
현재까지	현재/NNG+까지/JX
병원	병원/NNG
냉동고에	냉동고/NNG+에/JKB
방치돼	방치되/VV+어/EC
있다	있/VX+다/EC

현재	현재/MAG
아버지로	아버지/NNG+로/JKB
있는	있/VA+는/ETM
장씨가	장/NNP+씨/NNB+가/JKS
장례식을	장례식/NNG+을/JKO
거부하고	거부하/VV+고/EC
있는	있/VX+는/ETM
것으로	것/NNB+으로/JKB
알려졌다	알려지/VV+었/EP+다/EF

춤꾼	춤꾼/NNG
이삼헌씨가	이삼헌/NNP+씨/NNB+가/JKS
죽은	죽/VV+은/ETM
원혼을	원혼/NNG+을/JKO
달래기	달래/VV+기/ETN
위한	위하/VV+ㄴ/ETM
‘진혼굿’을	‘/SL+진혼굿/NNG+’/SL+을/JKO
벌이고	벌이/VV+고/EC
있다	있/VX+다/EC

장애인단체	장애인단체/NNG
회원들이	회원/NNG+들/XSN+이/JKS
줄을	줄/NNG+을/JKO
지어	짓/VV+어/EC
헌화하고	헌화하/VV+고/EC
있다	있/VX+다/EC

고	고/MM
이광동씨	이광동/NNP+씨/NNB
유가족	유가족/NNG
및	및/MAG
장애인단체	장애인단체/NNG
회원들이	회원/NNG+들/XSN+이/JKS
보신각에서	보신각/NNP+에서/JKB
복지부	복지부/NNG
앞까지	앞/NNG+까지/JX
운구행렬	운구행렬/NNG
했다	하/VV+였/EP+다/EF

고	고/MM
이광동씨	이광동/NNP+씨/NNB
유가족	유가족/NNG
및	및/MAG
장애인단체	장애인단체/NNG
회원들이	회원/NNG+들/XSN+이/JKS
발달장애인법	발달장애인법/NNG
제정을	제정/NNG+을/JKO
촉구하는	촉구하/VV+는/ETM
플래카드를	플래카드/NNG+를/JKO
들고	들/VV+고/EC
행렬하는	행렬하/VA+는/ETM
모습	모습/NNG

휠체어장애인들도	휠체어장애인/NNG+들/XSN+도/JX
유가족의	유가족/NNG+의/JKG
뒤를	뒤/NNG+를/JKO
따라	따르/VV+아/EC
운구행렬에	운구행렬/NNG+에/JKB
함께	함께/MAG
했다	하/VV+였/EP+다/EC

이를	이/NP+를/JKO
횡단보도를	횡단보도/NNG+를/JKO
건너기	건너/VV+기/ETN
위해	위하/VV+여/EC
기다리던	기다리/VV+던/ETM
시민들이	시민/NNG+들/XSN+이/JKS
지켜보고	지켜보/VV+고/EC
있다	있/VX+다/EC

복지부	복지부/NNG
앞	앞/NNG
청사에	청사/NNG+에/JKB
다다른	다다르/VV+ㄴ/ETM
유가족	유가족/NNG
및	및/MAG
장애인들	장애인/NNG+들/XSN
모습	모습/NNG

복지부	복지부/NNG
앞마당에서	앞마당/NNG+에서/JKB
위령제를	위령제/NNG+를/JKO
지내고자	지내/VV+고자/EC
복지부에	복지부/NNG+에/JKB
요청했지만	요청하/VV+였/EP+지만/EC
복지부는	복지부/NNG+는/JX
그룹	그룹/NNG
환화	환화/NNG
사유지임을	사유지임/NNG+을/JKO
장조하며	장조하/VV+며/EC
불가	불가/NNG
입장을	입장/NNG+을/JKO
밝히면서	밝히/VV+면서/EC
언성이	언성/NNG+이/JKS
오갖고	오갖/VV+고/EC
유가족과	유가족/NNG+과/JC
단체는	단체/NNG+는/JX
바리게이트를	바리게이트/NNG+를/JKO
무단으로	무단/NNG+으로/JKB
넘고	넘/VV+고/EC
위령제를	위령제/NNG+를/JKO
지내야	지내/VV+어야/EC
했다	하/VX+였/EP+다/EC

고	고/MM
이광동씨의	이광동/NNP+씨/NNB+의/JKG
어머니	어머니/NNG
조영실(67세)	조영실/NNP+(/SS+67/SN+세/NNB+)/SS
씨가	씨/NNB+가/JKS
복지부	복지부/NNG
앞에서	앞/NNG+에서/JKB
고개를	고개/NNG+를/JKO
떨구고	떨구/VV+고/EC
있다	있/VX+다/EC
