"영화	"/SS+영화/NNG
것으로	것/NNB+으로/JKB
드러났다	드러나/VV+았/EP+다/EC

경찰은	경찰/NNG+은/JX
피해자들이	피해자/NNG+들/XSN+이/JKS
피해일시와	피해일시/NNG+와/JC
장소를	장소/NNG+를/JKO
특정치	특정하/VA+지/EC
못해	못하/VX+여/EC
수사에	수사/NNG+에/JKB
어려움을	어려움/NNG+을/JKO
겪었으나	겪/VV+었/EP+으나/EC
지하철역에	지하철역/NNG+에/JKB
있는	있/VA+는/ETM
공중전화로	공중전화/NNG+로/JKB
피의자들에게	피의자/NNG+들/XSN+에게/JKB
전화를	전화/NNG+를/JKO
한	한/MM
사실이	사실/NNG+이/JKS
있다는	있/VA+다는/ETM
진술을	진술/NNG+을/JKO
확보해	확보하/VV+여/EC
CCTV와	CCTV/SL+와/JC
휴대전화	휴대전화/NNG
번호를	번호/NNG+를/JKO
추적한	추적하/VV+ㄴ/ETM
끝에	끝/NNG+에/JKB
검거했다고	검거하/VV+였/EP+다고/EC
밝혔다	밝히/VV+었/EP+다/EC

경찰은	경찰/NNG+은/JX
이들	이/NP+들/XSN
피의자들의	피의자/NNG+들/XSN+의/JKG
범죄가	범죄/NNG+가/JKS
더	더/MAG
있을	있/VA+을/ETM
것으로	것/NNB+으로/JKB
보고	보/VV+고/EC
수사를	수사/NNG+를/JKO
계속하고	계속하/VV+고/EC
있다	있/VX+다/EC

anckyj@cbs	anckyj/SL+@/SW+cbs/SL

co	co/SL

kr/에이블뉴스제휴사*위	kr/SL+//SP+에이블뉴스제휴사/NNP+*/SW+위/NNG
기사에	기사/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
모든	모든/MM
법적	법적/NNG
책임	책임/NNG
및	및/MAG
권한은	권한/NNG+은/JX
저작권자인	저작권자/NNG+이/VCP+ㄴ/ETM
노컷뉴(www	노컷뉴/NNP+(/SS+www/SL

kdawu	kdawu/SL

org)에	org/SL+)/SS+에/JKB
있습니다	있/VA+습니다/EF
