장애인단체들	장애인단체/NNG+들/XSN
해수욕장을	해수욕장/NNG+을/JKO
찾았을	찾/VV+았/EP+을/ETM
때	때/NNG
머문	머물/VV+ㄴ/ETM
숙박시설은	숙박시설/NNG+은/JX
온수도	온수/NNG+도/JX
나오지	나오/VV+지/EC
않고	않/VX+고/EC
화장실도	화장실/NNG+도/JX
불편해	불편하/VA+여/EC
고생했다”고	고생하/VV+였/EP+다/EC+”/VX+고/EC
밝힌데	밝히/VV+ㄴ/ETM+데/NNB
이어	잇/VV+어/EC
“오히려	“/SN+오히려/MAG
장애인	장애인/NNG
숙박시설이	숙박시설/NNG+이/JKS
생기면	생기/VV+면/EC
단체,	단체/NNG+,/SP
가족단위가	가족단위/NNG+가/JKS
많이	많이/MAG
찾아	찾/VV+아/EC
지역	지역/NNG
발전이	발전/NNG+이/JKS
활성화	활성화/NNG
될	되/VV+ㄹ/ETM
것”이라고	것/NNB+”/SL+이/VCP+라고/EC
강조했다	강조하/VV+였/EP+다/EC

장애인차별금지추진연대	장애인차별금지추진연대/NNG
박김영희	박김영희/NNP
사무국장은	사무국/NNG+장/XSN+은/JX
“이미	“/SN+이미/MAG
예산까지	예산/NNG+까지/JX
확보된	확보되/VV+ㄴ/ETM
상태에서	상태/NNG+에서/JKB
일부	일부/NNG
지역주민들이	지역주민/NNG+들/XSN+이/JKS
반대한다는	반대하/VV+ㄴ다는/ETM
이유에	이유/NNG+에/JKB
동조,	동조/NNG+,/SP
함께	함께/MAG
반대하는	반대하/VV+는/ETM
것은	것/NNB+은/JX
어불성설”이라며	어불성설/NNG+”/SL+이/VCP+라며/EC
“정당한	“/SL+정당하/VA+ㄴ/ETM
편의를	편의/NNG+를/JKO
제공해야	제공하/VV+여야/EC
하는	하/VX+는/ETM
장차법에	장차법/NNG+에/JKB
반하는	반하/VV+는/ETM
행동”이라고	행동”/NNG+이/VCP+라고/EC
주장했다	주장하/VV+였/EP+다/EC

한편	한편/MAG
이들	이/NP+들/XSN
단체는	단체/NNG+는/JX
오는	오/VV+는/ETM
18일	18/SN+일/NNB
오후	오후/NNG
양양군수에	양양/NNP+군수/NNG+에/JKB
항의	항의/NNG
방문	방문/NNG
한다는	하/VV+ㄴ다는/ETM
계획이다	계획/NNG+이/VCP+다/EC

장애인차별금지추진연대	장애인차별금지추진연대/NNG
박김영희	박김영희/NNP
사무국장의	사무국/NNG+장/XSN+의/JKG
진정	진정/NNG
모습	모습/NNG

전국장애인차별철폐연대,	전/MM+국장애인차별철폐연대/NNG+,/SP
장애인차별금지추진연대	장애인차별금지추진연대/NNG
등	등/NNB
7개	7/SN+개/NNB
장애인단체가	장애인단체/NNG+가/JKS
13일	13/SN+일/NNB
정상철	정상철/NNP
양양군수	양양/NNP+군수/NNG
인권위	인권위/NNG
진정에	진정/NNG+에/JKB
앞서	앞서/VV+어/EC
기자회견을	기자회견/NNG+을/JKO
가졌다	가지/VV+었/EP+다/EC

장애인단체	장애인단체/NNG
한	한/MM
관계자가	관계자/NNG+가/JKS
양양군수	양양/NNP+군수/NNG
인권위	인권위/NNG
진정	진정/NNG
기자회견에서	기자회견/NNG+에서/JKB
‘장애인도	‘/SN+장애인/NNG+도/JX
해수욕을	해수욕/NNG+을/JKO
하고	하/VV+고/EC
싶다’는	싶/VX+다/EC+’/SL+는/JX
내용이	내용/NNG+이/JKS
담긴	담기/VV+ㄴ/ETM
피켓을	피켓/NNG+을/JKO
들고	들/VV+고/EC
있다	있/VX+다/EC
